WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,MeanSeaLevelPressure,WindSpeed,VaporPressure,RelativeHumidity,AirTemperature,Rainfall24Hr,LandVisibility,DewPoint,StationPressure,WindDirection
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,08-29-2019,10:00:00,1006.17,7.4,29.27,69,29.9,11.90,10.00,23.7,1005.72,230
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.00,08-29-2019,10:00:00,1007.31,0.0,30.42,78,28.5,15.80,8.00,24.3,996.06,000
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,08-29-2019,10:00:00,1006.25,0.0,30.19,72,29.8,2.10,12.00,24.2,1005.25,000
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,08-29-2019,10:00:00,1006.43,0.0,30.64,82,27.9,2.40,8.00,24.4,1004.61,000
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,08-29-2019,10:00:00,1006.00,0.0,26.65,59,31.1,0.70,8.00,22.1,1005.25,000
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,08-29-2019,10:00:00,1006.46,20.4,27.36,65,29.9,0.00,10.00,22.6,1005.76,270
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,08-29-2019,10:00:00,1005.96,3.7,30.42,78,28.5,33.00,7.00,24.3,1005.26,270
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.01,08-29-2019,10:00:00,1005.75,5.6,31.52,91,26.5,6.00,10.00,24.9,984.59,300
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,1.80,08-29-2019,10:00:00,1005.59,0.0,32.91,95,26.5,13.50,7.00,25.6,988.87,000
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1.80,08-29-2019,10:00:00,1006.16,3.7,32.59,96,26.2,11.80,5.00,25.5,989.70,270
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.01,08-29-2019,10:00:00,1005.75,0.0,31.02,87,27.1,3.60,10.00,24.7,983.94,000
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,08-29-2019,10:00:00,1006.51,11.1,27.70,88,25.0,11.50,10.00,22.8,963.01,250
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.40,08-29-2019,10:00:00,1005.31,9.3,31.38,88,27.0,39.80,5.00,24.8,984.79,270
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.40,08-29-2019,10:00:00,1007.01,3.7,32.04,100,25.2,15.20,6.00,25.2,986.08,250
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,08-29-2019,10:00:00,1006.86,9.3,29.96,73,29.4,13.50,10.00,24.1,1006.43,300
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,08-29-2019,10:00:00,1005.92,3.7,31.95,85,28.0,13.10,8.00,25.1,1004.51,290
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,08-29-2019,10:00:00,1005.71,5.6,32.25,89,27.3,6.50,8.00,25.3,1000.79,220
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,08-29-2019,10:00:00,1006.38,7.4,28.17,63,30.9,0.01,12.00,23.1,1003.13,310
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,08-29-2019,10:00:00,1006.20,11.1,29.36,70,29.8,0.01,10.00,23.7,1005.10,290
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,08-29-2019,10:00:00,1006.36,16.7,28.91,68,30.0,0.00,10.00,23.5,1006.06,270
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,0.00,08-29-2019,10:00:00,1006.50,7.4,29.08,69,29.8,0.60,10.00,23.6,1005.82,220
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,08-29-2019,10:00:00,1006.61,3.7,30.04,74,29.3,1.00,10.00,24.1,1006.12,240
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.00,08-29-2019,10:00:00,1006.13,20.4,29.22,72,29.3,0.80,10.00,23.7,1004.74,280
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,0.00,08-29-2019,10:00:00,1006.45,14.8,35.23,83,30.0,5.90,12.00,26.8,1004.79,260
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,08-29-2019,10:00:00,1007.60,3.7,32.68,88,27.8,12.00,10.00,25.5,999.61,230
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,08-29-2019,10:00:00,1005.88,9.3,30.21,68,30.8,8.60,12.00,24.2,1005.60,300
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,08-29-2019,10:00:00,1006.08,7.4,29.33,71,29.5,21.30,10.00,23.7,1002.98,130
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,08-29-2019,10:00:00,1006.29,13.0,30.14,70,30.2,0.40,12.00,24.2,999.43,240
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,08-29-2019,10:00:00,1005.71,9.3,30.28,80,28.0,6.10,7.00,24.3,1000.14,200
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,0.00,08-29-2019,10:00:00,1007.10,16.7,29.98,69,30.4,5.20,9.00,24.1,997.89,300
