WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,MeanSeaLevelPressure,RelativeHumidity,StationPressure,VaporPressure,Rainfall24Hr,LandVisibility,DewPoint,WindSpeed,Rainfall,WindDirection
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,24.0,07-23-2019,22:00:00,1006.93,96,990.94,28.53,11.20,8.00,23.3,3.7,3.80,160
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,28.1,07-23-2019,22:00:00,1005.19,88,986.41,33.29,1.30,8.00,25.8,0.0,0.00,000
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,25.0,07-23-2019,22:00:00,1006.12,83,954.83,26.43,1.00,7.00,22.0,0.0,0.00,000
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,30.1,07-23-2019,22:00:00,1006.44,81,1002.52,34.55,0.00,7.00,26.5,0.0,0.00,000
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,21.7,07-23-2019,22:00:00,1008.10,94,912.97,24.51,0.40,1.50,20.8,11.1,0.20,220
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,24.5,07-23-2019,22:00:00,1006.65,97,990.53,29.93,22.00,4.00,24.1,0.0,1.30,000
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,30.7,07-23-2019,22:00:00,1006.96,69,1002.97,30.29,0.10,10.00,24.3,0.0,0.00,000
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,29.5,07-23-2019,22:00:00,1008.00,68,997.40,27.96,0.00,8.00,22.9,0.0,0.00,000
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,29.5,07-23-2019,22:00:00,1007.70,68,1005.78,27.96,0.00,9.00,22.9,0.0,0.00,000
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,29.9,07-23-2019,22:00:00,1006.91,70,986.26,29.55,0.00,10.00,23.8,0.0,0.00,000
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,25.4,07-23-2019,22:00:00,1006.51,92,988.77,29.99,2.20,9.00,24.1,0.0,0.90,000
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,25.4,07-23-2019,22:00:00,1006.32,97,990.09,31.33,2.30,8.00,24.8,0.0,0.80,000
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,24.7,07-23-2019,22:00:00,1008.01,92,993.85,28.47,15.50,10.00,23.2,9.3,14.00,030
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,23.4,07-23-2019,22:00:00,1009.23,96,994.19,27.75,30.20,8.00,22.8,0.0,28.80,000
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,27.6,07-23-2019,22:00:00,1006.79,77,992.15,28.45,0.01,6.00,23.2,14.8,0.01,240
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,31.3,07-23-2019,22:00:00,1006.86,59,1003.89,26.75,0.40,10.00,22.2,0.0,0.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}"
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,30.3,07-23-2019,22:00:00,1006.68,70,998.82,30.06,0.00,7.00,24.1,0.0,0.00,000
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,27.8,07-23-2019,22:00:00,1004.95,76,1003.85,28.28,0.00,8.00,23.1,0.0,0.00,000
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,29.2,07-23-2019,22:00:00,1005.21,83,990.66,33.83,0.00,8.00,26.1,3.7,0.00,100
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,20.8,07-23-2019,22:00:00,1007.85,99,873.30,24.31,0.80,.10,20.6,13.0,0.00,280
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,30.5,07-23-2019,22:00:00,1006.93,72,1001.12,31.60,0.00,10.00,25.0,9.3,0.00,210
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,28.0,07-23-2019,22:00:00,1008.03,88,1007.23,33.37,0.00,8.00,25.9,9.3,0.00,240
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,28.2,07-23-2019,22:00:00,1006.86,89,1006.41,34.07,3.50,10.00,26.2,0.0,1.10,000
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,27.5,07-23-2019,22:00:00,1008.70,81,997.40,29.88,0.00,5.00,24.0,0.0,0.00,000
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,29.8,07-23-2019,22:00:00,1007.83,67,1006.83,28.26,0.00,10.00,23.1,0.0,0.00,000
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,28.8,07-23-2019,22:00:00,1007.76,74,1005.94,29.35,0.01,8.00,23.7,3.7,0.00,180
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,29.5,07-23-2019,22:00:00,1007.70,65,1006.95,26.89,0.00,8.00,22.3,0.0,0.00,000
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,26.4,07-23-2019,22:00:00,1007.88,90,1007.17,31.05,6.00,10.00,24.7,5.6,2.60,210
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,26.9,07-23-2019,22:00:00,1007.51,82,1006.81,29.02,0.40,7.00,23.5,0.0,0.00,000
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,30.8,07-23-2019,22:00:00,1006.91,69,986.02,30.78,0.01,8.00,24.5,7.4,0.01,230
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,30.2,07-23-2019,22:00:00,1006.52,67,989.99,28.75,0.00,7.00,23.4,0.0,0.00,000
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,28.8,07-23-2019,22:00:00,1007.30,76,990.96,29.90,0.60,6.00,24.0,3.7,0.00,180
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,29.4,07-23-2019,22:00:00,1007.03,70,985.35,28.86,0.00,10.00,23.4,0.0,0.00,000
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,27.5,07-23-2019,22:00:00,1007.47,73,964.29,26.95,0.01,12.00,22.3,11.1,0.01,240
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,29.5,07-23-2019,22:00:00,1006.93,69,986.54,28.50,0.20,10.00,23.2,3.7,0.00,240
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,28.5,07-23-2019,22:00:00,1008.30,81,987.56,31.54,0.00,8.00,24.9,9.3,0.00,210
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,30.8,07-23-2019,22:00:00,1007.69,62,1007.26,27.71,0.01,10.00,22.8,7.4,0.01,270
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,25.5,07-23-2019,22:00:00,1007.90,91,1006.47,29.64,2.00,8.00,23.9,0.0,2.00,000
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,26.7,07-23-2019,22:00:00,1007.88,84,1002.94,29.45,0.00,7.00,23.8,0.0,0.00,000
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,30.3,07-23-2019,22:00:00,1007.53,63,1004.27,27.30,0.00,12.00,22.5,5.6,0.00,260
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,26.8,07-23-2019,22:00:00,1008.06,94,1006.95,32.94,7.00,7.00,25.7,0.0,0.00,000
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,27.3,07-23-2019,22:00:00,1007.82,94,1007.52,33.95,20.70,10.00,26.2,0.0,1.50,000
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,26.0,07-23-2019,22:00:00,1007.50,98,1007.00,32.76,5.30,10.00,25.6,0.0,1.30,000
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,28.0,07-23-2019,22:00:00,1007.98,85,1006.57,32.23,21.80,10.00,25.3,7.4,0.01,270
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,26.0,07-23-2019,22:00:00,1010.52,76,1002.47,25.61,0.00,10.00,21.5,3.7,0.00,180
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,27.0,07-23-2019,22:00:00,1007.97,92,1007.69,32.77,15.50,10.00,25.6,5.6,15.50,090
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,29.0,07-23-2019,22:00:00,1007.85,78,1004.73,31.13,0.00,10.00,24.7,0.0,0.00,000
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,29.5,07-23-2019,22:00:00,1008.09,81,1001.20,33.58,0.00,12.00,26.0,0.0,0.00,000
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,28.0,07-23-2019,22:00:00,1007.98,75,1002.39,28.39,0.20,8.00,23.2,5.6,0.00,290
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,29.0,07-23-2019,22:00:00,1008.64,72,1007.39,28.64,0.01,10.00,23.3,7.4,0.01,270
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,30.5,07-23-2019,22:00:00,1007.81,62,1007.38,26.87,0.00,11.00,22.3,5.6,0.00,300
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,27.5,07-23-2019,22:00:00,1008.57,84,996.32,30.97,0.00,8.00,24.6,0.0,0.00,000
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,30.2,07-23-2019,22:00:00,1008.17,72,1007.47,30.70,0.00,10.00,24.5,0.0,0.00,000
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,29.8,07-23-2019,22:00:00,1007.89,81,1005.48,33.92,0.00,10.00,26.2,7.4,0.00,180
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,30.0,07-23-2019,22:00:00,1007.96,84,1007.45,35.53,0.00,10.00,26.9,7.4,0.00,250
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,29.7,07-23-2019,22:00:00,1008.12,82,1003.01,34.00,0.00,10.00,26.2,1.9,0.00,200
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,29.0,07-23-2019,22:00:00,1008.25,84,1007.84,33.70,0.10,7.00,26.0,0.0,0.00,000
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,27.5,07-23-2019,22:00:00,1008.72,92,1005.95,33.78,0.00,8.00,26.1,0.0,0.00,000
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,29.5,07-23-2019,22:00:00,1008.68,72,1007.90,29.88,0.00,10.00,24.0,9.3,0.00,300
48501,TRAD,ตราด,ตราด,11.76667,102.88333,27.2,07-23-2019,22:00:00,1009.05,90,1008.59,32.61,0.00,6.00,25.5,5.6,0.00,060
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,27.5,07-23-2019,22:00:00,1009.58,81,1008.90,29.88,0.00,8.00,24.0,0.0,0.00,000
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,27.8,07-23-2019,22:00:00,1007.91,79,1006.39,29.36,0.00,8.00,23.7,0.0,0.00,000
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,26.5,07-23-2019,22:00:00,1010.22,84,1009.30,29.08,0.00,10.00,23.6,0.0,0.00,000
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,28.2,07-23-2019,22:00:00,1009.52,80,1008.83,30.67,0.00,12.00,24.5,0.0,0.00,000
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,26.0,07-23-2019,22:00:00,1009.90,84,1009.10,28.18,0.00,10.00,23.1,0.0,0.00,000
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,27.9,07-23-2019,22:00:00,1009.39,85,1008.76,31.75,0.00,10.00,25.0,0.0,0.00,000
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,27.3,07-23-2019,22:00:00,1009.52,89,1009.11,32.25,0.00,10.00,25.3,7.4,0.00,210
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,26.0,07-23-2019,22:00:00,1011.38,92,1007.14,30.84,0.00,5.00,24.6,0.0,0.00,000
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,25.7,07-23-2019,22:00:00,1009.94,94,1008.32,31.08,0.00,10.00,24.7,0.0,0.00,000
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,27.0,07-23-2019,22:00:00,1009.79,92,1006.31,32.77,0.00,8.00,25.6,0.0,0.00,000
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,26.0,07-23-2019,22:00:00,1009.91,90,1008.55,30.30,0.00,10.00,24.3,0.0,0.00,000
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,26.5,07-23-2019,22:00:00,1009.57,88,1008.69,30.43,0.00,10.00,24.3,0.0,0.00,000
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,25.8,07-23-2019,22:00:00,1010.00,91,1006.42,30.19,0.00,10.00,24.2,0.0,0.00,000
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,27.1,07-23-2019,22:00:00,1010.18,87,1009.74,31.02,23.80,10.00,24.7,0.0,0.00,000
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,25.0,07-23-2019,22:00:00,1009.57,97,1008.57,30.58,18.20,10.00,24.4,0.0,0.00,000
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,28.7,07-23-2019,22:00:00,1010.40,86,1009.58,33.66,0.00,10.00,26.0,16.7,0.00,260
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,25.3,07-23-2019,22:00:00,1010.22,93,1008.39,30.07,6.80,10.00,24.1,0.0,0.10,000
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,27.8,07-23-2019,22:00:00,1010.02,81,1009.27,30.17,0.00,10.00,24.2,0.0,0.00,000
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,26.4,07-23-2019,22:00:00,1010.25,95,1006.24,32.71,0.40,7.00,25.5,0.0,0.00,000
48570,SATUN,สตูล,สตูล,6.65000,100.08333,26.4,07-23-2019,22:00:00,1010.39,89,1009.70,30.51,0.00,10.00,24.4,0.0,0.00,000
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,26.9,07-23-2019,22:00:00,1010.11,89,1008.99,31.46,1.00,10.00,24.9,0.0,0.00,000
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,27.2,07-23-2019,22:00:00,1010.35,92,1007.43,33.17,14.90,10.00,25.8,0.0,0.00,000
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,27.2,07-23-2019,22:00:00,1009.46,90,1008.77,32.61,0.00,7.00,25.5,0.0,0.00,000
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,25.2,07-23-2019,22:00:00,1010.62,95,1006.46,30.42,22.10,7.00,24.3,0.0,0.00,000
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,28.0,07-23-2019,22:00:00,1009.97,77,1009.39,29.19,0.00,10.00,23.6,11.1,0.00,240
