WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,DewPoint,WindSpeed,StationPressure,Rainfall24Hr,MeanSeaLevelPressure,WindDirection,AirTemperature,Rainfall,LandVisibility,RelativeHumidity
48353,LOEI,เลย,เลย,17.45000,101.73333,29.38,09-04-2019,01:00:00,23.7,5.6,974.97,0.20,1003.63,340,25.5,0.00,12.00,90
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,29.66,09-04-2019,01:00:00,23.9,9.3,983.29,2.70,1003.45,260,25.8,0.50,10.00,89
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,29.91,09-04-2019,01:00:00,24.0,7.4,980.37,41.70,1001.99,280,26.8,0.00,10.00,85
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,30.63,09-04-2019,01:00:00,24.4,5.6,982.28,45.40,1001.74,300,25.6,0.40,11.00,93
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,30.42,09-04-2019,01:00:00,24.3,3.7,985.15,74.70,1001.90,310,25.2,0.20,9.00,95
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,30.87,09-04-2019,01:00:00,24.6,0.0,984.57,94.70,1001.98,000,25.3,0.80,8.00,96
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,32.45,09-04-2019,01:00:00,25.4,0.0,977.90,2.80,1003.68,000,25.7,0.00,9.00,98
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,28.88,09-04-2019,01:00:00,23.5,9.3,1000.24,0.10,1006.02,270,27.4,0.00,10.00,79
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,31.38,09-04-2019,01:00:00,24.8,0.0,999.99,0.40,1006.18,000,27.0,0.00,10.00,88
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,29.91,09-04-2019,01:00:00,24.0,0.0,989.38,0.40,1005.87,000,25.5,0.00,8.00,92
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,27.76,09-04-2019,01:00:00,22.8,0.0,984.47,9.70,1007.01,000,24.0,0.00,10.00,93
48376,TAK,ตาก,ตาก,16.87833,99.14333,26.06,09-04-2019,01:00:00,21.8,16.7,992.40,1.00,1006.78,270,27.0,0.00,7.00,73
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,26.86,09-04-2019,01:00:00,22.3,0.0,989.21,0.90,1005.54,000,27.6,0.00,8.00,73
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,33.74,09-04-2019,01:00:00,26.1,0.0,1000.53,0.20,1005.75,000,27.2,0.00,10.00,94
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,30.32,09-04-2019,01:00:00,24.3,0.0,990.77,3.60,1004.01,000,25.0,0.00,10.00,96
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,29.86,09-04-2019,01:00:00,24.0,0.0,996.32,0.20,1005.65,000,26.2,0.00,10.00,88
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,30.85,09-04-2019,01:00:00,24.6,7.4,981.98,16.70,1003.73,260,25.0,0.01,7.00,97
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,30.32,09-04-2019,01:00:00,24.3,5.6,986.99,27.10,1004.56,240,25.0,0.00,7.00,96
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,30.48,09-04-2019,01:00:00,24.4,0.0,984.79,57.20,1000.64,000,24.8,3.00,10.00,97
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,31.31,09-04-2019,01:00:00,24.8,0.0,983.77,15.00,1002.69,000,25.1,0.00,8.00,98
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,25.52,09-04-2019,01:00:00,21.4,0.0,957.39,13.70,1009.25,000,22.5,0.00,7.00,94
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,31.79,09-04-2019,01:00:00,25.1,0.0,1001.01,0.10,1004.97,000,26.5,0.00,7.00,92
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,23.20,09-04-2019,01:00:00,19.9,11.1,912.41,2.90,1007.99,240,20.2,0.20,.60,98
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,30.85,09-04-2019,01:00:00,24.6,7.4,986.78,57.00,1002.80,310,25.0,1.00,5.00,97
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,30.19,09-04-2019,01:00:00,24.2,0.0,1001.44,0.20,1005.48,000,25.8,0.00,10.00,91
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,30.46,09-04-2019,01:00:00,24.3,0.0,995.61,1.00,1006.32,000,25.8,0.00,6.00,92
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,29.00,09-04-2019,01:00:00,23.5,0.0,1004.51,1.60,1006.45,000,25.0,0.00,8.00,92
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,28.88,09-04-2019,01:00:00,23.5,5.6,983.57,9.00,1004.57,240,24.2,0.40,10.00,96
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,29.93,09-04-2019,01:00:00,24.1,9.3,986.55,57.90,1004.31,260,24.5,2.00,8.00,97
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,30.93,09-04-2019,01:00:00,24.6,5.6,986.02,61.10,1002.21,250,24.9,2.70,7.00,98
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,28.53,09-04-2019,01:00:00,23.3,14.8,988.66,119.70,1002.78,290,24.0,18.90,4.00,96
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,28.95,09-04-2019,01:00:00,23.5,0.0,988.21,121.00,1003.13,000,23.8,24.80,2.00,98
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,29.56,09-04-2019,01:00:00,23.8,13.0,988.98,107.90,1003.75,280,24.0,19.90,.70,99
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,30.92,09-04-2019,01:00:00,24.6,0.0,1002.56,1.40,1005.58,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",25.9,0.00,10.00,93
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,29.79,09-04-2019,01:00:00,24.0,0.0,996.88,27.50,1004.87,000,25.0,15.30,7.00,94
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,27.80,09-04-2019,01:00:00,22.8,5.6,1005.04,1.40,1006.16,230,25.2,0.00,7.00,87
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,31.03,09-04-2019,01:00:00,24.7,0.0,988.57,20.70,1003.24,000,26.1,0.00,8.00,92
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,21.06,09-04-2019,01:00:00,18.3,16.7,872.24,41.80,1007.74,280,18.5,0.80,.10,99
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,29.59,09-04-2019,01:00:00,23.9,0.0,1000.17,8.80,1006.10,000,24.6,1.00,7.00,96
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,30.46,09-04-2019,01:00:00,24.3,3.7,1007.25,6.40,1008.06,240,25.8,0.00,7.00,92
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,31.17,09-04-2019,01:00:00,24.7,0.0,1005.90,32.90,1006.35,000,25.6,0.00,10.00,95
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,29.49,09-04-2019,01:00:00,23.8,0.0,997.48,21.30,1008.90,000,24.4,1.80,3.00,97
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,30.15,09-04-2019,01:00:00,24.2,5.6,1005.39,1.20,1006.40,180,25.2,0.00,10.00,94
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,29.28,09-04-2019,01:00:00,23.7,0.0,1004.28,7.80,1006.11,000,25.3,0.00,7.00,91
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,30.13,09-04-2019,01:00:00,24.2,0.0,1005.36,3.20,1006.13,000,24.9,0.00,7.00,96
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,29.64,09-04-2019,01:00:00,23.9,7.4,1006.23,8.10,1006.94,250,25.5,0.20,10.00,91
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,30.98,09-04-2019,01:00:00,24.6,0.0,1005.34,27.90,1006.04,000,25.5,0.30,7.00,95
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,28.01,09-04-2019,01:00:00,23.0,7.4,983.48,13.40,1004.80,280,24.0,0.60,10.00,94
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,29.22,09-04-2019,01:00:00,23.7,5.6,988.01,63.30,1004.85,240,24.1,4.50,5.00,97
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,28.53,09-04-2019,01:00:00,23.3,9.3,988.97,59.70,1005.54,270,24.0,4.30,5.00,96
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,27.84,09-04-2019,01:00:00,22.9,0.0,982.94,8.80,1004.97,000,23.9,1.50,10.00,94
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,25.52,09-04-2019,01:00:00,21.4,14.8,962.38,11.10,1006.14,240,23.1,1.00,9.00,90
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,26.01,09-04-2019,01:00:00,21.7,5.6,984.13,25.40,1004.85,230,24.0,1.60,6.00,87
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,28.76,09-04-2019,01:00:00,23.4,40.7,984.26,49.20,1005.28,240,23.4,8.00,5.00,100
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,30.28,09-04-2019,01:00:00,24.2,7.4,1006.84,3.20,1007.28,260,25.7,0.10,10.00,92
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,29.49,09-04-2019,01:00:00,23.8,0.0,1004.72,40.40,1006.15,000,24.4,0.40,6.00,97
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,30.10,09-04-2019,01:00:00,24.1,0.0,1001.24,69.90,1006.22,000,24.3,1.20,6.00,99
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,30.42,09-04-2019,01:00:00,24.3,0.0,1004.17,4.30,1007.48,000,25.2,0.40,10.00,95
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,31.58,09-04-2019,01:00:00,24.9,0.0,1005.81,2.80,1006.92,000,25.1,0.20,10.00,99
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,30.48,09-04-2019,01:00:00,24.4,0.0,1006.56,19.00,1006.86,000,26.1,0.01,9.00,90
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,31.38,09-04-2019,01:00:00,24.8,3.7,1005.94,5.20,1006.44,150,26.0,0.00,10.00,93
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,30.30,09-04-2019,01:00:00,24.3,16.7,1005.23,1.90,1006.64,240,26.0,0.01,10.00,90
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,30.38,09-04-2019,01:00:00,24.3,0.0,1000.27,9.60,1008.35,000,24.6,0.40,10.00,98
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,31.91,09-04-2019,01:00:00,25.1,0.0,1006.22,12.00,1006.51,000,26.7,0.30,10.00,91
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,31.24,09-04-2019,01:00:00,24.8,0.0,1003.59,15.50,1006.73,000,26.5,0.00,10.00,90
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,30.02,09-04-2019,01:00:00,24.1,9.3,1000.38,9.00,1007.33,240,27.0,0.00,10.00,84
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,30.84,09-04-2019,01:00:00,24.6,0.0,1001.77,26.00,1007.39,000,26.0,1.50,7.00,92
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,31.07,09-04-2019,01:00:00,24.7,0.0,1006.97,2.90,1008.25,000,25.0,0.01,8.00,98
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,30.73,09-04-2019,01:00:00,24.5,0.0,1007.12,8.50,1007.56,000,25.8,2.00,11.00,93
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,28.79,09-04-2019,01:00:00,23.4,0.0,995.95,2.70,1008.34,000,24.3,2.00,8.00,95
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,29.50,09-04-2019,01:00:00,23.8,0.0,1007.35,2.40,1008.07,000,26.0,0.10,10.00,88
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,31.38,09-04-2019,01:00:00,24.8,0.0,1004.97,20.30,1007.41,000,26.0,0.00,8.00,93
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,31.25,09-04-2019,01:00:00,24.8,0.0,1007.24,16.70,1007.77,000,25.5,1.20,8.00,96
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,31.65,09-04-2019,01:00:00,25.0,0.0,1001.94,12.30,1007.11,000,26.0,0.30,8.00,94
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,30.50,09-04-2019,01:00:00,24.4,0.0,1006.84,12.50,1007.26,000,25.1,1.00,5.00,96
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,30.20,09-04-2019,01:00:00,24.2,0.0,1004.92,36.70,1007.72,000,24.5,2.60,8.00,98
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,29.62,09-04-2019,01:00:00,23.9,0.0,1007.68,1.10,1008.47,000,25.2,0.00,10.00,92
48501,TRAD,ตราด,ตราด,11.76667,102.88333,30.46,09-04-2019,01:00:00,24.3,3.7,1007.15,128.20,1007.61,330,24.5,18.50,4.00,99
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,31.08,09-04-2019,01:00:00,24.7,0.0,1008.32,0.10,1009.00,000,26.7,0.00,8.00,89
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,30.13,09-04-2019,01:00:00,24.2,0.0,1006.86,0.20,1008.40,000,26.2,0.00,7.00,89
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,32.61,09-04-2019,01:00:00,25.5,5.6,1009.10,0.70,1010.01,190,27.2,0.40,10.00,90
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,29.77,09-04-2019,01:00:00,24.0,0.0,1008.69,0.00,1009.38,000,27.3,0.00,10.00,82
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,29.79,09-04-2019,01:00:00,24.0,0.0,1008.79,0.00,1009.59,000,25.0,0.00,9.00,94
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,30.72,09-04-2019,01:00:00,24.5,0.0,1008.28,0.00,1008.92,000,26.8,0.00,10.00,87
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,30.51,09-04-2019,01:00:00,24.4,7.4,1008.50,0.00,1008.90,210,26.4,0.00,10.00,89
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,30.63,09-04-2019,01:00:00,24.4,0.0,1007.25,0.00,1011.50,000,25.6,0.00,5.00,93
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,30.20,09-04-2019,01:00:00,24.2,0.0,1007.72,0.20,1009.34,000,24.5,0.00,6.00,98
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,31.79,09-04-2019,01:00:00,25.1,0.0,1006.15,0.00,1009.65,000,25.5,0.00,7.00,97
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,31.00,09-04-2019,01:00:00,24.6,0.0,1007.61,0.00,1008.98,000,25.8,0.00,7.00,93
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,32.30,09-04-2019,01:00:00,25.3,7.4,1008.61,0.00,1009.50,240,26.9,0.00,10.00,91
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,30.60,09-04-2019,01:00:00,24.4,0.0,1005.93,0.00,1009.52,000,25.3,0.00,10.00,95
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,33.62,09-04-2019,01:00:00,26.0,0.0,1008.88,7.00,1009.32,000,27.0,2.80,10.00,94
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,33.08,09-04-2019,01:00:00,25.7,11.1,1007.77,2.00,1008.75,240,28.7,0.00,10.00,84
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,32.55,09-04-2019,01:00:00,25.5,13.0,1007.97,0.00,1008.79,290,28.3,0.00,10.00,85
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,31.74,09-04-2019,01:00:00,25.0,0.0,1007.43,0.00,1009.25,000,25.9,0.00,9.00,95
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,30.20,09-04-2019,01:00:00,24.2,0.0,1008.47,0.00,1009.22,000,27.1,0.00,7.00,84
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,31.22,09-04-2019,01:00:00,24.8,3.7,1005.48,0.00,1009.51,110,25.2,0.00,5.00,97
48570,SATUN,สตูล,สตูล,6.65000,100.08333,31.79,09-04-2019,01:00:00,25.1,0.0,1009.02,0.20,1009.71,000,26.5,0.00,10.00,92
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,31.08,09-04-2019,01:00:00,24.7,0.0,1008.10,0.00,1009.22,000,25.7,0.00,10.00,94
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,31.49,09-04-2019,01:00:00,24.9,0.0,1006.46,0.00,1009.39,000,26.2,0.00,10.00,93
