WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,Rainfall24Hr,LandVisibility,WindDirection,WindSpeed,RelativeHumidity,Rainfall,StationPressure,AirTemperature,VaporPressure,DewPoint
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1013.06,10-15-2019,13:00:00,10.80,10.00,000,0.0,65,0.00,985.76,30.6,28.70,23.4
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1013.49,10-15-2019,13:00:00,0.10,12.00,000,0.0,76,0.00,980.12,29.8,31.89,25.1
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1012.30,10-15-2019,13:00:00,0.00,10.00,360,1.9,54,0.00,994.10,33.2,27.67,22.8
48331,NAN,น่าน,น่าน,18.77972,100.77778,1012.39,10-15-2019,13:00:00,0.00,10.00,000,0.0,55,0.00,989.94,33.0,27.84,22.9
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1012.58,10-15-2019,13:00:00,1.30,12.00,000,0.0,54,0.00,983.17,32.9,26.81,22.2
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1012.78,10-15-2019,13:00:00,0.20,8.00,000,0.0,63,0.00,977.69,31.5,29.07,23.6
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1011.92,10-15-2019,13:00:00,0.00,15.00,100,9.3,54,0.00,982.63,32.2,25.74,21.6
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1012.17,10-15-2019,13:00:00,0.00,10.00,040,13.0,47,0.00,1005.00,34.4,25.57,21.5
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,1012.83,10-15-2019,13:00:00,0.00,8.00,100,11.1,58,0.00,993.22,33.0,29.25,23.7
48353,LOEI,เลย,เลย,17.45000,101.73333,1012.07,10-15-2019,13:00:00,0.00,15.00,120,7.4,45,0.00,983.87,33.0,22.43,19.3
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1013.06,10-15-2019,13:00:00,0.00,15.00,090,11.1,52,0.00,993.13,32.3,25.12,21.2
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1013.46,10-15-2019,13:00:00,9.10,12.00,070,3.7,57,0.00,991.89,31.0,25.39,21.3
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,1012.47,10-15-2019,13:00:00,3.10,14.00,080,5.6,54,0.00,993.19,31.7,25.35,21.3
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1012.90,10-15-2019,13:00:00,0.00,13.00,040,5.6,54,0.00,996.34,32.0,25.91,21.7
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1013.09,10-15-2019,13:00:00,0.00,10.00,090,9.3,57,0.00,995.82,31.0,25.39,21.3
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,1011.35,10-15-2019,13:00:00,0.00,12.00,040,9.3,47,0.00,985.98,33.0,23.74,20.3
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1011.99,10-15-2019,13:00:00,0.00,8.00,030,3.7,57,0.00,1006.31,34.4,31.01,24.6
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1012.18,10-15-2019,13:00:00,0.00,8.00,000,0.0,54,0.00,1006.11,34.5,29.46,23.8
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1012.38,10-15-2019,13:00:00,0.00,12.00,000,0.0,49,0.00,996.20,33.3,24.84,21.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1010.39,10-15-2019,13:00:00,0.00,10.00,070,18.5,52,0.00,988.32,31.3,23.83,20.3
48376,TAK,ตาก,ตาก,16.87833,99.14333,1012.86,10-15-2019,13:00:00,0.00,8.00,000,0.0,58,0.00,998.65,32.5,28.25,23.1
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1012.18,10-15-2019,13:00:00,0.00,8.00,000,0.0,56,0.00,995.99,32.0,26.45,22.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1012.31,10-15-2019,13:00:00,0.00,12.00,360,9.3,50,0.00,1007.16,33.5,26.04,21.8
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1010.26,10-15-2019,13:00:00,0.00,12.00,030,5.6,47,0.00,997.34,34.3,25.38,21.3
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1012.26,10-15-2019,13:00:00,0.00,13.00,010,5.6,58,0.00,1003.06,32.7,28.65,23.3
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1011.98,10-15-2019,13:00:00,0.00,10.00,060,16.7,51,0.00,990.60,32.8,25.25,21.3
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1011.07,10-15-2019,13:00:00,0.00,12.00,070,20.4,61,0.00,993.87,33.5,31.75,25.0
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1011.76,10-15-2019,13:00:00,0.00,12.00,070,7.4,68,0.00,996.01,30.0,28.91,23.5
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1011.62,10-15-2019,13:00:00,0.00,10.00,040,7.4,56,0.00,993.01,32.8,28.00,23.0
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1011.57,10-15-2019,13:00:00,0.00,11.00,000,0.0,58,0.00,960.70,29.2,23.49,20.1
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1011.43,10-15-2019,13:00:00,0.00,10.00,320,7.4,55,0.00,1007.55,34.0,29.00,23.5
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1012.63,10-15-2019,13:00:00,0.00,7.00,070,7.4,77,0.00,917.94,24.6,23.80,20.3
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1012.22,10-15-2019,13:00:00,0.00,10.00,080,5.6,60,0.00,996.39,31.5,27.68,22.8
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1012.27,10-15-2019,13:00:00,0.00,7.00,030,7.4,58,0.00,1008.30,33.6,30.20,24.2
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1012.61,10-15-2019,13:00:00,0.00,10.00,060,9.3,55,0.00,1002.07,32.3,26.47,22.0
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1012.04,10-15-2019,13:00:00,0.00,11.00,330,14.8,51,0.00,1010.14,33.5,26.31,21.9
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,1011.55,10-15-2019,13:00:00,0.01,10.00,140,7.4,51,0.00,990.96,32.2,24.67,20.9
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,1011.30,10-15-2019,13:00:00,1.00,11.00,030,22.2,57,0.00,993.85,32.1,27.19,22.5
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1011.18,10-15-2019,13:00:00,0.00,10.00,070,18.5,51,0.00,995.29,33.5,26.59,22.1
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1011.14,10-15-2019,13:00:00,0.00,10.00,050,5.6,55,0.00,997.32,32.8,27.16,22.5
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1011.68,10-15-2019,13:00:00,0.00,10.00,030,9.3,56,0.00,997.08,33.0,28.40,23.2
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1012.33,10-15-2019,13:00:00,0.00,12.00,050,3.7,64,0.00,997.85,32.5,31.40,24.9
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1011.91,10-15-2019,13:00:00,0.00,10.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.0,50,0.00,1008.95,33.6,25.95,21.7
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1011.35,10-15-2019,13:00:00,0.00,10.00,050,5.6,50,0.00,1003.53,33.2,25.46,21.4
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1012.19,10-15-2019,13:00:00,6.10,8.00,050,14.8,56,0.00,1011.10,33.5,28.84,23.4
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,1010.52,10-15-2019,13:00:00,0.00,9.00,090,3.7,66,0.00,995.97,30.8,29.09,23.6
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1009.67,10-15-2019,13:00:00,0.00,8.00,270,1.9,69,0.00,876.73,25.3,22.27,19.2
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1011.62,10-15-2019,13:00:00,0.00,10.00,050,5.6,60,0.00,1005.80,31.7,28.07,23.0
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1010.87,10-15-2019,13:00:00,3.60,8.00,100,7.4,56,0.00,1010.08,34.0,29.87,24.0
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1011.06,10-15-2019,13:00:00,0.00,10.00,120,14.8,57,0.00,1010.62,32.4,27.77,22.8
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1011.35,10-15-2019,13:00:00,12.00,10.00,000,0.0,56,0.00,1000.21,32.8,28.00,23.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1011.69,10-15-2019,13:00:00,0.00,10.00,060,11.1,60,0.00,1010.69,32.0,28.38,23.2
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1011.67,10-15-2019,13:00:00,0.00,8.00,090,7.4,52,0.00,1009.87,32.9,26.25,21.9
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1011.58,10-15-2019,13:00:00,4.90,9.00,040,3.7,63,0.00,1010.83,32.0,29.79,24.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1011.01,10-15-2019,13:00:00,0.00,15.00,060,18.5,54,0.00,1010.32,32.7,26.69,22.2
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1010.65,10-15-2019,13:00:00,0.00,10.00,130,9.3,48,0.00,1009.96,34.5,26.04,21.8
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1011.68,10-15-2019,13:00:00,0.00,10.00,090,11.1,58,0.00,990.76,31.8,27.16,22.4
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,1011.40,10-15-2019,13:00:00,0.00,11.00,050,7.4,58,0.00,994.90,32.3,28.13,23.0
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1011.92,10-15-2019,13:00:00,0.00,10.00,090,3.7,59,0.00,995.69,32.2,28.50,23.2
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,1011.38,10-15-2019,13:00:00,0.00,8.00,090,9.3,59,0.00,989.77,31.7,27.52,22.7
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1011.47,10-15-2019,13:00:00,0.00,12.00,040,18.5,59,0.00,968.46,30.0,24.89,21.0
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,1011.16,10-15-2019,13:00:00,0.00,10.00,030,7.4,63,0.00,990.80,31.2,28.48,23.2
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1013.73,10-15-2019,13:00:00,0.00,10.00,050,14.8,70,0.00,993.04,30.9,31.27,24.8
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1011.53,10-15-2019,13:00:00,8.50,9.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.0,72,0.00,1011.10,31.2,32.76,25.6
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1010.91,10-15-2019,13:00:00,0.00,11.00,000,0.0,64,0.00,1009.51,32.4,31.19,24.7
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1010.88,10-15-2019,13:00:00,1.00,8.00,000,0.0,64,0.00,1006.01,32.1,30.57,24.4
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1011.49,10-15-2019,13:00:00,0.30,12.00,120,3.7,57,0.00,1008.25,32.8,28.56,23.3
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1011.45,10-15-2019,13:00:00,0.00,10.00,020,7.4,58,0.00,1010.36,33.0,29.25,23.7
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1010.81,10-15-2019,13:00:00,0.20,10.00,120,5.6,58,0.00,1010.51,32.3,27.85,22.9
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1012.03,10-15-2019,13:00:00,0.01,10.00,100,7.4,51,0.00,1011.36,34.0,27.29,22.5
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1010.66,10-15-2019,13:00:00,0.00,10.00,150,3.7,55,0.00,1010.18,33.3,28.15,23.0
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1011.17,10-15-2019,13:00:00,0.01,10.00,090,14.8,57,0.00,1009.78,32.0,27.00,22.3
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1011.34,10-15-2019,13:00:00,0.00,10.00,060,22.2,66,0.00,1009.68,31.5,30.49,24.4
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1012.03,10-15-2019,13:00:00,0.00,10.00,240,3.7,63,0.00,1004.11,31.5,29.07,23.6
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1010.26,10-15-2019,13:00:00,0.00,8.00,090,7.4,60,0.00,1009.98,33.6,31.08,24.7
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1010.44,10-15-2019,13:00:00,8.90,10.00,000,0.0,60,0.00,1007.37,33.7,31.59,25.0
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1010.93,10-15-2019,13:00:00,14.40,8.00,330,5.6,66,0.00,1004.06,31.5,30.49,24.4
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1011.26,10-15-2019,13:00:00,0.00,8.00,000,0.0,59,0.00,1005.75,33.0,29.54,23.8
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,1011.64,10-15-2019,13:00:00,11.50,10.00,360,11.1,66,0.00,1002.43,31.8,30.81,24.5
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1012.17,10-15-2019,13:00:00,27.00,12.00,360,7.4,63,0.00,1010.92,31.4,29.15,23.6
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1011.03,10-15-2019,13:00:00,1.20,11.00,040,5.6,63,0.00,1010.61,32.1,30.28,24.2
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1011.03,10-15-2019,13:00:00,0.00,6.00,040,11.1,52,0.00,998.92,32.0,24.57,20.8
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1011.29,10-15-2019,13:00:00,0.00,8.00,020,3.7,68,0.00,1010.58,32.0,32.40,25.4
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1010.89,10-15-2019,13:00:00,0.00,10.00,160,11.1,56,0.00,1008.50,33.5,28.84,23.4
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1010.59,10-15-2019,13:00:00,0.00,10.00,200,11.1,63,0.00,1010.08,32.7,30.94,24.6
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1010.18,10-15-2019,13:00:00,0.00,12.00,280,3.7,58,0.00,1005.11,32.9,29.05,23.6
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1010.45,10-15-2019,13:00:00,0.00,9.00,350,3.7,61,0.00,1010.04,33.0,30.69,24.5
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1010.83,10-15-2019,13:00:00,0.00,8.00,150,5.6,68,0.00,1008.10,32.3,32.74,25.6
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1011.05,10-15-2019,13:00:00,0.00,10.00,050,14.8,61,0.00,1010.27,32.3,29.26,23.7
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1009.86,10-15-2019,13:00:00,3.60,10.00,310,5.6,67,0.00,1009.41,33.1,33.88,26.1
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1011.29,10-15-2019,13:00:00,7.00,8.00,000,0.0,84,1.10,1010.60,26.5,29.08,23.6
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1011.22,10-15-2019,13:00:00,10.80,8.00,050,7.4,83,0.60,1009.69,26.7,28.92,23.5
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1010.32,10-15-2019,13:00:00,0.00,10.00,260,5.6,64,0.00,1009.42,30.9,28.73,23.4
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1011.00,10-15-2019,13:00:00,9.20,10.00,080,14.8,79,0.00,1010.32,29.5,32.71,25.5
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1011.39,10-15-2019,13:00:00,0.90,8.00,000,0.0,81,0.01,1010.59,28.5,31.54,24.9
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1010.86,10-15-2019,13:00:00,12.00,10.00,000,0.0,91,2.00,1010.22,26.1,30.76,24.5
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1010.52,10-15-2019,13:00:00,8.70,10.00,320,11.1,83,6.50,1010.12,29.5,34.16,26.3
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1012.34,10-15-2019,13:00:00,8.20,8.00,070,5.6,72,0.00,1008.15,29.8,30.19,24.2
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1010.14,10-15-2019,13:00:00,0.00,12.00,000,0.0,65,0.00,1008.54,30.6,28.70,23.4
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1010.61,10-15-2019,13:00:00,0.10,10.00,090,9.3,68,0.00,1007.17,31.2,30.73,24.5
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1010.21,10-15-2019,13:00:00,5.80,10.00,320,3.7,70,0.00,1008.86,30.8,31.06,24.7
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1010.07,10-15-2019,13:00:00,2.30,10.00,000,0.0,75,1.50,1009.19,29.7,31.40,24.9
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1010.48,10-15-2019,13:00:00,0.00,10.00,080,7.4,65,0.00,1006.97,32.1,30.86,24.6
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1009.81,10-15-2019,13:00:00,28.20,10.00,120,7.4,59,0.00,1009.38,33.0,29.54,23.8
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1009.52,10-15-2019,13:00:00,0.00,10.00,040,11.1,58,0.00,1008.54,32.4,28.33,23.1
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1009.72,10-15-2019,13:00:00,0.01,10.00,090,9.3,67,0.00,1008.92,32.7,33.31,25.8
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1009.38,10-15-2019,13:00:00,0.00,12.00,070,9.3,60,0.00,1007.59,32.0,28.66,23.3
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1010.11,10-15-2019,13:00:00,11.30,10.00,060,11.1,81,0.10,1009.36,28.5,31.54,24.9
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1010.04,10-15-2019,13:00:00,14.20,10.00,300,7.4,85,7.20,1006.05,28.0,31.95,25.1
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1009.27,10-15-2019,13:00:00,0.00,10.00,000,0.0,56,0.00,1008.60,32.7,27.52,22.7
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1009.80,10-15-2019,13:00:00,0.20,12.00,050,5.6,76,0.00,1008.69,29.2,30.68,24.5
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1010.04,10-15-2019,13:00:00,5.80,9.00,350,3.7,82,5.80,1007.13,28.2,31.23,24.8
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1010.15,10-15-2019,13:00:00,8.70,11.00,000,0.0,84,8.70,1009.46,27.6,31.16,24.7
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1010.09,10-15-2019,13:00:00,8.50,10.00,000,0.0,66,0.30,1006.00,30.0,28.09,23.0
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1009.62,10-15-2019,13:00:00,0.00,10.00,050,9.3,75,0.00,1009.03,29.5,30.72,24.5
