WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,WindSpeed,StationPressure,RelativeHumidity,WindDirection,VaporPressure,Rainfall,MeanSeaLevelPressure,AirTemperature,Rainfall24Hr,DewPoint,LandVisibility
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,09-04-2019,10:00:00,5.6,985.01,87,190,30.16,0.00,1003.86,26.5,9.50,24.2,9.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,09-04-2019,10:00:00,0.0,956.08,84,000,27.29,1.00,1007.35,25.5,11.20,22.5,9.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,09-04-2019,10:00:00,5.6,1002.19,70,310,30.74,0.00,1006.10,30.5,0.00,24.5,10.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,09-04-2019,10:00:00,9.3,912.76,90,270,23.80,0.01,1007.77,22.0,3.70,20.3,6.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,09-04-2019,10:00:00,3.7,988.62,95,230,31.17,0.00,1004.64,25.6,47.60,24.7,8.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,09-04-2019,10:00:00,1.9,1002.91,75,250,30.80,0.00,1006.92,29.4,0.20,24.5,10.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,09-04-2019,10:00:00,7.4,996.98,74,270,30.32,0.00,1007.57,29.3,0.80,24.3,9.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,09-04-2019,10:00:00,3.7,1005.21,73,150,28.62,0.10,1007.12,28.7,1.70,23.3,9.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,09-04-2019,10:00:00,11.1,984.75,80,270,28.59,0.00,1005.58,27.1,9.00,23.3,10.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,09-04-2019,10:00:00,7.4,986.93,88,210,28.67,0.00,1004.64,25.4,42.60,23.3,10.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,09-04-2019,10:00:00,0.0,988.42,92,000,29.62,0.01,1004.64,25.2,46.80,23.9,8.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,09-04-2019,10:00:00,9.3,991.10,96,240,27.92,13.50,1005.27,23.5,127.20,22.9,4.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,09-04-2019,10:00:00,9.3,990.51,96,200,27.92,10.30,1005.49,23.5,126.00,22.9,5.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,09-04-2019,10:00:00,7.4,990.99,98,240,28.77,32.50,1005.80,23.7,153.50,23.4,4.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,09-04-2019,10:00:00,0.0,1003.27,72,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",30.50,0.00,1006.25,30.1,1.30,24.4,10.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,09-04-2019,10:00:00,0.0,998.35,75,000,30.80,0.00,1006.23,29.4,27.30,24.5,10.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,09-04-2019,10:00:00,9.3,1006.62,82,210,31.70,0.00,1007.73,28.3,1.40,25.0,8.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,09-04-2019,10:00:00,0.0,991.25,97,000,29.93,1.20,1006.04,24.5,92.70,24.1,8.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,09-04-2019,10:00:00,13.0,873.46,100,290,21.95,1.00,1008.91,19.0,35.60,19.0,.05
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,09-04-2019,10:00:00,13.0,1001.05,84,210,31.67,0.00,1006.91,28.0,6.00,25.0,10.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,09-04-2019,10:00:00,5.6,1006.99,79,230,30.70,0.00,1007.79,28.5,0.40,24.5,8.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,09-04-2019,10:00:00,11.1,1007.51,79,240,30.51,0.00,1007.95,28.4,28.90,24.4,10.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,09-04-2019,10:00:00,0.0,997.65,88,000,31.38,2.00,1008.97,27.0,17.80,24.8,4.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,09-04-2019,10:00:00,7.4,1006.84,79,220,30.51,0.01,1007.85,28.4,0.90,24.4,12.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,09-04-2019,10:00:00,7.4,1005.49,84,160,30.89,0.00,1007.31,27.6,7.40,24.6,8.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,09-04-2019,10:00:00,0.0,1007.35,88,000,31.38,0.30,1008.12,27.0,3.20,24.8,8.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,09-04-2019,10:00:00,16.7,1007.68,80,230,30.40,0.20,1008.38,28.2,10.00,24.3,9.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,09-04-2019,10:00:00,3.7,1007.19,88,260,33.37,0.90,1007.90,28.0,26.40,25.9,7.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,09-04-2019,10:00:00,11.1,985.20,78,280,28.43,0.00,1006.31,27.3,14.70,23.2,10.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,09-04-2019,10:00:00,9.3,989.30,92,220,28.72,3.80,1006.13,24.7,88.20,23.4,7.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,09-04-2019,10:00:00,9.3,989.48,92,180,29.36,2.80,1005.99,25.2,82.70,23.7,6.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,09-04-2019,10:00:00,0.0,984.59,91,000,30.57,0.40,1006.51,26.0,19.40,24.4,10.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,09-04-2019,10:00:00,25.9,963.61,74,230,26.15,0.00,1006.85,26.9,9.70,21.8,10.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,09-04-2019,10:00:00,5.6,985.24,84,180,28.18,0.20,1005.84,26.0,41.60,23.1,10.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,09-04-2019,10:00:00,14.8,985.96,94,240,29.42,0.00,1006.93,24.8,43.20,23.8,10.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,09-04-2019,10:00:00,7.4,1007.70,82,200,31.03,0.00,1008.13,28.1,2.40,24.7,10.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,09-04-2019,10:00:00,0.0,1006.08,93,000,33.06,0.30,1007.50,27.0,35.70,25.7,10.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,09-04-2019,10:00:00,0.0,1002.65,96,000,33.19,0.20,1007.59,26.5,65.10,25.8,7.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,09-04-2019,10:00:00,0.0,1004.60,81,000,31.34,0.00,1007.88,28.4,5.40,24.8,12.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,09-04-2019,10:00:00,0.0,1006.82,90,000,32.93,0.30,1007.92,27.5,2.70,25.7,10.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,09-04-2019,10:00:00,0.0,1008.01,80,000,30.40,0.00,1008.31,28.2,17.20,24.3,10.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,09-04-2019,10:00:00,3.7,1007.41,81,230,30.56,0.00,1008.10,28.0,5.20,24.4,8.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,09-04-2019,10:00:00,1.9,1007.31,84,260,30.70,0.10,1007.80,27.5,5.30,24.5,10.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,09-04-2019,10:00:00,11.1,1006.71,78,180,30.15,0.00,1008.11,28.5,0.60,24.2,10.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,09-04-2019,10:00:00,16.7,1006.45,76,220,30.88,0.00,1008.12,29.3,3.20,24.6,10.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,09-04-2019,10:00:00,0.0,1001.45,94,000,32.82,0.70,1009.48,26.6,7.00,25.6,5.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,09-04-2019,10:00:00,0.0,1007.84,80,000,30.40,0.00,1008.13,28.2,6.20,24.3,10.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,09-04-2019,10:00:00,7.4,1004.91,81,310,30.95,0.00,1008.03,28.2,10.00,24.6,10.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,09-04-2019,10:00:00,5.6,1001.44,85,270,31.25,0.60,1008.37,27.5,1.80,24.8,10.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,09-04-2019,10:00:00,9.3,1001.83,93,280,31.96,5.70,1007.44,26.3,39.30,25.1,7.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,09-04-2019,10:00:00,11.1,999.90,81,260,29.88,1.40,1009.21,27.5,10.40,24.0,10.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,09-04-2019,10:00:00,0.0,1007.60,84,000,32.67,0.00,1008.86,28.5,2.00,25.5,14.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,09-04-2019,10:00:00,0.0,1008.32,83,000,30.61,1.50,1008.75,27.6,4.20,24.4,11.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,09-04-2019,10:00:00,0.0,996.55,89,000,31.08,0.50,1008.84,26.7,3.80,24.7,8.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,09-04-2019,10:00:00,5.6,1007.87,82,180,32.02,0.10,1008.58,28.6,0.40,25.2,10.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,09-04-2019,10:00:00,7.4,1005.89,76,230,30.29,0.20,1008.31,29.0,1.20,24.3,10.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,09-04-2019,10:00:00,9.3,1008.04,80,270,31.98,0.00,1008.55,29.0,7.10,25.2,10.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,09-04-2019,10:00:00,0.0,1003.29,81,000,31.34,0.01,1008.43,28.4,1.20,24.8,10.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,09-04-2019,10:00:00,0.0,1008.33,96,000,32.20,11.70,1008.74,26.0,29.30,25.3,7.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,09-04-2019,10:00:00,7.4,1006.17,98,040,31.49,47.80,1008.96,25.2,70.20,24.9,8.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,09-04-2019,10:00:00,0.0,1008.81,88,000,30.43,2.50,1009.60,26.5,5.70,24.3,10.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,09-04-2019,10:00:00,5.6,1008.50,96,270,32.20,18.70,1008.96,26.0,153.20,25.3,5.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,09-04-2019,10:00:00,0.0,1010.24,97,000,28.17,21.60,1010.93,23.5,24.10,23.0,6.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,09-04-2019,10:00:00,0.0,1008.93,92,000,29.00,6.40,1010.48,25.0,6.60,23.5,7.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,09-04-2019,10:00:00,0.0,1010.38,96,000,28.53,22.20,1011.31,24.0,25.60,23.3,7.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,09-04-2019,10:00:00,0.0,1010.67,68,000,29.89,0.00,1011.36,30.5,0.00,24.0,10.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,09-04-2019,10:00:00,7.4,1009.81,74,220,32.17,0.00,1010.60,30.5,0.00,25.3,10.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,09-04-2019,10:00:00,0.0,1008.79,68,000,31.23,0.00,1009.42,31.3,0.00,24.8,10.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,09-04-2019,10:00:00,18.5,1009.05,64,230,30.77,0.00,1009.45,32.2,0.00,24.5,10.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,09-04-2019,10:00:00,16.7,1008.26,65,270,29.32,0.00,1012.43,31.2,0.00,23.7,10.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,09-04-2019,10:00:00,0.0,1008.76,77,000,31.36,0.00,1010.37,29.4,0.00,24.8,12.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,09-04-2019,10:00:00,0.0,1006.84,78,000,33.17,0.00,1010.29,30.0,0.00,25.8,12.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,09-04-2019,10:00:00,0.0,1008.60,65,000,30.00,0.00,1009.94,31.4,0.00,24.1,10.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,09-04-2019,10:00:00,18.5,1009.46,78,200,32.13,0.00,1010.34,29.5,0.00,25.2,10.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,09-04-2019,10:00:00,7.4,1006.91,82,270,33.04,0.00,1010.45,29.1,0.00,25.7,10.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,09-04-2019,10:00:00,11.1,1009.71,69,260,30.90,0.00,1010.14,31.0,7.00,24.6,10.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,09-04-2019,10:00:00,11.1,1008.83,75,260,32.13,0.00,1009.81,30.2,2.00,25.2,10.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,09-04-2019,10:00:00,14.8,1009.53,85,270,34.62,0.00,1010.34,29.3,0.00,26.5,10.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,09-04-2019,10:00:00,9.3,1008.36,78,260,32.75,0.00,1010.17,29.8,0.00,25.6,10.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,09-04-2019,10:00:00,5.6,1009.39,67,250,30.25,0.00,1010.14,31.1,0.00,24.2,9.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,09-04-2019,10:00:00,11.1,1006.37,75,220,32.01,0.00,1010.34,30.0,0.00,25.2,10.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,09-04-2019,10:00:00,0.0,1010.06,73,000,31.88,0.00,1010.73,30.5,0.00,25.1,10.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,09-04-2019,10:00:00,5.6,1009.91,75,180,33.81,0.00,1011.01,31.0,0.00,26.1,12.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,09-04-2019,10:00:00,9.3,1007.55,77,260,33.00,0.00,1010.45,30.2,0.00,25.7,12.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,09-04-2019,10:00:00,0.0,1009.03,73,000,31.48,0.00,1009.72,30.3,0.00,24.9,10.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,09-04-2019,10:00:00,3.7,1006.44,72,290,29.22,0.00,1010.54,29.3,2.00,23.7,5.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,09-04-2019,10:00:00,0.0,1009.86,81,000,29.60,0.00,1010.45,27.5,5.20,23.9,10.00
