WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,DewPoint,WindDirection,MeanSeaLevelPressure,WindSpeed,StationPressure,AirTemperature,Rainfall24Hr,LandVisibility,VaporPressure,Rainfall
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,97,08-20-2019,04:00:00,24.4,000,1003.91,0.0,974.16,25.0,0.00,12.00,30.58,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,89,08-20-2019,04:00:00,24.6,000,1005.27,0.0,997.97,26.5,0.90,8.00,30.97,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,94,08-20-2019,04:00:00,26.5,290,1003.49,3.7,983.72,27.6,2.20,4.00,34.56,2.20
48353,LOEI,เลย,เลย,17.45000,101.73333,90,08-20-2019,04:00:00,23.9,000,1004.15,0.0,975.50,25.7,0.00,12.00,29.74,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,87,08-20-2019,04:00:00,24.3,280,1004.04,3.7,983.92,26.6,0.00,12.00,30.34,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,92,08-20-2019,04:00:00,24.0,000,1004.45,0.0,982.69,25.5,11.20,10.00,29.91,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,89,08-20-2019,04:00:00,24.5,000,1003.65,0.0,984.21,26.5,0.01,10.00,30.70,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,89,08-20-2019,04:00:00,23.8,110,1004.87,3.7,988.10,25.7,0.00,10.00,29.48,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,96,08-20-2019,04:00:00,24.3,000,1004.93,0.0,987.45,25.0,0.01,9.00,30.32,0.01
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,92,08-20-2019,04:00:00,24.6,000,1003.32,0.0,977.57,26.0,0.00,10.00,30.84,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,83,08-20-2019,04:00:00,24.0,110,1004.69,9.3,998.92,27.2,0.00,10.00,29.85,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,90,08-20-2019,04:00:00,24.9,000,1004.32,0.0,998.14,26.8,0.00,10.00,31.55,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,91,08-20-2019,04:00:00,23.0,000,1006.31,0.0,989.75,24.5,0.90,10.00,28.11,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,94,08-20-2019,04:00:00,23.4,160,1005.61,3.7,983.13,24.4,8.20,10.00,28.71,0.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,76,08-20-2019,04:00:00,22.9,310,1005.85,3.7,991.51,27.5,0.00,6.00,28.00,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,80,08-20-2019,04:00:00,22.8,000,1005.16,0.0,988.79,26.6,0.00,8.00,27.69,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,93,08-20-2019,04:00:00,24.3,000,1005.28,0.0,1000.03,25.5,1.10,10.00,30.44,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,91,08-20-2019,04:00:00,23.1,000,1004.60,0.0,991.34,24.7,1.50,10.00,28.21,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,96,08-20-2019,04:00:00,25.0,000,1005.51,0.0,996.16,25.7,0.60,10.00,31.63,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,83,08-20-2019,04:00:00,22.6,230,1004.52,3.7,982.80,25.7,0.00,10.00,27.39,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,84,08-20-2019,04:00:00,23.1,230,1004.74,5.6,987.23,26.0,0.00,10.00,28.18,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,95,08-20-2019,04:00:00,24.7,000,1003.66,0.0,987.81,25.6,6.00,10.00,31.17,0.50
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,84,08-20-2019,04:00:00,22.5,230,1003.64,9.3,984.72,25.5,0.00,8.00,27.29,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,94,08-20-2019,04:00:00,22.1,000,1006.31,0.0,954.71,23.2,2.70,5.00,26.66,0.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,97,08-20-2019,04:00:00,24.3,090,1005.49,7.4,1001.51,24.7,15.00,5.00,30.30,0.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,98,08-20-2019,04:00:00,20.3,230,1006.85,7.4,911.50,20.6,1.70,.20,23.78,0.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,85,08-20-2019,04:00:00,23.4,000,1004.54,0.0,988.55,26.0,0.00,7.00,28.70,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,94,08-20-2019,04:00:00,24.7,180,1005.60,5.6,1001.55,25.7,13.50,10.00,31.08,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,96,08-20-2019,04:00:00,23.8,000,1006.94,0.0,996.18,24.5,45.90,7.00,29.41,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,96,08-20-2019,04:00:00,24.3,150,1007.55,5.6,1005.60,25.0,30.10,5.00,30.32,0.20
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,93,08-20-2019,04:00:00,23.1,000,1005.72,0.0,984.70,24.3,9.80,10.00,28.28,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,81,08-20-2019,04:00:00,22.3,240,1004.32,9.3,986.64,25.9,0.01,10.00,26.97,0.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,81,08-20-2019,04:00:00,22.4,200,1004.29,5.6,988.12,26.0,0.00,10.00,27.14,0.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,93,08-20-2019,04:00:00,24.1,000,1005.30,0.0,991.21,25.3,21.40,9.00,30.07,15.50
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,95,08-20-2019,04:00:00,23.6,000,1005.30,0.0,990.38,24.5,14.50,8.00,29.15,10.50
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,93,08-20-2019,04:00:00,24.6,000,1006.61,0.0,991.89,25.8,2.50,6.00,31.00,0.30
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,94,08-20-2019,04:00:00,24.9,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",1005.58,0.0,1002.56,25.9,39.50,10.00,31.46,0.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,94,08-20-2019,04:00:00,23.2,000,1006.06,0.0,998.04,24.2,6.30,7.00,28.36,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,93,08-20-2019,04:00:00,24.4,000,1005.26,0.0,1004.15,25.7,0.50,7.00,30.54,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,92,08-20-2019,04:00:00,24.6,000,1006.21,0.0,991.49,26.0,0.00,8.00,30.84,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,99,08-20-2019,04:00:00,19.4,120,1008.29,7.4,873.17,19.6,16.80,.10,22.57,0.20
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,96,08-20-2019,04:00:00,23.8,000,1005.95,0.0,1000.03,24.5,16.30,10.00,29.41,0.01
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,90,08-20-2019,04:00:00,25.0,240,1008.57,3.7,1007.76,26.7,0.60,8.00,31.63,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,89,08-20-2019,04:00:00,25.4,000,1006.01,0.0,1005.57,27.4,19.50,10.00,32.45,3.80
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,96,08-20-2019,04:00:00,24.3,000,1007.49,0.0,996.11,25.0,4.00,3.00,30.32,0.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,83,08-20-2019,04:00:00,24.0,210,1005.94,3.7,1004.93,27.2,0.00,10.00,29.85,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,97,08-20-2019,04:00:00,24.9,180,1006.05,3.7,1004.22,25.5,11.40,7.00,31.52,0.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,83,08-20-2019,04:00:00,23.4,000,1005.79,0.0,1005.02,26.5,0.00,5.00,28.82,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,92,08-20-2019,04:00:00,24.9,210,1006.15,5.6,1005.45,26.3,2.20,10.00,31.41,2.20
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,91,08-20-2019,04:00:00,25.2,000,1005.95,0.0,1005.24,26.8,0.01,7.00,32.10,0.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,87,08-20-2019,04:00:00,23.0,250,1005.65,3.7,984.42,25.4,0.00,10.00,28.15,0.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,84,08-20-2019,04:00:00,22.4,000,1005.58,0.0,988.79,25.2,0.20,6.00,27.03,0.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,88,08-20-2019,04:00:00,22.8,230,1006.18,3.7,989.65,25.0,0.00,6.00,27.70,0.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,88,08-20-2019,04:00:00,22.8,000,1006.01,0.0,984.03,25.0,0.80,10.00,27.70,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,94,08-20-2019,04:00:00,22.2,000,1006.38,0.0,962.65,23.3,14.80,10.00,26.83,1.20
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,86,08-20-2019,04:00:00,22.5,210,1005.37,7.4,984.71,25.0,0.00,8.00,27.19,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,88,08-20-2019,04:00:00,22.7,240,1006.67,11.1,985.71,24.8,0.00,8.00,27.61,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,78,08-20-2019,04:00:00,23.8,270,1006.24,7.4,1005.81,28.0,0.00,10.00,29.46,0.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,94,08-20-2019,04:00:00,25.2,000,1005.89,0.0,1004.47,26.2,0.60,6.00,32.04,0.60
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,95,08-20-2019,04:00:00,24.5,000,1005.92,0.0,1000.96,25.4,0.00,7.00,30.79,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,85,08-20-2019,04:00:00,23.8,000,1006.26,0.0,1002.97,26.6,0.40,10.00,29.54,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,89,08-20-2019,04:00:00,24.4,000,1006.01,0.0,1004.91,26.4,0.00,10.00,30.51,0.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,78,08-20-2019,04:00:00,24.4,000,1006.08,0.0,1005.78,28.7,0.01,10.00,30.54,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,82,08-20-2019,04:00:00,24.6,000,1006.57,0.0,1006.08,28.0,0.00,10.00,30.84,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,79,08-20-2019,04:00:00,24.1,250,1006.02,11.1,1004.61,28.0,4.60,10.00,30.01,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,92,08-20-2019,04:00:00,24.6,000,1007.99,0.0,999.95,26.0,0.20,10.00,30.84,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,93,08-20-2019,04:00:00,25.1,000,1005.79,0.0,1005.51,26.4,9.30,10.00,31.88,7.30
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,80,08-20-2019,04:00:00,24.6,250,1005.56,5.6,1002.45,28.5,0.00,10.00,30.98,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,78,08-20-2019,04:00:00,24.2,270,1006.21,5.6,999.31,28.5,1.50,10.00,30.15,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,92,08-20-2019,04:00:00,24.0,000,1006.61,0.0,1000.98,25.5,0.50,8.00,29.91,0.01
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,84,08-20-2019,04:00:00,23.7,230,1007.51,3.7,1006.25,26.6,0.00,10.00,29.27,0.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,80,08-20-2019,04:00:00,23.7,000,1006.22,0.0,1005.79,27.5,0.00,11.00,29.33,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,90,08-20-2019,04:00:00,23.0,000,1007.50,0.0,995.14,24.8,0.00,8.00,28.13,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,83,08-20-2019,04:00:00,23.9,000,1007.02,0.0,1006.31,27.1,0.00,10.00,29.66,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,70,08-20-2019,04:00:00,23.1,250,1007.45,5.6,1005.03,29.1,0.00,10.00,28.29,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,83,08-20-2019,04:00:00,25.8,000,1006.24,0.0,1005.73,29.0,0.00,10.00,33.12,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,89,08-20-2019,04:00:00,25.1,000,1006.31,0.0,1001.17,27.1,7.50,8.00,31.85,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,94,08-20-2019,04:00:00,26.0,000,1006.90,0.0,1006.48,27.0,0.70,7.00,33.62,0.20
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,97,08-20-2019,04:00:00,25.4,000,1007.42,0.0,1004.64,26.0,18.30,8.00,32.48,18.30
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,89,08-20-2019,04:00:00,24.0,000,1007.81,0.0,1007.02,26.0,0.30,10.00,29.76,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,89,08-20-2019,04:00:00,23.6,080,1007.16,3.7,1006.70,25.5,0.00,7.00,29.11,0.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,90,08-20-2019,04:00:00,24.5,000,1008.39,0.0,1007.71,26.2,0.00,10.00,30.67,0.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,92,08-20-2019,04:00:00,23.9,000,1008.54,0.0,1007.00,25.4,0.00,8.00,29.72,0.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,92,08-20-2019,04:00:00,23.6,000,1009.98,0.0,1009.06,24.9,0.00,10.00,29.08,0.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,76,08-20-2019,04:00:00,23.3,000,1008.48,0.0,1007.79,27.8,0.00,10.00,28.55,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,95,08-20-2019,04:00:00,22.1,000,1009.02,0.0,1008.21,23.0,0.00,8.00,26.58,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,90,08-20-2019,04:00:00,23.5,000,1008.35,0.0,1007.71,25.3,0.00,10.00,29.01,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,92,08-20-2019,04:00:00,23.5,000,1008.73,0.0,1008.33,25.0,0.00,10.00,29.00,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,97,08-20-2019,04:00:00,23.2,000,1010.99,0.0,1006.71,23.6,0.00,5.00,28.34,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,96,08-20-2019,04:00:00,24.3,000,1007.78,0.0,1006.16,25.0,0.00,6.00,30.32,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,96,08-20-2019,04:00:00,23.3,000,1009.73,0.0,1006.21,24.0,0.00,6.00,28.53,0.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,93,08-20-2019,04:00:00,23.8,000,1008.50,0.0,1007.14,25.0,0.00,8.00,29.52,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,92,08-20-2019,04:00:00,23.1,000,1009.08,0.0,1008.19,24.4,0.00,10.00,28.20,0.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,96,08-20-2019,04:00:00,22.5,000,1009.17,0.0,1005.56,23.3,0.00,10.00,27.33,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,89,08-20-2019,04:00:00,24.1,000,1009.07,0.0,1008.63,26.1,0.00,10.00,29.95,0.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,92,08-20-2019,04:00:00,23.3,000,1008.00,0.0,1007.00,24.8,0.00,10.00,28.64,0.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,92,08-20-2019,04:00:00,23.7,260,1008.75,5.6,1007.93,25.0,0.00,10.00,29.26,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,95,08-20-2019,04:00:00,23.9,000,1009.42,0.0,1007.58,24.8,0.00,10.00,29.69,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,85,08-20-2019,04:00:00,24.1,130,1009.08,1.9,1008.32,26.9,0.00,7.00,30.10,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,97,08-20-2019,04:00:00,24.9,110,1009.45,5.6,1005.43,25.3,0.00,5.00,31.41,0.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,92,08-20-2019,04:00:00,24.6,000,1009.76,0.0,1009.08,26.0,0.00,10.00,30.84,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,96,08-20-2019,04:00:00,24.7,000,1009.42,0.0,1008.29,25.4,0.00,10.00,31.06,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,95,08-20-2019,04:00:00,24.1,000,1009.52,0.0,1006.57,25.0,0.00,10.00,30.05,0.00
