WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,AirTemperature,VaporPressure,LandVisibility,StationPressure,RelativeHumidity,Rainfall24Hr,DewPoint,WindDirection,Rainfall,MeanSeaLevelPressure
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,3.7,08-19-2019,16:00:00,28.2,34.65,12.00,983.05,91,11.20,26.5,150,11.20,1004.62
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,3.7,08-19-2019,16:00:00,29.8,35.10,15.00,984.22,84,0.40,26.7,220,0.01,1003.45
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,7.4,08-19-2019,16:00:00,33.0,31.28,13.00,987.32,62,7.90,24.8,240,0.00,1003.68
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,5.6,08-19-2019,16:00:00,32.8,29.99,12.00,986.59,60,1.40,24.1,270,0.00,1003.60
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,7.4,08-19-2019,16:00:00,32.6,32.49,13.00,977.13,66,0.00,25.4,280,0.00,1002.31
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,9.3,08-19-2019,16:00:00,32.5,31.40,10.00,998.58,64,0.00,24.9,240,0.00,1004.25
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,5.6,08-19-2019,16:00:00,32.0,32.10,12.00,998.53,68,0.00,25.2,300,0.00,1004.61
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,5.6,08-19-2019,16:00:00,30.3,30.91,10.00,989.36,72,1.50,24.6,180,0.30,1005.60
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,5.6,08-19-2019,16:00:00,29.5,29.33,10.00,982.74,71,8.50,23.7,180,0.00,1004.83
48376,TAK,ตาก,ตาก,16.87833,99.14333,11.1,08-19-2019,16:00:00,31.8,28.82,9.00,991.09,61,0.60,23.4,260,0.00,1005.22
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.0,08-19-2019,16:00:00,34.0,28.43,12.00,988.27,53,0.00,23.2,000,0.00,1004.23
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.0,08-19-2019,16:00:00,29.5,35.94,10.00,1000.39,87,1.50,27.1,000,1.00,1005.56
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,3.7,08-19-2019,16:00:00,31.2,32.18,12.00,991.07,71,1.70,25.3,030,0.00,1004.05
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,5.6,08-19-2019,16:00:00,29.8,31.89,9.00,996.39,76,0.60,25.1,200,0.10,1005.61
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,7.4,08-19-2019,16:00:00,31.7,30.90,12.00,982.39,66,0.01,24.6,310,0.00,1003.67
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.0,08-19-2019,16:00:00,35.7,30.53,10.00,986.87,52,0.00,24.4,000,0.00,1003.83
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,5.6,08-19-2019,16:00:00,32.8,32.33,12.00,987.51,65,0.00,25.3,280,0.00,1002.98
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.0,08-19-2019,16:00:00,34.8,27.49,10.00,984.16,49,0.00,22.6,000,0.00,1002.49
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.0,08-19-2019,16:00:00,28.6,26.83,11.00,957.32,69,1.20,22.2,000,0.00,1008.12
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,3.7,08-19-2019,16:00:00,33.5,32.65,10.00,1001.17,63,0.10,25.5,260,0.00,1005.03
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,5.6,08-19-2019,16:00:00,23.3,25.60,5.00,911.62,90,1.90,21.5,200,0.01,1006.08
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,5.6,08-19-2019,16:00:00,34.0,34.05,10.00,987.95,64,3.70,26.2,240,0.00,1003.52
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,3.7,08-19-2019,16:00:00,33.8,32.10,10.00,1001.37,61,4.80,25.2,300,0.00,1005.31
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.0,08-19-2019,16:00:00,33.0,30.69,10.00,995.58,61,0.00,24.5,000,0.00,1006.04
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1.9,08-19-2019,16:00:00,33.6,30.20,9.00,1003.58,58,0.00,24.2,100,0.00,1005.47
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,9.3,08-19-2019,16:00:00,32.8,28.00,10.00,983.50,56,0.00,23.0,270,0.00,1003.90
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,18.5,08-19-2019,16:00:00,33.0,30.69,10.00,986.01,61,0.00,24.5,200,0.00,1003.26
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,7.4,08-19-2019,16:00:00,34.5,29.46,10.00,987.61,54,0.00,23.8,230,0.00,1003.32
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,9.3,08-19-2019,16:00:00,34.4,29.54,10.00,990.68,54,0.00,23.8,280,0.00,1004.34
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.0,08-19-2019,16:00:00,33.5,33.25,10.00,990.32,64,0.00,25.8,000,0.00,1004.81
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,5.6,08-19-2019,16:00:00,33.8,31.50,10.00,991.03,60,0.00,24.9,310,0.00,1005.36
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.0,08-19-2019,16:00:00,34.8,32.78,10.00,1002.08,59,0.00,25.6,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.00,1005.01
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,5.6,08-19-2019,16:00:00,33.4,30.37,10.00,997.05,59,0.01,24.3,260,0.00,1004.82
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,5.6,08-19-2019,16:00:00,33.0,30.69,8.00,1004.15,61,0.00,24.5,230,0.00,1005.23
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.0,08-19-2019,16:00:00,35.2,30.65,8.00,990.50,54,0.00,24.4,000,0.00,1004.76
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,7.4,08-19-2019,16:00:00,23.4,24.07,8.00,872.83,84,0.01,20.5,270,0.00,1006.07
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,5.6,08-19-2019,16:00:00,33.0,32.16,10.00,999.26,64,0.00,25.3,230,0.00,1005.01
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,13.0,08-19-2019,16:00:00,33.5,30.28,10.00,1005.07,59,0.00,24.2,270,0.00,1005.86
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,9.3,08-19-2019,16:00:00,32.0,28.66,10.00,1005.90,60,0.00,23.3,230,0.00,1006.34
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.0,08-19-2019,16:00:00,28.0,31.11,5.00,996.33,82,1.80,24.7,000,0.00,1007.60
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,3.7,08-19-2019,16:00:00,34.4,31.01,12.00,1004.62,57,0.00,24.6,270,0.00,1005.61
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,3.7,08-19-2019,16:00:00,33.5,30.28,8.00,1003.76,59,0.00,24.2,190,0.00,1005.54
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.0,08-19-2019,16:00:00,33.4,27.51,8.00,1005.69,53,0.00,22.7,000,0.00,1006.44
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,14.8,08-19-2019,16:00:00,32.8,29.13,10.00,1005.54,59,0.00,23.6,180,0.00,1006.23
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,3.7,08-19-2019,16:00:00,33.7,32.18,10.00,1005.14,62,0.90,25.3,300,0.00,1005.83
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,9.3,08-19-2019,16:00:00,33.6,26.78,10.00,983.96,51,0.00,22.2,290,0.00,1004.61
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.0,08-19-2019,16:00:00,33.6,28.76,13.00,988.35,55,2.90,23.4,000,0.00,1004.67
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,3.7,08-19-2019,16:00:00,33.6,31.08,14.00,988.97,60,4.30,24.7,270,0.00,1005.01
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.0,08-19-2019,16:00:00,33.6,26.51,10.00,983.46,51,0.01,22.0,000,0.00,1004.80
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,9.3,08-19-2019,16:00:00,29.6,27.88,10.00,962.85,67,0.01,22.9,240,0.00,1005.67
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,5.6,08-19-2019,16:00:00,35.5,27.19,12.00,983.97,47,0.40,22.5,290,0.00,1003.91
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,9.3,08-19-2019,16:00:00,34.3,32.29,10.00,985.77,60,0.00,25.3,270,0.00,1006.08
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,13.0,08-19-2019,16:00:00,31.3,31.51,10.00,1005.99,69,0.00,24.9,160,0.00,1006.42
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,5.6,08-19-2019,16:00:00,33.0,31.28,11.00,1004.53,62,0.00,24.8,260,0.00,1005.92
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.0,08-19-2019,16:00:00,34.1,32.75,10.00,1000.47,61,0.00,25.6,000,0.00,1005.28
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,9.3,08-19-2019,16:00:00,33.4,29.21,12.00,1003.14,57,0.01,23.6,230,0.00,1006.36
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,3.7,08-19-2019,16:00:00,34.5,30.93,10.00,1004.91,57,0.00,24.6,260,0.00,1005.98
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,9.3,08-19-2019,16:00:00,34.0,31.34,10.00,1005.63,59,0.00,24.8,210,0.00,1005.93
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,7.4,08-19-2019,16:00:00,34.0,31.64,12.00,1005.20,59,0.00,25.0,210,0.00,1005.87
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,3.7,08-19-2019,16:00:00,34.2,33.58,10.00,1005.12,62,0.00,26.0,140,0.00,1005.59
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,14.8,08-19-2019,16:00:00,32.3,30.69,10.00,1004.72,63,0.00,24.5,320,0.00,1006.11
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,18.5,08-19-2019,16:00:00,30.5,33.34,12.00,1004.70,76,0.00,25.9,190,0.00,1006.36
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.0,08-19-2019,16:00:00,30.0,29.19,10.00,999.57,69,0.00,23.6,000,0.00,1007.50
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,3.7,08-19-2019,16:00:00,34.2,30.29,10.00,1005.67,56,0.00,24.3,270,0.00,1005.95
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.0,08-19-2019,16:00:00,31.0,28.65,12.00,1003.57,64,0.00,23.3,000,0.00,1006.66
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,9.3,08-19-2019,16:00:00,32.2,28.78,10.00,1000.29,60,0.00,23.4,240,0.00,1007.11
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.0,08-19-2019,16:00:00,34.7,32.26,8.00,999.86,58,0.00,25.3,000,0.00,1005.31
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,14.8,08-19-2019,16:00:00,32.0,28.66,12.00,997.05,60,0.00,23.3,240,0.00,1006.20
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,7.4,08-19-2019,16:00:00,33.0,29.54,15.00,1006.08,59,0.00,23.8,280,0.00,1007.32
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,14.8,08-19-2019,16:00:00,33.8,33.61,11.00,1005.93,64,1.10,26.0,150,0.00,1006.35
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.0,08-19-2019,16:00:00,34.2,28.26,9.00,994.07,53,0.00,23.1,000,0.00,1006.03
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,13.0,08-19-2019,16:00:00,31.3,34.16,12.00,1005.87,75,0.00,26.3,130,0.00,1006.57
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,14.8,08-19-2019,16:00:00,34.2,27.98,10.00,1005.51,52,0.00,22.9,220,0.00,1007.89
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,14.8,08-19-2019,16:00:00,31.5,32.81,12.00,1006.83,71,0.00,25.6,250,0.00,1007.34
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,5.6,08-19-2019,16:00:00,31.9,29.02,16.00,1001.49,61,0.00,23.5,200,0.00,1006.56
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.0,08-19-2019,16:00:00,31.8,29.96,10.00,1006.73,64,0.00,24.1,000,0.00,1007.14
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.0,08-19-2019,16:00:00,31.5,31.64,8.00,1004.84,68,0.00,25.0,000,0.00,1007.57
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.0,08-19-2019,16:00:00,33.0,29.25,10.00,1006.29,58,0.00,23.7,000,0.00,1007.06
48501,TRAD,ตราด,ตราด,11.76667,102.88333,7.4,08-19-2019,16:00:00,31.0,33.81,10.00,1006.90,75,0.00,26.1,310,0.00,1007.35
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.0,08-19-2019,16:00:00,32.6,29.87,10.00,1006.51,61,0.00,24.0,000,0.00,1007.18
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,3.7,08-19-2019,16:00:00,33.6,28.76,9.00,1005.51,55,0.00,23.4,270,0.00,1007.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,9.3,08-19-2019,16:00:00,31.6,28.71,10.00,1008.11,62,0.00,23.4,250,0.00,1009.02
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,5.6,08-19-2019,16:00:00,35.4,27.28,13.00,1006.69,47,0.00,22.5,240,0.00,1007.36
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,7.4,08-19-2019,16:00:00,34.7,30.47,10.00,1006.71,55,0.00,24.4,240,0.00,1007.49
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,7.4,08-19-2019,16:00:00,32.3,27.02,10.00,1006.56,56,0.00,22.4,130,0.00,1007.18
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,7.4,08-19-2019,16:00:00,33.8,33.00,10.00,1006.63,63,0.00,25.7,040,0.00,1007.03
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,5.6,08-19-2019,16:00:00,34.0,24.26,7.00,1004.72,46,0.00,20.6,230,0.00,1008.84
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,5.6,08-19-2019,16:00:00,33.5,26.87,10.00,1005.98,52,0.00,22.3,200,0.00,1007.56
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,7.4,08-19-2019,16:00:00,33.2,28.24,10.00,1004.69,56,0.00,23.1,270,0.00,1008.10
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,16.7,08-19-2019,16:00:00,34.8,26.36,12.00,1005.41,47,0.00,22.0,300,0.00,1006.73
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,7.4,08-19-2019,16:00:00,31.0,28.09,12.00,1006.85,63,0.00,23.0,230,0.00,1007.72
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,11.1,08-19-2019,16:00:00,31.7,28.07,10.00,1004.37,60,0.00,23.0,240,0.00,1007.87
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,7.4,08-19-2019,16:00:00,34.3,27.61,10.00,1007.77,51,0.00,22.7,260,0.00,1008.20
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,9.3,08-19-2019,16:00:00,31.5,29.92,10.00,1007.65,65,0.00,24.0,290,0.00,1008.63
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,13.0,08-19-2019,16:00:00,31.8,32.86,10.00,1008.54,70,0.00,25.6,260,0.00,1009.34
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,18.5,08-19-2019,16:00:00,33.0,28.40,10.00,1006.34,56,0.00,23.2,210,0.00,1008.12
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,9.3,08-19-2019,16:00:00,34.0,31.34,12.00,1006.37,59,2.80,24.8,050,0.00,1007.11
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,14.8,08-19-2019,16:00:00,32.5,27.13,10.00,1003.51,55,13.20,22.4,230,0.00,1007.44
48570,SATUN,สตูล,สตูล,6.65000,100.08333,5.6,08-19-2019,16:00:00,32.7,30.65,10.00,1007.51,62,0.00,24.5,220,0.00,1008.18
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,13.0,08-19-2019,16:00:00,34.2,27.98,12.00,1006.61,52,11.00,22.9,190,0.00,1007.70
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,11.1,08-19-2019,16:00:00,33.6,30.20,12.00,1004.90,58,27.10,24.2,250,0.00,1007.75
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,9.3,08-19-2019,16:00:00,33.8,33.61,10.00,1005.53,64,0.00,26.0,310,0.00,1006.20
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,3.7,08-19-2019,16:00:00,35.0,26.19,10.00,1003.06,47,0.00,21.9,270,0.00,1007.07
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,13.0,08-19-2019,16:00:00,32.2,28.22,12.00,1007.77,59,0.00,23.1,070,0.00,1008.34
