WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,RelativeHumidity,Rainfall,VaporPressure,StationPressure,WindDirection,DewPoint,AirTemperature,MeanSeaLevelPressure,Rainfall24Hr,LandVisibility
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.0,09-27-2019,01:00:00,92,0.00,29.99,981.49,000,24.1,25.4,1015.41,0.00,10.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.0,09-27-2019,01:00:00,92,0.00,29.00,996.30,000,23.5,25.0,1015.05,0.00,4.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.0,09-27-2019,01:00:00,89,0.00,27.87,992.45,000,22.9,24.8,1015.59,0.00,10.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.0,09-27-2019,01:00:00,93,0.01,26.41,985.60,000,22.0,23.2,1016.07,0.01,7.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.0,09-27-2019,01:00:00,94,0.00,29.25,979.01,000,23.7,24.7,1014.96,0.00,7.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.0,09-27-2019,01:00:00,96,0.00,25.45,984.69,000,21.4,22.0,1015.07,0.00,1.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.0,09-27-2019,01:00:00,84,0.00,28.18,1006.66,000,23.1,26.0,1014.04,0.00,8.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.0,09-27-2019,01:00:00,83,0.00,29.00,995.31,000,23.5,26.6,1015.39,0.00,5.00
48353,LOEI,เลย,เลย,17.45000,101.73333,0.0,09-27-2019,01:00:00,90,0.00,25.52,986.25,000,21.4,23.1,1015.48,0.00,4.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,5.6,09-27-2019,01:00:00,73,0.00,25.20,994.84,100,21.2,26.5,1015.19,0.00,6.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.0,09-27-2019,01:00:00,87,0.00,26.01,994.31,000,21.7,24.0,1016.44,0.00,6.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,3.7,09-27-2019,01:00:00,79,0.00,24.86,995.38,120,21.0,24.8,1015.15,0.00,10.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.0,09-27-2019,01:00:00,72,0.00,22.07,998.55,000,19.1,24.4,1015.58,0.00,10.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.0,09-27-2019,01:00:00,80,0.00,23.50,998.06,000,20.1,23.8,1015.80,0.00,10.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,3.7,09-27-2019,01:00:00,77,0.00,26.47,987.98,140,22.0,26.5,1013.96,0.00,8.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.0,09-27-2019,01:00:00,91,0.00,31.71,1007.43,000,25.0,26.6,1013.26,0.00,6.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.0,09-27-2019,01:00:00,92,0.00,31.79,1007.16,000,25.1,26.5,1013.40,0.00,6.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.0,09-27-2019,01:00:00,82,0.00,26.27,998.89,000,21.9,25.2,1015.57,0.00,10.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.0,09-27-2019,01:00:00,92,0.00,29.00,989.46,000,23.5,25.0,1012.03,0.00,8.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.0,09-27-2019,01:00:00,92,0.00,30.28,1000.98,000,24.2,25.7,1015.55,0.00,5.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,3.7,09-27-2019,01:00:00,89,0.00,30.89,1008.47,020,24.6,26.6,1013.74,0.00,10.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.0,09-27-2019,01:00:00,85,0.00,27.81,999.99,000,22.8,25.5,1013.33,0.00,10.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.0,09-27-2019,01:00:00,90,0.00,30.86,1004.90,000,24.6,26.3,1014.31,0.00,6.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,14.8,09-27-2019,01:00:00,74,0.00,25.37,992.75,100,21.3,26.3,1014.65,0.00,7.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.0,09-27-2019,01:00:00,80,0.00,26.54,997.91,000,22.1,25.8,1015.62,0.00,10.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,3.7,09-27-2019,01:00:00,76,0.00,23.96,998.85,070,20.4,25.0,1014.91,0.00,10.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1.9,09-27-2019,01:00:00,88,0.00,27.96,994.89,050,22.9,25.0,1014.03,0.00,8.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.0,09-27-2019,01:00:00,89,0.00,22.67,962.56,000,19.5,21.4,1014.91,0.00,5.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,3.7,09-27-2019,01:00:00,89,0.00,33.05,1009.78,080,25.7,27.7,1013.76,0.00,3.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.0,09-27-2019,01:00:00,95,0.00,21.41,919.79,000,18.6,19.4,1016.42,0.00,2.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.0,09-27-2019,01:00:00,83,0.00,26.43,998.71,000,22.0,25.0,1014.93,0.00,8.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.0,09-27-2019,01:00:00,92,0.00,32.77,1010.06,000,25.6,27.0,1014.12,0.00,6.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.0,09-27-2019,01:00:00,84,0.00,27.29,1004.14,000,22.5,25.5,1014.95,0.00,7.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.0,09-27-2019,01:00:00,82,0.00,29.39,1012.50,000,23.8,27.1,1014.44,0.00,6.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.0,09-27-2019,01:00:00,83,0.00,27.21,993.27,000,22.5,25.6,1014.38,0.00,8.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.0,09-27-2019,01:00:00,80,0.00,25.19,996.64,000,21.2,25.0,1014.55,0.00,10.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.0,09-27-2019,01:00:00,80,0.00,26.02,997.83,000,21.7,25.5,1014.18,0.00,10.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,7.4,09-27-2019,01:00:00,73,0.00,24.28,999.74,050,20.6,25.8,1013.92,0.00,10.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,3.7,09-27-2019,01:00:00,75,0.00,25.03,999.41,010,21.1,25.8,1014.40,0.00,10.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,9.3,09-27-2019,01:00:00,81,0.00,27.14,999.51,050,22.4,26.0,1014.33,0.00,8.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.0,09-27-2019,01:00:00,89,0.00,32.45,1010.56,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",25.4,27.4,1013.59,0.00,8.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.0,09-27-2019,01:00:00,84,0.00,28.90,1006.10,000,23.5,26.4,1014.12,0.00,7.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,11.1,09-27-2019,01:00:00,86,0.00,31.33,1012.27,050,24.8,27.4,1013.38,0.00,6.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.0,09-27-2019,01:00:00,84,0.00,28.18,999.32,000,23.1,26.0,1014.16,0.00,8.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1.9,09-27-2019,01:00:00,94,0.00,21.19,879.56,080,18.4,19.4,1015.77,0.00,{'@attributes': {'Unit': 'km'}}
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.0,09-27-2019,01:00:00,91,0.00,29.46,1008.26,000,23.8,25.4,1014.21,0.00,10.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.0,09-27-2019,01:00:00,85,0.00,31.95,1012.72,000,25.1,28.0,1013.52,0.00,8.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.0,09-27-2019,01:00:00,73,0.00,28.62,1011.57,000,23.3,28.7,1012.02,0.00,10.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.0,09-27-2019,01:00:00,94,0.00,28.36,1003.33,000,23.2,24.2,1014.82,0.00,4.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.0,09-27-2019,01:00:00,83,0.00,30.81,1012.68,000,24.5,27.7,1013.69,0.00,7.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.0,09-27-2019,01:00:00,80,0.00,28.59,1011.76,000,23.3,27.1,1013.60,0.00,7.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.0,09-27-2019,01:00:00,85,0.00,29.35,1011.90,000,23.7,26.5,1012.67,0.00,6.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,9.3,09-27-2019,01:00:00,73,0.00,30.16,1012.68,080,24.2,29.5,1013.38,0.00,9.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,5.6,09-27-2019,01:00:00,72,0.00,29.02,1012.46,090,23.5,29.2,1013.16,0.00,7.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.0,09-27-2019,01:00:00,89,0.00,30.51,993.21,000,24.4,26.4,1014.56,0.00,8.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,5.6,09-27-2019,01:00:00,76,0.00,26.39,997.16,040,22.0,26.6,1014.01,0.00,7.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.0,09-27-2019,01:00:00,81,0.00,27.05,997.98,000,22.4,25.8,1014.60,0.00,6.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.0,09-27-2019,01:00:00,90,0.00,30.30,992.33,000,24.3,26.0,1014.42,0.00,8.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,11.1,09-27-2019,01:00:00,81,0.00,26.02,970.74,100,21.7,25.2,1014.56,0.00,8.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,7.4,09-27-2019,01:00:00,92,0.00,30.84,993.20,020,24.6,26.0,1013.97,0.00,8.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,5.6,09-27-2019,01:00:00,98,0.00,29.30,994.82,040,23.7,24.0,1016.03,0.00,6.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,7.4,09-27-2019,01:00:00,87,0.00,32.28,1012.82,010,25.3,27.6,1013.25,13.00,10.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.0,09-27-2019,01:00:00,84,0.00,30.97,1011.50,000,24.6,27.5,1012.93,0.00,6.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.0,09-27-2019,01:00:00,96,0.00,32.40,1008.49,000,25.4,26.1,1013.46,0.00,7.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.0,09-27-2019,01:00:00,82,0.00,30.72,1010.40,000,24.5,27.8,1013.70,0.00,7.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.0,09-27-2019,01:00:00,94,0.00,32.63,1012.35,000,25.5,26.5,1013.46,0.00,10.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,5.6,09-27-2019,01:00:00,73,0.01,30.16,1013.14,080,24.2,29.5,1013.44,0.01,10.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.0,09-27-2019,01:00:00,72,0.00,29.30,1012.31,000,23.7,29.2,1012.80,0.00,10.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,7.4,09-27-2019,01:00:00,76,0.00,30.68,1011.97,100,24.5,29.2,1013.38,0.00,10.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.0,09-27-2019,01:00:00,97,0.00,30.96,1007.40,000,24.6,25.2,1015.52,0.00,10.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.0,09-27-2019,01:00:00,78,0.00,31.13,1012.66,000,24.7,29.0,1012.95,0.00,10.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.0,09-27-2019,01:00:00,92,0.00,32.77,1009.95,000,25.6,27.0,1013.10,0.00,10.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.0,09-27-2019,01:00:00,93,0.00,32.26,1005.93,000,25.3,26.6,1012.92,11.20,10.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.0,09-27-2019,01:00:00,88,0.00,32.36,1007.84,000,25.4,27.5,1013.46,0.20,10.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,7.4,09-27-2019,01:00:00,83,0.00,30.81,1012.52,320,24.5,27.7,1013.79,0.00,7.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,5.6,09-27-2019,01:00:00,88,2.00,33.37,1012.50,320,25.9,28.0,1012.93,2.00,11.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,11.1,09-27-2019,01:00:00,93,0.10,29.16,1001.59,360,23.6,24.8,1014.02,0.10,8.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,3.7,09-27-2019,01:00:00,77,0.00,28.45,1012.65,020,23.2,27.6,1013.37,0.00,8.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,3.7,09-27-2019,01:00:00,88,0.00,31.38,1010.87,300,24.8,27.0,1013.32,0.01,4.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.0,09-27-2019,01:00:00,85,0.00,31.95,1012.47,000,25.1,28.0,1013.00,0.00,10.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1.9,09-27-2019,01:00:00,88,0.00,31.58,1008.00,010,24.9,27.1,1013.18,0.00,8.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.0,09-27-2019,01:00:00,87,0.00,30.83,1012.97,000,24.5,27.0,1013.38,0.00,7.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.0,09-27-2019,01:00:00,96,0.00,31.25,1010.47,000,24.8,25.5,1013.27,8.90,8.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.0,09-27-2019,01:00:00,80,0.00,26.88,1012.95,000,22.3,26.0,1013.75,0.00,6.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,7.4,09-27-2019,01:00:00,94,0.00,31.08,1012.39,070,24.7,25.7,1012.86,0.01,6.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.0,09-27-2019,01:00:00,95,0.00,31.93,1012.89,000,25.1,26.0,1013.58,0.00,7.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.0,09-27-2019,01:00:00,92,0.00,29.91,1011.84,000,24.0,25.5,1013.39,0.40,7.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.0,09-27-2019,01:00:00,89,0.00,29.11,1012.52,000,23.6,25.5,1013.44,0.00,10.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.0,09-27-2019,01:00:00,88,0.00,30.05,1012.80,000,24.1,26.3,1013.50,8.50,9.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.0,09-27-2019,01:00:00,97,0.00,30.77,1013.11,000,24.5,25.1,1013.91,1.30,7.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.0,09-27-2019,01:00:00,96,0.00,31.25,1012.46,000,24.8,25.5,1013.10,23.70,10.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.0,09-27-2019,01:00:00,95,0.00,31.17,1012.46,000,24.7,25.6,1012.87,13.00,10.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.0,09-27-2019,01:00:00,96,0.00,29.41,1010.75,000,23.8,24.5,1015.02,16.10,5.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.0,09-27-2019,01:00:00,92,0.00,29.00,1010.34,000,23.5,25.0,1011.97,0.00,7.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.0,09-27-2019,01:00:00,96,0.00,29.41,1009.46,000,23.8,24.5,1012.98,0.00,7.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.0,09-27-2019,01:00:00,95,0.00,32.12,1011.85,000,25.2,26.1,1013.21,0.01,7.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.0,09-27-2019,01:00:00,93,0.00,30.92,1012.09,000,24.6,25.9,1012.98,0.00,10.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.0,09-27-2019,01:00:00,94,0.00,27.84,1009.74,000,22.9,23.9,1013.35,0.00,10.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.0,09-27-2019,01:00:00,84,0.00,30.97,1010.90,000,24.6,27.5,1011.33,3.20,10.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.0,09-27-2019,01:00:00,93,0.00,30.92,1011.26,000,24.6,25.9,1012.26,0.00,9.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,5.6,09-27-2019,01:00:00,88,0.00,30.05,1012.38,100,24.1,26.3,1013.21,0.00,10.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,5.6,09-27-2019,01:00:00,89,0.00,30.03,1010.96,040,24.1,26.0,1012.79,0.90,10.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.0,09-27-2019,01:00:00,90,0.00,29.93,1012.42,000,24.1,25.8,1013.18,15.50,10.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.0,09-27-2019,01:00:00,97,0.00,29.13,1009.63,000,23.6,24.2,1013.69,0.60,10.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.0,09-27-2019,01:00:00,91,0.00,28.11,1011.82,000,23.0,24.5,1012.51,10.90,10.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.0,09-27-2019,01:00:00,91,0.00,30.57,1011.84,000,24.4,26.0,1012.97,7.00,10.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.0,09-27-2019,01:00:00,97,0.00,30.03,1010.42,000,24.1,24.7,1013.38,11.80,10.00
