WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,WindDirection,Rainfall,VaporPressure,MeanSeaLevelPressure,AirTemperature,Rainfall24Hr,RelativeHumidity,DewPoint,WindSpeed,MaximumTemperature,LandVisibility
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,982.35,07-31-2019,19:00:00,000,2.50,32.45,1002.11,27.4,3.00,89,25.4,0.0,32.8,6.00
48353,LOEI,เลย,เลย,17.45000,101.73333,973.90,07-31-2019,19:00:00,000,0.00,26.32,1002.20,28.9,7.70,66,21.9,0.0,32.3,15.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,982.41,07-31-2019,19:00:00,300,12.00,29.54,1002.59,25.3,41.90,92,23.8,3.7,32.3,7.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,981.43,07-31-2019,19:00:00,000,8.50,29.89,1003.18,25.2,9.40,93,24.0,0.0,32.0,6.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,983.35,07-31-2019,19:00:00,180,6.60,30.79,1002.84,25.4,9.40,95,24.5,7.4,31.7,8.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,985.17,07-31-2019,19:00:00,130,1.50,29.33,1001.96,24.6,2.40,95,23.7,9.3,30.6,7.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,986.51,07-31-2019,19:00:00,000,27.70,28.63,1004.00,24.5,30.30,93,23.3,0.0,29.6,5.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,975.16,07-31-2019,19:00:00,260,0.00,28.37,1000.59,29.0,13.90,71,23.2,9.3,32.4,12.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,995.74,07-31-2019,19:00:00,270,0.00,28.40,1001.41,31.3,0.00,62,23.2,5.6,35.8,10.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,996.40,07-31-2019,19:00:00,000,0.00,32.10,1002.52,29.2,0.00,79,25.2,0.0,34.0,12.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,986.76,07-31-2019,19:00:00,180,0.00,29.46,1003.02,29.0,4.60,74,23.8,5.6,31.5,10.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,980.98,07-31-2019,19:00:00,240,1.80,27.70,1003.36,25.0,3.40,88,22.8,11.1,30.8,10.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,988.92,07-31-2019,19:00:00,060,0.00,26.50,1003.15,29.0,0.00,66,22.0,14.8,33.3,8.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,985.97,07-31-2019,19:00:00,270,0.00,26.74,1002.11,30.0,0.00,63,22.2,11.1,34.5,10.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,997.52,07-31-2019,19:00:00,000,0.01,30.67,1002.70,28.2,2.40,80,24.5,0.0,32.9,10.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,988.13,07-31-2019,19:00:00,000,0.00,30.31,1001.12,30.0,2.20,71,24.3,0.0,32.4,12.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,993.01,07-31-2019,19:00:00,260,0.00,25.35,1002.14,31.7,0.00,54,21.3,7.4,35.4,10.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,981.12,07-31-2019,19:00:00,220,0.00,27.96,1002.53,29.5,13.40,68,22.9,7.4,33.0,9.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,985.82,07-31-2019,19:00:00,000,0.00,30.31,1003.17,28.3,25.10,79,24.3,0.0,33.8,10.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,987.24,07-31-2019,19:00:00,290,3.00,31.25,1003.09,25.5,12.10,96,24.8,3.7,29.3,10.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,982.99,07-31-2019,19:00:00,210,0.00,30.37,1001.65,28.9,4.60,76,24.3,1.9,33.0,10.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,954.90,07-31-2019,19:00:00,000,0.40,23.58,1006.36,24.0,4.70,79,20.1,0.0,27.8,8.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,998.39,07-31-2019,19:00:00,170,0.01,29.88,1002.29,29.5,0.80,72,24.0,7.4,32.4,8.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,909.74,07-31-2019,19:00:00,260,0.30,24.68,1004.70,21.2,2.80,98,20.9,11.1,24.6,.05
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,987.07,07-31-2019,19:00:00,000,15.10,31.33,1003.08,25.4,17.30,97,24.8,0.0,30.5,8.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,998.94,07-31-2019,19:00:00,000,0.01,32.34,1002.91,31.0,0.01,72,25.4,0.0,35.0,8.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,994.19,07-31-2019,19:00:00,180,4.20,31.38,1004.84,27.0,4.40,88,24.8,5.6,35.5,9.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1002.64,07-31-2019,19:00:00,190,0.01,25.47,1004.55,29.3,1.20,63,21.4,14.8,35.6,9.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,982.20,07-31-2019,19:00:00,230,0.00,26.48,1002.77,30.0,5.90,62,22.0,3.7,33.1,10.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,985.79,07-31-2019,19:00:00,000,0.70,30.15,1003.50,25.2,8.60,94,24.2,0.0,30.0,10.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,986.61,07-31-2019,19:00:00,000,10.80,31.25,1002.78,25.5,18.70,96,24.8,0.0,30.0,10.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,989.47,07-31-2019,19:00:00,000,0.00,31.33,1003.43,27.4,35.20,86,24.8,0.0,28.6,10.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,989.31,07-31-2019,19:00:00,000,0.00,31.82,1004.10,26.8,29.30,90,25.1,0.0,29.0,10.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,988.88,07-31-2019,19:00:00,000,0.00,32.83,1003.40,29.0,2.90,82,25.6,0.0,31.0,8.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1000.25,07-31-2019,19:00:00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.00,26.17,1003.22,30.7,0.00,59,21.8,0.0,36.0,10.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,994.83,07-31-2019,19:00:00,250,0.00,27.44,1002.70,28.5,8.00,71,22.6,3.7,32.7,10.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1002.88,07-31-2019,19:00:00,270,0.00,25.72,1003.98,30.6,0.00,59,21.6,11.1,35.6,7.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,988.49,07-31-2019,19:00:00,000,0.00,28.31,1003.01,29.4,13.30,69,23.1,0.0,31.4,8.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,871.55,07-31-2019,19:00:00,260,10.80,22.85,1006.32,19.8,15.40,99,19.6,9.3,24.5,8.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,997.84,07-31-2019,19:00:00,190,3.80,30.67,1003.71,26.2,4.00,90,24.5,3.7,35.5,10.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1005.07,07-31-2019,19:00:00,270,0.00,25.98,1005.87,29.0,0.00,65,21.7,27.8,36.5,8.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1004.80,07-31-2019,19:00:00,230,0.00,28.31,1005.24,29.4,0.00,69,23.1,3.7,34.7,10.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,995.62,07-31-2019,19:00:00,000,6.60,27.09,1007.03,24.2,14.30,90,22.4,0.0,31.0,6.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1004.17,07-31-2019,19:00:00,260,0.00,28.54,1005.17,28.8,0.00,72,23.3,7.4,35.1,12.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1002.79,07-31-2019,19:00:00,280,0.00,23.45,1004.58,30.5,0.00,54,20.1,11.1,35.6,10.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1004.34,07-31-2019,19:00:00,290,0.01,23.89,1005.10,27.8,0.01,64,20.4,3.7,34.0,6.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1005.07,07-31-2019,19:00:00,310,1.80,28.14,1005.78,25.1,1.80,88,23.0,24.1,34.4,8.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1003.55,07-31-2019,19:00:00,240,0.00,28.92,1004.25,31.0,0.00,64,23.5,3.7,35.4,7.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,982.75,07-31-2019,19:00:00,240,0.00,27.76,1003.52,31.4,0.00,60,22.8,11.1,35.0,10.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,986.50,07-31-2019,19:00:00,000,0.00,29.25,1002.95,30.6,2.00,67,23.7,0.0,32.1,8.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,987.32,07-31-2019,19:00:00,000,0.00,30.42,1003.61,28.5,2.00,78,24.3,0.0,32.4,8.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,982.04,07-31-2019,19:00:00,260,0.00,26.89,1003.55,30.8,0.00,61,22.3,11.1,35.1,10.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,960.95,07-31-2019,19:00:00,250,0.01,23.14,1003.89,28.1,0.01,61,19.8,14.8,32.8,10.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,982.87,07-31-2019,19:00:00,210,0.00,27.55,1003.15,30.0,0.00,65,22.7,14.8,34.6,12.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,983.89,07-31-2019,19:00:00,000,0.00,32.73,1004.63,27.4,3.20,90,25.5,0.0,30.6,9.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1005.52,07-31-2019,19:00:00,250,0.01,29.19,1005.95,26.7,0.01,83,23.6,14.8,34.5,10.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1002.45,07-31-2019,19:00:00,240,0.00,26.62,1003.85,29.5,0.00,65,22.1,9.3,33.8,6.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,999.74,07-31-2019,19:00:00,000,0.00,26.89,1004.60,30.8,0.00,61,22.3,0.0,33.2,7.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1002.55,07-31-2019,19:00:00,300,0.00,24.14,1005.83,27.8,0.30,65,20.5,7.4,34.0,10.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1004.68,07-31-2019,19:00:00,250,0.70,25.82,1005.78,27.3,0.70,71,21.6,11.1,35.8,10.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1005.75,07-31-2019,19:00:00,300,0.01,30.31,1006.05,28.3,0.01,79,24.3,9.3,34.7,8.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1004.34,07-31-2019,19:00:00,060,0.00,25.71,1005.03,29.0,0.00,64,21.6,11.1,34.0,10.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1005.68,07-31-2019,19:00:00,240,0.40,29.64,1006.17,26.8,0.40,84,23.9,5.6,34.5,10.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1004.05,07-31-2019,19:00:00,260,0.40,28.57,1005.45,26.8,0.40,81,23.3,20.4,33.9,8.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1004.50,07-31-2019,19:00:00,250,5.70,32.93,1006.18,27.5,5.70,90,25.7,38.9,32.8,5.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,998.28,07-31-2019,19:00:00,270,0.00,22.35,1006.18,30.6,0.00,51,19.3,3.7,34.2,10.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1005.04,07-31-2019,19:00:00,270,0.50,34.93,1005.32,30.0,0.50,82,26.7,11.1,34.3,6.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1001.49,07-31-2019,19:00:00,300,0.00,30.72,1004.59,29.5,0.00,75,24.5,27.8,32.0,10.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,998.85,07-31-2019,19:00:00,240,0.00,29.14,1005.70,30.4,0.00,67,23.6,24.1,33.3,10.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,998.74,07-31-2019,19:00:00,200,0.00,30.01,1004.25,30.7,1.70,68,24.1,5.6,34.9,7.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,996.88,07-31-2019,19:00:00,270,0.00,30.47,1006.10,29.8,0.00,73,24.4,70.4,37.9,10.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1005.31,07-31-2019,19:00:00,270,0.01,26.15,1006.57,26.9,0.01,74,21.8,11.1,33.3,10.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1006.39,07-31-2019,19:00:00,320,0.01,26.37,1006.82,26.0,0.01,78,22.0,18.5,34.5,8.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,994.69,07-31-2019,19:00:00,000,2.00,26.84,1007.05,24.5,2.00,87,22.3,0.0,34.8,9.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1006.15,07-31-2019,19:00:00,200,0.40,29.25,1006.87,27.6,0.40,79,23.7,7.4,36.4,9.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1003.47,07-31-2019,19:00:00,200,0.00,30.61,1005.87,31.0,0.00,68,24.4,7.4,35.4,10.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1005.20,07-31-2019,19:00:00,000,0.00,33.33,1005.71,29.8,0.10,79,25.9,0.0,31.7,10.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1000.47,07-31-2019,19:00:00,190,0.00,30.70,1005.56,30.2,0.00,72,24.5,5.6,35.2,10.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1005.31,07-31-2019,19:00:00,210,0.00,31.60,1005.71,29.8,0.01,75,25.0,5.6,33.3,8.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1003.47,07-31-2019,19:00:00,000,0.00,32.79,1006.22,28.7,0.00,83,25.6,0.0,32.7,10.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1006.75,07-31-2019,19:00:00,000,3.70,28.51,1007.54,25.6,3.70,87,23.2,0.0,35.5,6.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1006.24,07-31-2019,19:00:00,250,0.00,32.83,1006.70,29.7,0.50,79,25.6,13.0,32.4,8.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1007.21,07-31-2019,19:00:00,270,0.00,28.56,1007.88,30.1,0.20,67,23.3,7.4,34.3,8.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1006.23,07-31-2019,19:00:00,270,0.00,27.88,1007.75,29.6,1.60,67,22.9,3.7,33.9,8.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1008.09,07-31-2019,19:00:00,190,0.00,30.96,1009.00,29.2,0.30,76,24.6,3.7,32.9,10.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1006.50,07-31-2019,19:00:00,000,0.00,26.97,1007.18,31.7,0.00,58,22.3,0.0,34.3,10.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1007.56,07-31-2019,19:00:00,280,0.00,27.95,1008.35,30.5,0.00,64,22.9,9.3,36.0,10.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1006.62,07-31-2019,19:00:00,000,0.00,29.40,1007.25,31.1,0.00,65,23.8,0.0,36.1,10.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1007.36,07-31-2019,19:00:00,000,0.00,28.40,1007.76,31.3,0.00,62,23.2,0.0,36.7,10.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1004.98,07-31-2019,19:00:00,000,0.00,27.19,1009.14,31.1,0.00,60,22.5,0.0,34.4,6.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1006.66,07-31-2019,19:00:00,220,0.00,29.63,1008.26,28.8,0.00,75,23.9,9.3,33.6,12.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1004.81,07-31-2019,19:00:00,000,0.00,32.22,1008.27,29.4,0.00,79,25.3,0.0,35.0,10.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1006.07,07-31-2019,19:00:00,270,0.00,25.62,1007.41,30.4,0.00,59,21.5,5.6,35.0,10.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1008.01,07-31-2019,19:00:00,270,4.60,30.55,1008.89,29.7,4.60,73,24.4,11.1,32.0,10.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1004.70,07-31-2019,19:00:00,000,0.00,29.30,1008.24,28.2,0.00,77,23.7,0.0,33.0,10.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1008.35,07-31-2019,19:00:00,270,0.00,29.27,1008.78,29.9,0.00,69,23.7,5.6,33.3,10.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1007.51,07-31-2019,19:00:00,240,0.00,30.39,1008.50,29.9,0.00,72,24.3,9.3,32.4,9.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1008.13,07-31-2019,19:00:00,270,0.00,31.36,1008.94,29.4,0.00,77,24.8,24.1,31.4,10.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1006.76,07-31-2019,19:00:00,220,0.00,31.13,1008.57,29.0,0.00,78,24.7,3.7,34.0,10.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1006.88,07-31-2019,19:00:00,260,0.00,24.86,1007.62,31.0,0.00,55,21.0,9.3,35.0,10.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1003.97,07-31-2019,19:00:00,250,0.00,26.97,1007.94,29.4,0.00,66,22.3,13.0,34.9,10.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1008.36,07-31-2019,19:00:00,000,0.00,29.41,1009.04,29.4,0.00,72,23.8,0.0,33.5,10.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1006.46,07-31-2019,19:00:00,230,0.00,27.55,1007.56,30.0,0.00,65,22.7,9.3,35.0,10.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1005.30,07-31-2019,19:00:00,280,0.00,29.55,1008.19,29.9,0.00,70,23.8,7.4,34.5,10.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1007.68,07-31-2019,19:00:00,000,0.00,30.14,1008.36,30.2,0.00,70,24.2,0.0,34.4,10.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1003.89,07-31-2019,19:00:00,000,0.00,28.86,1007.98,29.4,0.00,70,23.4,0.0,34.3,8.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1007.76,07-31-2019,19:00:00,000,0.00,26.45,1008.34,32.0,0.00,56,22.0,0.0,35.7,10.00
