WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,DewPoint,Rainfall,Rainfall24Hr,LandVisibility,WindDirection,MeanSeaLevelPressure,RelativeHumidity,VaporPressure,WindSpeed,AirTemperature
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1003.64,09-02-2019,16:00:00,22.4,0.00,0.00,8.00,220,1004.73,60,27.11,9.3,31.2
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,989.95,09-02-2019,16:00:00,23.2,10.20,45.80,8.00,000,1004.66,85,28.34,0.0,25.8
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,871.40,09-02-2019,16:00:00,19.3,1.00,17.60,.10,280,1006.29,99,22.42,1.9,19.5
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,998.89,09-02-2019,16:00:00,25.8,0.00,1.40,10.00,190,1004.71,81,33.16,3.7,29.3
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1004.86,09-02-2019,16:00:00,22.5,0.00,0.00,9.00,240,1005.64,57,27.27,16.7,32.0
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1004.99,09-02-2019,16:00:00,23.9,0.00,0.01,10.00,230,1005.43,69,29.58,22.2,30.2
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,995.33,09-02-2019,16:00:00,25.4,1.20,17.40,4.00,000,1006.61,88,32.36,0.0,27.5
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1004.16,09-02-2019,16:00:00,23.1,0.00,4.00,12.00,270,1005.15,58,28.25,5.6,32.5
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1002.93,09-02-2019,16:00:00,23.8,0.00,2.20,10.00,000,1004.72,65,29.40,0.0,31.1
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1004.22,09-02-2019,16:00:00,21.3,0.00,0.01,9.00,270,1004.97,57,25.39,11.1,31.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1004.52,09-02-2019,16:00:00,21.6,0.00,10.80,10.00,290,1005.21,59,25.80,25.9,30.5
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1004.19,09-02-2019,16:00:00,24.1,0.00,1.00,7.00,300,1004.88,69,29.98,3.7,30.4
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,983.78,09-02-2019,16:00:00,24.7,4.00,8.70,7.00,260,1004.96,93,31.11,3.7,26.0
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,987.74,09-02-2019,16:00:00,24.5,9.20,27.50,7.00,250,1004.53,97,30.67,5.6,24.9
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,988.35,09-02-2019,16:00:00,24.3,7.80,25.40,3.00,260,1004.85,96,30.32,1.9,25.0
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,983.15,09-02-2019,16:00:00,24.6,4.00,8.50,4.00,000,1005.03,92,30.84,0.0,26.0
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,962.07,09-02-2019,16:00:00,22.6,0.10,12.40,10.00,250,1005.23,77,27.36,14.8,27.0
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,984.42,09-02-2019,16:00:00,24.9,6.00,12.60,4.00,210,1005.06,97,31.41,5.6,25.3
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,985.05,09-02-2019,16:00:00,24.6,4.20,22.20,2.00,290,1006.01,100,30.91,9.3,24.6
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1005.91,09-02-2019,16:00:00,23.3,0.00,0.01,10.00,300,1006.34,69,28.61,9.3,29.7
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1003.30,09-02-2019,16:00:00,25.7,1.40,1.50,8.00,000,1004.71,88,33.08,0.0,28.0
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1000.24,09-02-2019,16:00:00,25.3,1.00,5.20,7.00,000,1005.15,87,32.20,0.0,27.7
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1002.27,09-02-2019,16:00:00,22.8,0.00,0.01,12.00,250,1005.53,66,27.71,3.7,29.8
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1004.49,09-02-2019,16:00:00,23.2,0.00,0.01,10.00,280,1005.58,65,28.50,7.4,30.5
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1005.24,09-02-2019,16:00:00,22.7,0.00,2.20,10.00,270,1005.53,59,27.52,9.3,31.7
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1004.85,09-02-2019,16:00:00,24.4,0.00,10.50,10.00,190,1005.53,66,30.49,11.1,31.5
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1004.93,09-02-2019,16:00:00,24.0,0.00,11.50,10.00,120,1005.41,63,29.79,3.7,32.0
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1004.36,09-02-2019,16:00:00,22.7,0.00,0.01,10.00,270,1005.75,62,27.63,31.5,30.9
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1003.99,09-02-2019,16:00:00,24.8,0.00,0.00,10.00,250,1005.67,85,31.25,24.1,27.5
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,999.20,09-02-2019,16:00:00,24.2,5.60,8.30,10.00,260,1007.17,78,30.15,5.6,28.5
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1005.41,09-02-2019,16:00:00,23.2,0.00,0.00,10.00,300,1005.69,65,28.50,13.0,30.5
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1002.64,09-02-2019,16:00:00,23.2,0.00,0.00,10.00,300,1005.74,69,28.50,9.3,29.5
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,999.34,09-02-2019,16:00:00,22.4,0.00,0.80,12.00,300,1006.23,68,27.03,11.1,29.0
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,999.96,09-02-2019,16:00:00,25.0,3.20,6.60,8.00,200,1005.56,91,31.71,5.6,26.6
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,997.34,09-02-2019,16:00:00,22.5,0.01,0.01,10.00,300,1006.54,62,27.33,14.8,30.6
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1005.80,09-02-2019,16:00:00,24.1,0.01,0.10,14.00,270,1007.06,75,30.01,7.4,29.0
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1005.30,09-02-2019,16:00:00,23.4,0.01,0.01,8.00,250,1005.73,74,28.78,18.5,28.5
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,994.13,09-02-2019,16:00:00,22.9,0.01,0.20,10.00,000,1006.35,76,27.92,0.0,27.6
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1005.51,09-02-2019,16:00:00,23.6,0.00,0.00,10.00,280,1006.22,70,29.16,9.3,29.7
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1003.81,09-02-2019,16:00:00,22.6,0.00,2.20,10.00,200,1006.22,63,27.49,11.1,30.4
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1005.65,09-02-2019,16:00:00,23.9,0.01,0.10,10.00,230,1006.17,74,29.74,14.8,29.0
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1000.86,09-02-2019,16:00:00,21.8,0.01,0.20,10.00,280,1005.96,64,26.17,16.7,29.4
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1005.57,09-02-2019,16:00:00,25.6,4.70,5.00,4.00,000,1005.98,88,32.76,0.0,27.7
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1003.62,09-02-2019,16:00:00,25.9,2.00,12.80,8.00,000,1006.39,94,33.34,0.0,27.0
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1006.21,09-02-2019,16:00:00,22.8,0.20,0.20,8.00,000,1007.00,80,27.77,0.0,26.5
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1004.62,09-02-2019,16:00:00,25.4,2.00,11.30,8.00,290,1005.08,87,32.48,7.4,27.7
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1006.45,09-02-2019,16:00:00,24.0,0.01,2.60,12.00,260,1007.13,78,29.85,7.4,28.2
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1006.19,09-02-2019,16:00:00,22.5,0.40,1.00,8.00,270,1007.71,68,27.30,7.4,29.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1007.72,09-02-2019,16:00:00,24.5,0.00,0.00,10.00,220,1008.63,75,30.72,5.6,29.5
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1007.17,09-02-2019,16:00:00,24.6,0.00,0.01,10.00,270,1007.85,73,30.87,5.6,30.0
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1006.85,09-02-2019,16:00:00,24.9,0.00,0.00,10.00,270,1007.64,76,31.48,9.3,29.6
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1006.43,09-02-2019,16:00:00,22.3,0.00,0.00,10.00,000,1007.05,55,26.97,0.0,32.7
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1006.75,09-02-2019,16:00:00,23.8,0.00,0.00,10.00,270,1007.15,57,29.50,7.4,33.4
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1005.18,09-02-2019,16:00:00,23.3,0.00,0.01,6.00,250,1009.36,66,28.67,7.4,30.3
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1006.32,09-02-2019,16:00:00,24.6,3.60,3.60,10.00,000,1007.93,92,30.84,0.0,26.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1004.78,09-02-2019,16:00:00,25.0,0.50,0.50,8.00,000,1008.23,75,31.72,0.0,30.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1006.10,09-02-2019,16:00:00,21.4,0.00,0.00,10.00,270,1007.43,50,25.46,13.0,33.2
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1007.39,09-02-2019,16:00:00,25.3,0.00,0.00,10.00,000,1008.27,79,32.30,0.0,29.3
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1004.65,09-02-2019,16:00:00,24.3,0.00,0.00,10.00,210,1008.17,70,30.34,5.6,30.3
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1007.62,09-02-2019,16:00:00,24.0,0.00,0.00,10.00,000,1008.05,66,29.88,0.0,31.2
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1007.22,09-02-2019,16:00:00,24.8,0.00,0.00,10.00,270,1008.20,75,31.32,7.4,29.8
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1007.53,09-02-2019,16:00:00,25.3,0.00,0.00,10.00,280,1008.34,76,32.30,9.3,30.0
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1006.08,09-02-2019,16:00:00,24.7,0.00,0.00,15.00,280,1007.85,60,31.08,9.3,33.6
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1006.88,09-02-2019,16:00:00,24.9,0.00,0.90,10.00,110,1007.62,66,31.44,3.7,32.1
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1004.08,09-02-2019,16:00:00,23.0,0.00,0.01,10.00,240,1008.01,58,28.13,16.7,32.3
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1007.46,09-02-2019,16:00:00,23.1,0.00,0.50,10.00,270,1008.13,58,28.33,9.3,32.4
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1006.54,09-02-2019,16:00:00,22.7,0.00,0.20,10.00,210,1007.64,55,27.56,11.1,33.0
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1005.35,09-02-2019,16:00:00,24.8,0.00,0.00,12.00,250,1008.22,64,31.32,11.1,32.6
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1006.88,09-02-2019,16:00:00,27.3,0.00,0.00,8.00,000,1007.56,74,36.22,0.0,32.5
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1003.88,09-02-2019,16:00:00,23.9,0.00,0.00,6.00,210,1007.93,60,29.58,3.7,32.6
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1005.70,09-02-2019,16:00:00,24.4,0.00,0.00,10.00,050,1006.28,68,30.53,11.1,31.1
