WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,VaporPressure,AirTemperature,LandVisibility,RelativeHumidity,StationPressure,Rainfall24Hr,DewPoint,MinimumTemperature,WindDirection,Rainfall,MeanSeaLevelPressure
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.0,07-31-2019,07:00:00,28.47,24.7,7.00,92,997.48,8.30,23.2,24.5,000,1.00,1004.82
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.0,07-31-2019,07:00:00,29.00,25.0,12.00,92,984.02,11.20,23.5,24.7,000,0.00,1003.97
48353,LOEI,เลย,เลย,17.45000,101.73333,0.0,07-31-2019,07:00:00,28.11,24.5,7.00,91,975.67,8.70,23.0,23.8,000,2.60,1004.45
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,3.7,07-31-2019,07:00:00,29.04,24.0,15.00,97,983.90,29.20,23.6,23.4,230,3.30,1004.19
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.0,07-31-2019,07:00:00,28.83,25.2,12.00,90,982.19,0.90,23.4,25.0,000,0.00,1003.96
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.0,07-31-2019,07:00:00,29.91,25.5,12.00,92,984.06,2.80,24.0,25.0,000,0.00,1003.57
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,5.6,07-31-2019,07:00:00,30.84,26.0,11.00,92,987.39,2.20,24.6,24.2,340,0.10,1004.14
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,3.7,07-31-2019,07:00:00,31.46,25.9,12.00,94,986.63,3.60,24.9,23.7,280,0.00,1004.04
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,3.7,07-31-2019,07:00:00,27.99,23.1,5.00,99,978.10,19.10,22.9,23.1,150,8.70,1004.12
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.0,07-31-2019,07:00:00,30.46,25.8,10.00,92,998.97,0.00,24.3,23.7,000,0.00,1004.77
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.0,07-31-2019,07:00:00,29.36,25.2,10.00,92,998.55,0.00,23.7,25.0,000,0.00,1004.76
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.0,07-31-2019,07:00:00,28.89,24.5,8.00,94,989.37,4.50,23.5,23.4,000,0.50,1005.92
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.0,07-31-2019,07:00:00,27.92,23.8,10.00,95,983.11,7.60,22.9,23.0,000,0.80,1005.63
48376,TAK,ตาก,ตาก,16.87833,99.14333,5.6,07-31-2019,07:00:00,25.76,28.0,10.00,68,990.88,0.00,21.6,26.7,300,0.00,1005.19
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,9.3,07-31-2019,07:00:00,25.16,28.1,8.00,66,988.49,0.00,21.2,26.8,240,0.00,1004.77
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,3.7,07-31-2019,07:00:00,29.80,25.3,10.00,92,1000.20,2.40,24.0,24.5,350,0.00,1005.45
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.0,07-31-2019,07:00:00,29.08,24.9,10.00,92,990.70,2.20,23.6,24.0,000,0.00,1003.95
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.0,07-31-2019,07:00:00,27.63,27.3,10.00,76,995.93,0.00,22.7,26.7,000,0.00,1005.23
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1.9,07-31-2019,07:00:00,30.12,24.6,8.00,97,982.94,13.40,24.2,24.0,240,0.70,1004.74
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.0,07-31-2019,07:00:00,29.82,25.6,5.00,91,986.96,3.30,24.0,25.0,000,0.80,1004.50
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,3.7,07-31-2019,07:00:00,31.25,25.5,10.00,96,987.24,14.10,24.8,25.0,210,1.80,1003.09
