WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,MeanSeaLevelPressure,WindSpeed,LandVisibility,AirTemperature,RelativeHumidity,Rainfall,MaximumTemperature,WindDirection,DewPoint,StationPressure,Rainfall24Hr
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,31.58,08-21-2019,19:00:00,1006.32,11.1,7.00,27.1,88,1.20,34.2,180,24.9,1004.49,1.80
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,28.61,08-21-2019,19:00:00,1005.15,0.0,7.00,29.7,69,0.00,34.8,000,23.3,1004.39,0.01
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,29.41,08-21-2019,19:00:00,1006.16,22.2,10.00,29.4,72,0.00,32.7,190,23.8,1005.47,0.01
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,31.68,08-21-2019,19:00:00,1005.78,0.0,7.00,31.1,70,0.00,34.4,000,25.0,1005.09,0.60
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,28.01,08-21-2019,19:00:00,1004.81,7.4,10.00,31.1,62,0.00,35.6,280,23.0,983.98,3.80
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,30.63,08-21-2019,19:00:00,1004.87,0.0,9.00,29.6,74,0.00,34.4,000,24.4,988.33,7.90
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,31.81,08-21-2019,19:00:00,1005.25,0.0,8.00,29.2,79,0.00,35.0,000,25.1,988.96,14.80
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,29.48,08-21-2019,19:00:00,1004.79,0.0,10.00,31.0,66,0.00,35.0,000,23.8,983.27,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,28.26,08-21-2019,19:00:00,1005.85,11.1,10.00,27.5,77,0.00,30.8,230,23.1,962.73,9.70
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,28.67,08-21-2019,19:00:00,1005.19,14.8,12.00,30.3,66,0.00,35.9,210,23.3,984.89,0.40
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,31.91,08-21-2019,19:00:00,1006.14,3.7,10.00,26.7,91,0.00,33.4,090,25.1,985.33,25.20
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,29.57,08-21-2019,19:00:00,1005.07,3.7,10.00,29.2,73,0.00,31.7,270,23.9,1004.64,0.90
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,32.22,08-21-2019,19:00:00,1005.45,0.0,8.00,29.4,79,0.00,34.1,000,25.3,1004.04,5.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,32.86,08-21-2019,19:00:00,1006.77,0.0,7.00,26.9,93,0.30,34.1,000,25.6,1001.84,9.10
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,27.40,08-21-2019,19:00:00,1005.81,0.0,12.00,29.2,68,0.00,34.7,000,22.6,1002.55,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,31.98,08-21-2019,19:00:00,1005.73,0.0,10.00,29.0,80,0.00,34.7,000,25.2,1004.63,0.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,31.89,08-21-2019,19:00:00,1006.18,9.3,10.00,29.8,76,0.00,33.2,200,25.1,1005.88,0.20
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,29.88,08-21-2019,19:00:00,1005.67,5.6,10.00,29.5,72,0.00,33.6,180,24.0,1004.99,1.30
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,31.03,08-21-2019,19:00:00,1005.53,1.9,10.00,29.8,74,0.00,37.1,120,24.7,1005.04,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,31.20,08-21-2019,19:00:00,1006.37,24.1,5.00,24.9,99,5.00,34.1,260,24.7,1004.95,5.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,34.82,08-21-2019,19:00:00,1005.90,25.9,12.00,28.7,88,0.00,30.3,200,26.6,1004.24,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,28.50,08-21-2019,19:00:00,1007.60,0.0,10.00,29.5,69,0.00,34.2,000,23.2,999.65,0.70
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,31.48,08-21-2019,19:00:00,1006.12,13.0,10.00,30.3,73,0.00,34.5,150,24.9,1005.84,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,33.24,08-21-2019,19:00:00,1006.14,9.3,10.00,29.2,82,0.00,31.9,230,25.8,1003.03,0.20
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,32.34,08-21-2019,19:00:00,1006.42,0.0,10.00,28.9,81,0.00,31.3,000,25.4,999.52,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,30.29,08-21-2019,19:00:00,1006.18,0.0,8.00,29.0,76,0.00,34.2,000,24.3,1000.62,1.50
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,30.18,08-21-2019,19:00:00,1006.03,11.1,10.00,28.8,76,0.00,31.8,230,24.2,996.78,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,31.61,08-21-2019,19:00:00,1006.37,0.0,10.00,27.4,87,0.30,33.9,000,25.0,1005.11,3.20
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,30.29,08-21-2019,19:00:00,1005.90,5.6,11.00,29.0,76,0.70,33.8,240,24.3,1005.47,0.70
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,28.00,08-21-2019,19:00:00,1006.53,3.7,10.00,27.5,76,0.00,32.4,190,22.9,994.30,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,29.36,08-21-2019,19:00:00,1006.49,5.6,10.00,27.8,79,0.00,32.9,190,23.7,1005.78,5.50
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,30.53,08-21-2019,19:00:00,1007.42,11.1,10.00,27.7,82,2.00,34.3,220,24.4,1004.99,2.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,32.55,08-21-2019,19:00:00,1007.22,14.8,10.00,29.0,81,0.00,31.5,210,25.5,1006.70,0.01
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,28.78,08-21-2019,19:00:00,1007.01,0.0,10.00,25.9,86,7.40,33.1,000,23.4,1001.84,7.60
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,32.42,08-21-2019,19:00:00,1007.21,5.6,8.00,28.8,82,0.00,32.0,180,25.4,1006.80,4.10
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,33.37,08-21-2019,19:00:00,1007.74,0.0,8.00,28.0,88,0.00,31.0,000,25.9,1004.98,9.10
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,27.90,08-21-2019,19:00:00,1007.66,0.0,10.00,27.3,77,0.00,32.5,000,22.9,1006.87,1.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,32.35,08-21-2019,19:00:00,1007.80,3.7,8.00,28.2,85,0.00,31.3,280,25.4,1007.34,71.60
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,29.46,08-21-2019,19:00:00,1008.53,0.0,8.00,28.0,78,0.00,32.1,000,23.8,1007.85,2.40
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,31.72,08-21-2019,19:00:00,1007.51,0.0,8.00,27.6,86,0.00,31.8,000,25.0,1005.99,0.40
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,28.29,08-21-2019,19:00:00,1010.74,9.3,7.00,24.6,92,8.20,30.0,190,23.1,1009.81,47.60
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,32.22,08-21-2019,19:00:00,1008.57,9.3,10.00,28.7,82,0.70,35.0,240,25.3,1007.89,0.70
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,29.93,08-21-2019,19:00:00,1009.14,3.7,10.00,27.1,84,0.00,35.0,260,24.1,1008.34,1.20
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,30.43,08-21-2019,19:00:00,1008.35,0.0,10.00,26.5,88,0.40,36.6,000,24.3,1007.71,35.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,29.50,08-21-2019,19:00:00,1008.98,0.0,10.00,26.0,88,0.20,36.9,000,23.8,1008.57,8.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,27.65,08-21-2019,19:00:00,1010.63,5.6,6.00,27.6,75,0.00,35.3,220,22.7,1006.42,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,29.42,08-21-2019,19:00:00,1009.53,0.0,10.00,24.8,94,2.60,34.2,000,23.8,1007.90,4.20
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,29.91,08-21-2019,19:00:00,1009.61,0.0,7.00,25.5,92,11.80,34.2,000,24.0,1006.11,11.80
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,30.16,08-21-2019,19:00:00,1008.53,0.0,10.00,29.5,73,0.00,34.8,000,24.2,1007.19,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,30.32,08-21-2019,19:00:00,1009.92,0.0,10.00,25.0,96,7.00,31.5,000,24.3,1009.03,29.40
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,32.20,08-21-2019,19:00:00,1009.45,0.0,10.00,26.0,96,0.00,32.9,000,25.3,1005.87,1.40
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,31.41,08-21-2019,19:00:00,1009.22,0.0,10.00,27.3,87,0.80,33.0,000,24.9,1008.78,11.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,31.03,08-21-2019,19:00:00,1008.91,5.6,7.00,26.1,92,1.50,32.2,330,24.7,1007.91,8.30
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,30.72,08-21-2019,19:00:00,1009.44,18.5,10.00,27.8,82,0.00,30.5,270,24.5,1008.63,0.40
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,30.24,08-21-2019,19:00:00,1009.64,0.0,10.00,26.4,88,0.30,31.7,000,24.2,1007.82,8.10
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,27.88,08-21-2019,19:00:00,1008.75,11.1,10.00,29.6,67,0.00,34.5,230,22.9,1008.01,2.10
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,29.88,08-21-2019,19:00:00,1009.30,9.3,10.00,27.5,81,0.00,32.7,250,24.0,1005.30,0.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,31.95,08-21-2019,19:00:00,1010.50,0.0,10.00,28.0,85,0.00,34.6,000,25.1,1009.82,21.30
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,29.35,08-21-2019,19:00:00,1009.05,5.6,10.00,28.8,74,0.00,33.1,180,23.7,1007.94,0.40
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,31.39,08-21-2019,19:00:00,1009.32,9.3,10.00,28.0,83,0.00,31.6,250,24.8,1006.41,7.90
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,32.02,08-21-2019,19:00:00,1008.11,0.0,10.00,28.6,82,0.00,33.6,000,25.2,1007.43,3.70
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,28.43,08-21-2019,19:00:00,1008.90,5.6,8.00,27.3,78,0.00,32.4,240,23.2,1004.77,0.20
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,30.34,08-21-2019,19:00:00,1007.68,9.3,8.00,25.3,94,3.10,33.5,300,24.3,1007.08,99.10
