WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,VaporPressure,WindDirection,MeanSeaLevelPressure,LandVisibility,StationPressure,AirTemperature,Rainfall,DewPoint,RelativeHumidity,WindSpeed
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,0.50,10-03-2019,13:00:00,35.82,200,1010.51,6.00,1001.40,34.5,0.00,27.1,65,13.0
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,10-03-2019,13:00:00,29.54,040,1010.64,12.00,1009.40,33.7,0.00,23.8,56,3.7
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,10-03-2019,13:00:00,32.68,000,1009.77,11.00,1009.35,33.1,0.00,25.5,65,0.0
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,10-03-2019,13:00:00,28.72,050,1009.45,8.00,997.44,34.0,0.00,23.4,54,7.4
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,10-03-2019,13:00:00,30.90,100,1009.79,10.00,1009.09,32.4,0.00,24.6,64,7.4
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.20,10-03-2019,13:00:00,33.33,180,1010.37,10.00,1007.98,33.4,0.00,25.9,65,11.1
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,10-03-2019,13:00:00,33.88,210,1010.08,8.00,1009.57,32.0,0.00,26.1,71,7.4
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.40,10-03-2019,13:00:00,32.10,190,1009.72,11.00,1004.63,31.3,0.00,25.2,70,3.7
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.00,10-03-2019,13:00:00,31.82,220,1009.74,9.00,1009.34,32.7,0.00,25.1,64,9.3
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.00,10-03-2019,13:00:00,32.99,180,1009.72,8.00,1006.99,32.0,0.00,25.7,69,7.4
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,10-03-2019,13:00:00,33.25,140,1009.93,10.00,1009.16,33.5,0.00,25.8,64,14.8
48501,TRAD,ตราด,ตราด,11.76667,102.88333,22.40,10-03-2019,13:00:00,34.32,240,1009.99,8.00,1009.54,32.2,0.00,26.4,71,5.6
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.01,10-03-2019,13:00:00,32.49,180,1010.27,9.00,1009.60,32.6,0.00,25.4,66,5.6
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.20,10-03-2019,13:00:00,27.91,120,1009.98,10.00,1008.48,33.6,0.00,22.9,54,3.7
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.10,10-03-2019,13:00:00,27.13,280,1011.23,10.00,1010.32,32.5,0.00,22.4,55,9.3
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,10-03-2019,13:00:00,31.64,150,1011.00,10.00,1010.32,30.8,0.00,25.0,71,7.4
