WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,Rainfall24Hr,DewPoint,StationPressure,MeanSeaLevelPressure,RelativeHumidity,WindDirection,AirTemperature,VaporPressure,Rainfall,LandVisibility
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,7.4,09-01-2019,22:00:00,2.20,23.3,986.51,1007.49,88,270,25.4,28.67,2.20,10.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,13.0,09-01-2019,22:00:00,3.80,26.1,988.10,1005.69,91,040,27.8,33.82,3.20,7.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,7.4,09-01-2019,22:00:00,7.40,26.6,989.28,1005.36,92,350,28.0,34.81,6.00,6.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.0,09-01-2019,22:00:00,1.40,24.9,992.00,1005.95,82,000,28.3,31.42,0.00,10.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.0,09-01-2019,22:00:00,0.20,24.8,991.87,1006.69,88,000,27.0,31.38,0.00,8.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,13.0,09-01-2019,22:00:00,0.10,25.7,992.13,1006.77,90,230,27.5,32.93,0.01,7.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.0,09-01-2019,22:00:00,6.40,26.1,1004.54,1007.56,96,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",26.8,33.79,1.40,10.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.0,09-01-2019,22:00:00,5.50,24.4,1000.35,1008.35,94,000,25.4,30.52,5.50,7.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,3.7,09-01-2019,22:00:00,0.00,25.5,1007.00,1008.11,88,130,27.6,32.56,0.00,8.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.0,09-01-2019,22:00:00,3.80,25.1,991.95,1006.58,85,000,28.0,31.95,0.00,8.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,14.8,09-01-2019,22:00:00,38.80,19.5,874.38,1009.73,100,280,19.5,22.65,0.20,.05
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.0,09-01-2019,22:00:00,0.80,24.3,1002.58,1008.50,93,000,25.5,30.44,0.01,10.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,5.6,09-01-2019,22:00:00,0.10,24.4,1007.74,1008.54,81,230,28.0,30.56,0.00,8.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,9.3,09-01-2019,22:00:00,1.00,24.1,1007.54,1007.99,76,240,28.9,30.10,0.01,10.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.0,09-01-2019,22:00:00,28.00,24.3,998.11,1009.52,96,000,25.0,30.32,2.10,4.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.0,09-01-2019,22:00:00,4.00,24.6,1007.42,1008.43,84,000,27.5,30.97,0.00,10.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.0,09-01-2019,22:00:00,2.20,25.6,1006.44,1008.27,93,000,26.9,32.86,1.80,7.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.0,09-01-2019,22:00:00,0.01,23.1,1007.74,1008.50,76,000,27.8,28.28,0.00,5.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,7.4,09-01-2019,22:00:00,11.00,24.0,1007.85,1008.56,84,240,26.9,29.83,0.01,10.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.0,09-01-2019,22:00:00,1.80,25.4,1007.68,1008.38,95,000,26.3,32.51,0.30,7.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,5.6,09-01-2019,22:00:00,0.20,24.1,986.45,1007.71,91,280,25.7,30.01,0.20,10.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,16.7,09-01-2019,22:00:00,3.00,25.8,990.72,1007.42,91,260,27.4,33.29,3.00,5.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,3.7,09-01-2019,22:00:00,8.10,22.3,991.17,1007.72,85,210,25.0,26.94,8.10,7.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.0,09-01-2019,22:00:00,0.80,23.2,985.76,1007.62,80,000,27.0,28.41,0.00,10.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,11.1,09-01-2019,22:00:00,10.30,23.1,965.00,1008.69,93,230,24.3,28.28,2.70,8.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,5.6,09-01-2019,22:00:00,2.00,23.1,986.88,1007.41,77,210,27.5,28.26,0.00,10.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,20.4,09-01-2019,22:00:00,0.80,24.8,987.56,1008.56,100,240,24.8,31.28,0.80,8.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,3.7,09-01-2019,22:00:00,0.20,24.3,1008.23,1008.67,79,300,28.3,30.31,0.01,10.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.0,09-01-2019,22:00:00,3.00,24.1,1006.60,1008.02,92,000,25.4,29.99,0.00,6.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.0,09-01-2019,22:00:00,5.40,24.9,1003.63,1008.59,94,000,25.9,31.46,2.90,7.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.0,09-01-2019,22:00:00,0.10,23.1,1005.20,1008.50,77,000,27.5,28.26,0.01,10.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.0,09-01-2019,22:00:00,2.30,25.7,1007.49,1008.60,94,000,26.7,33.02,0.01,5.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.0,09-01-2019,22:00:00,2.20,24.3,1008.42,1008.72,80,000,28.0,30.28,0.01,10.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.0,09-01-2019,22:00:00,11.50,24.8,1006.08,1006.57,83,000,28.0,31.39,0.01,10.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,13.0,09-01-2019,22:00:00,7.40,23.7,1007.81,1009.22,78,250,27.9,29.28,0.00,10.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.0,09-01-2019,22:00:00,4.60,24.9,1002.10,1010.18,98,000,25.2,31.49,2.20,10.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.0,09-01-2019,22:00:00,5.10,24.7,1007.90,1008.18,78,000,29.0,31.13,0.00,10.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,5.6,09-01-2019,22:00:00,0.00,24.9,1005.46,1008.58,81,270,28.5,31.54,0.00,10.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,7.4,09-01-2019,22:00:00,2.00,24.5,1001.45,1008.37,80,240,28.2,30.67,0.00,10.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,5.6,09-01-2019,22:00:00,1.50,25.9,1003.08,1008.69,94,260,27.0,33.34,1.00,10.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.0,09-01-2019,22:00:00,1.90,24.5,1007.92,1009.19,89,000,26.5,30.70,0.01,8.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,9.3,09-01-2019,22:00:00,4.60,21.9,1008.16,1008.59,71,330,27.6,26.34,0.00,11.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.0,09-01-2019,22:00:00,2.10,23.5,996.44,1008.80,92,000,25.0,29.00,0.10,8.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.0,09-01-2019,22:00:00,6.20,23.7,1007.91,1008.63,84,000,26.6,29.27,0.00,10.00
