WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,VaporPressure,Rainfall24Hr,DewPoint,WindSpeed,StationPressure,MaximumTemperature,Rainfall,WindDirection,MeanSeaLevelPressure,AirTemperature,LandVisibility
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,75,08-07-2019,19:00:00,28.39,0.80,23.2,0.0,969.75,30.6,0.00,000,1002.97,28.0,10.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,78,08-07-2019,19:00:00,30.15,0.60,24.2,3.7,984.31,31.6,0.00,200,1002.61,28.5,12.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,76,08-07-2019,19:00:00,31.68,0.01,25.0,0.0,980.31,32.2,0.00,000,1002.79,29.7,10.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,71,08-07-2019,19:00:00,29.44,0.00,23.8,0.0,972.92,31.5,0.00,000,1002.33,29.7,12.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,84,08-07-2019,19:00:00,30.39,4.40,24.3,0.0,968.39,29.0,0.60,000,1003.65,27.2,6.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,70,08-07-2019,19:00:00,28.40,0.00,23.2,5.6,972.50,34.5,0.00,290,1001.77,29.3,14.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,71,08-07-2019,19:00:00,29.13,0.01,23.6,0.0,996.07,33.0,0.00,000,1003.29,29.4,9.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,72,08-07-2019,19:00:00,32.76,0.00,25.6,11.1,981.58,35.0,0.00,200,1001.07,31.2,14.00
48353,LOEI,เลย,เลย,17.45000,101.73333,57,08-07-2019,19:00:00,24.57,0.00,20.8,18.5,973.98,34.4,0.00,260,1002.14,30.4,15.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,60,08-07-2019,19:00:00,27.96,0.00,22.9,14.8,981.38,34.6,0.00,270,1001.13,31.5,15.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,65,08-07-2019,19:00:00,30.20,0.00,24.2,3.7,980.20,34.8,0.00,250,1001.48,31.5,12.00
