WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,WindSpeed,AirTemperature,Rainfall,MeanSeaLevelPressure,VaporPressure,LandVisibility,WindDirection,StationPressure,Rainfall24Hr,RelativeHumidity
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,21.6,10-16-2019,04:00:00,0.0,22.8,0.00,1013.45,25.76,10.00,000,985.43,1.00,93
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,22.2,10-16-2019,04:00:00,0.0,23.0,0.00,1014.68,26.83,7.00,000,980.51,5.00,96
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,22.1,10-16-2019,04:00:00,3.7,23.0,0.00,1014.27,26.58,5.00,150,995.41,0.00,95
48331,NAN,น่าน,น่าน,18.77972,100.77778,22.0,10-16-2019,04:00:00,0.0,22.6,0.00,1014.24,26.41,10.00,000,990.97,8.40,96
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,21.3,10-16-2019,04:00:00,0.0,22.1,0.00,1015.11,25.37,2.00,000,984.57,29.30,95
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,22.2,10-16-2019,04:00:00,0.0,23.0,0.00,1014.74,26.83,7.00,000,978.59,11.20,96
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,21.7,10-16-2019,04:00:00,0.0,22.0,0.00,1014.20,25.93,10.00,000,983.85,4.90,98
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,22.5,10-16-2019,04:00:00,0.0,25.6,0.00,1013.03,27.21,8.00,000,1005.64,3.70,83
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,22.0,10-16-2019,04:00:00,0.0,25.0,0.00,1013.58,26.43,5.00,000,993.44,0.00,83
48353,LOEI,เลย,เลย,17.45000,101.73333,21.5,10-16-2019,04:00:00,0.0,23.0,0.00,1014.03,25.60,7.00,000,984.84,0.01,91
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,21.6,10-16-2019,04:00:00,0.0,23.9,0.00,1013.54,25.84,12.00,000,993.05,0.00,87
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,21.5,10-16-2019,04:00:00,0.0,23.0,0.00,1014.49,25.60,10.00,000,992.33,11.50,91
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,22.5,10-16-2019,04:00:00,0.0,24.0,0.00,1013.44,27.25,10.00,000,993.64,2.00,91
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,21.8,10-16-2019,04:00:00,0.0,24.2,0.00,1013.98,26.09,10.00,000,996.97,0.00,86
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,21.5,10-16-2019,04:00:00,0.0,23.0,0.00,1013.98,25.60,10.00,000,996.23,1.00,91
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,23.5,10-16-2019,04:00:00,0.0,25.6,0.00,1012.94,29.03,8.00,000,986.91,0.00,88
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,25.0,10-16-2019,04:00:00,3.7,26.3,0.00,1012.96,31.68,10.00,350,1007.13,0.00,93
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,25.0,10-16-2019,04:00:00,0.0,26.3,0.00,1013.01,31.68,6.00,000,1006.77,0.00,93
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,22.0,10-16-2019,04:00:00,0.0,25.0,0.00,1012.83,26.43,10.00,000,996.19,0.00,83
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,22.7,10-16-2019,04:00:00,0.0,24.2,0.00,1011.35,27.60,8.00,000,988.73,0.00,91
48376,TAK,ตาก,ตาก,16.87833,99.14333,23.4,10-16-2019,04:00:00,0.0,25.3,0.00,1013.61,28.75,7.00,000,999.05,0.00,89
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,23.8,10-16-2019,04:00:00,0.0,24.5,0.00,1013.71,29.41,7.00,000,997.08,0.00,96
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,22.6,10-16-2019,04:00:00,0.0,27.0,0.00,1012.50,27.36,10.00,000,1007.24,0.00,77
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,21.8,10-16-2019,04:00:00,5.6,26.4,0.00,1011.50,26.04,10.00,010,998.22,0.00,76
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,23.9,10-16-2019,04:00:00,0.0,25.7,0.00,1012.64,29.74,11.00,000,1003.22,7.50,90
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,21.9,10-16-2019,04:00:00,5.6,23.3,0.00,1013.26,26.33,9.00,360,991.18,12.20,92
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,23.8,10-16-2019,04:00:00,0.0,24.5,0.00,1013.26,29.41,10.00,000,995.51,1.10,96
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,22.2,10-16-2019,04:00:00,5.6,25.3,0.00,1012.19,26.69,10.00,030,996.18,0.00,83
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,21.9,10-16-2019,04:00:00,5.6,24.2,0.00,1012.39,26.34,8.00,350,993.24,4.50,87
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,21.1,10-16-2019,04:00:00,0.0,22.0,0.00,1013.31,24.98,5.00,000,961.15,0.00,95
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,24.8,10-16-2019,04:00:00,0.0,26.5,0.00,1012.00,31.24,8.00,000,1008.02,0.00,90
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,19.9,10-16-2019,04:00:00,20.4,21.0,0.20,1013.49,23.23,3.00,050,917.63,21.50,93
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,22.0,10-16-2019,04:00:00,0.0,24.3,0.00,1012.70,26.51,8.00,000,996.48,1.60,87
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,24.2,10-16-2019,04:00:00,0.0,26.4,0.00,1012.33,30.24,6.00,000,1008.26,0.00,88
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,21.2,10-16-2019,04:00:00,13.0,27.4,0.00,1012.76,25.22,6.00,060,1002.04,0.00,69
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,22.7,10-16-2019,04:00:00,0.0,26.5,0.00,1012.09,27.51,9.00,000,1010.15,0.00,79
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,20.8,10-16-2019,04:00:00,7.4,25.7,0.00,1012.57,24.61,10.00,030,991.51,1.90,75
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,21.7,10-16-2019,04:00:00,3.7,24.0,0.00,1012.27,26.01,10.00,350,994.34,0.00,87
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,22.1,10-16-2019,04:00:00,5.6,24.5,0.00,1012.07,26.59,10.00,010,995.69,0.00,87
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,22.0,10-16-2019,04:00:00,5.6,24.3,0.00,1011.94,26.51,10.00,020,997.72,0.10,87
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,22.4,10-16-2019,04:00:00,0.0,24.2,0.00,1012.29,27.09,8.00,000,997.24,22.00,90
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,23.0,10-16-2019,04:00:00,9.3,24.5,0.00,1013.24,28.11,7.00,060,998.35,0.00,91
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,24.1,10-16-2019,04:00:00,0.0,27.3,0.00,1011.78,30.04,10.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",1008.75,0.00,83
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,23.1,10-16-2019,04:00:00,0.0,26.0,0.00,1011.99,28.18,8.00,000,1003.98,0.00,84
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,24.9,10-16-2019,04:00:00,0.0,26.3,0.00,1011.22,31.41,8.00,000,1010.11,0.00,92
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,23.1,10-16-2019,04:00:00,3.7,26.0,0.00,1011.13,28.18,8.00,090,996.33,0.00,84
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,18.5,10-16-2019,04:00:00,3.7,18.7,0.00,1012.90,21.33,.10,040,876.78,0.00,99
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,22.2,10-16-2019,04:00:00,0.0,24.9,0.00,1012.32,26.77,10.00,000,1006.37,0.00,85
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,24.8,10-16-2019,04:00:00,0.0,26.0,0.00,1011.19,31.38,7.00,000,1010.38,0.00,93
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,24.1,10-16-2019,04:00:00,0.0,27.1,0.00,1010.57,29.93,6.00,000,1010.12,0.00,84
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,23.1,10-16-2019,04:00:00,0.0,23.8,0.00,1011.91,28.18,4.00,000,1000.43,0.00,96
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,23.3,10-16-2019,04:00:00,3.7,27.1,0.00,1011.46,28.59,6.00,060,1010.44,0.00,80
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,22.0,10-16-2019,04:00:00,5.6,27.4,0.00,1011.70,26.51,7.00,050,1009.87,0.00,73
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,23.9,10-16-2019,04:00:00,0.0,26.2,0.00,1011.26,29.60,8.00,000,1010.49,0.00,87
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,24.0,10-16-2019,04:00:00,7.4,26.5,0.00,1010.91,29.89,9.00,030,1010.21,0.01,86
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,23.3,10-16-2019,04:00:00,0.0,27.0,0.00,1009.68,28.67,7.00,000,1008.97,0.01,80
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,22.5,10-16-2019,04:00:00,3.7,24.9,0.00,1012.46,27.28,8.00,050,991.04,0.00,87
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,22.6,10-16-2019,04:00:00,0.0,24.4,0.00,1012.27,27.43,6.00,000,995.32,0.00,90
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,22.6,10-16-2019,04:00:00,0.0,23.2,0.00,1012.85,27.41,6.00,000,996.12,0.01,96
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,22.9,10-16-2019,04:00:00,0.0,24.4,0.00,1012.56,27.94,6.00,000,990.40,0.00,91
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,21.9,10-16-2019,04:00:00,13.0,23.7,0.00,1012.57,26.25,12.00,070,968.63,0.00,90
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,22.7,10-16-2019,04:00:00,0.0,24.5,0.00,1012.22,27.60,10.00,000,991.38,1.30,90
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,23.0,10-16-2019,04:00:00,7.4,23.0,0.00,1013.84,28.07,7.00,020,992.61,1.40,100
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,23.9,10-16-2019,04:00:00,0.0,26.5,0.00,1010.58,29.62,10.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",1010.14,0.00,86
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,23.8,10-16-2019,04:00:00,0.0,24.4,0.00,1010.62,29.49,6.00,000,1009.18,6.70,97
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,24.2,10-16-2019,04:00:00,0.0,24.6,0.00,1010.93,30.12,7.00,000,1005.93,0.00,97
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,23.2,10-16-2019,04:00:00,0.0,27.2,0.00,1011.31,28.51,10.00,000,1008.00,0.00,79
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,24.4,10-16-2019,04:00:00,0.0,27.3,0.00,1011.25,30.59,10.00,000,1010.15,0.00,84
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,24.6,10-16-2019,04:00:00,0.0,26.8,0.00,1010.37,31.00,10.00,000,1010.07,3.30,88
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,24.3,10-16-2019,04:00:00,0.0,26.5,0.00,1010.15,30.43,10.00,000,1009.66,1.60,88
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,24.5,10-16-2019,04:00:00,7.4,26.5,0.00,1011.02,30.70,10.00,020,1009.60,2.20,89
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,23.0,10-16-2019,04:00:00,0.0,23.5,0.00,1012.69,28.17,10.00,000,1004.55,0.50,97
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,25.1,10-16-2019,04:00:00,0.0,26.5,0.00,1010.45,31.79,4.00,000,1010.17,0.00,92
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,25.1,10-16-2019,04:00:00,0.0,28.0,0.00,1009.45,31.95,10.00,000,1006.32,0.00,85
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,22.6,10-16-2019,04:00:00,7.4,27.0,0.00,1010.36,27.36,10.00,060,1003.39,0.00,77
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,24.4,10-16-2019,04:00:00,0.0,25.6,0.00,1011.51,30.63,8.00,000,1005.86,8.50,93
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,24.6,10-16-2019,04:00:00,3.7,26.0,0.20,1011.98,30.84,6.00,270,1010.70,0.20,92
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,24.6,10-16-2019,04:00:00,9.3,26.2,0.00,1010.43,30.94,11.00,330,1009.99,0.01,91
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,23.0,10-16-2019,04:00:00,0.0,24.0,0.00,1011.02,28.01,8.00,000,998.59,1.70,94
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,24.7,10-16-2019,04:00:00,3.7,25.6,0.00,1010.37,31.17,10.00,300,1009.65,9.20,95
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,24.0,10-16-2019,04:00:00,0.0,25.0,0.00,1010.46,29.79,8.00,000,1008.00,14.20,94
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,24.2,10-16-2019,04:00:00,0.0,25.1,0.00,1010.56,30.23,8.00,000,1010.04,6.40,95
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,23.7,10-16-2019,04:00:00,0.0,25.0,0.00,1009.86,29.26,7.00,000,1004.65,0.01,92
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,23.3,10-16-2019,04:00:00,0.0,25.5,0.00,1010.29,28.59,7.00,000,1009.88,0.80,88
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,23.6,10-16-2019,04:00:00,0.0,24.8,0.00,1010.52,29.16,8.00,000,1007.72,0.00,93
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,23.5,10-16-2019,04:00:00,0.0,25.0,0.00,1010.34,29.00,10.00,000,1009.55,0.00,92
48501,TRAD,ตราด,ตราด,11.76667,102.88333,23.8,10-16-2019,04:00:00,0.0,24.5,0.00,1009.85,29.41,6.00,000,1009.39,6.30,96
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,23.8,10-16-2019,04:00:00,0.0,24.5,0.00,1009.60,29.41,7.00,000,1008.91,3.40,96
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,23.6,10-16-2019,04:00:00,0.0,24.8,0.00,1009.98,29.16,7.00,000,1008.44,6.40,93
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,23.0,10-16-2019,04:00:00,0.0,24.5,0.00,1009.94,28.11,10.00,000,1009.02,0.30,91
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,25.4,10-16-2019,04:00:00,0.0,26.5,0.00,1009.89,32.35,10.00,000,1009.20,9.20,93
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,23.3,10-16-2019,04:00:00,0.0,24.0,0.00,1010.07,28.53,7.00,000,1009.27,0.80,96
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,23.4,10-16-2019,04:00:00,0.0,23.7,0.00,1009.67,28.77,10.00,000,1009.03,17.40,98
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,23.5,10-16-2019,04:00:00,0.0,24.1,0.00,1009.52,28.96,10.00,000,1009.11,12.30,97
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,23.3,10-16-2019,04:00:00,0.0,24.0,0.00,1011.49,28.53,6.00,000,1007.22,8.20,96
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,23.1,10-16-2019,04:00:00,0.0,23.4,0.00,1009.68,28.25,6.00,000,1008.04,0.40,98
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,23.3,10-16-2019,04:00:00,0.0,24.0,0.00,1010.10,28.53,7.00,000,1006.58,2.90,96
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,24.1,10-16-2019,04:00:00,3.7,24.7,0.00,1009.46,30.03,7.00,310,1008.09,3.50,97
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,23.3,10-16-2019,04:00:00,0.0,23.5,0.00,1009.37,28.68,10.00,000,1008.47,17.70,99
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,22.7,10-16-2019,04:00:00,0.0,23.2,0.00,1009.15,27.66,10.00,000,1005.54,1.60,97
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,23.5,10-16-2019,04:00:00,0.0,26.1,0.00,1009.12,28.88,10.00,000,1008.68,0.40,85
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,23.8,10-16-2019,04:00:00,0.0,25.0,0.00,1008.88,29.52,9.00,000,1007.88,2.90,93
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,23.7,10-16-2019,04:00:00,0.0,24.6,0.00,1009.14,29.33,10.00,000,1008.31,20.80,95
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,24.0,10-16-2019,04:00:00,0.0,24.4,0.00,1008.97,29.75,7.00,000,1007.14,1.30,97
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,24.3,10-16-2019,04:00:00,1.9,25.6,0.00,1009.32,30.36,10.00,230,1008.57,0.10,93
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,24.1,10-16-2019,04:00:00,0.0,24.3,0.00,1009.69,30.10,3.00,000,1005.64,7.20,99
48570,SATUN,สตูล,สตูล,6.65000,100.08333,23.7,10-16-2019,04:00:00,0.0,24.6,0.00,1009.28,29.33,8.00,000,1008.59,4.40,95
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,23.3,10-16-2019,04:00:00,0.0,23.9,0.00,1010.07,28.61,10.00,000,1008.94,0.80,97
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,24.5,10-16-2019,04:00:00,0.0,24.8,0.00,1009.73,30.75,10.00,000,1006.78,10.80,98
