WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,VaporPressure,Rainfall,Rainfall24Hr,AirTemperature,RelativeHumidity,WindDirection,WindSpeed,DewPoint,MeanSeaLevelPressure,LandVisibility
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,995.39,08-31-2019,01:00:00,32.62,5.20,33.80,25.5,100,000,0.0,25.5,1001.18,10.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,992.05,08-31-2019,01:00:00,32.23,2.00,41.90,25.3,100,000,0.0,25.3,998.22,6.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,984.48,08-31-2019,01:00:00,29.41,0.01,106.40,24.5,96,000,0.0,23.8,1000.95,10.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,978.84,08-31-2019,01:00:00,28.53,18.60,22.30,24.0,96,000,0.0,23.3,1001.25,6.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,987.64,08-31-2019,01:00:00,29.16,18.20,39.40,24.8,93,000,0.0,23.6,1002.06,4.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,985.17,08-31-2019,01:00:00,30.32,49.90,67.60,25.0,96,000,0.0,24.3,1001.56,6.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,995.37,08-31-2019,01:00:00,30.96,0.50,54.20,25.2,97,250,5.6,24.6,1000.60,10.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,986.07,08-31-2019,01:00:00,30.12,9.20,45.00,24.6,97,000,0.0,24.2,999.27,6.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,991.49,08-31-2019,01:00:00,31.49,39.00,62.90,25.2,98,000,0.0,24.9,1000.82,5.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,978.40,08-31-2019,01:00:00,28.42,2.60,44.40,23.2,100,220,7.4,23.2,1000.21,4.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,983.28,08-31-2019,01:00:00,28.94,10.70,222.50,23.5,100,000,0.0,23.5,1000.88,4.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,986.43,08-31-2019,01:00:00,27.66,20.80,177.00,23.5,96,160,3.7,22.8,1002.37,6.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,980.59,08-31-2019,01:00:00,28.00,8.50,68.10,23.4,97,180,14.8,22.9,999.56,5.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,953.12,08-31-2019,01:00:00,26.66,5.20,8.10,23.2,94,000,0.0,22.1,1004.63,5.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,996.66,08-31-2019,01:00:00,30.58,27.40,92.60,25.0,97,210,16.7,24.4,1000.62,1.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,907.85,08-31-2019,01:00:00,23.41,24.80,50.80,20.5,97,260,5.6,20.0,1002.85,.80
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,984.64,08-31-2019,01:00:00,30.28,0.10,121.00,24.4,99,180,9.3,24.2,1000.66,5.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,997.65,08-31-2019,01:00:00,31.41,2.50,48.90,25.3,97,210,3.7,24.9,1001.69,5.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,991.71,08-31-2019,01:00:00,30.22,9.70,43.90,24.8,97,000,0.0,24.2,1002.41,3.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,993.68,08-31-2019,01:00:00,31.25,7.50,13.60,25.5,96,090,3.7,24.8,995.60,9.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,979.72,08-31-2019,01:00:00,29.57,10.50,66.90,24.3,97,220,9.3,23.9,1000.63,2.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,983.37,08-31-2019,01:00:00,28.36,3.00,348.10,24.2,94,200,14.8,23.2,1001.10,10.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,984.68,08-31-2019,01:00:00,28.44,2.50,318.20,24.1,95,170,9.3,23.2,1000.89,10.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,989.41,08-31-2019,01:00:00,26.52,0.00,41.70,24.9,84,150,5.6,22.1,1003.49,10.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,988.90,08-31-2019,01:00:00,29.41,0.40,31.40,24.5,96,150,5.6,23.8,1003.81,6.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,988.55,08-31-2019,01:00:00,30.85,0.10,33.30,25.0,97,000,0.0,24.6,1003.26,4.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,998.47,08-31-2019,01:00:00,31.82,11.50,27.20,25.8,96,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.0,25.1,1001.48,5.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,992.94,08-31-2019,01:00:00,30.07,1.00,40.60,25.3,93,000,0.0,24.1,1000.89,6.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1001.04,08-31-2019,01:00:00,30.18,0.00,3.20,26.8,86,180,5.6,24.2,1002.15,6.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,987.76,08-31-2019,01:00:00,28.78,3.50,122.60,24.0,97,000,0.0,23.4,1002.52,3.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,868.78,08-31-2019,01:00:00,22.71,6.40,41.00,19.7,99,300,5.6,19.5,1003.17,.10
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,995.80,08-31-2019,01:00:00,31.25,4.80,50.20,25.5,96,250,5.6,24.8,1001.68,6.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1001.64,08-31-2019,01:00:00,32.53,0.01,1.50,27.3,90,230,7.4,25.4,1002.44,8.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1001.93,08-31-2019,01:00:00,29.60,0.00,0.80,28.5,76,230,14.8,23.9,1002.38,10.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,992.84,08-31-2019,01:00:00,30.71,0.00,0.00,25.5,94,000,0.0,24.5,1004.17,4.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1001.23,08-31-2019,01:00:00,30.20,0.00,0.40,27.1,84,210,3.7,24.2,1002.23,10.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1000.72,08-31-2019,01:00:00,32.15,2.00,4.70,26.4,93,000,0.0,25.3,1002.53,6.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1001.35,08-31-2019,01:00:00,28.94,0.00,0.20,27.0,81,000,0.0,23.5,1002.11,5.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1001.94,08-31-2019,01:00:00,29.44,0.00,0.60,27.7,79,230,9.3,23.8,1002.64,10.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1001.59,08-31-2019,01:00:00,32.10,0.00,6.70,26.8,91,000,0.0,25.2,1002.29,7.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,980.35,08-31-2019,01:00:00,30.12,4.00,60.10,24.6,97,210,3.7,24.2,1001.56,5.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,986.00,08-31-2019,01:00:00,30.12,2.00,36.00,24.6,97,000,0.0,24.2,1002.78,5.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,986.70,08-31-2019,01:00:00,30.30,2.70,43.60,24.7,97,180,7.4,24.3,1003.19,5.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,979.90,08-31-2019,01:00:00,29.85,3.40,54.10,24.6,97,000,0.0,24.0,1001.81,4.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,958.91,08-31-2019,01:00:00,25.76,0.40,13.20,24.9,82,160,11.1,21.6,1002.23,10.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,981.63,08-31-2019,01:00:00,30.46,4.00,42.50,24.5,99,210,7.4,24.3,1002.26,5.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,981.95,08-31-2019,01:00:00,30.54,9.20,93.40,24.4,100,180,18.5,24.4,1002.86,5.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1002.08,08-31-2019,01:00:00,29.28,0.00,0.01,27.9,78,260,5.6,23.7,1002.51,10.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,999.92,08-31-2019,01:00:00,32.37,0.00,11.90,25.8,97,000,0.0,25.4,1001.33,6.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,998.21,08-31-2019,01:00:00,31.52,0.00,8.50,25.5,97,000,0.0,24.9,1003.15,6.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,999.38,08-31-2019,01:00:00,27.85,0.00,0.00,28.0,74,000,0.0,22.9,1002.65,10.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1001.32,08-31-2019,01:00:00,30.26,0.00,0.60,26.7,86,000,0.0,24.2,1002.42,10.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1002.17,08-31-2019,01:00:00,30.15,0.00,1.00,28.5,78,210,3.7,24.2,1002.47,10.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1002.28,08-31-2019,01:00:00,32.45,0.00,1.40,27.4,89,000,0.0,25.4,1002.76,10.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1001.50,08-31-2019,01:00:00,30.28,0.00,1.40,28.0,80,250,13.0,24.3,1002.90,10.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,996.56,08-31-2019,01:00:00,29.50,0.00,6.20,26.0,88,000,0.0,23.8,1004.57,10.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1002.37,08-31-2019,01:00:00,29.19,0.00,0.40,28.0,77,000,0.0,23.6,1002.65,10.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,999.74,08-31-2019,01:00:00,33.24,0.00,0.01,28.5,85,100,9.3,25.8,1002.84,10.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,996.56,08-31-2019,01:00:00,28.63,0.00,0.00,27.7,77,210,9.3,23.3,1003.46,10.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,998.17,08-31-2019,01:00:00,30.84,0.01,1.80,26.0,92,000,0.0,24.6,1003.77,10.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1002.46,08-31-2019,01:00:00,30.51,0.00,0.00,26.4,89,270,3.7,24.4,1003.72,10.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1002.57,08-31-2019,01:00:00,28.94,0.01,0.01,27.0,81,210,5.6,23.5,1003.00,8.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,991.02,08-31-2019,01:00:00,26.24,0.01,0.01,27.1,73,270,7.4,21.9,1003.22,10.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1002.52,08-31-2019,01:00:00,28.26,0.00,0.00,27.5,77,240,3.7,23.1,1003.23,10.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1001.28,08-31-2019,01:00:00,28.12,0.01,0.01,28.0,74,240,18.5,23.0,1003.70,10.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1003.51,08-31-2019,01:00:00,29.85,0.00,0.00,28.2,78,260,25.9,24.0,1004.02,10.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,998.47,08-31-2019,01:00:00,28.78,0.00,0.10,27.2,80,280,5.6,23.4,1003.60,8.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1003.67,08-31-2019,01:00:00,30.01,0.00,3.60,28.0,79,200,14.8,24.1,1004.08,7.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1001.58,08-31-2019,01:00:00,30.42,0.00,1.10,27.5,83,230,11.1,24.3,1004.34,8.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1004.85,08-31-2019,01:00:00,27.66,0.20,16.70,26.0,82,240,18.5,22.7,1005.64,10.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1005.15,08-31-2019,01:00:00,32.82,1.70,14.50,26.6,94,270,5.6,25.6,1005.61,6.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1005.85,08-31-2019,01:00:00,29.33,1.30,48.00,24.6,95,240,7.4,23.7,1006.54,8.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1004.71,08-31-2019,01:00:00,27.70,2.00,38.40,25.0,88,260,5.6,22.8,1006.25,8.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1006.41,08-31-2019,01:00:00,30.05,9.00,65.30,25.0,95,180,3.7,24.1,1007.33,10.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1006.24,08-31-2019,01:00:00,28.88,0.00,1.50,27.4,79,230,9.3,23.5,1006.92,10.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1006.76,08-31-2019,01:00:00,29.11,0.00,12.30,23.6,100,000,0.0,23.6,1007.57,8.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1005.55,08-31-2019,01:00:00,28.74,0.00,5.40,25.0,91,000,0.0,23.4,1006.18,10.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1006.77,08-31-2019,01:00:00,29.26,0.00,4.60,25.0,92,000,0.0,23.7,1007.18,8.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1004.38,08-31-2019,01:00:00,25.98,0.00,1.20,27.1,72,230,13.0,21.7,1008.59,6.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1004.46,08-31-2019,01:00:00,28.43,0.00,14.80,23.8,97,000,0.0,23.2,1007.98,10.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1006.19,08-31-2019,01:00:00,29.30,0.00,21.30,24.0,98,000,0.0,23.7,1007.56,7.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1006.96,08-31-2019,01:00:00,31.14,0.00,57.80,27.3,86,240,14.8,24.7,1007.84,10.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1004.27,08-31-2019,01:00:00,28.34,0.00,59.90,23.6,97,000,0.0,23.2,1007.87,10.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1006.83,08-31-2019,01:00:00,30.79,0.00,39.60,25.4,95,000,0.0,24.5,1007.27,10.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1006.19,08-31-2019,01:00:00,29.57,0.00,81.20,28.2,77,000,0.0,23.9,1007.18,9.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1006.42,08-31-2019,01:00:00,33.05,0.00,45.40,27.7,89,210,11.1,25.7,1007.24,10.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1006.37,08-31-2019,01:00:00,28.17,0.00,43.60,23.5,97,000,0.0,23.0,1008.20,9.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1006.88,08-31-2019,01:00:00,28.38,0.00,16.80,24.8,91,230,7.4,23.2,1007.64,10.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1003.94,08-31-2019,01:00:00,27.74,0.00,11.00,23.1,98,000,0.0,22.8,1007.99,6.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1008.19,08-31-2019,01:00:00,28.53,0.00,28.50,24.0,96,000,0.0,23.3,1008.88,10.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1006.46,08-31-2019,01:00:00,30.02,0.00,4.00,24.4,98,000,0.0,24.1,1007.58,10.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1005.10,08-31-2019,01:00:00,28.34,0.00,27.60,23.6,97,000,0.0,23.2,1008.05,10.00
