WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,Rainfall,DewPoint,StationPressure,LandVisibility,Rainfall24Hr,WindSpeed,VaporPressure,RelativeHumidity,MeanSeaLevelPressure,MinimumTemperature,AirTemperature
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,000,07-12-2019,07:00:00,0.00,25.9,988.73,15.00,3.90,0.0,33.34,94,1008.65,26.2,27.0
48353,LOEI,เลย,เลย,17.45000,101.73333,280,07-12-2019,07:00:00,0.00,21.5,979.96,13.00,0.00,3.7,25.65,70,1008.57,27.0,27.5
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,000,07-12-2019,07:00:00,0.00,25.7,988.82,12.00,10.40,0.0,33.00,87,1008.94,26.4,28.1
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,000,07-12-2019,07:00:00,0.00,24.7,987.55,12.00,3.20,0.0,31.11,87,1009.31,26.1,27.0
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,210,07-12-2019,07:00:00,0.00,25.0,989.11,12.00,4.80,3.7,31.72,86,1008.57,26.7,27.6
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,120,07-12-2019,07:00:00,0.00,24.7,992.86,10.00,2.30,3.7,31.08,84,1009.61,26.7,27.7
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,000,07-12-2019,07:00:00,0.00,24.9,992.07,11.00,0.01,0.0,31.58,88,1009.51,25.2,27.1
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,150,07-12-2019,07:00:00,0.00,24.6,982.76,9.00,0.00,5.6,30.94,86,1008.54,26.0,27.2
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,000,07-12-2019,07:00:00,0.00,22.9,1003.59,10.00,0.00,0.0,27.85,74,1009.37,25.7,28.0
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,000,07-12-2019,07:00:00,0.00,23.5,1003.31,12.00,0.00,0.0,28.88,79,1009.51,27.0,27.4
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,000,07-12-2019,07:00:00,0.00,23.9,993.91,10.00,0.00,0.0,29.60,81,1010.37,26.0,27.5
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,230,07-12-2019,07:00:00,0.00,23.4,987.76,10.00,1.00,3.7,28.72,92,1010.32,24.2,24.7
48376,TAK,ตาก,ตาก,16.87833,99.14333,250,07-12-2019,07:00:00,0.00,22.7,996.04,7.00,0.00,5.6,27.63,76,1010.46,26.5,27.3
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,120,07-12-2019,07:00:00,0.00,24.1,992.99,7.00,0.00,5.6,30.02,84,1009.41,26.0,27.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,000,07-12-2019,07:00:00,0.00,24.9,1004.53,10.00,0.00,0.0,31.52,86,1009.77,26.0,27.5
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,000,07-12-2019,07:00:00,0.00,24.1,995.07,10.00,0.00,0.0,30.02,84,1008.29,26.4,27.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,210,07-12-2019,07:00:00,0.00,23.3,1000.59,12.00,0.00,3.7,28.64,83,1009.96,25.8,26.4
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,220,07-12-2019,07:00:00,0.00,23.1,987.37,9.00,1.80,7.4,28.24,78,1009.08,25.9,27.2
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,240,07-12-2019,07:00:00,0.00,23.2,991.69,10.00,0.01,7.4,28.45,77,1009.19,26.5,27.6
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,000,07-12-2019,07:00:00,0.00,24.2,992.82,10.00,0.00,0.0,30.26,81,1008.64,26.7,27.7
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,000,07-12-2019,07:00:00,0.00,23.3,989.51,10.00,0.01,0.0,28.57,75,1008.35,26.7,28.1
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,000,07-12-2019,07:00:00,0.20,22.1,960.44,7.00,0.70,0.0,26.58,93,1012.33,22.4,23.3
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,000,07-12-2019,07:00:00,0.00,26.3,1005.72,5.00,0.00,0.0,34.23,94,1009.68,26.3,27.3
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,230,07-12-2019,07:00:00,0.10,20.3,915.34,.80,0.90,9.3,23.77,96,1010.99,20.2,20.9
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,350,07-12-2019,07:00:00,0.00,23.5,993.10,8.00,0.00,5.6,28.86,75,1009.04,27.0,28.4
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,000,07-12-2019,07:00:00,0.00,25.2,1005.94,10.00,0.00,0.0,31.97,88,1009.99,26.7,27.3
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,000,07-12-2019,07:00:00,0.00,24.3,1000.31,8.00,0.00,0.0,30.43,88,1011.04,25.5,26.5
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,000,07-12-2019,07:00:00,0.00,25.1,1008.82,12.00,0.00,0.0,31.79,92,1010.76,25.8,26.5
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,210,07-12-2019,07:00:00,0.00,22.4,988.41,10.00,0.00,9.3,27.03,74,1009.28,26.6,27.4
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,210,07-12-2019,07:00:00,0.00,22.4,991.37,10.00,0.00,9.3,27.06,72,1009.01,26.5,28.0
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,200,07-12-2019,07:00:00,0.00,23.8,992.81,10.00,0.00,9.3,29.44,79,1008.96,27.0,27.7
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,000,07-12-2019,07:00:00,0.00,23.5,995.80,10.00,0.00,0.0,28.92,77,1009.82,26.8,28.0
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,000,07-12-2019,07:00:00,0.00,24.8,995.84,9.00,0.00,0.0,31.22,87,1010.71,26.0,27.2
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,000,07-12-2019,07:00:00,0.00,23.0,996.43,9.00,0.00,0.0,28.03,81,1011.18,26.0,26.5
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",07-12-2019,07:00:00,0.00,25.2,1007.01,10.00,0.00,0.0,32.08,87,1010.03,26.4,27.5
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,000,07-12-2019,07:00:00,0.00,23.7,1002.06,10.00,0.00,0.0,29.33,80,1010.02,27.0,27.5
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,210,07-12-2019,07:00:00,0.00,24.3,1009.12,9.00,0.00,5.6,30.34,87,1010.23,25.3,26.6
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,000,07-12-2019,07:00:00,0.00,24.5,995.68,8.00,0.00,0.0,30.67,90,1010.46,25.7,26.2
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,000,07-12-2019,07:00:00,0.00,17.7,875.56,8.00,0.00,0.0,20.24,97,1011.73,17.7,18.2
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,250,07-12-2019,07:00:00,0.00,24.8,1004.24,10.00,0.00,3.7,31.33,86,1010.13,26.0,27.4
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,230,07-12-2019,07:00:00,0.00,24.5,1009.71,8.00,0.00,7.4,30.81,83,1010.51,26.6,27.7
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,000,07-12-2019,07:00:00,0.00,23.1,1009.61,10.00,0.00,0.0,28.28,76,1010.06,26.2,27.8
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,000,07-12-2019,07:00:00,0.00,23.6,1000.51,5.00,0.00,0.0,29.15,95,1011.96,23.9,24.5
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,000,07-12-2019,07:00:00,0.00,22.8,1009.41,10.00,0.00,0.0,27.80,78,1010.43,26.0,27.1
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,170,07-12-2019,07:00:00,0.00,23.6,1008.55,8.00,0.00,3.7,29.21,82,1010.38,26.5,27.0
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,000,07-12-2019,07:00:00,0.00,23.1,1009.71,8.00,0.00,0.0,28.18,84,1010.48,25.2,26.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,260,07-12-2019,07:00:00,0.00,23.2,1009.95,10.00,0.00,3.7,28.51,79,1010.65,25.4,27.2
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,000,07-12-2019,07:00:00,0.00,24.8,1009.76,7.00,0.00,0.0,31.38,88,1010.46,26.3,27.0
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,000,07-12-2019,07:00:00,0.00,22.4,988.86,10.00,0.00,0.0,27.10,76,1010.08,25.3,27.0
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,000,07-12-2019,07:00:00,0.00,22.3,993.57,8.00,0.00,0.0,26.88,80,1010.39,25.0,26.0
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,270,07-12-2019,07:00:00,0.00,23.1,994.23,8.00,0.00,5.6,28.18,84,1010.78,24.3,26.0
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,000,07-12-2019,07:00:00,0.00,21.7,988.14,10.00,0.00,0.0,26.02,80,1010.17,24.5,25.5
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,240,07-12-2019,07:00:00,0.00,21.9,967.05,12.00,0.00,3.7,26.27,82,1010.70,23.8,25.2
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,240,07-12-2019,07:00:00,0.00,21.7,989.42,10.00,0.00,3.7,26.02,80,1010.14,24.6,25.5
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,210,07-12-2019,07:00:00,0.00,23.5,990.66,8.00,0.00,13.0,28.94,81,1011.57,25.4,27.0
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,250,07-12-2019,07:00:00,0.00,22.5,1010.34,10.00,0.00,1.9,27.32,81,1010.78,25.2,26.1
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,000,07-12-2019,07:00:00,0.00,24.6,1008.83,8.00,0.00,0.0,31.00,93,1010.26,25.1,25.8
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,000,07-12-2019,07:00:00,0.00,24.8,1005.42,7.00,0.00,0.0,31.25,96,1010.39,24.9,25.5
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,000,07-12-2019,07:00:00,0.00,22.3,1007.43,12.00,0.00,0.0,26.92,76,1010.74,25.0,26.9
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,170,07-12-2019,07:00:00,0.00,23.1,1009.66,10.00,0.00,3.7,28.22,89,1010.78,23.7,25.0
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,250,07-12-2019,07:00:00,0.00,22.9,1010.36,10.00,0.00,5.6,27.86,80,1010.66,25.6,26.7
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,000,07-12-2019,07:00:00,0.00,22.7,1009.83,10.00,0.00,0.0,27.52,78,1010.52,26.7,26.8
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,300,07-12-2019,07:00:00,0.00,22.6,1009.95,10.00,0.00,5.6,27.34,78,1010.44,26.5,26.7
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,240,07-12-2019,07:00:00,0.00,22.4,1009.72,10.00,0.00,14.8,27.08,70,1011.12,27.6,28.3
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,300,07-12-2019,07:00:00,0.00,22.8,1008.92,10.00,0.00,3.7,27.71,66,1010.59,28.8,29.8
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,230,07-12-2019,07:00:00,0.00,24.6,998.99,10.00,0.00,3.7,31.00,93,1007.03,24.3,25.8
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,000,07-12-2019,07:00:00,0.00,24.4,1010.02,10.00,0.00,0.0,30.56,81,1010.31,27.0,28.0
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,000,07-12-2019,07:00:00,0.00,23.9,1007.51,10.00,0.00,0.0,29.60,81,1010.65,26.0,27.5
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,300,07-12-2019,07:00:00,0.00,21.8,1003.89,10.00,0.00,7.4,26.13,67,1010.82,27.0,28.5
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,270,07-12-2019,07:00:00,0.00,24.3,1005.37,7.00,0.00,5.6,30.43,88,1011.00,25.2,26.5
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,000,07-12-2019,07:00:00,0.00,24.5,1001.46,10.00,0.00,0.0,30.72,82,1010.78,26.8,27.8
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,000,07-12-2019,07:00:00,0.00,23.3,1010.52,14.00,0.00,0.0,28.55,92,1011.80,23.7,24.6
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,000,07-12-2019,07:00:00,0.00,22.2,1010.04,11.00,0.00,0.0,26.78,84,1010.48,24.6,25.2
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,000,07-12-2019,07:00:00,0.00,21.5,998.66,8.00,0.00,0.0,25.60,91,1011.13,22.2,23.0
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,000,07-12-2019,07:00:00,0.00,22.9,1010.15,10.00,0.00,0.0,27.92,83,1010.86,24.9,26.0
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,000,07-12-2019,07:00:00,0.00,23.4,1008.92,10.00,0.00,0.0,28.71,78,1011.36,25.6,27.6
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,000,07-12-2019,07:00:00,0.00,25.0,1010.22,10.00,0.00,0.0,31.70,82,1010.74,28.0,28.3
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,300,07-12-2019,07:00:00,0.00,24.7,1005.64,12.00,0.00,1.9,31.11,87,1010.81,26.2,27.0
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,000,07-12-2019,07:00:00,0.00,24.3,1010.28,7.00,0.00,0.0,30.38,91,1010.69,24.9,25.9
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,000,07-12-2019,07:00:00,0.00,25.2,1008.26,8.00,0.00,0.0,32.04,94,1011.05,25.0,26.2
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,000,07-12-2019,07:00:00,0.00,22.9,1010.29,12.00,0.00,0.0,27.96,88,1011.08,24.0,25.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,070,07-12-2019,07:00:00,0.00,22.9,1010.72,7.00,0.00,11.1,27.87,89,1011.18,23.5,24.8
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,000,07-12-2019,07:00:00,0.00,24.3,1010.67,7.00,0.00,0.0,30.36,93,1011.36,25.0,25.6
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,000,07-12-2019,07:00:00,0.00,22.6,1009.36,9.00,0.00,0.0,27.42,93,1010.91,23.8,23.8
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,030,07-12-2019,07:00:00,0.00,23.3,1010.80,10.00,0.00,3.7,28.59,88,1011.72,25.4,25.5
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,000,07-12-2019,07:00:00,0.00,24.4,1010.42,10.00,0.00,0.0,30.59,89,1011.12,25.0,26.3
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,000,07-12-2019,07:00:00,0.00,24.4,1010.82,8.00,0.00,0.0,30.58,97,1011.62,25.0,25.0
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,000,07-12-2019,07:00:00,0.00,23.3,1010.05,10.00,1.20,0.0,28.53,96,1010.70,23.3,24.0
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,000,07-12-2019,07:00:00,0.00,22.9,1010.96,10.00,4.70,0.0,27.91,98,1011.37,22.7,23.2
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,000,07-12-2019,07:00:00,0.00,24.1,1008.90,6.00,1.20,0.0,29.93,97,1013.17,24.2,24.5
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,000,07-12-2019,07:00:00,0.00,24.1,1007.94,7.00,0.00,0.0,29.95,96,1009.57,23.7,24.8
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,000,07-12-2019,07:00:00,0.00,23.3,1007.88,5.00,0.00,0.0,28.52,97,1011.41,23.5,23.7
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,000,07-12-2019,07:00:00,0.00,23.6,1009.97,9.00,0.01,0.0,29.13,97,1011.34,24.0,24.2
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,000,07-12-2019,07:00:00,0.00,24.6,1010.27,12.00,0.10,0.0,30.84,92,1011.16,25.4,26.0
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,000,07-12-2019,07:00:00,0.00,24.0,1007.45,10.00,0.00,0.0,29.89,93,1011.04,23.2,25.2
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,000,07-12-2019,07:00:00,0.00,23.9,1010.38,10.00,0.00,0.0,29.60,87,1010.82,25.9,26.2
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,000,07-12-2019,07:00:00,0.00,24.9,1009.37,10.00,8.30,0.0,31.41,97,1010.37,23.0,25.3
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,090,07-12-2019,07:00:00,0.00,24.9,1010.33,10.00,0.00,7.4,31.46,94,1011.15,24.5,25.9
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,000,07-12-2019,07:00:00,0.00,23.9,1009.77,.80,1.40,0.0,29.66,98,1011.60,23.7,24.2
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,240,07-12-2019,07:00:00,0.00,24.4,1010.70,10.00,4.80,5.6,30.59,84,1011.45,25.6,27.3
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,000,07-12-2019,07:00:00,0.00,24.6,1007.56,8.00,0.20,0.0,30.98,95,1011.60,24.3,25.5
48570,SATUN,สตูล,สตูล,6.65000,100.08333,000,07-12-2019,07:00:00,0.00,25.0,1010.73,10.00,3.50,0.0,31.65,94,1011.41,25.5,26.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,000,07-12-2019,07:00:00,0.00,24.5,1010.28,10.00,0.00,0.0,30.67,90,1011.40,23.0,26.2
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,000,07-12-2019,07:00:00,0.00,24.6,1008.46,10.00,0.00,0.0,30.85,97,1011.41,23.5,25.0
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,190,07-12-2019,07:00:00,0.00,22.7,1009.95,10.00,0.00,5.6,27.58,95,1010.65,23.2,23.6
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,000,07-12-2019,07:00:00,0.00,21.7,1007.95,8.00,51.90,0.0,25.93,95,1012.16,22.1,22.6
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,000,07-12-2019,07:00:00,0.00,20.7,1011.12,9.00,22.70,0.0,24.39,87,1011.71,.0,23.0
