WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,DewPoint,Rainfall24Hr,Rainfall,RelativeHumidity,AirTemperature,VaporPressure,MinimumTemperature,LandVisibility,MeanSeaLevelPressure,WindDirection,WindSpeed
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1006.65,08-18-2019,07:00:00,23.3,3.60,0.00,96,24.0,28.53,22.0,6.00,1008.28,000,0.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1008.37,08-18-2019,07:00:00,22.2,0.00,0.00,97,22.7,26.82,22.5,8.00,1011.91,000,0.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1010.18,08-18-2019,07:00:00,23.5,0.00,0.00,92,25.0,29.00,24.8,9.00,1011.55,250,5.6
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1010.37,08-18-2019,07:00:00,23.1,37.40,0.00,96,23.8,28.18,23.4,15.00,1011.26,000,0.0
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1007.93,08-18-2019,07:00:00,22.6,3.60,0.00,97,23.1,27.49,22.2,10.00,1011.55,000,0.0
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1010.89,08-18-2019,07:00:00,24.3,0.00,0.00,96,25.0,30.32,24.6,10.00,1011.33,000,0.0
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1010.49,08-18-2019,07:00:00,24.1,1.70,0.00,97,24.5,29.93,23.1,10.00,1011.50,000,0.0
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1010.92,08-18-2019,07:00:00,24.0,21.60,0.00,96,24.7,29.77,23.7,10.00,1011.75,270,9.3
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1010.05,08-18-2019,07:00:00,23.9,2.50,0.00,98,24.2,29.66,24.0,.30,1011.89,000,0.0
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1010.83,08-18-2019,07:00:00,24.3,0.30,0.00,87,26.6,30.34,26.1,9.00,1011.59,000,0.0
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1007.76,08-18-2019,07:00:00,24.8,0.00,0.00,95,25.7,31.36,24.0,8.00,1011.79,260,5.6
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1011.71,08-18-2019,07:00:00,24.3,0.00,0.00,93,25.5,30.44,24.5,10.00,1012.40,000,0.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1010.07,08-18-2019,07:00:00,25.0,0.00,0.00,94,26.0,31.65,22.5,10.00,1011.19,000,0.0
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1008.99,08-18-2019,07:00:00,25.1,0.00,0.00,98,25.4,31.87,23.6,10.00,1011.94,000,0.0
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1010.35,08-18-2019,07:00:00,23.9,18.80,0.00,96,24.6,29.59,24.3,8.00,1011.05,000,0.0
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1008.34,08-18-2019,07:00:00,23.3,10.60,0.00,95,24.2,28.62,23.5,6.00,1012.52,000,0.0
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1011.09,08-18-2019,07:00:00,22.5,1.60,0.00,91,24.0,27.25,.0,9.00,1011.68,000,0.0
