WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,Rainfall,Rainfall24Hr,WindDirection,StationPressure,MeanSeaLevelPressure,VaporPressure,DewPoint,WindSpeed,RelativeHumidity,AirTemperature
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,10.00,07-11-2019,10:00:00,0.00,0.00,240,1010.50,1011.59,28.66,23.3,1.9,60,32.0
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,10.00,07-11-2019,10:00:00,0.00,0.00,280,1011.10,1011.40,27.55,22.7,5.6,58,32.0
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,10.00,07-11-2019,10:00:00,0.00,0.00,290,1010.71,1011.39,29.51,23.8,5.6,62,32.0
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,10.00,07-11-2019,10:00:00,0.00,0.00,270,1011.45,1011.94,27.91,22.9,1.9,59,31.9
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,10.00,07-11-2019,10:00:00,0.00,0.00,230,1010.39,1011.79,27.87,22.9,13.0,60,31.6
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,10.00,07-11-2019,10:00:00,0.00,0.00,000,1010.16,1011.83,27.54,22.7,0.0,61,31.0
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,12.00,07-11-2019,10:00:00,0.00,0.00,000,1005.62,1013.58,31.31,24.8,0.0,72,30.5
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,10.00,07-11-2019,10:00:00,0.00,0.00,270,1011.16,1011.44,29.63,23.9,11.1,64,31.5
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,12.00,07-11-2019,10:00:00,0.00,0.00,270,1008.45,1011.56,28.09,23.0,5.6,63,31.0
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,12.00,07-11-2019,10:00:00,0.00,0.00,270,1005.08,1011.98,29.89,24.0,11.1,68,30.5
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,7.00,07-11-2019,10:00:00,0.00,0.00,280,1006.52,1012.05,31.23,24.8,7.4,66,32.0
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,10.00,07-11-2019,10:00:00,0.00,0.00,270,1002.57,1011.80,29.40,23.8,5.6,65,31.1
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,14.00,07-11-2019,10:00:00,0.00,0.00,300,1010.92,1012.17,28.56,23.3,11.1,63,31.1
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,11.00,07-11-2019,10:00:00,0.00,0.00,270,1011.15,1011.58,25.65,21.5,18.5,57,31.0
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,9.00,07-11-2019,10:00:00,0.00,0.00,000,999.80,1011.98,27.03,22.4,0.0,63,30.3
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,10.00,07-11-2019,10:00:00,0.00,0.00,000,1011.06,1011.77,26.67,22.1,0.0,58,31.4
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,10.00,07-11-2019,10:00:00,0.00,0.00,170,1009.60,1012.00,30.16,24.2,11.1,61,32.6
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,10.00,07-11-2019,10:00:00,0.00,0.00,280,1011.93,1012.44,31.06,24.7,7.4,70,30.8
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,12.00,07-11-2019,10:00:00,0.00,0.00,270,1006.67,1011.76,27.27,22.5,1.9,57,32.0
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,10.00,07-11-2019,10:00:00,0.00,0.00,190,1011.58,1011.99,31.23,24.8,5.6,68,31.3
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,8.00,07-11-2019,10:00:00,0.00,0.00,220,1009.34,1012.08,33.40,25.9,11.1,72,31.5
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,10.00,07-11-2019,10:00:00,0.00,0.00,320,1010.85,1011.62,29.59,23.9,3.7,63,31.9
48501,TRAD,ตราด,ตราด,11.76667,102.88333,8.00,07-11-2019,10:00:00,0.00,0.00,180,1012.09,1012.55,32.96,25.7,3.7,78,29.9
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,12.00,07-11-2019,10:00:00,0.00,0.00,260,1011.70,1012.37,29.14,23.6,5.6,67,30.4
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,10.00,07-11-2019,10:00:00,0.00,0.00,000,1010.49,1012.01,29.89,24.0,0.0,68,30.5
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,10.00,07-11-2019,10:00:00,0.00,0.00,260,1012.36,1013.27,28.78,23.4,3.7,66,30.5
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,12.00,07-11-2019,10:00:00,0.00,0.00,150,1011.68,1012.36,32.47,25.4,9.3,71,31.2
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,10.00,07-11-2019,10:00:00,0.00,8.40,260,1011.92,1012.71,32.43,25.4,1.9,70,31.6
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,10.00,07-11-2019,10:00:00,0.00,0.00,150,1011.68,1012.31,31.35,24.8,3.7,65,32.2
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,10.00,07-11-2019,10:00:00,0.00,0.00,230,1012.33,1012.72,33.69,26.0,7.4,69,32.6
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,8.00,07-11-2019,10:00:00,0.00,37.70,000,1010.03,1014.22,31.03,24.7,0.0,71,30.5
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,12.00,07-11-2019,10:00:00,0.00,0.00,000,1010.95,1012.54,29.96,24.1,0.0,66,31.1
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,12.00,07-11-2019,10:00:00,0.00,0.40,210,1008.95,1012.39,32.27,25.3,5.6,69,31.8
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,10.00,07-11-2019,10:00:00,0.00,4.50,000,1011.63,1012.98,33.41,25.9,0.0,80,29.7
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,10.00,07-11-2019,10:00:00,0.00,0.00,240,1011.07,1011.95,30.65,24.5,9.3,67,31.3
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,10.00,07-11-2019,10:00:00,0.00,0.00,000,1008.78,1012.30,28.54,23.3,0.0,61,31.8
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,10.00,07-11-2019,10:00:00,0.00,0.00,000,1011.56,1012.00,30.05,24.1,0.0,67,31.0
