WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,Rainfall24Hr,AirTemperature,MeanSeaLevelPressure,MaximumTemperature,DewPoint,Rainfall,StationPressure,WindDirection,WindSpeed,RelativeHumidity,VaporPressure
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,8.00,09-22-2019,19:00:00,0.00,30.0,1010.36,33.7,23.2,0.00,990.61,120,5.6,67,28.37
48353,LOEI,เลย,เลย,17.45000,101.73333,8.00,09-22-2019,19:00:00,0.00,28.0,1011.12,32.8,21.1,0.00,982.49,150,3.7,66,24.99
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,12.00,09-22-2019,19:00:00,0.00,29.0,1011.45,32.8,19.9,0.00,991.34,000,0.0,58,23.15
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,10.00,09-22-2019,19:00:00,0.00,27.0,1012.43,32.5,22.6,0.00,990.60,000,0.0,77,27.36
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,10.00,09-22-2019,19:00:00,0.00,28.0,1011.44,31.5,21.3,0.00,991.95,140,3.7,67,25.24
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,10.00,09-22-2019,19:00:00,0.00,27.5,1012.49,31.5,20.7,0.00,995.69,090,5.6,66,24.38
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,10.00,09-22-2019,19:00:00,0.00,26.0,1012.79,30.2,21.5,0.00,995.23,090,5.6,76,25.61
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,11.00,09-22-2019,19:00:00,0.00,27.9,1011.36,32.1,23.4,0.00,985.57,000,0.0,76,28.74
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,10.00,09-22-2019,19:00:00,4.50,25.7,1010.05,34.2,25.0,4.50,1004.22,280,3.7,96,31.63
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,10.00,09-22-2019,19:00:00,0.00,26.5,1010.49,33.3,24.3,0.00,1004.27,000,0.0,88,30.43
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,12.00,09-22-2019,19:00:00,0.00,29.7,1011.24,33.7,22.0,0.00,994.88,000,0.0,63,26.46
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,10.00,09-22-2019,19:00:00,0.00,29.3,1008.02,33.8,20.5,0.00,985.85,060,7.4,59,24.18
48376,TAK,ตาก,ตาก,16.87833,99.14333,6.00,09-22-2019,19:00:00,5.30,28.4,1010.82,32.5,25.3,0.00,996.45,000,0.0,83,32.19
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,10.00,09-22-2019,19:00:00,1.10,28.0,1010.65,32.4,24.1,0.00,994.26,000,0.0,79,30.01
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,10.00,09-22-2019,19:00:00,0.00,26.8,1010.40,32.8,24.2,0.00,1005.16,000,0.0,86,30.18
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,12.00,09-22-2019,19:00:00,0.00,29.0,1008.79,34.2,23.9,0.00,995.66,000,0.0,74,29.74
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,10.00,09-22-2019,19:00:00,7.30,27.9,1010.20,32.7,22.9,0.00,1000.87,340,7.4,74,27.93
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,7.00,09-22-2019,19:00:00,1.80,28.0,1011.51,32.2,23.0,0.00,989.80,090,3.7,74,28.12
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,10.00,09-22-2019,19:00:00,7.50,28.0,1011.39,34.8,25.1,0.00,993.87,000,0.0,85,31.95
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,10.00,09-22-2019,19:00:00,0.00,27.0,1011.60,31.5,21.0,0.00,995.70,040,3.7,70,24.79
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,8.00,09-22-2019,19:00:00,8.60,27.6,1010.53,32.0,24.4,0.00,991.62,000,0.0,83,30.61
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,9.00,09-22-2019,19:00:00,21.60,25.8,1009.99,30.6,22.1,0.00,958.64,000,0.0,80,26.54
