WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,LandVisibility,MeanSeaLevelPressure,Rainfall,StationPressure,Rainfall24Hr,RelativeHumidity,WindDirection,VaporPressure,AirTemperature,DewPoint
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,7.4,10-13-2019,13:00:00,15.00,1010.39,0.00,989.04,0.00,45,100,22.79,33.2,19.6
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,9.3,10-13-2019,13:00:00,15.00,1010.10,0.00,990.94,0.00,40,150,20.21,32.9,17.7
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1.9,10-13-2019,13:00:00,12.00,1010.20,0.00,993.80,0.00,41,180,21.79,34.1,18.9
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,9.3,10-13-2019,13:00:00,12.00,1010.69,0.00,993.54,0.00,41,050,20.28,32.5,17.7
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,7.4,10-13-2019,13:00:00,15.00,1008.39,0.00,983.07,0.00,54,070,26.69,32.7,22.2
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,11.1,10-13-2019,13:00:00,8.00,1009.96,0.00,1004.19,0.00,86,240,34.58,29.0,26.5
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,14.8,10-13-2019,13:00:00,8.00,1010.01,0.00,1003.87,0.00,76,250,32.30,30.0,25.3
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.0,10-13-2019,13:00:00,12.00,1009.71,0.00,993.62,0.00,55,000,29.62,34.3,23.9
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.0,10-13-2019,13:00:00,10.00,1009.06,0.00,986.68,0.00,86,000,30.18,26.8,24.2
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.0,10-13-2019,13:00:00,8.00,1011.46,10.00,997.04,24.70,87,000,31.89,27.4,25.1
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.0,10-13-2019,13:00:00,12.00,1010.78,7.20,994.37,7.70,87,000,32.28,27.6,25.3
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,5.6,10-13-2019,13:00:00,12.00,1009.84,0.00,1004.72,0.00,56,220,30.29,34.2,24.3
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.0,10-13-2019,13:00:00,12.00,1008.18,0.00,995.29,22.10,54,000,29.54,34.4,23.8
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1.9,10-13-2019,13:00:00,10.00,1009.86,0.00,1000.66,0.80,69,290,32.69,32.0,25.5
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,9.3,10-13-2019,13:00:00,10.00,1010.17,0.00,988.91,0.00,49,090,26.18,34.0,21.8
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.0,10-13-2019,13:00:00,12.00,1008.84,0.00,991.68,0.00,56,000,28.92,33.4,23.5
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,13.0,10-13-2019,13:00:00,12.00,1009.64,0.00,994.08,0.00,47,030,23.74,33.0,20.3
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,3.7,10-13-2019,13:00:00,10.00,1009.46,0.00,990.91,0.00,54,160,27.67,33.2,22.8
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.0,10-13-2019,13:00:00,11.00,1008.75,0.00,958.15,15.00,64,000,27.01,30.0,22.4
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,11.1,10-13-2019,13:00:00,8.00,1009.76,0.00,1005.88,0.20,59,140,30.37,33.4,24.3
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,7.4,10-13-2019,13:00:00,7.00,1010.55,2.40,916.09,3.80,86,050,26.68,24.7,22.2
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,7.4,10-13-2019,13:00:00,10.00,1010.06,0.00,994.31,0.00,54,030,26.39,32.4,22.0
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1.9,10-13-2019,13:00:00,9.00,1010.03,0.00,1006.07,0.01,59,130,31.64,34.0,25.0
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,3.7,10-13-2019,13:00:00,9.00,1010.32,0.00,999.83,0.00,58,010,29.17,33.1,23.6
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.0,10-13-2019,13:00:00,12.00,1010.14,0.00,1008.25,0.00,51,000,27.01,34.0,22.4
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.0,10-13-2019,13:00:00,12.00,1009.37,0.00,988.81,11.40,59,000,28.50,32.2,23.2
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,14.8,10-13-2019,13:00:00,11.00,1009.78,0.00,992.34,0.00,57,020,26.61,31.8,22.1
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,9.3,10-13-2019,13:00:00,10.00,1009.57,0.00,993.69,0.00,56,030,28.40,33.0,23.2
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,3.7,10-13-2019,13:00:00,10.00,1009.47,0.00,995.69,0.00,55,160,28.35,33.4,23.2
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.0,10-13-2019,13:00:00,10.00,1009.91,0.00,995.33,0.00,61,000,30.69,33.0,24.5
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,3.7,10-13-2019,13:00:00,10.00,1009.84,0.00,995.39,0.20,71,090,34.24,32.3,26.3
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.0,10-13-2019,13:00:00,10.00,1009.57,0.00,1006.61,0.00,55,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",30.04,34.5,24.1
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,7.4,10-13-2019,13:00:00,10.00,1009.03,0.00,1001.25,4.60,52,120,27.58,34.0,22.7
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.0,10-13-2019,13:00:00,9.00,1009.80,0.00,1008.72,0.00,60,000,32.73,34.5,25.5
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.0,10-13-2019,13:00:00,8.00,1010.32,0.00,995.74,0.00,68,000,29.50,30.3,23.8
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,5.6,10-13-2019,13:00:00,8.00,1009.82,0.20,875.88,26.80,86,140,24.00,22.9,20.4
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.0,10-13-2019,13:00:00,10.00,1009.53,0.00,1003.77,15.00,62,000,32.92,33.9,25.6
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,3.7,10-13-2019,13:00:00,8.00,1009.38,0.00,1008.59,0.00,55,100,29.71,34.2,23.9
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,11.1,10-13-2019,13:00:00,10.00,1009.08,0.00,1008.64,0.00,67,210,32.58,32.5,25.5
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.0,10-13-2019,13:00:00,10.00,1009.06,0.00,998.00,0.00,58,000,30.75,34.0,24.5
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.0,10-13-2019,13:00:00,9.00,1009.73,0.00,1008.74,2.80,65,000,32.46,33.0,25.4
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,3.7,10-13-2019,13:00:00,10.00,1009.85,0.00,1008.06,0.40,64,040,33.25,33.5,25.8
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.0,10-13-2019,13:00:00,10.00,1009.28,0.00,1008.53,0.00,58,000,29.99,33.5,24.1
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,7.4,10-13-2019,13:00:00,10.00,1009.45,0.00,1008.76,1.80,57,120,28.08,32.7,23.0
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,7.4,10-13-2019,13:00:00,11.00,1009.10,0.00,1008.41,0.40,49,150,27.08,34.6,22.4
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,13.0,10-13-2019,13:00:00,10.00,1009.95,0.00,989.06,0.00,62,100,29.11,31.8,23.6
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,5.6,10-13-2019,13:00:00,10.00,1009.67,0.00,993.16,0.00,65,300,30.61,31.7,24.4
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.0,10-13-2019,13:00:00,10.00,1009.80,0.00,993.63,0.00,61,000,30.36,32.7,24.3
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,3.7,10-13-2019,13:00:00,10.00,1009.98,0.00,988.46,0.01,62,030,30.65,32.7,24.5
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,14.8,10-13-2019,13:00:00,14.00,1009.32,0.00,966.56,4.30,53,050,23.99,31.1,20.4
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,7.4,10-13-2019,13:00:00,10.00,1009.52,0.00,989.25,0.01,63,060,30.08,32.0,24.1
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,7.4,10-13-2019,13:00:00,10.00,1011.69,0.00,991.04,25.60,76,060,33.47,30.7,25.9
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.0,10-13-2019,13:00:00,10.00,1009.38,0.00,1008.95,18.20,67,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",31.60,31.9,25.0
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.0,10-13-2019,13:00:00,11.00,1009.27,0.00,1007.89,0.00,57,000,30.88,34.2,24.6
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.0,10-13-2019,13:00:00,10.00,1008.99,0.00,1004.15,0.90,70,000,35.41,33.1,26.9
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,9.3,10-13-2019,13:00:00,11.00,1009.96,19.40,1006.66,19.40,84,330,30.39,27.2,24.3
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,3.7,10-13-2019,13:00:00,10.00,1009.12,0.00,1008.04,0.00,62,010,33.36,34.1,25.9
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,9.3,10-13-2019,13:00:00,10.00,1009.27,0.00,1008.97,0.01,61,120,30.82,33.2,24.5
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,7.4,10-13-2019,13:00:00,10.00,1008.92,0.00,1008.24,0.00,60,080,31.59,33.7,25.0
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,5.6,10-13-2019,13:00:00,10.00,1008.42,0.00,1007.94,0.00,57,100,31.36,34.7,24.8
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,9.3,10-13-2019,13:00:00,10.00,1009.26,0.00,1007.87,0.01,61,050,31.54,33.4,24.9
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,11.1,10-13-2019,13:00:00,8.00,1009.36,0.00,1007.70,0.00,69,210,31.19,31.0,24.7
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,3.7,10-13-2019,13:00:00,15.00,1010.55,0.00,1002.69,0.90,61,050,31.97,33.6,25.2
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,7.4,10-13-2019,13:00:00,10.00,1008.97,0.00,1008.69,0.00,71,270,33.58,32.0,26.0
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,5.6,10-13-2019,13:00:00,10.00,1009.69,0.00,1006.58,0.00,71,320,30.31,30.0,24.3
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,5.6,10-13-2019,13:00:00,10.00,1009.71,42.60,1002.71,43.10,90,240,28.83,25.2,23.4
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,9.3,10-13-2019,13:00:00,10.00,1009.49,0.00,1004.01,0.00,59,030,31.77,34.2,25.1
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,22.2,10-13-2019,13:00:00,3.00,1010.92,0.01,1001.64,0.01,74,240,29.74,29.0,23.9
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,7.4,10-13-2019,13:00:00,14.00,1010.29,0.00,1009.05,0.01,61,140,31.67,33.6,25.0
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,5.6,10-13-2019,13:00:00,11.00,1009.31,0.00,1008.89,0.60,62,120,33.36,34.1,25.9
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,11.1,10-13-2019,13:00:00,8.00,1009.09,0.00,997.03,0.00,59,130,29.09,32.5,23.6
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,9.3,10-13-2019,13:00:00,10.00,1009.53,0.00,1008.82,0.00,72,060,33.97,31.9,26.2
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,7.4,10-13-2019,13:00:00,10.00,1010.17,16.40,1007.76,17.70,77,090,34.71,31.0,26.5
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,13.0,10-13-2019,13:00:00,9.00,1010.25,0.00,1009.74,0.20,73,320,31.68,30.4,25.0
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1.9,10-13-2019,13:00:00,10.00,1009.76,13.30,1004.57,14.80,90,250,29.74,25.7,23.9
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,9.3,10-13-2019,13:00:00,9.00,1009.10,0.00,1008.70,0.00,57,040,29.41,33.5,23.8
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.0,10-13-2019,13:00:00,8.00,1009.13,0.00,1006.40,0.00,79,000,36.42,31.5,27.4
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,13.0,10-13-2019,13:00:00,10.00,1008.68,0.00,1007.91,0.00,65,150,34.81,34.2,26.6
48501,TRAD,ตราด,ตราด,11.76667,102.88333,3.7,10-13-2019,13:00:00,8.00,1009.17,0.00,1008.72,0.00,64,260,33.17,33.6,25.8
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,7.4,10-13-2019,13:00:00,12.00,1009.58,0.00,1008.92,0.00,56,120,30.00,34.2,24.1
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,3.7,10-13-2019,13:00:00,10.00,1009.22,0.00,1007.72,0.00,53,120,29.38,34.6,23.7
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,7.4,10-13-2019,13:00:00,9.00,1009.84,3.60,1008.93,13.90,75,340,30.92,29.6,24.6
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,5.6,10-13-2019,13:00:00,12.00,1009.56,0.00,1008.88,0.00,76,100,33.47,30.7,25.9
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,5.6,10-13-2019,13:00:00,12.00,1008.53,0.00,1007.90,0.00,59,030,29.83,33.0,24.0
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,11.1,10-13-2019,13:00:00,12.00,1008.76,0.00,1008.36,0.00,66,050,32.92,32.8,25.7
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,5.6,10-13-2019,13:00:00,7.00,1011.04,0.00,1006.89,0.00,68,330,32.82,32.2,25.6
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.0,10-13-2019,13:00:00,10.00,1009.17,0.00,1007.59,0.00,53,000,27.43,33.5,22.6
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,11.1,10-13-2019,13:00:00,8.00,1008.84,0.00,1005.42,1.40,61,100,30.28,32.8,24.2
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.0,10-13-2019,13:00:00,10.00,1009.98,0.00,1008.64,0.01,60,000,29.58,32.6,23.9
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,9.3,10-13-2019,13:00:00,15.00,1009.14,0.00,1008.27,7.10,72,300,33.40,31.5,25.9
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.0,10-13-2019,13:00:00,10.00,1008.67,0.00,1005.17,0.00,61,000,29.66,32.5,23.9
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,5.6,10-13-2019,13:00:00,10.00,1009.10,0.00,1008.67,0.00,64,130,32.25,32.9,25.3
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,3.7,10-13-2019,13:00:00,10.00,1009.19,0.00,1008.21,0.00,72,200,28.83,29.1,23.4
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.0,10-13-2019,13:00:00,10.00,1008.59,0.00,1007.79,11.40,76,000,36.78,32.2,27.5
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,7.4,10-13-2019,13:00:00,13.00,1008.52,0.00,1006.74,4.10,59,230,30.49,33.6,24.4
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,11.1,10-13-2019,13:00:00,12.00,1008.87,0.00,1008.12,0.00,66,050,29.48,31.0,23.8
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,5.6,10-13-2019,13:00:00,10.00,1008.67,0.00,1004.74,1.60,56,990,27.61,32.6,22.7
48570,SATUN,สตูล,สตูล,6.65000,100.08333,11.1,10-13-2019,13:00:00,10.00,1008.71,1.40,1008.03,1.40,74,270,32.26,30.4,25.3
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.0,10-13-2019,13:00:00,10.00,1008.85,0.00,1007.75,3.40,75,000,30.72,29.5,24.5
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,9.3,10-13-2019,13:00:00,{'@attributes': {'Unit': 'km'}},1009.22,0.00,1006.36,13.30,57,050,29.75,33.8,24.0
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,13.0,10-13-2019,13:00:00,12.00,1008.34,0.00,1007.67,0.00,60,020,31.59,33.7,25.0
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,5.6,10-13-2019,13:00:00,10.00,1008.49,0.00,1004.45,0.00,51,220,26.70,33.7,22.2
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,13.0,10-13-2019,13:00:00,12.00,1008.74,0.00,1008.16,0.00,57,070,27.27,32.0,22.5
