WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,StationPressure,LandVisibility,RelativeHumidity,MeanSeaLevelPressure,Rainfall,WindDirection,DewPoint,WindSpeed,VaporPressure,Rainfall24Hr
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,31.9,07-23-2019,16:00:00,990.63,9.00,70,1005.05,0.00,100,25.7,3.7,33.07,4.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,22.4,07-23-2019,16:00:00,871.38,8.00,97,1004.87,0.00,280,21.9,5.6,26.33,0.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,34.0,07-23-2019,16:00:00,998.42,10.00,65,1004.15,0.00,000,26.4,0.0,34.36,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,34.5,07-23-2019,16:00:00,1003.95,9.00,68,1004.73,0.00,270,27.7,5.6,37.09,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,31.8,07-23-2019,16:00:00,1004.44,10.00,67,1004.88,0.00,180,25.0,14.8,31.68,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,30.7,07-23-2019,16:00:00,995.35,7.00,65,1006.51,0.00,350,23.5,5.6,28.89,0.20
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,34.3,07-23-2019,16:00:00,1003.76,12.00,58,1004.75,0.00,000,24.8,0.0,31.39,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,33.9,07-23-2019,16:00:00,1003.11,9.00,58,1004.89,0.00,000,24.5,0.0,30.83,0.01
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,33.8,07-23-2019,16:00:00,1003.64,9.00,54,1004.38,0.00,300,23.1,14.8,28.31,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,32.2,07-23-2019,16:00:00,1003.85,10.00,66,1004.54,0.00,180,25.1,22.2,31.94,0.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,29.6,07-23-2019,16:00:00,1004.03,7.00,89,1004.73,0.00,230,27.5,7.4,36.77,0.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,35.8,07-23-2019,16:00:00,982.97,10.00,50,1003.45,0.00,270,23.8,14.8,29.56,0.01
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,33.8,07-23-2019,16:00:00,987.08,11.00,62,1003.37,0.00,230,25.4,5.6,32.40,51.30
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,34.5,07-23-2019,16:00:00,988.00,14.00,60,1003.99,0.00,240,25.7,7.4,33.03,28.80
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,34.5,07-23-2019,16:00:00,982.39,10.00,49,1003.64,0.00,280,22.1,18.5,26.60,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,30.7,07-23-2019,16:00:00,962.06,15.00,61,1004.68,0.00,250,22.3,22.2,26.97,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,34.0,07-23-2019,16:00:00,983.33,12.00,55,1003.35,0.00,120,23.7,7.4,29.29,0.40
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,35.0,07-23-2019,16:00:00,984.58,10.00,54,1004.81,0.00,240,24.4,14.8,30.52,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,35.5,07-23-2019,16:00:00,1004.06,10.00,47,1004.48,0.00,270,22.3,14.8,26.91,0.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,34.0,07-23-2019,16:00:00,1003.04,11.00,59,1004.42,0.00,270,24.8,3.7,31.34,0.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,33.0,07-23-2019,16:00:00,1000.25,9.00,69,1005.08,0.00,000,26.6,0.0,34.88,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,34.5,07-23-2019,16:00:00,1001.61,12.00,52,1004.81,0.00,320,23.1,7.4,28.30,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,30.5,07-23-2019,16:00:00,1003.82,3.00,70,1004.91,3.40,280,24.3,7.4,30.46,3.40
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,33.3,07-23-2019,16:00:00,1004.53,10.00,65,1004.82,0.00,220,25.7,7.4,33.11,0.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,33.4,07-23-2019,16:00:00,1004.28,10.00,65,1004.95,0.00,230,25.9,5.6,33.33,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,33.2,07-23-2019,16:00:00,1004.13,10.00,61,1004.61,0.00,120,24.7,3.7,31.11,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,34.6,07-23-2019,16:00:00,1003.08,10.00,57,1004.45,0.00,250,24.7,14.8,31.14,0.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,30.4,07-23-2019,16:00:00,1003.34,12.00,80,1005.00,0.00,180,26.5,13.0,34.60,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,33.2,07-23-2019,16:00:00,998.67,10.00,52,1006.51,0.00,220,21.9,7.4,26.28,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,33.7,07-23-2019,16:00:00,1004.38,10.00,60,1004.65,0.00,000,25.0,0.0,31.59,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,32.0,07-23-2019,16:00:00,1002.04,12.00,63,1005.12,0.00,000,24.1,0.0,30.08,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,32.5,07-23-2019,16:00:00,998.45,12.00,61,1005.25,0.00,240,23.9,5.6,29.66,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,34.5,07-23-2019,16:00:00,998.69,8.00,61,1004.14,0.00,210,25.9,7.4,33.34,0.20
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,32.0,07-23-2019,16:00:00,996.82,8.00,68,1005.97,0.00,210,25.2,14.8,32.10,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,34.8,07-23-2019,16:00:00,1004.62,14.00,50,1005.85,0.00,270,22.8,7.4,27.77,0.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,33.9,07-23-2019,16:00:00,1004.08,11.00,70,1004.50,0.00,170,27.6,9.3,36.94,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,34.0,07-23-2019,16:00:00,993.26,9.00,50,1005.21,0.00,230,22.0,7.4,26.46,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,32.0,07-23-2019,16:00:00,1003.77,10.00,67,1004.47,0.00,300,25.1,16.7,31.81,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,34.3,07-23-2019,16:00:00,1004.20,10.00,55,1006.57,0.00,180,23.9,14.8,29.62,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,31.5,07-23-2019,16:00:00,1004.95,10.00,72,1005.46,0.00,250,25.9,7.4,33.40,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,32.9,07-23-2019,16:00:00,1000.00,12.00,59,1005.04,0.00,140,23.9,3.7,29.62,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,32.6,07-23-2019,16:00:00,1005.19,10.00,65,1005.59,0.00,200,25.3,9.3,32.20,0.10
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,31.5,07-23-2019,16:00:00,1003.26,10.00,72,1005.99,0.00,120,25.9,9.3,33.40,0.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,35.2,07-23-2019,16:00:00,1004.36,10.00,46,1005.12,0.00,300,21.7,13.0,26.03,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,31.2,07-23-2019,16:00:00,1005.65,7.00,76,1006.10,0.00,240,26.5,3.7,34.54,0.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,33.2,07-23-2019,16:00:00,1005.94,10.00,56,1006.60,0.00,280,23.3,9.3,28.52,0.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,33.2,07-23-2019,16:00:00,1005.14,9.00,53,1006.63,0.00,290,22.4,7.4,27.11,0.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,32.0,07-23-2019,16:00:00,1007.22,10.00,59,1008.12,0.00,200,23.0,11.1,28.10,0.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,35.0,07-23-2019,16:00:00,1006.02,12.00,53,1006.69,0.00,290,24.1,7.4,29.92,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,34.6,07-23-2019,16:00:00,1006.19,10.00,49,1006.96,0.00,240,22.2,5.6,26.80,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,34.2,07-23-2019,16:00:00,1005.54,10.00,57,1006.16,0.00,060,24.4,9.3,30.58,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,33.8,07-23-2019,16:00:00,1005.82,10.00,62,1006.22,0.00,210,25.4,7.4,32.40,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,34.0,07-23-2019,16:00:00,1004.41,7.00,59,1008.53,0.00,250,24.8,11.1,31.34,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,33.4,07-23-2019,16:00:00,1005.23,12.00,55,1006.81,0.00,220,23.0,9.3,28.07,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,33.8,07-23-2019,16:00:00,1003.65,12.00,58,1007.05,0.00,250,24.4,9.3,30.62,0.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,33.5,07-23-2019,16:00:00,1004.83,10.00,56,1006.16,0.00,000,23.4,0.0,28.84,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,32.0,07-23-2019,16:00:00,1006.80,10.00,66,1007.67,0.00,000,24.9,0.0,31.52,0.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,31.3,07-23-2019,16:00:00,1003.54,10.00,64,1007.05,0.00,000,23.7,0.0,29.24,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,30.6,07-23-2019,16:00:00,1006.82,10.00,72,1007.25,23.80,280,25.1,3.7,31.80,23.80
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,25.9,07-23-2019,16:00:00,1006.19,8.00,91,1007.18,18.20,000,24.3,0.0,30.38,18.20
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,31.2,07-23-2019,16:00:00,1006.42,10.00,72,1007.23,0.00,200,25.6,11.1,32.76,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,32.0,07-23-2019,16:00:00,1005.19,10.00,64,1006.98,0.01,200,24.5,11.1,30.65,7.60
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,31.9,07-23-2019,16:00:00,1006.16,11.00,60,1006.90,0.00,060,23.2,3.7,28.46,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,27.4,07-23-2019,16:00:00,1003.01,10.00,89,1007.00,0.40,090,25.4,11.1,32.45,2.80
48570,SATUN,สตูล,สตูล,6.65000,100.08333,30.7,07-23-2019,16:00:00,1006.47,10.00,72,1007.14,0.00,000,25.0,0.0,31.72,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,28.6,07-23-2019,16:00:00,1005.49,9.00,80,1006.60,1.00,000,24.9,0.0,31.46,2.40
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,28.4,07-23-2019,16:00:00,1004.30,10.00,89,1007.21,14.90,150,26.4,5.6,34.48,14.90
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,30.0,07-23-2019,16:00:00,1005.56,8.00,71,1006.24,0.00,230,24.3,5.6,30.31,0.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,30.4,07-23-2019,16:00:00,1002.90,6.00,79,1006.97,3.60,120,26.3,9.3,34.31,3.80
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,32.0,07-23-2019,16:00:00,1006.18,10.00,60,1006.76,0.00,280,23.3,5.6,28.66,0.00
