WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,Rainfall24Hr,MeanSeaLevelPressure,DewPoint,WindDirection,RelativeHumidity,Rainfall,WindSpeed,LandVisibility,VaporPressure,StationPressure
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,32.5,07-13-2019,10:00:00,0.00,1010.40,22.3,310,55,0.00,9.3,12.00,26.86,1007.16
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,32.7,07-13-2019,10:00:00,0.00,1010.22,23.7,300,59,0.00,11.1,10.00,29.21,1009.13
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,31.8,07-13-2019,10:00:00,57.70,1010.39,23.8,220,63,0.00,11.1,10.00,29.39,1010.09
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,31.8,07-13-2019,10:00:00,10.40,1010.20,24.9,240,67,0.00,7.4,10.00,31.39,1009.52
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,31.5,07-13-2019,10:00:00,4.80,1009.74,23.9,270,64,0.00,14.8,10.00,29.63,1009.26
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,31.3,07-13-2019,10:00:00,12.40,1010.31,23.5,280,63,0.00,22.2,10.00,28.96,1008.91
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,32.4,07-13-2019,10:00:00,0.00,1010.58,23.6,000,60,0.00,0.0,10.00,29.18,1008.92
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,31.0,07-13-2019,10:00:00,0.50,1012.71,23.0,270,63,0.00,5.6,10.00,28.09,1004.77
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,32.0,07-13-2019,10:00:00,12.80,1010.42,26.4,280,73,0.00,11.1,8.00,34.49,1010.14
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,31.4,07-13-2019,10:00:00,0.00,1009.70,23.1,000,62,0.00,0.0,10.00,28.32,1006.61
