WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,StationPressure,MeanSeaLevelPressure,LandVisibility,WindDirection,VaporPressure,RelativeHumidity,WindSpeed,Rainfall24Hr,AirTemperature,DewPoint
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,08-05-2019,22:00:00,975.02,1005.01,7.00,000,29.33,95,0.0,19.90,24.6,23.7
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,08-05-2019,22:00:00,968.89,1004.47,6.00,000,29.25,94,0.0,38.80,24.7,23.7
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,08-05-2019,22:00:00,974.85,1004.58,12.00,000,31.06,96,0.0,3.20,25.4,24.7
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,08-05-2019,22:00:00,998.25,1005.55,8.00,000,30.24,88,0.0,10.30,26.4,24.2
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,3.00,08-05-2019,22:00:00,985.17,1005.02,12.00,000,33.34,94,0.0,3.00,27.0,25.9
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,08-05-2019,22:00:00,976.34,1004.92,10.00,000,30.26,86,0.0,2.90,26.7,24.2
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,08-05-2019,22:00:00,985.11,1005.28,12.00,000,30.59,89,0.0,1.50,26.3,24.4
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,08-05-2019,22:00:00,984.31,1006.07,12.00,000,33.04,98,0.0,48.00,26.0,25.7
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,08-05-2019,22:00:00,985.57,1005.05,10.00,000,33.15,98,0.0,29.40,26.2,25.8
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.01,08-05-2019,22:00:00,989.49,1006.29,9.00,280,29.91,92,7.4,0.01,25.5,24.0
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.10,08-05-2019,22:00:00,988.74,1006.18,8.00,000,31.38,93,0.0,0.10,26.0,24.8
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,08-05-2019,22:00:00,977.00,1002.59,11.00,000,28.18,76,0.0,0.00,27.6,23.1
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1.10,08-05-2019,22:00:00,998.38,1004.17,8.00,000,33.04,98,0.0,22.20,26.0,25.7
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1.80,08-05-2019,22:00:00,998.52,1004.71,7.00,000,32.20,96,0.0,20.10,26.0,25.3
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,08-05-2019,22:00:00,989.16,1005.60,8.00,000,30.43,88,0.0,3.80,26.5,24.3
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,3.20,08-05-2019,22:00:00,981.22,1003.68,7.00,000,28.53,96,0.0,42.10,24.0,23.3
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,08-05-2019,22:00:00,990.55,1004.96,8.00,000,31.00,93,0.0,10.90,25.8,24.6
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.20,08-05-2019,22:00:00,988.27,1004.73,6.00,000,30.32,96,0.0,14.00,25.0,24.3
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,08-05-2019,22:00:00,999.85,1005.06,10.00,000,30.26,81,0.0,6.60,27.7,24.2
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,08-05-2019,22:00:00,990.77,1003.94,10.00,000,28.92,83,0.0,6.50,26.7,23.5
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,08-05-2019,22:00:00,995.00,1004.30,10.00,000,32.13,90,0.0,4.80,27.1,25.2
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.01,08-05-2019,22:00:00,983.46,1005.07,10.00,000,29.06,79,0.0,0.01,27.5,23.6
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,08-05-2019,22:00:00,987.55,1004.99,12.00,220,30.97,84,14.8,0.00,27.5,24.6
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,08-05-2019,22:00:00,988.77,1004.48,10.00,000,31.54,81,0.0,0.00,28.5,24.9
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,08-05-2019,22:00:00,985.67,1004.49,10.00,000,31.22,87,0.0,0.40,27.2,24.8
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.00,08-05-2019,22:00:00,953.20,1004.75,5.00,000,25.60,91,0.0,15.90,23.0,21.5
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,08-05-2019,22:00:00,1000.48,1004.43,7.00,130,30.20,84,11.1,0.01,27.1,24.2
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1.50,08-05-2019,22:00:00,909.99,1005.05,2.00,230,23.69,95,5.6,26.40,21.0,20.2
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1.60,08-05-2019,22:00:00,989.26,1005.28,6.00,310,30.54,93,9.3,2.00,25.7,24.4
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,08-05-2019,22:00:00,1001.12,1005.14,9.00,150,32.60,87,13.0,0.20,27.9,25.5
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,08-05-2019,22:00:00,995.78,1006.43,8.00,190,29.52,80,5.6,0.60,27.6,23.8
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,08-05-2019,22:00:00,1004.23,1006.16,9.00,180,29.93,84,5.6,1.50,27.1,24.1
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,08-05-2019,22:00:00,984.30,1005.04,10.00,000,27.16,71,0.0,0.00,28.2,22.4
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,08-05-2019,22:00:00,987.54,1005.19,10.00,010,30.26,86,11.1,0.00,26.7,24.2
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,08-05-2019,22:00:00,988.78,1004.85,10.00,320,29.74,79,7.4,0.00,28.0,23.9
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,08-05-2019,22:00:00,991.36,1005.30,10.00,160,34.28,89,3.7,0.00,28.3,26.3
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,08-05-2019,22:00:00,991.12,1005.90,8.00,000,33.21,90,0.0,0.00,27.5,25.8
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,08-05-2019,22:00:00,990.80,1005.38,10.00,210,31.34,81,3.7,0.00,28.4,24.8
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,08-05-2019,22:00:00,1001.58,1004.58,10.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",29.85,78,0.0,0.70,28.2,24.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,08-05-2019,22:00:00,997.23,1005.13,8.00,000,30.31,79,0.0,0.00,28.3,24.3
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,08-05-2019,22:00:00,1005.31,1006.42,8.00,180,30.10,85,5.6,0.50,26.9,24.1
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,08-05-2019,22:00:00,991.38,1005.98,8.00,000,31.06,80,0.0,0.00,28.4,24.7
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.00,08-05-2019,22:00:00,872.93,1008.20,.05,260,21.79,98,7.4,24.00,19.2,18.9
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,08-05-2019,22:00:00,1000.16,1006.02,10.00,170,29.88,81,5.6,0.10,27.5,24.0
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,08-05-2019,22:00:00,1005.51,1006.31,8.00,150,31.66,89,7.4,1.90,27.0,25.0
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.01,08-05-2019,22:00:00,1005.61,1006.05,8.00,210,32.06,81,14.8,3.00,28.9,25.2
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.70,08-05-2019,22:00:00,995.00,1006.35,3.00,000,31.25,96,0.0,24.50,25.5,24.8
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,08-05-2019,22:00:00,1004.94,1005.95,10.00,000,31.74,90,0.0,3.30,26.9,25.0
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,08-05-2019,22:00:00,1004.43,1006.25,8.00,120,29.77,82,3.7,0.00,27.3,24.0
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,08-05-2019,22:00:00,1004.90,1005.67,5.00,230,30.72,87,3.7,1.30,26.8,24.5
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,08-05-2019,22:00:00,1005.92,1006.62,10.00,180,31.70,82,16.7,12.00,28.3,25.0
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,08-05-2019,22:00:00,1005.93,1006.64,7.00,000,30.75,86,0.0,0.60,27.1,24.5
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,08-05-2019,22:00:00,984.90,1005.91,10.00,220,29.24,75,11.1,0.00,28.6,23.7
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.30,08-05-2019,22:00:00,989.03,1005.65,8.00,190,29.68,77,5.6,0.30,28.4,23.9
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1.00,08-05-2019,22:00:00,989.66,1006.10,8.00,000,31.79,92,0.0,1.00,26.5,25.1
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,08-05-2019,22:00:00,984.35,1006.12,10.00,000,28.20,75,0.0,0.00,27.9,23.1
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,08-05-2019,22:00:00,963.15,1006.43,10.00,270,25.20,73,7.4,0.00,26.5,21.2
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,08-05-2019,22:00:00,985.19,1005.61,10.00,220,27.81,71,7.4,0.00,28.7,22.8
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,08-05-2019,22:00:00,986.35,1007.09,8.00,240,28.84,76,7.4,0.00,28.1,23.4
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,08-05-2019,22:00:00,1005.68,1006.11,10.00,220,31.13,78,5.6,9.80,29.0,24.7
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,08-05-2019,22:00:00,1004.97,1006.39,6.00,000,31.05,90,0.0,0.00,26.4,24.7
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,08-05-2019,22:00:00,1002.31,1007.25,7.00,000,30.29,85,0.0,0.01,27.0,24.3
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,3.40,08-05-2019,22:00:00,1002.97,1006.26,5.00,230,33.06,93,5.6,4.20,27.0,25.7
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,08-05-2019,22:00:00,1005.10,1006.21,10.00,000,32.49,91,0.0,1.10,27.0,25.4
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,08-05-2019,22:00:00,1006.05,1006.35,10.00,180,33.01,90,5.6,22.80,27.4,25.7
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,08-05-2019,22:00:00,1006.25,1006.74,10.00,000,30.97,89,0.0,23.50,26.5,24.6
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.01,08-05-2019,22:00:00,1004.98,1006.39,9.00,170,33.17,92,7.4,9.20,27.2,25.8
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,08-05-2019,22:00:00,1000.10,1008.13,10.00,180,29.08,84,3.7,20.40,26.5,23.6
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,08-05-2019,22:00:00,1006.13,1006.41,10.00,180,31.54,81,7.4,6.80,28.5,24.9
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,08-05-2019,22:00:00,1003.39,1006.50,10.00,200,31.54,81,5.6,0.50,28.5,24.9
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,08-05-2019,22:00:00,1000.05,1006.97,10.00,000,30.56,81,0.0,0.60,28.0,24.4
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,08-05-2019,22:00:00,1001.36,1006.94,7.00,000,29.74,79,0.0,0.00,28.0,23.9
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,08-05-2019,22:00:00,1005.60,1006.86,10.00,230,32.46,93,3.7,6.30,26.7,25.4
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,08-05-2019,22:00:00,1005.96,1006.39,11.00,210,31.01,78,11.1,3.30,28.8,24.6
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,08-05-2019,22:00:00,994.47,1006.78,10.00,000,29.21,89,0.0,16.50,25.7,23.7
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,08-05-2019,22:00:00,1005.92,1006.63,10.00,220,31.51,82,3.7,6.60,28.2,24.9
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,08-05-2019,22:00:00,1004.52,1006.94,10.00,210,28.70,73,7.4,2.60,28.6,23.4
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,08-05-2019,22:00:00,1006.66,1007.18,10.00,230,32.02,82,13.0,7.40,28.6,25.2
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,08-05-2019,22:00:00,1002.19,1007.33,10.00,230,30.84,82,3.7,4.80,28.0,24.6
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1.30,08-05-2019,22:00:00,1007.49,1007.91,7.00,000,32.77,92,0.0,74.20,27.0,25.6
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.00,08-05-2019,22:00:00,1005.58,1008.36,8.00,000,31.65,94,0.0,49.30,26.0,25.0
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,08-05-2019,22:00:00,1006.52,1007.31,10.00,000,29.25,86,0.0,15.20,26.3,23.7
48501,TRAD,ตราด,ตราด,11.76667,102.88333,0.00,08-05-2019,22:00:00,1007.44,1007.90,6.00,070,29.00,92,5.6,95.20,25.0,23.5
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.00,08-05-2019,22:00:00,1007.23,1007.92,7.00,000,31.46,94,0.0,11.70,25.9,24.9
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.00,08-05-2019,22:00:00,1005.93,1007.46,7.00,000,31.22,92,0.0,8.40,26.2,24.8
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1.80,08-05-2019,22:00:00,1007.66,1008.58,10.00,220,31.66,89,3.7,28.00,27.0,25.0
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,08-05-2019,22:00:00,1007.40,1008.09,10.00,270,31.69,87,9.3,12.30,27.3,25.0
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.10,08-05-2019,22:00:00,1007.65,1008.46,8.00,000,31.90,97,0.0,18.70,25.7,25.1
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,08-05-2019,22:00:00,1007.17,1007.80,10.00,320,32.10,91,1.9,2.60,26.8,25.2
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,08-05-2019,22:00:00,1007.30,1007.71,10.00,180,29.49,77,7.4,0.00,28.3,23.8
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,08-05-2019,22:00:00,1006.20,1010.44,5.00,000,30.52,94,0.0,2.60,25.4,24.4
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,08-05-2019,22:00:00,1006.82,1008.44,8.00,000,30.13,89,0.0,0.00,26.2,24.2
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,08-05-2019,22:00:00,1005.48,1008.97,10.00,000,31.24,90,0.0,0.20,26.5,24.8
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,08-05-2019,22:00:00,1006.69,1008.04,8.00,000,29.52,80,0.0,0.00,27.6,23.8
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,08-05-2019,22:00:00,1007.45,1008.33,10.00,200,29.57,73,9.3,2.70,29.2,23.9
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,08-05-2019,22:00:00,1004.99,1008.55,10.00,000,30.89,84,0.0,0.00,27.6,24.6
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,08-05-2019,22:00:00,1007.91,1008.34,10.00,000,28.91,68,0.0,0.00,30.0,23.5
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,08-05-2019,22:00:00,1007.50,1008.48,10.00,230,29.33,71,11.1,0.01,29.5,23.7
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,08-05-2019,22:00:00,1008.03,1008.84,10.00,250,31.20,75,14.8,6.20,29.6,24.7
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,08-05-2019,22:00:00,1006.76,1008.57,10.00,000,32.40,87,0.0,7.00,27.8,25.4
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,08-05-2019,22:00:00,1007.63,1008.38,8.00,190,28.95,75,3.7,0.00,28.3,23.5
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,08-05-2019,22:00:00,1004.62,1008.61,10.00,240,30.28,80,5.6,0.00,28.0,24.3
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,08-05-2019,22:00:00,1008.05,1008.73,10.00,000,31.80,87,0.0,0.00,27.5,25.1
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,08-05-2019,22:00:00,1007.37,1008.48,10.00,000,29.63,75,0.0,0.00,28.8,23.9
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,08-05-2019,22:00:00,1005.98,1008.89,10.00,000,31.54,81,0.0,0.00,28.5,24.9
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.00,08-05-2019,22:00:00,1007.56,1008.25,9.00,000,32.07,84,0.0,0.00,28.2,25.2
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.00,08-05-2019,22:00:00,1004.52,1008.66,8.00,000,28.01,82,0.0,0.00,26.2,23.0
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.00,08-05-2019,22:00:00,1007.80,1008.38,10.00,000,30.96,76,0.0,0.00,29.2,24.6
