WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,LandVisibility,DewPoint,RelativeHumidity,AirTemperature,MeanSeaLevelPressure,WindSpeed,Rainfall,WindDirection,Rainfall24Hr,VaporPressure
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,987.09,09-18-2019,16:00:00,9.00,25.8,64,33.5,1006.54,9.3,0.00,090,0.00,33.25
48353,LOEI,เลย,เลย,17.45000,101.73333,978.08,09-18-2019,16:00:00,15.00,24.9,63,33.0,1006.12,7.4,0.00,360,2.80,31.57
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,986.61,09-18-2019,16:00:00,10.00,23.4,58,32.8,1006.38,5.6,0.00,070,0.00,28.85
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,985.56,09-18-2019,16:00:00,12.00,24.0,71,29.9,1007.07,0.0,0.00,000,0.00,29.83
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,986.90,09-18-2019,16:00:00,10.00,23.5,68,30.0,1006.17,3.7,0.00,050,0.00,28.91
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,990.92,09-18-2019,16:00:00,12.00,22.6,64,30.1,1007.50,7.4,0.00,050,0.00,27.47
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,990.29,09-18-2019,16:00:00,12.00,23.4,68,29.9,1007.54,0.0,0.10,000,0.10,28.72
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,980.84,09-18-2019,16:00:00,12.00,23.3,59,32.4,1006.13,11.1,0.00,070,0.00,28.61
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,999.80,09-18-2019,16:00:00,10.00,26.9,60,36.0,1005.41,5.6,0.00,310,0.00,35.53
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,999.92,09-18-2019,16:00:00,12.00,25.7,60,34.5,1005.95,0.0,0.00,000,0.00,33.03
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,990.51,09-18-2019,16:00:00,12.00,22.9,48,35.7,1006.47,0.0,0.00,000,0.00,27.89
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,982.39,09-18-2019,16:00:00,10.00,22.2,49,34.3,1004.11,9.3,0.00,060,2.30,26.77
48376,TAK,ตาก,ตาก,16.87833,99.14333,992.26,09-18-2019,16:00:00,7.00,24.8,58,34.4,1006.29,3.7,0.00,170,0.00,31.31
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,989.62,09-18-2019,16:00:00,12.00,23.3,50,35.5,1005.53,0.0,0.00,000,3.40,28.64
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1001.35,09-18-2019,16:00:00,10.00,26.1,67,33.1,1006.47,3.7,0.00,040,15.80,33.88
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,991.36,09-18-2019,16:00:00,12.00,25.4,59,34.5,1004.20,0.0,0.60,000,5.80,32.42
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,997.08,09-18-2019,16:00:00,11.00,23.8,54,34.4,1006.17,5.6,0.00,350,7.20,29.54
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,984.93,09-18-2019,16:00:00,10.00,23.7,58,33.0,1006.17,7.4,0.01,060,0.01,29.25
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,989.29,09-18-2019,16:00:00,12.00,24.7,64,32.5,1006.46,14.8,0.00,110,0.00,31.11
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,990.32,09-18-2019,16:00:00,11.00,23.8,66,31.0,1005.93,7.4,0.00,320,0.00,29.48
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,986.95,09-18-2019,16:00:00,10.00,26.2,68,33.0,1005.43,0.0,0.00,000,1.80,33.96
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,955.13,09-18-2019,16:00:00,11.00,20.3,48,32.9,1005.09,0.0,0.00,000,0.00,23.83
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1002.02,09-18-2019,16:00:00,8.00,26.4,65,34.0,1005.88,11.1,0.00,230,0.10,34.36
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,912.88,09-18-2019,16:00:00,7.00,20.7,66,27.5,1006.11,5.6,0.00,070,0.00,24.38
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,990.58,09-18-2019,16:00:00,9.00,24.3,65,31.7,1006.31,9.3,0.00,040,0.00,30.32
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1002.37,09-18-2019,16:00:00,8.00,25.6,59,34.7,1006.30,0.0,0.00,000,6.50,32.87
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,996.43,09-18-2019,16:00:00,10.00,24.1,58,33.5,1006.87,0.0,0.00,000,2.30,29.99
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1004.50,09-18-2019,16:00:00,12.00,25.7,69,32.0,1006.39,9.3,9.70,300,10.40,32.99
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,984.99,09-18-2019,16:00:00,10.00,21.4,47,34.2,1005.33,22.2,0.00,090,0.00,25.46
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,988.69,09-18-2019,16:00:00,10.00,23.2,61,31.6,1006.07,18.5,0.00,030,0.00,28.43
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,989.99,09-18-2019,16:00:00,10.00,23.4,59,32.5,1005.85,0.0,0.00,000,0.10,28.81
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,992.02,09-18-2019,16:00:00,10.00,25.5,70,31.7,1005.82,5.6,2.20,050,2.20,32.64
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,991.78,09-18-2019,16:00:00,10.00,26.0,81,29.7,1006.46,0.0,4.30,000,4.30,33.71
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,992.39,09-18-2019,16:00:00,10.00,25.8,72,31.4,1006.85,11.1,0.00,070,0.00,33.19
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1003.48,09-18-2019,16:00:00,10.00,25.2,69,31.6,1006.46,0.0,7.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",36.40,32.14
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,997.72,09-18-2019,16:00:00,10.00,25.3,62,33.7,1005.49,7.4,0.00,300,5.50,32.18
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1006.14,09-18-2019,16:00:00,8.00,26.1,61,34.7,1007.22,7.4,0.00,340,0.80,33.78
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,991.88,09-18-2019,16:00:00,8.00,26.2,70,32.5,1006.29,0.0,0.00,000,0.00,34.07
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,872.47,09-18-2019,16:00:00,7.00,20.6,86,23.1,1005.80,5.6,0.00,030,32.00,24.31
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,999.67,09-18-2019,16:00:00,10.00,26.0,67,33.0,1005.42,7.4,0.00,120,0.00,33.66
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1004.94,09-18-2019,16:00:00,9.00,25.2,57,35.0,1005.72,9.3,0.00,010,2.70,32.01
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1005.21,09-18-2019,16:00:00,10.00,23.8,66,31.0,1005.65,9.3,0.00,210,1.20,29.48
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,995.06,09-18-2019,16:00:00,7.00,25.4,72,31.0,1006.20,0.0,4.00,000,7.40,32.34
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1005.00,09-18-2019,16:00:00,12.00,26.1,65,33.6,1005.99,3.7,0.00,050,0.00,33.77
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1003.94,09-18-2019,16:00:00,9.00,27.3,67,34.3,1005.72,0.0,0.00,000,1.70,36.30
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1004.89,09-18-2019,16:00:00,9.00,24.0,59,33.1,1005.64,0.0,0.00,000,0.00,29.74
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1005.28,09-18-2019,16:00:00,10.00,23.2,53,34.1,1005.97,11.1,0.00,040,18.40,28.35
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1004.74,09-18-2019,16:00:00,8.00,25.3,59,34.4,1005.43,7.4,0.00,270,0.30,32.20
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,985.06,09-18-2019,16:00:00,12.00,23.0,55,33.1,1005.77,9.3,0.00,080,0.00,28.04
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,989.42,09-18-2019,16:00:00,11.00,24.5,64,32.2,1005.83,11.1,0.00,050,0.00,30.77
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,990.27,09-18-2019,16:00:00,14.00,25.0,65,32.5,1006.40,11.1,0.00,020,0.00,31.69
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,983.90,09-18-2019,16:00:00,10.00,22.9,51,34.6,1005.18,9.3,0.00,080,0.00,27.94
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,962.85,09-18-2019,16:00:00,12.00,20.7,53,31.5,1005.39,11.1,0.00,040,0.00,24.45
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,985.12,09-18-2019,16:00:00,10.00,24.2,60,33.0,1005.25,11.1,0.00,040,0.00,30.11
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,987.15,09-18-2019,16:00:00,9.00,25.8,73,31.1,1007.70,16.7,0.00,040,0.00,33.14
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1005.37,09-18-2019,16:00:00,11.00,24.6,61,33.1,1005.79,9.3,0.00,150,1.10,30.90
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1003.52,09-18-2019,16:00:00,11.00,26.2,62,34.5,1004.90,0.0,0.00,000,0.20,33.95
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1000.24,09-18-2019,16:00:00,8.00,26.0,67,33.0,1005.07,5.6,0.50,120,0.50,33.66
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1001.92,09-18-2019,16:00:00,12.00,21.8,44,35.8,1005.11,9.3,0.00,100,0.00,26.10
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1004.43,09-18-2019,16:00:00,10.00,25.2,57,35.0,1005.50,3.7,0.00,120,0.30,32.01
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1005.19,09-18-2019,16:00:00,10.00,22.9,51,34.6,1005.49,5.6,0.00,070,2.70,27.94
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1004.42,09-18-2019,16:00:00,10.00,23.2,51,35.0,1005.09,5.6,0.00,100,3.70,28.47
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1004.63,09-18-2019,16:00:00,10.00,24.5,53,35.5,1005.10,5.6,0.00,120,6.40,30.70
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1005.12,09-18-2019,16:00:00,7.00,25.2,80,29.0,1006.52,33.3,0.40,090,1.00,31.98
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1004.15,09-18-2019,16:00:00,8.00,28.8,84,31.9,1005.80,9.3,0.00,170,1.00,39.55
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,999.37,09-18-2019,16:00:00,10.00,26.0,67,33.0,1007.22,3.7,0.00,230,1.00,33.66
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1004.91,09-18-2019,16:00:00,10.00,26.5,69,33.0,1005.19,9.3,0.00,270,0.20,34.57
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1003.00,09-18-2019,16:00:00,10.00,26.1,72,31.7,1006.08,5.6,0.00,270,0.00,33.83
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,999.31,09-18-2019,16:00:00,7.00,24.5,73,29.9,1006.18,0.0,0.00,000,0.00,30.67
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1001.44,09-18-2019,16:00:00,7.00,23.9,89,25.8,1007.06,7.4,40.00,240,40.00,29.66
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,997.94,09-18-2019,16:00:00,8.00,26.0,71,32.0,1007.10,11.1,0.00,220,0.30,33.58
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1005.41,09-18-2019,16:00:00,14.00,23.9,53,35.0,1006.64,7.4,0.00,090,0.10,29.63
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1005.15,09-18-2019,16:00:00,11.00,26.9,67,33.8,1005.57,9.3,0.00,170,0.00,35.46
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,994.24,09-18-2019,16:00:00,8.00,23.4,61,31.8,1006.29,3.7,0.00,030,0.00,28.82
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1005.77,09-18-2019,16:00:00,10.00,25.3,70,31.4,1006.48,14.8,0.00,130,0.00,32.30
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1005.02,09-18-2019,16:00:00,7.00,25.0,75,30.0,1007.44,5.6,19.80,180,32.70,31.72
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1006.31,09-18-2019,16:00:00,10.00,25.2,79,29.2,1006.83,0.0,2.00,000,3.00,32.10
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1001.03,09-18-2019,16:00:00,12.00,25.3,76,30.0,1006.13,1.9,0.60,160,36.10,32.30
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1006.74,09-18-2019,16:00:00,8.00,25.8,78,30.0,1007.15,7.4,0.00,180,0.90,33.17
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1004.92,09-18-2019,16:00:00,8.00,25.4,80,29.2,1007.67,0.0,0.00,000,3.30,32.38
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1006.33,09-18-2019,16:00:00,10.00,25.8,76,30.6,1007.11,11.1,0.00,160,0.01,33.26
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1007.58,09-18-2019,16:00:00,7.00,24.8,93,26.0,1008.04,1.9,22.10,080,49.60,31.38
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1007.84,09-18-2019,16:00:00,8.00,23.9,81,27.4,1008.52,9.3,0.10,280,2.00,29.69
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1006.97,09-18-2019,16:00:00,7.00,23.8,80,27.6,1008.49,3.7,0.00,320,0.80,29.52
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1008.89,09-18-2019,16:00:00,7.00,24.1,87,26.4,1009.81,5.6,1.60,240,54.90,29.97
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1007.62,09-18-2019,16:00:00,10.00,24.5,70,30.6,1008.30,0.0,0.00,000,0.10,30.66
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1007.55,09-18-2019,16:00:00,10.00,23.0,63,31.0,1008.34,7.4,0.00,280,0.70,28.09
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1007.26,09-18-2019,16:00:00,10.00,25.1,86,27.7,1007.90,0.0,9.80,000,9.80,31.92
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1007.86,09-18-2019,16:00:00,10.00,24.5,70,30.6,1008.26,11.1,0.00,240,0.70,30.66
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1005.65,09-18-2019,16:00:00,5.00,25.1,82,28.5,1009.85,5.6,0.00,050,0.90,31.82
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1007.12,09-18-2019,16:00:00,12.00,24.0,71,29.9,1008.71,5.6,0.00,220,0.00,29.83
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1005.31,09-18-2019,16:00:00,8.00,25.1,69,31.5,1008.74,7.4,0.00,200,0.00,31.93
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1007.00,09-18-2019,16:00:00,8.00,23.2,65,30.6,1008.34,11.1,0.00,280,0.00,28.42
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1008.17,09-18-2019,16:00:00,10.00,24.3,76,29.0,1009.05,5.6,0.00,300,15.80,30.29
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1005.45,09-18-2019,16:00:00,10.00,24.0,75,28.9,1008.99,0.0,0.00,000,29.00,29.82
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1009.04,09-18-2019,16:00:00,10.00,23.9,74,29.0,1009.47,0.0,0.00,000,10.00,29.74
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1008.10,09-18-2019,16:00:00,10.00,23.5,76,28.2,1009.09,7.4,0.00,240,53.50,29.03
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1008.16,09-18-2019,16:00:00,10.00,24.8,82,28.1,1008.97,5.6,0.00,330,21.00,31.31
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1007.10,09-18-2019,16:00:00,8.00,24.6,75,29.6,1008.90,0.0,0.00,000,0.20,30.92
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1007.55,09-18-2019,16:00:00,10.00,25.3,76,30.0,1008.29,5.6,0.01,060,0.70,32.30
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1004.37,09-18-2019,16:00:00,2.00,23.2,62,31.3,1008.31,14.8,0.00,230,0.00,28.40
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1009.61,09-18-2019,16:00:00,6.00,23.9,92,25.2,1010.30,5.6,7.10,240,7.10,29.62
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1006.81,09-18-2019,16:00:00,7.00,23.8,64,31.4,1007.91,0.0,0.00,000,0.40,29.43
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1005.83,09-18-2019,16:00:00,8.00,23.9,69,30.2,1008.73,9.3,0.00,250,0.00,29.58
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1007.65,09-18-2019,16:00:00,5.00,25.6,85,28.4,1008.34,7.4,2.20,180,2.20,32.75
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1005.52,09-18-2019,16:00:00,5.00,21.9,76,26.5,1009.66,5.6,0.00,250,0.00,26.22
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1008.02,09-18-2019,16:00:00,10.00,24.3,70,30.5,1008.60,0.0,0.00,000,0.00,30.46
