WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,AirTemperature,DewPoint,RelativeHumidity,Rainfall,StationPressure,MeanSeaLevelPressure,Rainfall24Hr,LandVisibility,WindDirection,VaporPressure
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.0,07-26-2019,10:00:00,27.4,23.8,81,0.01,1005.11,1011.00,1.80,9.00,000,29.42
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,11.1,07-26-2019,10:00:00,27.0,23.3,80,0.00,1010.40,1011.21,0.01,8.00,240,28.67
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1.9,07-26-2019,10:00:00,30.0,24.9,74,0.00,1010.26,1010.70,1.00,10.00,210,31.44
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.0,07-26-2019,10:00:00,27.4,24.5,84,4.10,1000.31,1011.65,8.00,6.00,000,30.78
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,3.7,07-26-2019,10:00:00,29.0,23.3,72,0.01,1009.90,1010.91,0.80,10.00,180,28.64
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,3.7,07-26-2019,10:00:00,27.2,24.0,83,0.30,1009.25,1011.08,0.80,8.00,180,29.85
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.0,07-26-2019,10:00:00,28.6,23.4,73,0.00,1010.04,1010.80,1.70,9.00,000,28.70
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,5.6,07-26-2019,10:00:00,28.5,24.6,80,0.00,1010.08,1010.78,2.00,9.00,010,30.98
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,3.7,07-26-2019,10:00:00,28.9,24.8,78,0.20,1010.13,1010.83,24.40,7.00,320,31.21
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,7.4,07-26-2019,10:00:00,30.5,23.7,67,0.00,989.36,1010.34,0.00,10.00,270,29.33
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,9.3,07-26-2019,10:00:00,28.4,22.3,70,0.00,993.65,1010.34,0.50,10.00,220,26.99
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.0,07-26-2019,10:00:00,29.2,23.1,70,0.00,994.40,1010.77,0.80,9.00,000,28.21
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,9.3,07-26-2019,10:00:00,30.0,21.9,62,0.00,988.45,1010.16,0.00,10.00,260,26.21
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,18.5,07-26-2019,10:00:00,26.0,22.1,79,0.00,967.58,1011.14,0.01,14.00,240,26.63
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,7.4,07-26-2019,10:00:00,31.4,22.0,57,0.00,989.81,1010.14,0.00,10.00,240,26.40
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,11.1,07-26-2019,10:00:00,30.0,24.3,71,0.00,991.10,1011.81,0.40,10.00,240,30.31
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,18.5,07-26-2019,10:00:00,29.8,22.1,64,0.01,1010.62,1011.05,0.01,10.00,320,26.64
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.0,07-26-2019,10:00:00,28.5,25.7,85,0.20,1009.32,1010.74,9.50,10.00,000,32.96
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,3.7,07-26-2019,10:00:00,29.6,25.9,81,0.00,1006.14,1011.05,11.30,9.00,180,33.50
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,9.3,07-26-2019,10:00:00,29.5,22.1,65,0.01,1007.60,1010.88,2.00,12.00,250,26.62
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,3.7,07-26-2019,10:00:00,29.5,23.4,70,0.00,1010.15,1011.25,0.01,10.00,270,28.78
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.0,07-26-2019,10:00:00,29.3,23.2,70,0.00,1010.77,1011.07,1.10,8.00,000,28.40
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,5.6,07-26-2019,10:00:00,29.1,23.3,71,0.00,1010.18,1010.86,15.60,10.00,240,28.56
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1.9,07-26-2019,10:00:00,28.6,23.7,75,0.00,1010.22,1010.71,11.70,10.00,300,29.24
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,11.1,07-26-2019,10:00:00,29.0,23.2,71,0.00,1009.79,1011.20,0.01,10.00,270,28.37
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,5.6,07-26-2019,10:00:00,30.3,24.6,72,0.00,1009.50,1011.16,0.60,8.00,300,30.91
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.0,07-26-2019,10:00:00,28.5,24.5,79,0.00,1005.13,1013.14,13.80,10.00,000,30.70
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.0,07-26-2019,10:00:00,29.5,26.0,81,0.00,1010.45,1010.74,6.80,8.00,000,33.58
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,5.6,07-26-2019,10:00:00,30.3,23.0,65,0.00,1006.75,1009.85,2.00,10.00,200,28.12
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,9.3,07-26-2019,10:00:00,30.1,23.0,66,0.00,1004.05,1010.95,0.01,12.00,270,28.01
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.0,07-26-2019,10:00:00,29.7,25.0,76,0.00,1005.50,1011.07,10.40,8.00,000,31.68
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,13.0,07-26-2019,10:00:00,29.4,23.8,72,0.00,1002.06,1011.34,0.00,8.00,230,29.41
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,7.4,07-26-2019,10:00:00,29.0,22.9,70,0.00,1010.56,1011.82,5.90,14.00,270,27.83
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,14.8,07-26-2019,10:00:00,29.5,21.8,63,0.00,1010.73,1011.16,0.00,11.00,310,26.09
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.0,07-26-2019,10:00:00,28.0,24.1,79,0.00,999.23,1011.50,1.80,9.00,000,30.01
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.0,07-26-2019,10:00:00,29.0,23.9,74,0.00,1010.55,1011.26,12.20,10.00,000,29.74
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,11.1,07-26-2019,10:00:00,30.7,23.6,66,0.00,1008.57,1010.99,0.01,10.00,240,29.17
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,11.1,07-26-2019,10:00:00,30.4,25.3,74,0.00,1010.36,1010.88,0.90,10.00,270,32.26
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.0,07-26-2019,10:00:00,30.5,23.7,67,0.00,1005.54,1010.66,0.10,14.00,000,29.33
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,5.6,07-26-2019,10:00:00,30.5,25.3,74,0.00,1010.62,1011.02,20.70,9.00,220,32.17
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.0,07-26-2019,10:00:00,28.6,24.9,80,0.40,1008.32,1011.08,87.70,8.00,000,31.46
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.0,07-26-2019,10:00:00,30.2,20.9,58,0.00,1011.49,1012.27,0.00,10.00,000,24.73
48501,TRAD,ตราด,ตราด,11.76667,102.88333,5.6,07-26-2019,10:00:00,26.0,24.3,90,5.40,1010.90,1011.36,8.90,8.00,060,30.30
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,5.6,07-26-2019,10:00:00,29.2,24.6,76,0.00,1010.80,1011.48,4.10,9.00,260,30.96
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.0,07-26-2019,10:00:00,29.6,24.4,74,0.00,1009.49,1011.01,4.20,8.00,000,30.63
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,7.4,07-26-2019,10:00:00,30.2,24.6,72,0.10,1010.89,1011.80,0.10,8.00,180,30.99
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.0,07-26-2019,10:00:00,30.3,25.2,74,0.00,1011.20,1011.88,0.00,10.00,000,32.05
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,5.6,07-26-2019,10:00:00,32.1,26.2,71,0.00,1010.98,1011.76,0.00,10.00,270,34.10
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.0,07-26-2019,10:00:00,32.0,23.3,60,0.00,1010.85,1011.48,0.00,10.00,000,28.66
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,7.4,07-26-2019,10:00:00,32.2,24.4,63,0.00,1011.29,1011.69,0.00,10.00,310,30.48
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.0,07-26-2019,10:00:00,30.3,24.1,70,0.00,1009.50,1013.69,0.00,6.00,000,30.06
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.0,07-26-2019,10:00:00,30.8,23.1,64,0.00,1009.92,1011.52,0.00,12.00,000,28.26
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,3.7,07-26-2019,10:00:00,31.3,24.5,67,0.00,1007.89,1011.33,0.00,10.00,240,30.65
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.0,07-26-2019,10:00:00,29.1,25.6,81,0.00,1010.13,1011.48,0.00,10.00,000,32.75
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.0,07-26-2019,10:00:00,27.6,23.1,76,1.80,1010.50,1011.39,1.80,10.00,000,28.18
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.0,07-26-2019,10:00:00,30.3,25.0,74,0.00,1007.96,1011.49,0.00,10.00,000,31.76
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.0,07-26-2019,10:00:00,30.5,25.6,75,0.00,1011.16,1011.59,0.00,10.00,000,32.75
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.0,07-26-2019,10:00:00,31.5,25.6,71,0.00,1009.83,1010.81,0.00,10.00,000,32.81
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,5.6,07-26-2019,10:00:00,30.3,27.1,83,0.00,1010.99,1011.80,0.00,10.00,260,35.89
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.0,07-26-2019,10:00:00,31.0,24.6,69,0.00,1009.96,1011.76,0.00,10.00,000,30.90
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,3.7,07-26-2019,10:00:00,31.5,24.0,65,0.00,1010.74,1011.49,0.01,11.00,200,29.92
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,3.7,07-26-2019,10:00:00,29.2,24.8,77,0.00,1007.57,1011.55,0.60,10.00,990,31.25
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.0,07-26-2019,10:00:00,30.3,25.2,74,0.00,1010.55,1011.23,0.00,10.00,000,32.05
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.0,07-26-2019,10:00:00,30.5,24.3,70,0.00,1009.83,1010.94,21.20,10.00,000,30.46
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.0,07-26-2019,10:00:00,29.3,27.5,90,0.00,1008.40,1011.31,0.00,12.00,000,36.71
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.0,07-26-2019,10:00:00,30.8,26.2,77,0.00,1010.31,1010.99,0.00,10.00,000,33.98
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,5.6,07-26-2019,10:00:00,30.8,24.5,69,0.00,1007.71,1011.79,0.00,8.00,080,30.78
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.0,07-26-2019,10:00:00,29.7,24.4,73,0.00,1012.20,1012.79,0.30,10.00,000,30.55
