WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,MaximumTemperature,RelativeHumidity,VaporPressure,AirTemperature,Rainfall,LandVisibility,WindSpeed,DewPoint,MeanSeaLevelPressure,StationPressure,WindDirection
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,09-06-2019,19:00:00,34.1,78,32.13,29.5,0.00,10.00,0.0,25.2,1004.61,998.88,000
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,09-06-2019,19:00:00,33.0,73,28.24,28.5,0.00,12.00,11.1,23.1,1004.77,998.63,270
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,09-06-2019,19:00:00,32.2,80,32.59,29.3,0.00,10.00,0.0,25.5,1005.39,989.11,000
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,12.90,09-06-2019,19:00:00,27.9,92,28.64,24.8,0.50,10.00,0.0,23.3,1006.02,983.56,000
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,09-06-2019,19:00:00,31.5,70,26.90,28.2,0.00,7.00,9.3,22.3,1006.15,991.83,270
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,09-06-2019,19:00:00,32.5,72,25.04,26.7,0.00,7.00,11.1,21.1,1004.89,988.53,120
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.01,09-06-2019,19:00:00,32.6,86,34.92,29.3,0.00,10.00,0.0,26.6,1005.33,1000.15,000
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,09-06-2019,19:00:00,32.5,75,31.72,30.0,0.00,12.00,0.0,25.0,1003.59,990.57,000
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1.40,09-06-2019,19:00:00,33.0,72,28.72,28.9,0.00,10.00,0.0,23.4,1005.18,995.94,000
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,3.70,09-06-2019,19:00:00,32.5,84,33.08,28.7,2.80,5.00,9.3,25.7,1004.83,983.32,240
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,3.00,09-06-2019,19:00:00,33.2,79,30.31,28.3,0.00,10.00,3.7,24.3,1004.30,986.93,230
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,13.00,09-06-2019,19:00:00,31.6,97,33.87,26.7,0.00,10.00,3.7,26.1,1004.69,988.88,200
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1.00,09-06-2019,19:00:00,31.9,79,32.22,29.4,0.00,10.00,1.9,25.3,1003.66,984.99,170
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,15.80,09-06-2019,19:00:00,27.5,91,28.11,24.5,0.60,7.00,0.0,23.0,1007.48,956.04,000
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,3.50,09-06-2019,19:00:00,33.0,88,30.81,26.7,2.60,6.00,3.7,24.5,1005.29,1001.33,190
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,4.20,09-06-2019,19:00:00,22.1,98,24.23,20.9,0.20,.30,7.4,20.6,1006.77,911.52,220
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1.40,09-06-2019,19:00:00,31.7,90,34.99,28.5,0.00,10.00,0.0,26.7,1004.78,988.91,000
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1.20,09-06-2019,19:00:00,33.8,74,30.44,29.5,0.00,10.00,7.4,24.3,1005.68,1001.69,200
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,4.30,09-06-2019,19:00:00,33.5,89,30.70,26.5,2.30,8.00,0.0,24.5,1007.56,996.86,000
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,7.90,09-06-2019,19:00:00,35.5,88,31.38,27.0,7.90,7.00,0.0,24.8,1006.34,1004.41,000
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.50,09-06-2019,19:00:00,32.3,74,30.13,29.2,0.00,12.00,9.3,24.2,1005.70,985.02,230
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.80,09-06-2019,19:00:00,31.4,81,32.55,29.0,0.00,10.00,0.0,25.5,1004.60,987.10,000
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.20,09-06-2019,19:00:00,32.2,75,31.00,29.5,0.00,10.00,5.6,24.6,1004.35,988.36,200
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,5.20,09-06-2019,19:00:00,31.5,75,30.80,29.4,0.00,10.00,0.0,24.5,1005.40,991.50,000
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,14.40,09-06-2019,19:00:00,32.2,85,33.04,28.4,0.00,10.00,0.0,25.7,1005.95,991.20,000
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.20,09-06-2019,19:00:00,32.0,86,34.58,29.0,0.00,8.00,0.0,26.5,1006.59,992.02,000
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,09-06-2019,19:00:00,35.1,70,30.34,30.3,0.00,10.00,0.0,24.3,1005.19,1002.21,"{'@attributes': {'Unit': 'degree'}, '0': '   '}"
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1.40,09-06-2019,19:00:00,32.8,91,34.11,27.8,1.00,8.00,0.0,26.2,1005.52,997.60,000
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,09-06-2019,19:00:00,33.3,69,28.80,29.8,0.00,7.00,11.1,23.4,1006.28,1005.19,230
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,09-06-2019,19:00:00,31.7,83,32.91,28.9,0.00,8.00,0.0,25.6,1004.09,989.53,000
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,7.40,09-06-2019,19:00:00,22.3,99,23.72,20.4,0.00,.10,7.4,20.2,1007.65,872.96,270
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,15.10,09-06-2019,19:00:00,32.5,96,33.19,26.5,13.40,10.00,0.0,25.8,1006.16,1000.27,000
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,4.50,09-06-2019,19:00:00,34.0,92,34.81,28.0,4.00,7.00,7.4,26.6,1007.04,1006.24,240
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,10.10,09-06-2019,19:00:00,30.5,75,30.40,29.2,0.00,10.00,14.8,24.3,1006.83,1006.38,210
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,9.00,09-06-2019,19:00:00,30.7,93,30.07,25.3,4.60,4.00,0.0,24.1,1008.17,996.79,000
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,09-06-2019,19:00:00,35.0,68,28.83,30.1,0.00,10.00,5.6,23.4,1006.61,1005.61,180
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,3.40,09-06-2019,19:00:00,33.1,76,31.28,29.5,3.00,7.00,0.0,24.8,1006.44,1004.63,000
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,3.60,09-06-2019,19:00:00,34.4,67,26.77,29.0,1.20,6.00,7.4,22.2,1006.55,1005.79,270
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,5.20,09-06-2019,19:00:00,31.9,82,29.77,27.3,0.80,10.00,16.7,24.0,1006.77,1006.06,200
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,3.10,09-06-2019,19:00:00,32.8,78,32.13,29.5,0.00,7.00,0.0,25.2,1006.27,1005.57,000
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.01,09-06-2019,19:00:00,32.1,73,30.75,29.8,0.00,10.00,3.7,24.5,1006.07,985.13,280
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,3.00,09-06-2019,19:00:00,31.7,77,31.65,29.4,0.00,9.00,0.0,25.0,1005.41,988.85,000
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,4.90,09-06-2019,19:00:00,32.5,86,33.53,28.5,0.00,6.00,3.7,26.0,1006.04,989.71,230
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.01,09-06-2019,19:00:00,32.7,69,29.00,29.9,0.00,10.00,0.0,23.5,1005.60,983.98,000
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1.60,09-06-2019,19:00:00,29.5,77,27.36,27.0,0.00,12.00,3.7,22.6,1006.67,963.44,230
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,1.00,09-06-2019,19:00:00,32.5,77,31.65,29.4,0.00,10.00,0.0,25.0,1005.24,984.88,000
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,09-06-2019,19:00:00,31.6,86,31.33,27.4,0.00,10.00,7.4,24.8,1007.17,986.38,240
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1.80,09-06-2019,19:00:00,31.7,62,25.66,29.7,0.00,10.00,13.0,21.5,1006.96,1006.53,310
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,5.70,09-06-2019,19:00:00,30.5,90,33.53,27.8,0.00,8.00,0.0,26.0,1006.46,1005.05,000
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,15.50,09-06-2019,19:00:00,30.9,87,33.41,28.3,0.00,8.00,0.0,25.9,1006.39,1001.48,000
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.10,09-06-2019,19:00:00,34.0,62,26.11,29.8,0.00,12.00,7.4,21.8,1007.08,1003.82,240
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.01,09-06-2019,19:00:00,33.9,68,27.40,29.2,0.00,10.00,7.4,22.6,1006.72,1005.63,270
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1.30,09-06-2019,19:00:00,32.1,71,28.94,29.3,0.01,10.00,5.6,23.5,1006.98,1006.69,210
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,4.60,09-06-2019,19:00:00,33.5,79,31.29,28.8,1.60,10.00,0.0,24.8,1007.92,1007.24,000
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,3.80,09-06-2019,19:00:00,35.4,82,32.02,28.6,1.30,10.00,3.7,25.2,1006.61,1006.12,160
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,11.80,09-06-2019,19:00:00,32.6,93,34.27,27.6,10.80,9.00,7.4,26.3,1006.73,1005.33,070
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,0.00,09-06-2019,19:00:00,30.5,77,31.05,29.1,0.00,10.00,16.7,24.7,1007.09,1005.43,190
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,9.10,09-06-2019,19:00:00,31.0,82,30.45,27.8,0.00,10.00,0.0,24.3,1007.78,999.79,000
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,3.20,09-06-2019,19:00:00,32.5,73,29.96,29.4,0.00,10.00,0.0,24.1,1006.24,1005.96,000
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,2.80,09-06-2019,19:00:00,31.2,78,31.13,29.0,0.00,10.00,9.3,24.7,1006.81,1003.70,270
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1.60,09-06-2019,19:00:00,30.4,74,29.27,28.9,0.00,10.00,5.6,23.7,1007.10,1000.20,270
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,31.00,09-06-2019,19:00:00,31.3,83,32.30,28.6,0.00,10.00,0.0,25.3,1006.52,1000.96,000
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,2.00,09-06-2019,19:00:00,32.5,76,29.41,28.4,0.00,10.00,18.5,23.8,1007.91,998.63,240
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1.60,09-06-2019,19:00:00,33.4,72,27.79,28.4,0.00,10.00,0.0,22.8,1007.96,1006.71,000
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.10,09-06-2019,19:00:00,32.8,65,26.62,29.5,0.00,11.00,7.4,22.1,1007.21,1006.78,330
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.01,09-06-2019,19:00:00,31.7,73,27.77,28.1,0.00,8.00,0.0,22.8,1007.78,995.56,000
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,09-06-2019,19:00:00,32.7,69,28.42,29.6,0.00,10.00,3.7,23.2,1007.41,1006.70,210
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,09-06-2019,19:00:00,32.0,70,28.48,29.2,0.00,9.00,14.8,23.2,1007.58,1005.16,230
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.60,09-06-2019,19:00:00,30.0,81,31.54,28.5,0.00,10.00,7.4,24.9,1007.68,1007.16,240
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.40,09-06-2019,19:00:00,31.1,75,29.05,28.5,0.00,13.00,5.6,23.6,1007.23,1002.10,250
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,27.10,09-06-2019,19:00:00,30.6,81,30.56,28.0,0.00,7.00,0.0,24.4,1007.65,1007.23,000
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,16.10,09-06-2019,19:00:00,30.5,88,31.38,27.0,0.00,8.00,0.0,24.8,1008.38,1005.61,000
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.50,09-06-2019,19:00:00,31.8,73,28.14,28.3,0.00,10.00,0.0,23.0,1007.70,1006.92,000
48501,TRAD,ตราด,ตราด,11.76667,102.88333,0.50,09-06-2019,19:00:00,31.0,86,32.52,28.0,0.00,6.00,3.7,25.4,1008.18,1007.72,310
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.00,09-06-2019,19:00:00,31.4,76,29.90,28.8,0.00,8.00,0.0,24.0,1008.33,1007.65,000
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.20,09-06-2019,19:00:00,32.0,82,30.84,28.0,0.00,7.00,0.0,24.6,1007.78,1006.26,000
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.00,09-06-2019,19:00:00,31.7,85,32.63,28.2,0.00,10.00,3.7,25.5,1008.69,1007.78,180
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,09-06-2019,19:00:00,35.0,65,28.23,30.5,0.00,10.00,11.1,23.1,1007.66,1006.98,240
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,09-06-2019,19:00:00,33.0,75,30.72,29.5,0.00,8.00,3.7,24.5,1007.67,1006.88,300
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,09-06-2019,19:00:00,35.5,81,32.55,29.0,0.00,10.00,0.0,25.5,1007.71,1007.08,000
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,09-06-2019,19:00:00,36.5,77,31.77,29.6,0.00,10.00,0.0,25.0,1008.11,1007.71,000
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,09-06-2019,19:00:00,33.2,83,32.10,28.5,0.00,5.00,0.0,25.2,1009.65,1005.45,000
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,09-06-2019,19:00:00,33.8,78,29.28,27.9,0.00,10.00,0.0,23.7,1007.18,1005.58,000
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,09-06-2019,19:00:00,32.5,87,31.61,27.4,0.00,10.00,0.0,25.0,1008.57,1005.10,000
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,09-06-2019,19:00:00,34.3,60,26.92,31.1,0.00,10.00,3.7,22.3,1007.45,1006.11,300
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,09-06-2019,19:00:00,32.1,85,33.37,28.7,0.00,10.00,0.0,25.9,1008.07,1007.19,000
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,09-06-2019,19:00:00,33.0,77,30.26,28.7,0.00,10.00,0.0,24.2,1008.42,1004.88,000
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,09-06-2019,19:00:00,32.5,71,30.31,30.0,0.00,10.00,0.0,24.3,1007.97,1007.54,000
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,09-06-2019,19:00:00,32.1,76,31.16,29.3,0.00,10.00,5.6,24.7,1007.84,1006.86,250
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,09-06-2019,19:00:00,31.8,75,28.49,28.2,0.00,10.00,5.6,23.2,1008.43,1007.62,090
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,09-06-2019,19:00:00,35.2,74,30.13,29.2,0.00,10.00,3.7,24.2,1008.17,1006.37,210
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,09-06-2019,19:00:00,32.6,73,30.75,29.8,0.00,10.00,0.0,24.5,1008.03,1007.28,000
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,09-06-2019,19:00:00,34.5,67,28.37,30.0,0.00,10.00,7.4,23.2,1008.16,1004.20,230
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,09-06-2019,19:00:00,34.7,81,32.55,29.0,0.00,10.00,0.0,25.5,1007.90,1007.22,000
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,09-06-2019,19:00:00,34.4,80,34.18,30.2,0.00,10.00,5.6,26.3,1008.76,1007.65,110
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,09-06-2019,19:00:00,34.4,79,32.10,29.2,0.00,10.00,0.0,25.2,1008.15,1005.25,000
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.00,09-06-2019,19:00:00,34.5,86,34.15,28.8,0.00,8.00,0.0,26.3,1008.16,1007.47,000
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.00,09-06-2019,19:00:00,35.4,74,30.52,29.4,0.00,7.00,0.0,24.4,1009.20,1005.10,000
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.00,09-06-2019,19:00:00,33.2,72,29.60,29.5,0.00,10.00,9.3,23.9,1008.44,1007.85,040
