WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,LandVisibility,AirTemperature,Rainfall24Hr,WindSpeed,MeanSeaLevelPressure,VaporPressure,StationPressure,DewPoint,WindDirection,Rainfall,RelativeHumidity
48331,NAN,น่าน,น่าน,18.77972,100.77778,10-05-2019,01:00:00,10.00,23.2,19.30,0.0,1011.03,27.16,987.87,22.4,000,0.01,96
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,10-05-2019,01:00:00,6.00,22.2,1.20,0.0,1011.27,25.05,980.85,21.1,000,0.00,94
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,10-05-2019,01:00:00,7.00,22.6,29.20,0.0,1011.35,26.91,975.27,22.3,000,0.60,98
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,10-05-2019,01:00:00,1.00,22.2,0.50,0.0,1010.39,26.25,980.17,21.9,000,0.00,98
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,10-05-2019,01:00:00,7.00,24.5,7.90,0.0,1010.55,26.84,1003.16,22.3,000,0.00,87
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,10-05-2019,01:00:00,4.00,24.5,0.00,5.6,1010.24,28.63,990.13,23.3,250,0.00,93
48353,LOEI,เลย,เลย,17.45000,101.73333,10-05-2019,01:00:00,5.00,23.0,1.20,0.0,1010.56,26.33,981.47,21.9,000,0.00,94
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,10-05-2019,01:00:00,5.00,23.3,6.10,0.0,1010.23,27.08,989.76,22.4,000,0.00,95
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,10-05-2019,01:00:00,10.00,23.2,0.00,3.7,1010.63,25.68,988.57,21.5,220,0.00,90
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,10-05-2019,01:00:00,10.00,24.0,0.00,3.7,1010.04,27.25,990.31,22.5,230,0.00,91
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,10-05-2019,01:00:00,10.00,24.9,0.01,0.0,1010.70,27.79,993.79,22.8,000,0.00,88
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,10-05-2019,01:00:00,10.00,24.5,0.50,0.0,1010.90,28.37,993.29,23.2,000,0.00,92
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,10-05-2019,01:00:00,8.00,23.9,6.20,0.0,1009.16,27.34,983.08,22.6,000,0.00,92
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,10-05-2019,01:00:00,8.00,24.2,2.20,9.3,1012.35,29.92,1006.48,24.0,240,0.50,99
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,10-05-2019,01:00:00,5.00,24.5,0.20,0.0,1012.26,29.41,1005.99,23.8,000,0.20,96
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,10-05-2019,01:00:00,7.00,25.6,0.00,0.0,1011.63,27.21,995.05,22.5,000,0.00,83
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,10-05-2019,01:00:00,8.00,24.8,0.30,7.4,1009.70,23.16,987.17,19.9,100,0.00,74
48376,TAK,ตาก,ตาก,16.87833,99.14333,10-05-2019,01:00:00,4.00,24.8,40.20,0.0,1012.43,29.42,997.87,23.8,000,40.20,94
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,10-05-2019,01:00:00,7.00,22.0,25.00,0.0,1011.74,25.69,995.01,21.5,000,18.50,97
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,10-05-2019,01:00:00,7.00,25.4,2.30,5.6,1011.31,29.19,1006.04,23.6,210,2.30,90
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,10-05-2019,01:00:00,7.00,25.0,0.00,0.0,1009.11,29.00,995.80,23.5,000,0.00,92
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,10-05-2019,01:00:00,3.00,23.5,57.40,0.0,1011.99,28.17,1002.51,23.0,000,34.80,97
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,10-05-2019,01:00:00,8.00,24.5,6.00,0.0,1010.46,29.41,988.53,23.8,000,0.00,96
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,10-05-2019,01:00:00,10.00,25.0,0.00,0.0,1010.33,26.43,992.66,22.0,000,0.00,83
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,10-05-2019,01:00:00,10.00,24.7,0.00,0.0,1009.68,29.25,993.68,23.7,000,0.00,94
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,10-05-2019,01:00:00,7.00,24.2,40.10,0.0,1009.58,28.62,990.47,23.3,000,0.00,95
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,10-05-2019,01:00:00,6.00,21.7,0.00,0.0,1014.21,23.81,961.94,20.3,000,0.00,92
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,10-05-2019,01:00:00,3.00,25.4,0.20,13.0,1011.10,28.67,1007.11,23.3,270,0.20,88
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,10-05-2019,01:00:00,1.50,19.4,15.50,0.0,1012.34,21.63,916.10,18.8,000,15.50,96
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,10-05-2019,01:00:00,6.00,24.7,8.10,0.0,1010.59,30.03,994.42,24.1,000,0.00,97
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,10-05-2019,01:00:00,9.00,26.5,0.30,1.9,1010.61,30.97,1006.55,24.6,290,0.30,89
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,10-05-2019,01:00:00,5.00,25.7,0.10,0.0,1010.88,29.48,1000.12,23.8,000,0.10,89
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,10-05-2019,01:00:00,9.00,26.5,0.00,0.0,1010.47,28.29,1008.53,23.1,000,0.00,82
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,10-05-2019,01:00:00,10.00,25.0,0.00,0.0,1010.21,25.68,989.15,21.5,000,0.00,81
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,10-05-2019,01:00:00,10.00,24.5,0.00,0.0,1010.09,29.41,992.23,23.8,000,0.00,96
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,10-05-2019,01:00:00,8.00,25.0,0.00,0.0,1010.07,30.58,993.75,24.4,000,0.00,97
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,10-05-2019,01:00:00,10.00,23.6,3.80,0.0,1010.75,25.60,996.50,21.5,000,3.30,88
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,10-05-2019,01:00:00,7.00,22.5,2.00,0.0,1011.12,25.52,996.01,21.4,000,0.00,94
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,10-05-2019,01:00:00,10.00,26.3,0.00,0.0,1010.32,31.68,995.57,25.0,000,0.00,93
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,10-05-2019,01:00:00,8.00,26.8,0.00,0.0,1009.93,30.45,1006.90,24.3,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.00,86
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,10-05-2019,01:00:00,7.00,26.3,0.00,0.0,1010.35,28.72,1002.35,23.4,000,0.00,84
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,10-05-2019,01:00:00,7.00,26.3,0.00,5.6,1009.91,29.78,1008.79,24.0,210,0.00,87
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,10-05-2019,01:00:00,8.00,26.6,0.00,0.0,1009.86,30.89,995.12,24.6,000,0.00,89
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,10-05-2019,01:00:00,.10,17.9,40.40,0.0,1012.27,20.28,875.90,17.7,000,0.00,99
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,10-05-2019,01:00:00,7.00,25.2,0.00,0.0,1010.18,28.57,1004.25,23.3,000,0.00,89
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,10-05-2019,01:00:00,8.00,25.5,31.40,3.7,1010.01,30.17,1009.20,24.2,210,0.00,93
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,10-05-2019,01:00:00,8.00,26.8,0.00,0.0,1009.96,31.55,1009.51,24.9,000,0.00,90
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,10-05-2019,01:00:00,5.00,24.8,0.40,0.0,1010.69,29.69,999.26,23.9,000,0.00,95
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,10-05-2019,01:00:00,6.00,27.0,0.00,0.0,1009.83,27.36,1008.81,22.6,000,0.00,77
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,10-05-2019,01:00:00,7.00,26.5,0.00,0.0,1009.85,29.62,1008.01,23.9,000,0.00,86
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,10-05-2019,01:00:00,4.00,24.7,0.00,0.0,1009.76,28.98,1008.99,23.5,000,0.00,93
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,10-05-2019,01:00:00,9.00,26.7,0.50,9.3,1010.08,29.45,1009.37,23.8,120,0.00,84
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,10-05-2019,01:00:00,7.00,26.5,0.00,0.0,1009.74,30.43,1009.03,24.3,000,0.00,88
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,10-05-2019,01:00:00,7.00,25.0,0.00,0.0,1010.43,26.43,989.06,22.0,000,0.00,83
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,10-05-2019,01:00:00,7.00,25.6,1.10,0.0,1010.11,29.82,993.27,24.0,000,0.00,91
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,10-05-2019,01:00:00,7.00,25.5,0.10,0.0,1011.21,29.91,994.63,24.0,000,0.00,92
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,10-05-2019,01:00:00,4.00,25.3,0.00,0.0,1010.45,27.72,988.40,22.8,000,0.00,86
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,10-05-2019,01:00:00,8.00,23.1,0.01,0.0,1010.08,26.50,966.16,22.0,000,0.00,94
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,10-05-2019,01:00:00,10.00,25.9,0.40,3.7,1009.96,30.38,989.27,24.3,260,0.00,91
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,10-05-2019,01:00:00,5.00,25.5,0.00,0.0,1011.72,32.62,990.71,25.5,000,0.00,100
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,10-05-2019,01:00:00,10.00,27.5,0.00,0.0,1009.96,29.33,1009.52,23.7,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.00,80
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,10-05-2019,01:00:00,6.00,24.8,15.40,0.0,1009.79,30.22,1008.36,24.2,000,0.00,97
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,10-05-2019,01:00:00,7.00,24.5,17.90,0.0,1010.48,29.41,1005.49,23.8,000,0.00,96
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,10-05-2019,01:00:00,10.00,25.0,7.20,0.0,1009.91,29.00,1006.58,23.5,000,0.00,92
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,10-05-2019,01:00:00,10.00,25.2,0.00,0.0,1009.85,29.89,1008.73,24.0,000,0.00,93
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,10-05-2019,01:00:00,10.00,27.3,2.70,0.0,1010.08,31.69,1009.78,25.0,000,0.00,87
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,10-05-2019,01:00:00,10.00,27.5,14.00,0.0,1010.45,31.52,1009.96,24.9,000,0.00,86
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,10-05-2019,01:00:00,9.00,25.5,37.60,0.0,1010.34,30.71,1008.92,24.5,000,0.00,94
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,10-05-2019,01:00:00,10.00,23.5,2.90,0.0,1012.23,28.17,1004.09,23.0,000,0.00,97
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,10-05-2019,01:00:00,4.00,25.5,15.70,0.0,1009.36,31.25,1009.08,24.8,000,0.00,96
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,10-05-2019,01:00:00,10.00,26.0,0.00,0.0,1009.47,30.84,1006.32,24.6,000,0.00,92
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,10-05-2019,01:00:00,10.00,26.5,0.00,5.6,1009.93,31.79,1002.95,25.1,180,0.00,92
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,10-05-2019,01:00:00,8.00,25.5,21.70,0.0,1010.52,30.71,1004.88,24.5,000,0.00,94
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,10-05-2019,01:00:00,8.00,25.2,0.00,0.0,1011.19,29.10,1009.91,23.6,000,0.00,91
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,10-05-2019,01:00:00,11.00,27.1,0.00,5.6,1010.09,29.93,1009.66,24.1,280,0.00,84
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,10-05-2019,01:00:00,8.00,23.5,0.10,0.0,1010.65,27.66,998.20,22.8,000,0.00,96
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,10-05-2019,01:00:00,8.00,26.5,0.00,0.0,1009.94,28.03,1009.22,23.0,000,0.00,81
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,10-05-2019,01:00:00,7.00,26.3,0.00,5.6,1009.65,31.41,1007.21,24.9,360,0.00,92
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,10-05-2019,01:00:00,7.00,26.5,0.00,0.0,1010.73,30.43,1010.21,24.3,000,0.00,88
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,10-05-2019,01:00:00,8.00,25.8,2.30,0.0,1009.69,31.27,1004.50,24.8,000,0.00,94
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,10-05-2019,01:00:00,7.00,25.0,46.40,0.0,1009.90,30.32,1009.49,24.3,000,0.00,96
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,10-05-2019,01:00:00,8.00,24.8,4.40,0.0,1010.47,29.95,1007.67,24.1,000,0.00,96
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,10-05-2019,01:00:00,10.00,27.2,0.00,0.0,1010.82,32.61,1010.03,25.5,000,0.00,90
48501,TRAD,ตราด,ตราด,11.76667,102.88333,10-05-2019,01:00:00,6.00,24.5,19.90,5.6,1010.26,28.63,1009.79,23.3,100,0.00,93
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,10-05-2019,01:00:00,7.00,24.6,0.00,0.0,1010.43,29.33,1009.74,23.7,000,0.00,95
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,10-05-2019,01:00:00,8.00,24.2,0.00,0.0,1010.70,28.36,1009.16,23.2,000,0.00,94
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,10-05-2019,01:00:00,10.00,25.2,0.00,3.7,1010.79,29.36,1009.87,23.7,060,0.00,92
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,10-05-2019,01:00:00,10.00,26.5,0.00,0.0,1010.50,31.52,1009.81,24.9,000,0.00,91
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,10-05-2019,01:00:00,7.00,24.0,49.10,0.0,1011.05,28.53,1010.25,23.3,000,2.00,96
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,10-05-2019,01:00:00,10.00,25.0,0.00,0.0,1010.46,29.79,1009.82,24.0,000,0.00,94
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,10-05-2019,01:00:00,10.00,25.1,0.00,0.0,1010.36,31.04,1009.95,24.7,000,0.00,97
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,10-05-2019,01:00:00,5.00,24.5,0.20,0.0,1012.88,29.41,1008.61,23.8,000,0.00,96
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,10-05-2019,01:00:00,6.00,23.2,32.80,0.0,1010.53,27.91,1008.90,22.9,000,0.01,98
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,10-05-2019,01:00:00,10.00,25.0,0.90,0.0,1010.89,29.52,1007.38,23.8,000,0.00,93
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,10-05-2019,01:00:00,8.00,25.5,0.00,0.0,1010.65,30.98,1009.29,24.6,000,0.00,95
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,10-05-2019,01:00:00,10.00,24.2,15.80,9.3,1010.92,26.34,1010.03,21.9,060,0.00,87
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,10-05-2019,01:00:00,10.00,24.8,0.20,0.0,1010.63,29.42,1007.03,23.8,000,0.20,94
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,10-05-2019,01:00:00,8.00,26.0,2.20,0.0,1010.28,30.84,1009.84,24.6,000,1.20,92
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,10-05-2019,01:00:00,7.00,25.5,1.90,5.6,1011.00,29.11,1010.00,23.6,060,0.90,89
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,10-05-2019,01:00:00,10.00,25.5,0.00,7.4,1010.55,30.98,1009.73,24.6,100,0.00,95
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,10-05-2019,01:00:00,10.00,25.0,2.00,0.0,1010.40,29.79,1008.57,24.0,000,0.00,94
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,10-05-2019,01:00:00,10.00,26.0,1.10,3.7,1010.29,29.23,1009.53,23.7,220,0.00,87
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,10-05-2019,01:00:00,9.00,24.7,0.20,0.0,1010.62,30.56,1006.58,24.4,000,0.00,98
48570,SATUN,สตูล,สตูล,6.65000,100.08333,10-05-2019,01:00:00,10.00,26.0,0.00,0.0,1010.60,31.11,1009.92,24.7,000,0.00,93
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,10-05-2019,01:00:00,10.00,25.0,6.80,0.0,1010.32,30.32,1009.20,24.3,000,0.00,96
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,10-05-2019,01:00:00,10.00,24.8,0.00,0.0,1010.43,29.42,1007.48,23.8,000,0.00,94
