WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,Rainfall24Hr,VaporPressure,MeanSeaLevelPressure,DewPoint,StationPressure,Rainfall,WindDirection,AirTemperature,LandVisibility,WindSpeed
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,55,09-12-2019,13:00:00,4.20,27.84,1012.06,22.9,1010.48,0.00,000,33.0,12.00,0.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,57,09-12-2019,13:00:00,0.00,29.41,1011.45,23.8,1008.04,0.00,270,33.5,12.00,5.6
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,66,09-12-2019,13:00:00,2.50,31.52,1011.76,24.9,1010.42,0.00,030,32.0,8.00,3.7
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,69,09-12-2019,13:00:00,0.00,30.58,1012.86,24.4,1011.98,0.00,270,30.7,12.00,9.3
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,56,09-12-2019,13:00:00,0.00,28.84,1011.90,23.4,1008.41,0.00,290,33.5,10.00,5.6
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,71,09-12-2019,13:00:00,0.20,33.15,1012.02,25.8,1011.59,0.20,000,31.8,10.00,0.0
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,69,09-12-2019,13:00:00,1.20,31.93,1013.14,25.1,1012.15,0.00,300,31.5,10.00,9.3
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,73,09-12-2019,13:00:00,0.00,33.48,1012.13,25.9,1011.32,0.00,210,31.4,10.00,5.6
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,55,09-12-2019,13:00:00,0.00,29.29,1011.72,23.7,1009.94,0.00,210,34.0,10.00,9.3
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,70,09-12-2019,13:00:00,0.00,32.22,1012.00,25.3,1011.25,0.00,080,31.5,10.00,9.3
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,58,09-12-2019,13:00:00,0.00,28.65,1011.70,23.3,1007.76,0.00,990,32.7,8.00,5.6
48570,SATUN,สตูล,สตูล,6.65000,100.08333,56,09-12-2019,13:00:00,0.00,29.37,1011.83,23.7,1011.16,0.00,230,33.9,8.00,5.6
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,59,09-12-2019,13:00:00,2.40,29.33,1011.45,23.7,1010.35,0.00,000,32.9,10.00,0.0
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,61,09-12-2019,13:00:00,0.00,32.53,1011.69,25.4,1008.83,0.00,260,34.0,11.00,7.4
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,68,09-12-2019,13:00:00,0.00,35.08,1011.13,26.7,1010.46,0.00,040,33.5,10.00,9.3
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,61,09-12-2019,13:00:00,4.30,30.28,1012.17,24.2,1008.11,0.00,340,32.8,6.00,3.7
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,62,09-12-2019,13:00:00,71.10,28.51,1013.34,23.2,1012.76,0.00,060,31.5,12.00,14.8
