WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,WindSpeed,StationPressure,LandVisibility,VaporPressure,Rainfall24Hr,RelativeHumidity,MeanSeaLevelPressure,DewPoint,MinimumTemperature,Rainfall,WindDirection
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,26.8,07-09-2019,07:00:00,7.4,1001.60,12.00,27.52,0.00,78,1007.80,22.7,26.0,0.00,250
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,26.0,07-09-2019,07:00:00,0.0,992.51,10.00,29.50,0.00,88,1009.03,23.8,25.0,0.00,000
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,23.4,07-09-2019,07:00:00,3.7,985.99,7.00,26.75,9.40,93,1008.61,22.2,23.0,1.00,120
48376,TAK,ตาก,ตาก,16.87833,99.14333,27.0,07-09-2019,07:00:00,9.3,994.79,7.00,26.84,0.00,75,1009.20,22.3,26.0,0.00,280
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,25.6,07-09-2019,07:00:00,0.0,991.99,7.00,28.51,1.40,87,1008.47,23.2,25.2,0.20,000
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,26.9,07-09-2019,07:00:00,0.0,1003.13,10.00,31.74,0.01,90,1008.37,25.0,25.4,0.00,000
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,25.4,07-09-2019,07:00:00,0.0,994.09,10.00,30.79,1.50,95,1007.36,24.5,24.4,0.00,000
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,26.3,07-09-2019,07:00:00,0.0,999.09,10.00,27.93,0.00,82,1008.45,22.9,25.5,0.00,000
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,26.5,07-09-2019,07:00:00,9.3,985.83,10.00,28.03,0.00,81,1007.56,23.0,25.5,0.00,220
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,28.0,07-09-2019,07:00:00,14.8,990.83,10.00,27.32,0.00,72,1008.30,22.5,26.5,0.00,240
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,27.0,07-09-2019,07:00:00,5.6,991.47,10.00,30.02,0.00,84,1007.30,24.1,26.2,0.00,200
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,27.1,07-09-2019,07:00:00,3.7,987.82,10.00,31.30,0.00,87,1006.69,24.8,26.5,0.00,200
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,23.2,07-09-2019,07:00:00,0.0,959.29,7.00,26.66,3.50,94,1011.14,22.1,22.4,0.00,000
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,26.5,07-09-2019,07:00:00,0.0,1004.29,5.00,33.19,8.30,96,1008.26,25.8,25.2,0.00,000
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,20.4,07-09-2019,07:00:00,14.8,914.12,.05,23.49,3.20,98,1009.81,20.1,19.5,2.00,240
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,27.6,07-09-2019,07:00:00,5.6,991.64,8.00,32.00,3.50,87,1007.60,25.2,26.2,0.00,200
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,25.9,07-09-2019,07:00:00,0.0,1004.15,12.00,30.92,0.00,93,1008.20,24.6,25.4,0.00,000
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,26.0,07-09-2019,07:00:00,0.0,999.00,9.00,32.20,0.00,96,1009.74,25.3,25.0,0.00,000
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,26.0,07-09-2019,07:00:00,9.3,1007.50,12.00,29.23,0.00,87,1009.44,23.7,25.9,0.00,180
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,26.2,07-09-2019,07:00:00,5.6,987.73,10.00,28.01,4.20,82,1008.68,23.0,26.0,0.00,260
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,27.9,07-09-2019,07:00:00,11.1,989.78,10.00,28.47,0.00,76,1007.40,23.2,26.4,0.00,190
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,27.5,07-09-2019,07:00:00,11.1,991.13,10.00,30.42,0.00,83,1007.26,24.3,26.8,0.00,180
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,27.0,07-09-2019,07:00:00,0.0,994.50,10.00,29.21,2.80,82,1008.55,23.6,25.7,0.00,000
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,25.3,07-09-2019,07:00:00,0.0,994.77,9.00,30.07,7.80,93,1009.72,24.1,24.7,0.00,000
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,26.8,07-09-2019,07:00:00,11.1,994.97,9.00,30.18,0.00,86,1009.69,24.2,26.0,0.00,230
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,26.3,07-09-2019,07:00:00,0.0,1004.92,10.00,30.86,0.00,90,1007.95,24.6,24.9,0.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}"
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,26.7,07-09-2019,07:00:00,0.0,1000.92,10.00,29.45,26.60,84,1008.89,23.8,25.6,0.00,000
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,26.2,07-09-2019,07:00:00,5.6,1008.12,9.00,28.54,0.00,84,1009.24,23.3,25.0,0.00,220
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,26.8,07-09-2019,07:00:00,0.0,993.43,8.00,31.27,0.00,89,1008.14,24.8,26.1,0.00,000
48417,NAKORNNAYOK,นครนายก,นครนายก,{'@attributes': {'Unit': 'decimal degree'}},{'@attributes': {'Unit': 'decimal degree'}},19.3,07-09-2019,07:00:00,1.9,874.41,.10,21.93,4.00,98,1009.86,19.0,18.8,0.00,210
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,26.4,07-09-2019,07:00:00,0.0,1003.35,10.00,31.05,0.00,90,1009.25,24.7,24.7,0.00,000
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,27.6,07-09-2019,07:00:00,0.0,1008.58,8.00,33.70,0.00,91,1009.38,26.0,26.5,0.00,000
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,29.5,07-09-2019,07:00:00,0.0,1008.56,10.00,29.33,0.00,71,1009.00,23.7,28.2,0.00,000
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,24.5,07-09-2019,07:00:00,0.0,999.36,4.00,29.41,10.30,96,1010.79,23.8,24.2,3.40,000
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,27.2,07-09-2019,07:00:00,3.7,1008.39,10.00,29.31,0.00,81,1009.40,23.7,26.2,0.00,210
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,26.6,07-09-2019,07:00:00,0.0,1007.22,9.00,30.07,0.00,86,1009.05,24.1,26.0,0.00,000
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,25.8,07-09-2019,07:00:00,0.0,1008.67,9.00,29.66,0.90,89,1009.44,23.9,24.6,0.00,000
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,27.3,07-09-2019,07:00:00,3.7,1008.53,10.00,30.31,6.00,84,1009.24,24.3,26.3,0.00,210
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,26.5,07-09-2019,07:00:00,0.0,1008.74,7.00,32.35,12.80,93,1009.45,25.4,25.6,0.00,000
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,26.5,07-09-2019,07:00:00,0.0,987.37,10.00,27.77,0.00,80,1008.59,22.8,25.3,0.00,000
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,26.7,07-09-2019,07:00:00,3.7,992.13,7.00,29.72,0.30,85,1008.90,23.9,25.4,0.00,220
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,27.0,07-09-2019,07:00:00,9.3,992.88,9.00,30.02,0.00,84,1009.35,24.1,24.4,0.00,210
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,26.1,07-09-2019,07:00:00,0.0,986.81,10.00,29.41,0.00,87,1008.76,23.8,25.0,0.00,000
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,26.7,07-09-2019,07:00:00,7.4,965.61,15.00,25.04,0.00,72,1008.97,21.1,25.1,0.00,200
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,26.5,07-09-2019,07:00:00,3.7,988.11,10.00,29.08,0.00,84,1008.73,23.6,24.2,0.00,220
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,26.4,07-09-2019,07:00:00,14.8,989.26,8.00,31.33,0.01,91,1010.18,24.8,25.8,0.00,210
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,28.0,07-09-2019,07:00:00,7.4,1009.00,10.00,29.74,0.10,79,1009.43,23.9,26.9,0.00,230
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,25.3,07-09-2019,07:00:00,0.0,1007.86,8.00,31.41,22.00,97,1009.29,24.9,24.7,0.00,000
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,25.3,07-09-2019,07:00:00,0.0,1004.83,7.00,31.41,2.90,97,1009.80,24.9,24.8,0.00,000
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,26.2,07-09-2019,07:00:00,3.7,1006.50,12.00,29.33,0.01,86,1009.81,23.7,24.2,0.00,250
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,25.0,07-09-2019,07:00:00,0.0,1008.56,10.00,29.79,0.00,94,1009.67,24.0,24.1,0.00,000
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,28.0,07-09-2019,07:00:00,0.0,1009.09,10.00,30.56,0.00,81,1009.39,24.4,27.2,0.00,000
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,28.2,07-09-2019,07:00:00,0.0,1008.47,10.00,31.23,0.00,82,1009.16,24.8,27.0,0.00,000
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,28.2,07-09-2019,07:00:00,0.0,1008.73,10.00,33.49,0.00,88,1009.22,25.9,27.5,0.00,000
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,28.1,07-09-2019,07:00:00,9.3,1007.80,10.00,30.48,0.00,80,1009.21,24.4,26.8,0.00,200
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,29.3,07-09-2019,07:00:00,18.5,1007.80,10.00,30.88,0.00,76,1009.47,24.6,28.9,0.00,210
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,25.4,07-09-2019,07:00:00,3.7,1003.23,10.00,29.19,0.00,90,1011.31,23.6,22.1,0.00,180
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,28.0,07-09-2019,07:00:00,0.0,1008.99,10.00,31.11,0.00,82,1009.27,24.7,27.0,0.00,000
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,28.5,07-09-2019,07:00:00,0.0,1005.54,10.00,32.96,0.00,85,1008.66,25.7,27.8,0.00,000
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,28.0,07-09-2019,07:00:00,9.3,1002.59,10.00,30.56,0.00,81,1009.52,24.4,27.0,0.00,270
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,26.7,07-09-2019,07:00:00,3.7,1004.05,7.00,31.63,0.00,90,1009.67,25.0,25.3,0.00,270
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,28.1,07-09-2019,07:00:00,11.1,999.40,10.00,30.48,0.00,80,1008.70,24.4,27.2,0.00,240
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,25.3,07-09-2019,07:00:00,0.0,1009.23,12.00,29.80,0.00,92,1010.50,24.0,24.2,0.00,000
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,26.7,07-09-2019,07:00:00,14.8,1009.08,11.00,29.19,0.00,83,1009.51,23.6,26.0,0.00,200
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,23.5,07-09-2019,07:00:00,0.0,997.76,8.00,27.66,0.00,96,1010.20,22.8,22.8,0.00,000
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,27.2,07-09-2019,07:00:00,0.0,1008.81,10.00,29.31,6.10,81,1009.52,23.7,25.9,0.00,000
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,27.5,07-09-2019,07:00:00,0.0,1007.44,10.00,30.42,0.00,83,1009.88,24.3,23.8,0.00,000
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,29.0,07-09-2019,07:00:00,9.3,1009.20,12.00,31.13,0.00,78,1009.72,24.7,28.7,0.00,250
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,26.3,07-09-2019,07:00:00,0.0,1004.58,12.00,29.78,0.00,87,1009.76,24.0,25.2,0.00,000
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,27.8,07-09-2019,07:00:00,0.0,1009.26,7.00,31.84,0.00,85,1009.67,25.1,27.3,0.00,000
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,26.7,07-09-2019,07:00:00,0.0,1006.94,8.00,31.63,0.00,90,1009.72,25.0,26.0,0.00,000
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,26.4,07-09-2019,07:00:00,0.0,1009.55,12.00,29.43,0.00,86,1010.34,23.8,25.0,0.00,000
48501,TRAD,ตราด,ตราด,11.76667,102.88333,24.9,07-09-2019,07:00:00,5.6,1009.92,8.00,29.08,2.60,92,1010.39,23.6,23.4,0.00,100
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,25.1,07-09-2019,07:00:00,0.0,1009.84,9.00,30.23,0.00,95,1010.53,24.2,24.7,0.00,000
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,24.0,07-09-2019,07:00:00,0.0,1010.18,8.00,28.53,0.20,96,1011.72,23.3,23.8,0.00,000
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,25.5,07-09-2019,07:00:00,0.0,1009.76,10.00,30.17,0.50,93,1010.69,24.2,25.4,0.00,000
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,27.3,07-09-2019,07:00:00,0.0,1009.81,10.00,28.96,0.00,80,1010.50,23.5,26.0,0.00,000
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,23.0,07-09-2019,07:00:00,0.0,1010.29,10.00,27.57,4.60,98,1011.10,22.7,22.8,0.00,000
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,25.5,07-09-2019,07:00:00,0.0,1009.84,10.00,29.91,0.00,92,1010.48,24.0,24.4,0.00,000
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,25.5,07-09-2019,07:00:00,0.0,1010.42,10.00,31.79,0.00,97,1010.83,25.1,24.5,0.00,000
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,22.7,07-09-2019,07:00:00,0.0,1008.32,6.00,26.58,0.00,96,1012.61,22.1,22.6,0.00,000
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,23.0,07-09-2019,07:00:00,0.0,1009.24,4.00,27.57,0.00,98,1010.87,22.7,22.5,0.00,000
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,24.0,07-09-2019,07:00:00,0.0,1007.40,8.00,28.53,0.00,96,1010.93,23.3,23.5,0.00,000
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,24.5,07-09-2019,07:00:00,0.0,1009.25,8.00,29.93,2.80,97,1010.62,24.1,24.5,0.00,000
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,25.0,07-09-2019,07:00:00,0.0,1009.38,10.00,30.32,1.30,96,1010.27,24.3,24.7,0.00,000
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,23.0,07-09-2019,07:00:00,0.0,1007.08,10.00,26.83,0.00,96,1010.70,22.2,22.0,0.00,000
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,26.2,07-09-2019,07:00:00,0.0,1010.02,10.00,30.67,0.00,90,1010.46,24.5,25.5,0.00,000
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,25.8,07-09-2019,07:00:00,0.0,1009.16,10.00,32.37,0.00,97,1010.16,25.4,22.4,0.00,000
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,25.3,07-09-2019,07:00:00,9.3,1009.80,10.00,29.28,0.00,91,1010.62,23.7,24.5,0.00,090
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,25.6,07-09-2019,07:00:00,0.0,1009.28,7.00,31.17,0.00,95,1011.10,24.7,25.2,0.00,000
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,27.2,07-09-2019,07:00:00,0.0,1010.57,10.00,28.51,8.80,79,1011.33,23.2,24.8,0.00,000
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,24.9,07-09-2019,07:00:00,0.0,1007.67,9.00,29.34,0.01,93,1011.71,23.7,22.9,0.00,000
48570,SATUN,สตูล,สตูล,6.65000,100.08333,25.0,07-09-2019,07:00:00,0.0,1010.71,8.00,30.05,34.10,95,1011.40,24.1,24.5,0.00,000
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,25.0,07-09-2019,07:00:00,0.0,1010.28,10.00,30.32,5.80,96,1011.41,24.3,23.7,0.00,000
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,24.2,07-09-2019,07:00:00,0.0,1008.50,10.00,29.39,6.40,97,1011.46,23.8,22.6,0.00,000
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,23.5,07-09-2019,07:00:00,0.0,1010.89,7.00,27.66,30.70,96,1011.59,22.8,23.0,0.00,000
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,23.5,07-09-2019,07:00:00,7.4,1007.81,7.00,27.16,51.50,94,1012.00,22.4,22.4,2.10,190
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,23.5,07-09-2019,07:00:00,0.0,1010.43,9.00,25.19,0.00,87,1011.03,21.2,.0,0.00,000
