WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,Rainfall,LandVisibility,VaporPressure,WindSpeed,Rainfall24Hr,DewPoint,RelativeHumidity,WindDirection,StationPressure,AirTemperature
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1008.87,09-03-2019,04:00:00,0.00,10.00,31.71,3.7,0.00,25.0,91,190,1007.95,26.6
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1008.35,09-03-2019,04:00:00,0.00,10.00,30.39,0.0,0.01,24.3,84,000,1007.67,27.2
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1008.93,09-03-2019,04:00:00,0.00,7.00,29.30,0.0,0.00,23.7,98,000,1008.12,24.0
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1008.53,09-03-2019,04:00:00,0.00,10.00,29.36,0.0,0.00,23.7,92,000,1007.89,25.2
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1008.24,09-03-2019,04:00:00,0.00,10.00,30.79,0.0,0.00,24.5,95,000,1007.83,25.4
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1010.07,09-03-2019,04:00:00,0.00,6.00,28.36,0.0,0.01,23.2,94,000,1005.81,24.2
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1008.01,09-03-2019,04:00:00,0.00,6.00,29.41,0.0,8.20,23.8,96,000,1006.39,24.5
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1009.33,09-03-2019,04:00:00,0.00,6.00,29.41,0.0,0.50,23.8,96,000,1005.82,24.5
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1008.28,09-03-2019,04:00:00,0.00,7.00,30.87,0.0,0.00,24.6,96,000,1006.92,25.3
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1008.55,09-03-2019,04:00:00,0.00,10.00,31.41,0.0,0.00,24.9,97,000,1007.66,25.3
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1008.71,09-03-2019,04:00:00,0.00,10.00,29.59,0.0,0.00,23.9,96,000,1005.12,24.6
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1008.33,09-03-2019,04:00:00,0.00,10.00,30.43,0.0,0.00,24.3,88,000,1007.89,26.5
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1007.86,09-03-2019,04:00:00,0.00,10.00,31.33,0.0,0.00,24.8,97,000,1006.86,25.4
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1008.17,09-03-2019,04:00:00,0.00,10.00,30.79,0.0,0.00,24.5,95,000,1007.35,25.4
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1008.66,09-03-2019,04:00:00,0.00,8.00,30.34,0.0,0.00,24.3,94,000,1006.83,25.3
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1008.28,09-03-2019,04:00:00,0.00,10.00,28.19,3.7,0.00,23.1,82,240,1007.52,26.3
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1008.71,09-03-2019,04:00:00,0.00,10.00,30.23,37.0,0.00,24.2,95,120,1004.68,25.1
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1007.99,09-03-2019,04:00:00,0.20,10.00,29.36,0.0,0.70,23.7,92,000,1007.30,25.2
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1008.43,09-03-2019,04:00:00,0.00,10.00,29.91,0.0,0.00,24.0,92,000,1007.31,25.5
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1008.54,09-03-2019,04:00:00,0.00,10.00,30.13,0.0,0.00,24.2,96,000,1005.59,24.9
