WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,WindDirection,Rainfall24Hr,RelativeHumidity,WindSpeed,AirTemperature,MeanSeaLevelPressure,VaporPressure,Rainfall,StationPressure,LandVisibility
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,23.3,07-28-2019,22:00:00,000,0.00,88,0.0,25.5,1009.87,28.59,0.00,1008.51,10.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,24.8,07-28-2019,22:00:00,000,1.60,90,0.0,26.5,1010.66,31.24,0.00,1009.77,10.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,25.3,07-28-2019,22:00:00,000,7.10,96,0.0,26.0,1011.36,32.20,3.70,1007.78,10.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,24.9,07-28-2019,22:00:00,000,0.00,81,0.0,28.5,1010.68,31.54,0.00,1010.24,10.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,24.1,07-28-2019,22:00:00,000,0.01,76,0.0,28.9,1010.54,30.10,0.00,1009.56,10.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,24.7,07-28-2019,22:00:00,270,0.00,77,20.4,29.1,1011.44,31.05,0.00,1010.62,10.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,24.2,07-28-2019,22:00:00,000,0.00,86,0.0,26.8,1011.52,30.18,0.00,1009.69,10.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,23.0,07-28-2019,22:00:00,250,0.00,75,7.4,27.8,1010.85,28.02,0.00,1010.10,10.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,23.1,07-28-2019,22:00:00,260,0.00,82,3.7,26.5,1010.91,28.29,0.00,1006.90,10.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,24.2,07-28-2019,22:00:00,000,0.00,92,0.0,25.7,1012.32,30.28,0.00,1011.63,10.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,23.9,07-28-2019,22:00:00,000,0.00,84,0.0,26.8,1010.64,29.64,0.00,1009.52,10.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,24.7,07-28-2019,22:00:00,000,0.00,87,0.0,27.1,1011.06,31.02,0.00,1008.14,10.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,23.9,07-28-2019,22:00:00,000,0.00,81,0.0,27.4,1010.58,29.69,0.00,1009.89,10.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,22.1,07-28-2019,22:00:00,210,0.00,75,3.7,27.0,1011.28,26.58,0.00,1007.14,8.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,24.6,07-28-2019,22:00:00,180,0.00,82,7.4,28.0,1011.04,30.84,0.00,1010.45,10.00
