WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,StationPressure,DewPoint,Rainfall,WindSpeed,AirTemperature,RelativeHumidity,VaporPressure,LandVisibility,WindDirection,MeanSeaLevelPressure
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.40,09-09-2019,13:00:00,1009.26,23.8,0.40,9.3,27.0,83,29.48,7.00,210,1010.26
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,60.80,09-09-2019,13:00:00,1009.77,26.9,0.00,22.2,30.8,80,35.48,10.00,150,1010.58
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,18.90,09-09-2019,13:00:00,1008.41,23.5,0.00,7.4,29.0,72,28.91,8.00,210,1010.21
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,7.00,09-09-2019,13:00:00,1009.66,24.3,7.00,7.4,26.9,86,30.37,10.00,190,1010.42
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.60,09-09-2019,13:00:00,1006.39,22.9,0.00,18.5,29.2,69,27.94,10.00,240,1010.37
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,09-09-2019,13:00:00,1009.96,22.8,0.00,9.3,30.1,65,27.74,8.00,220,1010.64
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,6.40,09-09-2019,13:00:00,1009.06,24.2,0.00,0.0,29.1,75,30.21,10.00,000,1010.17
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.30,09-09-2019,13:00:00,1007.52,24.7,0.00,13.0,30.5,71,31.03,11.00,240,1010.42
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,44.70,09-09-2019,13:00:00,1009.67,23.9,0.30,5.6,26.5,86,29.62,6.00,240,1010.36
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1.90,09-09-2019,13:00:00,1006.61,24.2,1.50,11.1,26.8,86,30.18,9.00,260,1010.75
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1.40,09-09-2019,13:00:00,1008.82,23.1,0.00,11.1,31.5,61,28.23,10.00,060,1009.40
