WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,WindDirection,MeanSeaLevelPressure,RelativeHumidity,DewPoint,AirTemperature,LandVisibility,VaporPressure,Rainfall24Hr,StationPressure,WindSpeed,Rainfall
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,07-18-2019,10:00:00,260,1003.00,60,24.5,33.3,15.00,30.74,0.00,983.33,5.6,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,07-18-2019,10:00:00,160,1003.91,67,25.3,32.2,15.00,32.23,37.20,982.63,11.1,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,07-18-2019,10:00:00,280,1003.17,68,25.2,32.0,15.00,32.10,46.00,984.08,5.6,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,07-18-2019,10:00:00,060,1004.33,72,24.9,30.6,10.00,31.51,0.00,987.83,3.7,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,07-18-2019,10:00:00,090,1004.40,71,26.4,32.4,12.00,34.46,0.00,987.35,3.7,0.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,07-18-2019,10:00:00,000,1002.09,61,23.9,32.5,12.00,29.66,0.00,976.92,0.0,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,07-18-2019,10:00:00,180,1003.31,55,23.7,34.0,10.00,29.29,0.00,997.67,5.6,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,07-18-2019,10:00:00,250,1003.33,57,23.0,32.7,12.00,28.08,0.00,997.27,7.4,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,07-18-2019,10:00:00,000,1003.98,60,23.3,32.0,10.00,28.66,0.00,987.86,0.0,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,07-18-2019,10:00:00,000,1003.70,78,23.7,27.9,10.00,29.28,0.00,981.52,0.0,0.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,07-18-2019,10:00:00,260,1004.05,58,23.1,32.5,10.00,28.25,0.00,989.96,11.1,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,07-18-2019,10:00:00,000,1003.36,49,23.0,35.5,12.00,28.06,0.00,987.48,0.0,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,07-18-2019,10:00:00,130,1004.18,66,24.9,32.1,10.00,31.44,0.00,999.05,11.1,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,07-18-2019,10:00:00,210,1002.42,61,24.2,32.8,12.00,30.28,0.00,989.53,3.7,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,07-18-2019,10:00:00,280,1003.73,57,23.2,32.7,12.00,28.36,0.00,994.61,5.6,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,07-18-2019,10:00:00,120,1003.10,58,23.2,32.6,10.00,28.45,0.00,981.89,3.7,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,07-18-2019,10:00:00,230,1003.06,54,22.7,33.3,12.00,27.59,0.00,985.99,11.1,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,07-18-2019,10:00:00,210,1003.50,69,25.1,31.5,12.00,31.93,0.00,987.96,3.7,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,07-18-2019,10:00:00,200,1002.36,66,25.3,32.5,10.00,32.28,0.00,983.90,3.7,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,07-18-2019,10:00:00,000,1005.33,63,21.2,29.0,12.00,25.19,0.00,954.74,0.0,0.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,07-18-2019,10:00:00,180,1003.67,63,23.6,31.5,8.00,29.07,0.00,999.79,3.7,0.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,07-18-2019,10:00:00,200,1004.43,76,20.0,24.5,9.00,23.41,2.50,910.48,9.3,0.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,07-18-2019,10:00:00,000,1003.52,71,26.0,32.0,10.00,33.58,0.00,987.85,0.0,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,07-18-2019,10:00:00,000,1003.75,68,25.8,32.4,12.00,33.25,0.00,999.80,0.0,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,07-18-2019,10:00:00,220,1005.13,67,24.1,31.0,10.00,30.05,0.00,994.62,7.4,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,07-18-2019,10:00:00,180,1004.57,60,23.3,32.0,14.00,28.66,0.00,1002.68,3.7,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,07-18-2019,10:00:00,230,1003.10,53,23.2,34.0,10.00,28.43,0.00,982.80,3.7,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,07-18-2019,10:00:00,210,1003.66,68,24.8,31.5,10.00,31.35,0.00,986.32,7.4,0.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,07-18-2019,10:00:00,180,1003.19,67,25.5,32.5,10.00,32.58,0.00,987.38,9.3,0.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,07-18-2019,10:00:00,220,1004.70,72,24.4,30.0,10.00,30.59,0.01,990.84,3.7,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,07-18-2019,10:00:00,140,1005.49,79,24.8,28.8,10.00,31.29,0.00,990.78,3.7,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,07-18-2019,10:00:00,240,1004.89,66,25.1,32.2,10.00,31.94,0.50,990.50,9.3,0.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,07-18-2019,10:00:00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1003.66,54,22.6,33.2,10.00,27.39,0.00,1000.71,0.0,0.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,07-18-2019,10:00:00,110,1004.05,62,24.4,32.5,10.00,30.53,0.00,996.26,14.8,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,07-18-2019,10:00:00,210,1005.21,61,23.2,31.7,9.00,28.35,0.00,1004.12,20.4,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,07-18-2019,10:00:00,000,1004.73,61,23.9,32.5,10.00,29.66,0.00,990.34,0.0,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,07-18-2019,10:00:00,210,1004.73,98,20.9,21.2,8.00,24.68,0.20,870.76,5.6,0.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,07-18-2019,10:00:00,220,1004.48,66,25.0,32.1,10.00,31.73,0.00,998.71,3.7,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,07-18-2019,10:00:00,230,1004.74,66,26.0,33.1,11.00,33.58,0.00,1003.96,5.6,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,07-18-2019,10:00:00,210,1004.98,67,24.4,31.4,10.00,30.57,0.00,1004.54,11.1,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,07-18-2019,10:00:00,000,1005.53,77,25.2,29.7,7.00,31.97,0.00,994.35,0.0,0.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,07-18-2019,10:00:00,270,1004.50,59,23.7,32.9,12.00,29.33,0.00,1003.51,3.7,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,07-18-2019,10:00:00,220,1004.57,64,23.7,31.5,10.00,29.35,0.00,1002.77,11.1,0.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,07-18-2019,10:00:00,230,1004.21,55,22.3,32.4,11.00,26.94,0.00,1003.46,7.4,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,07-18-2019,10:00:00,200,1004.83,59,23.1,32.2,10.00,28.22,0.00,1004.14,16.7,0.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,07-18-2019,10:00:00,000,1004.93,62,24.5,32.7,12.00,30.65,0.00,1004.24,0.0,0.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,07-18-2019,10:00:00,280,1003.91,60,24.5,33.4,10.00,30.66,0.00,983.26,3.7,0.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,07-18-2019,10:00:00,190,1004.66,69,24.6,30.9,11.00,30.98,0.00,988.19,5.6,0.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,07-18-2019,10:00:00,090,1004.62,66,24.9,32.0,10.00,31.52,0.00,988.50,3.7,0.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,07-18-2019,10:00:00,000,1004.14,61,24.0,32.4,10.00,29.75,0.00,982.73,0.0,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,07-18-2019,10:00:00,240,1004.37,61,21.6,30.1,10.00,25.86,0.00,961.67,18.5,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,07-18-2019,10:00:00,120,1003.47,62,24.6,32.8,10.00,30.86,0.00,983.36,5.6,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,07-18-2019,10:00:00,220,1005.64,78,26.3,30.6,8.00,34.14,0.00,985.10,11.1,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,07-18-2019,10:00:00,330,1004.88,65,24.2,31.5,10.00,30.20,0.80,1004.46,11.1,0.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,07-18-2019,10:00:00,000,1004.91,69,25.1,31.5,10.00,31.93,0.00,1003.52,0.0,0.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,07-18-2019,10:00:00,000,1005.25,68,25.6,32.2,9.00,32.82,0.00,1000.40,0.0,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,07-18-2019,10:00:00,000,1004.56,54,22.4,33.0,12.00,27.00,0.00,1001.34,0.0,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,07-18-2019,10:00:00,280,1004.73,61,23.8,32.4,10.00,29.46,0.00,1003.64,3.7,0.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,07-18-2019,10:00:00,180,1004.84,60,23.3,32.1,10.00,28.58,0.00,1004.55,9.3,0.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,07-18-2019,10:00:00,180,1004.63,61,23.9,32.5,12.00,29.66,0.00,1003.95,7.4,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,07-18-2019,10:00:00,000,1004.58,60,24.4,33.2,10.00,30.53,0.00,1004.10,0.0,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,07-18-2019,10:00:00,200,1004.94,61,23.6,32.1,10.00,29.14,0.00,1003.56,9.3,0.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,07-18-2019,10:00:00,210,1005.14,72,24.4,30.0,12.00,30.59,0.00,1003.48,5.6,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,07-18-2019,10:00:00,180,1006.57,61,23.4,31.9,12.00,28.74,0.00,998.70,7.4,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,07-18-2019,10:00:00,290,1004.83,64,25.3,33.0,12.00,32.16,0.00,1004.56,11.1,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,07-18-2019,10:00:00,000,1005.01,66,23.8,31.0,10.00,29.48,0.00,1001.93,0.0,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,07-18-2019,10:00:00,210,1005.28,66,24.2,31.2,10.00,30.16,0.00,998.45,11.1,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,07-18-2019,10:00:00,280,1005.29,67,25.5,32.5,10.00,32.58,2.10,999.80,7.4,0.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,07-18-2019,10:00:00,230,1007.34,64,23.9,31.5,10.00,29.63,0.00,998.16,11.1,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,07-18-2019,10:00:00,320,1005.33,63,23.9,31.8,15.00,29.67,0.10,1004.09,14.8,0.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,07-18-2019,10:00:00,270,1004.86,59,23.6,32.5,11.00,29.09,0.00,1004.44,5.6,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,07-18-2019,10:00:00,000,1004.98,66,23.2,30.3,10.00,28.39,0.00,992.88,0.0,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,07-18-2019,10:00:00,270,1004.75,56,23.3,33.2,10.00,28.52,1.70,1004.05,9.3,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,07-18-2019,10:00:00,200,1005.50,62,24.0,32.3,10.00,29.83,0.00,1003.11,11.1,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,07-18-2019,10:00:00,230,1005.69,75,25.0,30.0,10.00,31.72,0.00,1005.18,9.3,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,07-18-2019,10:00:00,210,1005.20,63,24.0,32.0,12.00,29.79,0.00,1000.14,3.7,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,07-18-2019,10:00:00,000,1006.25,97,24.9,25.5,7.00,31.52,88.70,1005.83,0.0,78.80
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,07-18-2019,10:00:00,180,1006.62,98,24.7,25.0,7.00,31.12,116.60,1003.84,11.1,91.60
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,07-18-2019,10:00:00,290,1005.50,64,23.4,31.1,12.00,28.84,0.90,1004.72,18.5,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,07-18-2019,10:00:00,000,1006.59,87,25.1,27.5,8.00,31.80,84.40,1006.13,0.0,5.80
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,07-18-2019,10:00:00,290,1006.16,69,24.3,30.7,10.00,30.29,5.20,1005.49,13.0,0.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,07-18-2019,10:00:00,270,1006.08,70,23.7,29.8,8.00,29.36,4.60,1004.57,3.7,0.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,07-18-2019,10:00:00,160,1007.18,85,25.0,27.9,10.00,31.75,76.20,1006.27,5.6,8.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,07-18-2019,10:00:00,000,1006.83,73,24.4,29.8,12.00,30.47,22.00,1006.15,0.0,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,07-18-2019,10:00:00,190,1007.01,78,24.7,29.0,10.00,31.13,1.80,1006.22,5.6,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,07-18-2019,10:00:00,240,1006.75,73,24.3,29.6,10.00,30.35,7.00,1006.12,3.7,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,07-18-2019,10:00:00,000,1006.63,78,25.8,30.0,10.00,33.17,2.20,1006.23,0.0,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,07-18-2019,10:00:00,220,1009.26,68,23.7,30.2,10.00,29.30,9.20,1005.09,13.0,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,07-18-2019,10:00:00,000,1007.55,75,23.9,28.8,12.00,29.63,25.00,1005.95,0.0,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,07-18-2019,10:00:00,000,1007.30,74,24.9,30.2,10.00,31.56,4.50,1003.86,0.0,0.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,07-18-2019,10:00:00,000,1007.34,70,23.7,29.8,10.00,29.36,1.10,1006.00,0.0,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,07-18-2019,10:00:00,000,1006.80,97,24.8,25.4,9.00,31.33,34.30,1005.91,0.0,3.60
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,07-18-2019,10:00:00,150,1007.41,80,24.8,28.7,10.00,31.38,20.30,1003.87,5.6,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,07-18-2019,10:00:00,270,1007.94,90,24.9,26.8,9.00,31.55,45.20,1007.51,11.1,2.80
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,07-18-2019,10:00:00,000,1006.58,96,24.3,25.0,4.00,30.32,60.70,1005.58,0.0,26.30
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,07-18-2019,10:00:00,060,1007.65,95,24.8,25.7,10.00,31.36,17.00,1006.83,9.3,6.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,07-18-2019,10:00:00,000,1007.70,74,24.7,29.8,10.00,31.03,39.70,1005.91,0.0,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,07-18-2019,10:00:00,270,1007.51,68,23.8,30.4,12.00,29.42,0.30,1006.77,7.4,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,07-18-2019,10:00:00,990,1007.40,73,24.4,29.7,10.00,30.55,1.60,1003.44,3.7,0.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,07-18-2019,10:00:00,000,1007.74,71,24.3,30.0,10.00,30.31,0.20,1007.07,0.0,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,07-18-2019,10:00:00,200,1007.28,67,23.9,30.8,10.00,29.65,0.00,1006.18,7.4,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,07-18-2019,10:00:00,280,1007.34,70,24.6,30.6,12.00,30.94,0.00,1004.45,5.6,0.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,07-18-2019,10:00:00,000,1007.02,77,25.5,30.0,10.00,32.59,0.00,1006.34,0.0,0.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,07-18-2019,10:00:00,000,1008.06,80,24.6,28.5,8.00,30.98,0.00,1003.95,0.0,0.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,07-18-2019,10:00:00,000,1007.73,78,24.2,28.5,9.00,30.15,0.00,1007.14,0.0,0.00
