WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,WindSpeed,StationPressure,AirTemperature,DewPoint,VaporPressure,MeanSeaLevelPressure,LandVisibility,RelativeHumidity,Rainfall,WindDirection
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,10-10-2019,10:00:00,0.0,996.63,29.1,23.4,28.83,1012.60,12.00,72,0.00,000
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.20,10-10-2019,10:00:00,3.7,1009.24,31.0,25.0,31.76,1013.25,10.00,71,0.00,170
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,52.80,10-10-2019,10:00:00,0.0,1003.46,28.4,25.0,31.62,1014.16,9.00,82,0.00,000
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,10-10-2019,10:00:00,5.6,1011.47,30.5,23.4,28.78,1013.39,11.00,66,0.00,310
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,10-10-2019,10:00:00,5.6,992.00,31.0,22.7,27.54,1012.70,12.00,61,0.00,030
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,10-10-2019,10:00:00,7.4,994.69,30.2,23.4,28.75,1012.25,10.00,67,0.00,090
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,10-10-2019,10:00:00,0.0,996.25,30.3,23.8,29.50,1012.32,10.00,68,0.00,000
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,10-10-2019,10:00:00,3.7,998.78,30.6,24.0,29.81,1012.72,10.00,68,0.00,120
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,2.80,10-10-2019,10:00:00,5.6,998.39,30.0,23.8,29.47,1013.16,10.00,69,0.00,170
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.60,10-10-2019,10:00:00,3.7,998.54,29.6,26.2,34.08,1013.17,10.00,82,0.00,020
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,30.70,10-10-2019,10:00:00,0.0,1009.61,30.0,25.3,32.30,1012.61,10.00,76,0.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}"
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,5.30,10-10-2019,10:00:00,0.0,1005.17,30.0,22.7,27.55,1013.09,10.00,65,0.00,000
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,10-10-2019,10:00:00,0.0,1011.85,31.2,25.3,32.18,1012.95,9.00,71,0.00,000
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,10-10-2019,10:00:00,0.0,998.52,30.0,21.9,26.21,1013.15,8.00,62,0.00,000
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,38.80,10-10-2019,10:00:00,5.6,878.15,23.7,19.8,23.11,1012.06,8.00,79,0.00,050
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,17.50,10-10-2019,10:00:00,0.0,1007.38,28.0,25.1,31.95,1013.27,8.00,85,0.00,000
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,10-10-2019,10:00:00,0.0,1012.04,31.6,24.5,30.69,1012.84,12.00,66,0.00,000
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,10-10-2019,10:00:00,1.9,1012.04,31.3,25.5,32.68,1012.48,10.00,72,0.00,210
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,2.70,10-10-2019,10:00:00,0.0,1001.73,30.5,24.7,31.03,1012.97,7.00,71,0.00,000
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,10-10-2019,10:00:00,3.7,1012.06,31.8,24.5,30.81,1013.06,10.00,66,0.00,350
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,20.60,10-10-2019,10:00:00,0.0,1011.23,31.0,24.6,30.90,1013.04,7.00,69,0.00,000
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,10-10-2019,10:00:00,0.0,1012.00,31.5,24.8,31.35,1012.76,11.00,68,0.00,000
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,10-10-2019,10:00:00,3.7,1012.02,29.7,24.7,31.12,1012.73,9.00,75,0.00,060
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,10.30,10-10-2019,10:00:00,3.7,1012.01,32.0,25.7,32.99,1012.71,10.00,69,0.00,270
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,10-10-2019,10:00:00,3.7,991.72,29.7,24.6,30.83,1012.80,9.00,74,0.00,050
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.00,10-10-2019,10:00:00,3.7,996.05,30.0,24.7,31.15,1012.70,8.00,73,0.00,130
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,5.60,10-10-2019,10:00:00,0.0,996.95,29.4,25.0,31.65,1013.35,8.00,77,0.00,000
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,8.50,10-10-2019,10:00:00,0.0,991.30,28.6,25.0,31.74,1013.17,6.00,81,0.00,000
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.40,10-10-2019,10:00:00,7.4,969.49,29.0,22.0,26.50,1012.69,9.00,66,0.00,230
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,47.20,10-10-2019,10:00:00,5.6,992.58,30.0,25.0,31.72,1013.06,10.00,75,0.00,210
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,10-10-2019,10:00:00,5.6,994.02,30.5,25.4,32.46,1014.76,9.00,74,0.00,110
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,36.60,10-10-2019,10:00:00,0.0,1012.25,31.4,25.6,32.89,1012.68,10.00,72,0.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}"
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,5.20,10-10-2019,10:00:00,0.0,1011.04,30.5,25.6,32.75,1012.45,11.00,75,0.00,000
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,10-10-2019,10:00:00,0.0,1007.57,29.5,26.0,33.58,1012.49,7.00,81,0.00,000
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,63.80,10-10-2019,10:00:00,5.6,1009.58,30.5,25.0,31.60,1012.85,10.00,72,0.00,210
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,10-10-2019,10:00:00,0.0,1011.82,30.9,24.6,30.98,1012.92,10.00,69,0.00,000
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,13.20,10-10-2019,10:00:00,0.0,1012.40,31.0,25.5,32.63,1012.70,10.00,73,0.00,000
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,4.80,10-10-2019,10:00:00,0.0,1011.91,31.3,24.0,29.80,1012.59,10.00,65,0.00,000
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.70,10-10-2019,10:00:00,0.0,1011.81,31.0,25.7,32.93,1012.30,8.00,73,0.00,000
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.01,10-10-2019,10:00:00,9.3,1010.41,30.6,24.5,30.66,1011.81,9.00,70,0.00,330
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,0.00,10-10-2019,10:00:00,9.3,1011.13,29.0,24.9,31.41,1012.81,7.00,78,0.00,070
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.01,10-10-2019,10:00:00,1.9,1006.71,29.1,25.3,32.18,1014.72,10.00,80,0.00,360
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,10-10-2019,10:00:00,5.6,1012.27,30.2,26.4,34.47,1012.55,10.00,80,0.00,270
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,10-10-2019,10:00:00,5.6,1009.30,30.5,26.3,34.22,1012.41,10.00,78,0.00,250
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,10-10-2019,10:00:00,5.6,1005.86,30.0,26.5,34.64,1012.77,4.00,82,0.00,340
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,10-10-2019,10:00:00,0.0,1008.01,30.0,24.7,31.15,1013.59,8.00,73,0.00,000
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,0.00,10-10-2019,10:00:00,0.0,1004.41,28.5,26.4,34.40,1013.74,2.00,88,0.00,000
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.01,10-10-2019,10:00:00,3.7,1012.03,28.6,25.9,33.45,1013.30,12.00,85,0.00,320
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,10-10-2019,10:00:00,14.8,1012.55,30.4,27.9,37.64,1012.98,8.00,87,0.00,050
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,10-10-2019,10:00:00,7.4,1000.79,29.8,24.7,31.03,1013.01,6.00,74,0.00,230
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,10-10-2019,10:00:00,3.7,1012.16,30.6,25.8,33.26,1012.87,8.00,76,0.00,050
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,10-10-2019,10:00:00,3.7,1010.43,31.3,26.4,34.46,1012.85,7.00,75,0.00,090
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,10-10-2019,10:00:00,0.0,1012.69,30.3,24.9,31.48,1013.21,8.00,73,0.00,000
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.50,10-10-2019,10:00:00,3.7,1007.68,31.2,25.3,32.18,1012.80,10.00,71,0.00,050
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,11.80,10-10-2019,10:00:00,5.6,1012.35,31.2,25.7,33.06,1012.75,8.00,73,0.00,200
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.00,10-10-2019,10:00:00,0.0,1009.73,30.0,25.8,33.17,1012.49,8.00,78,0.00,000
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,10-10-2019,10:00:00,0.0,1014.29,31.3,25.2,32.10,1015.07,8.00,70,0.00,000
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1.80,10-10-2019,10:00:00,7.4,1012.16,31.3,26.0,33.57,1012.62,8.00,73,0.00,300
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,19.50,10-10-2019,10:00:00,0.0,1012.51,27.5,25.8,33.21,1013.19,7.00,90,0.00,000
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.40,10-10-2019,10:00:00,7.4,1011.59,30.5,23.7,29.33,1013.11,9.00,67,0.00,060
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.00,10-10-2019,10:00:00,3.7,1012.49,29.5,24.5,30.72,1013.41,10.00,75,0.00,150
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,3.20,10-10-2019,10:00:00,5.6,1012.23,28.5,26.7,34.99,1012.92,10.00,90,2.70,270
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,10-10-2019,10:00:00,3.7,1012.35,30.0,25.0,31.72,1013.14,10.00,75,0.00,180
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,10-10-2019,10:00:00,0.0,1011.32,31.0,23.8,29.48,1011.94,12.00,66,0.00,000
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.40,10-10-2019,10:00:00,7.4,1012.29,27.8,26.4,34.40,1012.70,10.00,92,0.30,210
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1.40,10-10-2019,10:00:00,0.0,1010.40,29.0,25.5,32.55,1014.61,7.00,81,0.00,000
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,5.80,10-10-2019,10:00:00,5.6,1011.43,28.4,24.1,29.96,1013.04,12.00,77,0.00,230
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,10-10-2019,10:00:00,0.0,1009.16,29.7,24.4,30.55,1012.62,12.00,73,0.00,000
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,10-10-2019,10:00:00,0.0,1010.81,30.4,23.8,29.42,1012.16,10.00,68,0.00,000
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,7.60,10-10-2019,10:00:00,9.3,1011.92,30.5,24.3,30.46,1012.80,10.00,70,0.00,300
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,25.00,10-10-2019,10:00:00,0.0,1009.50,29.2,24.5,30.68,1013.05,10.00,76,0.00,000
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,64.80,10-10-2019,10:00:00,0.0,1012.40,28.5,26.4,34.40,1012.84,8.00,88,0.40,000
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,5.70,10-10-2019,10:00:00,9.3,1011.72,29.4,24.2,30.24,1012.71,10.00,74,0.00,100
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,56.40,10-10-2019,10:00:00,0.0,1012.24,27.2,25.8,33.17,1013.06,10.00,92,0.40,000
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,12.10,10-10-2019,10:00:00,0.0,1010.93,29.7,24.7,31.12,1012.73,12.00,75,0.00,000
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,10-10-2019,10:00:00,7.4,1011.75,29.7,23.9,29.71,1012.50,12.00,71,0.00,300
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.80,10-10-2019,10:00:00,3.7,1008.81,30.6,24.5,30.66,1012.78,10.00,70,0.00,170
48570,SATUN,สตูล,สตูล,6.65000,100.08333,24.60,10-10-2019,10:00:00,0.0,1013.01,29.5,24.8,31.28,1013.69,10.00,76,0.00,000
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,12.00,10-10-2019,10:00:00,0.0,1011.32,30.3,24.1,30.06,1012.43,12.00,70,0.00,000
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,26.50,10-10-2019,10:00:00,0.0,1009.79,30.0,26.1,33.75,1012.69,10.00,80,0.00,000
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,8.40,10-10-2019,10:00:00,9.3,1011.62,28.7,24.1,29.98,1012.31,10.00,76,0.00,200
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,2.10,10-10-2019,10:00:00,0.0,1009.03,28.6,23.5,28.97,1013.15,8.00,74,0.00,000
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.00,10-10-2019,10:00:00,0.0,1011.71,26.5,23.6,29.08,1012.30,10.00,84,0.00,000
