WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,DewPoint,MeanSeaLevelPressure,VaporPressure,Rainfall24Hr,RelativeHumidity,Rainfall,AirTemperature,LandVisibility,WindSpeed,WindDirection
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1009.89,07-09-2019,10:00:00,25.5,1010.58,32.64,6.00,70,0.00,31.7,10.00,7.4,240
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1009.49,07-09-2019,10:00:00,26.1,1010.19,33.81,12.80,75,0.00,31.0,7.00,3.7,210
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,988.27,07-09-2019,10:00:00,23.4,1009.11,28.78,0.00,60,0.00,32.2,10.00,11.1,270
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,992.77,07-09-2019,10:00:00,22.8,1009.28,27.68,0.30,60,0.00,31.5,9.00,11.1,210
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,993.41,07-09-2019,10:00:00,24.1,1009.59,29.95,0.00,61,0.00,32.5,10.00,9.3,180
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,987.84,07-09-2019,10:00:00,22.9,1009.42,27.96,0.00,60,0.00,31.5,10.00,16.7,280
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,966.42,07-09-2019,10:00:00,21.4,1009.46,25.55,0.00,63,0.00,29.2,15.00,25.9,230
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,988.73,07-09-2019,10:00:00,23.3,1008.99,28.66,0.00,60,0.00,32.0,10.00,9.3,220
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,990.10,07-09-2019,10:00:00,24.3,1010.67,30.32,0.01,65,0.00,31.7,10.00,18.5,240
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1009.87,07-09-2019,10:00:00,24.2,1010.31,30.26,0.10,70,0.00,30.4,10.00,13.0,190
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1008.75,07-09-2019,10:00:00,26.2,1010.16,34.11,22.00,76,0.00,31.0,10.00,0.0,000
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1005.43,07-09-2019,10:00:00,24.6,1010.32,30.90,2.90,69,0.00,31.0,9.00,5.6,240
