WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,RelativeHumidity,WindDirection,AirTemperature,WindSpeed,Rainfall24Hr,MeanSeaLevelPressure,LandVisibility,Rainfall,StationPressure,DewPoint
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,29.66,08-25-2019,13:00:00,61,280,32.5,7.4,0.01,1006.36,10.00,0.00,1005.28,23.9
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,29.79,08-25-2019,13:00:00,60,220,32.7,13.0,1.10,1006.51,10.00,0.00,1006.21,24.0
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,28.41,08-25-2019,13:00:00,59,200,32.3,9.3,0.00,1006.43,10.00,0.00,1005.75,23.2
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,27.94,08-25-2019,13:00:00,58,270,32.2,3.7,0.00,1005.90,10.00,0.00,1005.42,22.9
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,30.37,08-25-2019,13:00:00,59,250,33.4,20.4,3.60,1006.05,10.00,0.00,1004.67,24.3
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,35.08,08-25-2019,13:00:00,87,210,29.1,16.7,0.00,1006.98,10.00,0.00,1005.32,26.7
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,28.73,08-25-2019,13:00:00,58,230,32.6,7.4,2.50,1007.71,10.00,0.00,999.85,23.4
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,28.53,08-25-2019,13:00:00,58,300,32.5,16.7,0.60,1006.53,10.00,0.00,1006.25,23.3
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,32.34,08-25-2019,13:00:00,72,300,31.0,9.3,0.00,1006.89,10.00,0.00,1003.80,25.4
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,30.46,08-25-2019,13:00:00,70,240,30.5,11.1,0.20,1007.14,10.00,0.00,1000.28,24.3
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,30.57,08-25-2019,13:00:00,61,320,32.8,11.1,7.10,1005.58,8.00,0.00,1000.10,24.4
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,29.96,08-25-2019,13:00:00,64,240,31.8,18.5,0.00,1007.38,10.00,0.00,998.21,24.1
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,31.02,08-25-2019,13:00:00,63,000,32.6,0.0,0.00,1007.36,14.00,0.00,1006.12,24.7
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,33.37,08-25-2019,13:00:00,71,170,31.9,3.7,0.01,1006.26,11.00,0.00,1005.84,25.9
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,30.96,08-25-2019,13:00:00,76,200,29.2,9.3,2.10,1007.20,8.00,0.30,995.03,24.6
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,31.89,08-25-2019,13:00:00,76,240,29.8,9.3,0.00,1007.14,10.00,0.00,1006.44,25.1
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,28.25,08-25-2019,13:00:00,58,230,32.5,14.8,3.50,1007.09,10.00,0.00,1004.69,23.1
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,30.54,08-25-2019,13:00:00,70,280,30.4,22.2,0.40,1006.91,8.00,0.00,1006.40,24.4
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,28.28,08-25-2019,13:00:00,57,230,32.8,7.4,1.80,1006.30,17.00,0.00,1001.24,23.1
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,31.64,08-25-2019,13:00:00,71,220,30.8,9.3,49.20,1006.81,10.00,0.00,1006.40,25.0
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,31.72,08-25-2019,13:00:00,75,250,30.0,13.0,11.60,1007.12,8.00,0.00,1004.37,25.0
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,29.85,08-25-2019,13:00:00,83,270,27.2,11.1,0.70,1007.84,6.00,0.50,1007.05,24.0
