WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,VaporPressure,Rainfall24Hr,MeanSeaLevelPressure,RelativeHumidity,AirTemperature,WindSpeed,DewPoint,StationPressure,LandVisibility,Rainfall
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,180,10-03-2019,16:00:00,32.41,0.00,1008.03,66,32.7,9.3,25.4,1007.26,10.00,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,090,10-03-2019,16:00:00,26.47,22.40,1008.66,77,26.5,5.6,22.0,1008.20,8.00,0.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,320,10-03-2019,16:00:00,30.96,0.00,1009.46,76,29.2,11.1,24.6,1008.79,9.00,0.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,120,10-03-2019,16:00:00,30.46,2.60,1009.32,92,25.8,3.7,24.3,1007.79,9.00,2.40
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,200,10-03-2019,16:00:00,29.00,0.10,1010.00,69,29.9,7.4,23.5,1009.09,10.00,0.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,000,10-03-2019,16:00:00,31.84,0.00,1008.61,71,30.9,0.0,25.1,1007.93,10.00,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,120,10-03-2019,16:00:00,33.50,0.00,1008.43,78,30.3,5.6,25.9,1007.64,10.00,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,330,10-03-2019,16:00:00,27.28,0.00,1007.94,69,28.7,5.6,22.5,1007.31,10.00,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,000,10-03-2019,16:00:00,34.00,0.30,1007.85,74,31.5,0.0,26.2,1007.45,10.00,0.30
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,000,10-03-2019,16:00:00,29.13,63.10,1010.72,97,24.2,0.0,23.6,1006.46,6.00,63.10
