WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,MeanSeaLevelPressure,StationPressure,DewPoint,RelativeHumidity,LandVisibility,VaporPressure,Rainfall24Hr,WindDirection,AirTemperature,WindSpeed
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,07-28-2019,04:00:00,1006.50,989.04,25.1,96,10.00,31.82,0.60,000,25.8,0.0
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,07-28-2019,04:00:00,1005.55,979.62,22.2,87,11.00,26.76,0.00,000,24.6,0.0
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,07-28-2019,04:00:00,1006.86,1001.01,24.0,100,8.00,29.82,0.30,000,24.0,0.0
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,07-28-2019,04:00:00,1005.58,999.36,24.0,94,10.00,29.79,0.50,000,25.0,0.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,07-28-2019,04:00:00,1008.05,991.43,22.5,91,8.00,27.25,0.00,000,24.0,0.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.00,07-28-2019,04:00:00,1006.06,983.61,23.4,92,10.00,28.82,1.60,000,24.9,0.0
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,07-28-2019,04:00:00,1007.68,993.26,22.8,80,10.00,27.77,0.00,000,26.5,0.0
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,07-28-2019,04:00:00,1006.82,990.37,22.7,83,8.00,27.56,0.00,000,25.8,0.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,07-28-2019,04:00:00,1007.33,1002.07,23.6,90,10.00,29.19,0.01,000,25.4,0.0
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,07-28-2019,04:00:00,1005.93,992.63,23.1,93,10.00,28.28,0.30,000,24.3,0.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,07-28-2019,04:00:00,1006.99,997.62,24.2,93,11.00,30.25,0.20,000,25.4,0.0
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,07-28-2019,04:00:00,1006.33,984.55,22.5,84,10.00,27.29,0.01,270,25.5,3.7
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,07-28-2019,04:00:00,1005.01,987.49,23.1,84,10.00,28.18,0.00,000,26.0,0.0
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,07-28-2019,04:00:00,1005.75,989.94,24.1,84,10.00,30.02,0.60,000,27.0,0.0
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,07-28-2019,04:00:00,1005.59,986.64,24.0,92,8.00,29.91,0.00,000,25.5,0.0
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.00,07-28-2019,04:00:00,1007.11,955.49,22.1,93,5.00,26.58,3.80,000,23.3,0.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,07-28-2019,04:00:00,1007.16,1003.18,24.7,94,5.00,31.08,5.00,000,25.7,0.0
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.00,07-28-2019,04:00:00,1007.89,912.44,19.8,95,3.00,23.10,1.70,220,20.6,7.4
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,07-28-2019,04:00:00,1005.92,989.92,25.3,93,6.00,32.15,3.80,000,26.4,0.0
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,07-28-2019,04:00:00,1007.18,1003.12,25.4,97,9.00,32.37,0.00,000,25.8,0.0
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,07-28-2019,04:00:00,1007.96,997.20,22.5,86,7.00,27.19,0.00,000,25.0,0.0
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,07-28-2019,04:00:00,1007.71,1005.77,23.3,80,8.00,28.67,0.00,000,27.0,0.0
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,07-28-2019,04:00:00,1006.73,985.74,22.0,83,10.00,26.43,0.01,000,25.0,0.0
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,07-28-2019,04:00:00,1005.69,987.99,22.3,80,10.00,26.88,0.00,000,26.0,0.0
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,07-28-2019,04:00:00,1005.68,989.53,22.2,77,10.00,26.82,0.00,210,26.7,7.4
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,07-28-2019,04:00:00,1006.49,992.39,23.9,92,10.00,29.72,2.30,000,25.4,0.0
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,07-28-2019,04:00:00,1007.95,993.03,23.4,88,8.00,28.85,0.40,000,25.5,0.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,07-28-2019,04:00:00,1006.95,992.25,24.4,89,6.00,30.51,0.50,270,26.4,3.7
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,07-28-2019,04:00:00,1006.78,1003.76,23.9,84,10.00,29.64,0.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",26.8,0.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,07-28-2019,04:00:00,1007.02,999.02,23.1,89,7.00,28.22,0.00,000,25.0,0.0
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,07-28-2019,04:00:00,1007.24,1006.14,24.4,82,8.00,30.53,0.00,200,27.7,5.6
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,07-28-2019,04:00:00,1008.51,993.76,23.8,87,8.00,29.41,0.00,000,26.1,0.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.00,07-28-2019,04:00:00,1007.83,872.77,19.3,98,.05,22.34,0.00,230,19.6,5.6
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,07-28-2019,04:00:00,1007.54,1001.62,22.2,82,10.00,26.78,0.00,080,25.5,3.7
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,07-28-2019,04:00:00,1007.52,1006.72,24.0,75,8.00,29.82,0.00,230,28.9,5.6
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,07-28-2019,04:00:00,1006.99,1006.54,23.9,73,10.00,29.57,0.00,210,29.2,9.3
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.00,07-28-2019,04:00:00,1008.34,996.92,23.2,94,4.00,28.36,0.00,000,24.2,0.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,07-28-2019,04:00:00,1007.44,1006.43,22.9,74,10.00,27.85,0.00,270,28.0,3.7
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,07-28-2019,04:00:00,1007.28,1005.46,24.2,82,7.00,30.15,0.00,210,27.5,3.7
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,07-28-2019,04:00:00,1007.24,1006.47,22.0,72,3.00,26.43,0.00,000,27.5,0.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,7.20,07-28-2019,04:00:00,1007.43,1006.73,25.3,92,10.00,32.18,7.20,120,26.7,3.7
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.20,07-28-2019,04:00:00,1008.61,1007.90,25.4,89,7.00,32.45,0.20,000,27.4,0.0
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,07-28-2019,04:00:00,1007.07,985.92,21.9,73,10.00,26.24,0.01,000,27.1,0.0
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.00,07-28-2019,04:00:00,1006.64,989.89,23.4,85,7.00,28.80,7.20,000,26.2,0.0
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.00,07-28-2019,04:00:00,1007.54,991.02,21.3,77,6.00,25.27,8.90,230,25.5,3.7
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.10,07-28-2019,04:00:00,1007.52,985.62,22.7,79,10.00,27.51,0.10,000,26.5,0.0
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,07-28-2019,04:00:00,1007.83,964.21,20.4,78,10.00,23.89,0.01,230,24.5,22.2
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,07-28-2019,04:00:00,1007.26,986.63,21.2,75,10.00,25.11,0.00,230,26.0,3.7
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,07-28-2019,04:00:00,1008.27,987.30,22.0,83,8.00,26.35,0.00,230,25.1,9.3
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,07-28-2019,04:00:00,1007.26,1006.83,23.5,77,10.00,29.01,0.00,340,27.9,3.7
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,07-28-2019,04:00:00,1007.22,1005.80,25.2,95,6.00,32.12,3.60,000,26.1,0.0
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,07-28-2019,04:00:00,1007.46,1002.50,25.1,97,7.00,31.90,3.50,000,25.7,0.0
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,07-28-2019,04:00:00,1007.60,1004.30,22.8,78,10.00,27.80,0.00,000,27.1,0.0
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,07-28-2019,04:00:00,1007.29,1006.18,23.3,81,10.00,28.57,0.00,290,26.8,3.7
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,07-28-2019,04:00:00,1007.50,1007.20,23.6,74,10.00,29.16,0.01,290,28.7,3.7
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,07-28-2019,04:00:00,1007.43,1006.95,24.2,78,10.00,30.23,0.00,000,28.4,0.0
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.00,07-28-2019,04:00:00,1007.53,1006.13,23.5,73,10.00,29.00,0.00,280,28.9,11.1
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,07-28-2019,04:00:00,1009.42,1001.37,24.6,92,10.00,30.84,0.20,220,26.0,3.7
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.20,07-28-2019,04:00:00,1007.39,1007.11,25.2,83,10.00,32.10,0.20,000,28.5,0.0
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,07-28-2019,04:00:00,1007.12,1004.00,23.2,71,10.00,28.37,0.00,000,29.0,0.0
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,07-28-2019,04:00:00,1007.48,1000.59,24.7,78,10.00,31.13,0.00,240,29.0,7.4
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,07-28-2019,04:00:00,1007.57,1001.96,24.6,89,7.00,30.97,0.01,300,26.5,3.7
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,07-28-2019,04:00:00,1008.45,1007.18,22.3,80,10.00,26.88,0.01,230,26.0,3.7
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,07-28-2019,04:00:00,1007.54,1007.11,22.8,74,11.00,27.75,0.00,000,27.8,0.0
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,07-28-2019,04:00:00,1008.10,995.76,21.4,79,10.00,25.44,0.00,000,25.3,0.0
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,07-28-2019,04:00:00,1007.65,1006.94,22.2,71,10.00,26.70,0.00,000,27.8,0.0
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,07-28-2019,04:00:00,1008.52,1006.10,23.4,71,10.00,28.75,0.00,190,29.2,11.1
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,07-28-2019,04:00:00,1007.61,1007.10,24.4,73,10.00,30.47,0.00,290,29.8,11.1
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,07-28-2019,04:00:00,1007.54,1002.41,24.6,80,8.00,30.87,0.20,000,28.3,0.0
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.40,07-28-2019,04:00:00,1007.80,1007.38,25.0,95,7.00,31.74,14.20,040,25.9,5.6
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1.20,07-28-2019,04:00:00,1007.83,1005.04,24.4,97,8.00,30.58,11.60,000,25.0,0.0
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,07-28-2019,04:00:00,1007.76,1006.97,22.5,76,10.00,27.27,0.00,000,27.1,0.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1.70,07-28-2019,04:00:00,1008.36,1007.89,24.7,96,6.00,31.06,1.90,060,25.4,7.4
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.00,07-28-2019,04:00:00,1008.44,1007.75,23.7,92,10.00,29.36,0.00,000,25.2,0.0
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.00,07-28-2019,04:00:00,1007.54,1006.00,23.7,95,7.00,29.33,0.00,000,24.6,0.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.00,07-28-2019,04:00:00,1008.96,1008.04,24.2,91,10.00,30.19,0.50,000,25.8,0.0
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,07-28-2019,04:00:00,1008.65,1007.96,23.2,81,10.00,28.39,0.30,270,26.7,11.1
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,07-28-2019,04:00:00,1009.11,1008.30,22.8,96,7.00,27.66,0.30,000,23.5,0.0
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.01,07-28-2019,04:00:00,1008.08,1007.44,24.8,97,10.00,31.33,19.00,000,25.4,0.0
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,07-28-2019,04:00:00,1008.67,1008.26,23.9,94,8.00,29.61,0.00,000,24.9,0.0
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,07-28-2019,04:00:00,1011.06,1006.78,22.8,96,5.00,27.66,0.80,000,23.5,0.0
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,07-28-2019,04:00:00,1007.61,1005.99,24.3,96,8.00,30.32,0.00,000,25.0,0.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,07-28-2019,04:00:00,1009.04,1005.53,24.4,97,6.00,30.58,0.00,000,25.0,0.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,07-28-2019,04:00:00,1008.90,1007.53,23.7,98,8.00,29.30,17.80,000,24.0,0.0
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,07-28-2019,04:00:00,1008.98,1008.09,23.5,92,10.00,29.00,0.00,000,25.0,0.0
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,07-28-2019,04:00:00,1009.36,1005.76,23.2,94,10.00,28.36,0.00,000,24.2,0.0
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,07-28-2019,04:00:00,1008.83,1008.40,24.1,89,10.00,29.95,0.00,000,26.1,0.0
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,07-28-2019,04:00:00,1008.57,1007.57,24.1,93,10.00,30.07,0.00,000,25.3,0.0
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,07-28-2019,04:00:00,1009.05,1008.24,24.4,79,10.00,30.51,0.00,260,28.4,13.0
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,07-28-2019,04:00:00,1009.02,1007.19,23.3,93,10.00,28.63,0.00,000,24.5,0.0
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,07-28-2019,04:00:00,1008.85,1008.09,24.0,91,10.00,29.82,0.50,230,25.6,3.7
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,07-28-2019,04:00:00,1009.17,1005.12,23.5,98,3.00,28.95,0.00,000,23.8,0.0
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,07-28-2019,04:00:00,1010.52,1009.83,23.3,96,10.00,28.53,1.50,000,24.0,0.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,07-28-2019,04:00:00,1009.27,1008.14,23.3,98,10.00,28.60,17.00,000,23.6,0.0
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,07-28-2019,04:00:00,1009.17,1006.22,23.6,96,10.00,29.05,0.00,000,24.3,0.0
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.00,07-28-2019,04:00:00,1008.78,1008.08,23.3,96,7.00,28.53,9.90,000,24.0,0.0
