WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,StationPressure,WindSpeed,Rainfall,Rainfall24Hr,RelativeHumidity,LandVisibility,VaporPressure,MeanSeaLevelPressure,AirTemperature,WindDirection
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,22.7,07-15-2019,22:00:00,978.44,0.0,0.00,0.00,66,10.00,27.63,1005.61,29.9,000
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,22.5,07-15-2019,22:00:00,970.27,0.0,0.00,0.00,69,10.00,27.28,1003.43,28.7,000
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,22.7,07-15-2019,22:00:00,985.90,9.3,0.00,0.01,75,10.00,27.65,1004.29,27.6,240
48331,NAN,น่าน,น่าน,18.77972,100.77778,23.2,07-15-2019,22:00:00,981.35,0.0,0.00,0.01,65,10.00,28.50,1003.79,30.5,000
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,24.3,07-15-2019,22:00:00,974.46,0.0,0.00,0.00,80,10.00,30.40,1004.07,28.2,000
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,23.8,07-15-2019,22:00:00,969.07,0.0,0.00,0.00,79,8.00,29.44,1004.29,27.7,000
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,24.1,07-15-2019,22:00:00,974.55,0.0,0.00,0.00,84,12.00,30.02,1004.11,27.0,000
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,24.8,07-15-2019,22:00:00,998.02,0.0,0.00,1.00,85,9.00,31.25,1005.30,27.5,000
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,25.5,07-15-2019,22:00:00,984.34,0.0,0.00,0.00,74,12.00,32.59,1003.93,30.7,000
48353,LOEI,เลย,เลย,17.45000,101.73333,24.4,07-15-2019,22:00:00,976.23,3.7,0.00,0.00,79,12.00,30.51,1004.65,28.4,060
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,24.4,07-15-2019,22:00:00,984.36,0.0,0.00,0.00,73,12.00,30.47,1004.28,29.8,000
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,25.4,07-15-2019,22:00:00,983.08,0.0,0.00,0.00,85,12.00,32.35,1004.65,28.2,000
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,25.6,07-15-2019,22:00:00,985.03,0.0,0.00,0.00,79,10.00,32.91,1004.28,29.6,000
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,25.6,07-15-2019,22:00:00,988.22,0.0,0.00,0.01,81,10.00,32.87,1004.79,29.3,000
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,26.0,07-15-2019,22:00:00,987.91,0.0,0.00,0.10,89,10.00,33.66,1005.22,28.0,000
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,25.2,07-15-2019,22:00:00,978.01,0.0,0.00,0.00,83,10.00,32.10,1003.55,28.5,000
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,22.2,07-15-2019,22:00:00,999.35,11.1,0.00,0.00,67,10.00,26.77,1005.09,29.0,250
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,23.7,07-15-2019,22:00:00,999.02,0.0,0.00,0.00,71,10.00,29.33,1005.15,29.5,000
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,23.0,07-15-2019,22:00:00,989.75,0.0,0.00,0.00,72,10.00,28.16,1006.08,28.6,000
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,23.2,07-15-2019,22:00:00,983.70,0.0,17.70,31.30,94,10.00,28.36,1006.21,24.2,000
48376,TAK,ตาก,ตาก,16.87833,99.14333,23.8,07-15-2019,22:00:00,992.50,5.6,1.00,1.00,88,8.00,29.50,1006.93,26.0,230
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,22.3,07-15-2019,22:00:00,990.15,11.1,0.00,0.00,73,7.00,26.95,1006.50,27.5,240
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,24.1,07-15-2019,22:00:00,1000.45,0.0,0.00,0.00,73,10.00,30.08,1005.62,29.6,000
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,24.6,07-15-2019,22:00:00,991.04,0.0,0.00,0.00,77,10.00,30.85,1004.11,29.0,000
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,22.3,07-15-2019,22:00:00,996.67,5.6,0.00,0.00,67,12.00,26.95,1005.92,29.1,230
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,22.0,07-15-2019,22:00:00,983.12,5.6,0.00,0.00,63,9.00,26.46,1004.56,29.7,240
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,24.2,07-15-2019,22:00:00,986.83,11.1,0.00,0.00,71,12.00,30.22,1004.10,30.1,220
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,25.0,07-15-2019,22:00:00,988.13,0.0,0.00,0.00,72,10.00,31.60,1003.72,30.5,000
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,23.4,07-15-2019,22:00:00,985.25,3.7,0.00,0.10,69,10.00,28.80,1003.91,29.8,200
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,22.1,07-15-2019,22:00:00,957.08,0.0,5.10,5.10,91,7.00,26.67,1008.70,23.8,000
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,25.8,07-15-2019,22:00:00,1001.27,0.0,0.00,0.00,83,7.00,33.12,1005.19,29.0,000
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,20.1,07-15-2019,22:00:00,912.25,13.0,8.70,8.90,98,.20,23.49,1007.75,20.4,200
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,24.9,07-15-2019,22:00:00,988.97,0.0,0.00,0.20,75,8.00,31.40,1004.78,29.7,000
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,24.5,07-15-2019,22:00:00,1001.77,0.0,0.00,0.00,78,10.00,30.73,1005.77,28.8,000
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,22.8,07-15-2019,22:00:00,996.34,0.0,0.00,0.00,72,8.00,27.69,1006.97,28.2,000
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,22.9,07-15-2019,22:00:00,1004.50,5.6,0.00,0.60,74,9.00,27.85,1006.42,28.0,210
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,23.0,07-15-2019,22:00:00,984.68,0.0,0.00,0.00,70,10.00,28.10,1005.37,29.0,000
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,24.5,07-15-2019,22:00:00,986.83,3.7,0.20,2.10,81,10.00,30.75,1004.38,28.1,340
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,24.5,07-15-2019,22:00:00,988.18,5.6,0.00,0.00,75,10.00,30.72,1004.16,29.5,140
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,25.0,07-15-2019,22:00:00,990.94,0.0,0.00,0.50,76,10.00,31.68,1004.81,29.7,000
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,25.5,07-15-2019,22:00:00,991.16,3.7,0.00,7.40,83,8.00,32.71,1005.88,28.8,140
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,24.9,07-15-2019,22:00:00,990.73,3.7,0.00,0.00,74,8.00,31.44,1005.23,30.0,170
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,22.0,07-15-2019,22:00:00,1002.35,0.0,0.00,0.00,61,10.00,26.50,1005.33,30.3,"{'@attributes': {'Unit': 'degree'}, '0': '   '}"
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,23.6,07-15-2019,22:00:00,997.61,0.0,0.00,0.00,71,8.00,29.13,1005.48,29.4,000
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,23.8,07-15-2019,22:00:00,1005.43,5.6,0.00,0.00,78,8.00,29.46,1006.53,28.0,200
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,23.5,07-15-2019,22:00:00,991.67,7.4,0.00,0.00,72,8.00,28.91,1006.24,29.0,200
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,19.9,07-15-2019,22:00:00,872.19,5.6,0.00,0.00,98,2.00,23.20,1006.87,20.2,250
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,25.4,07-15-2019,22:00:00,999.98,0.0,0.00,0.00,80,10.00,32.38,1005.81,29.2,000
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,25.9,07-15-2019,22:00:00,1005.69,9.3,0.00,0.00,85,8.00,33.45,1006.49,28.6,230
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,25.9,07-15-2019,22:00:00,1005.86,0.0,0.30,1.00,91,10.00,33.50,1006.31,27.5,000
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,24.2,07-15-2019,22:00:00,996.47,0.0,0.00,7.40,92,5.00,30.28,1007.83,25.7,000
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,23.4,07-15-2019,22:00:00,1005.71,3.7,0.00,0.00,73,10.00,28.70,1006.71,28.6,280
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,23.2,07-15-2019,22:00:00,1004.59,5.6,0.00,0.00,71,8.00,28.37,1006.40,29.0,220
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,21.9,07-15-2019,22:00:00,1005.87,3.7,0.00,0.00,68,5.00,26.21,1006.63,28.4,230
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,24.8,07-15-2019,22:00:00,1006.28,3.7,0.01,18.20,90,9.00,31.24,1006.98,26.5,250
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,25.0,07-15-2019,22:00:00,1005.87,3.7,0.60,0.60,87,7.00,31.69,1006.57,27.3,120
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,23.1,07-15-2019,22:00:00,984.80,9.3,0.00,0.00,65,10.00,28.31,1005.69,30.4,240
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,24.2,07-15-2019,22:00:00,990.44,0.0,24.70,24.70,96,5.00,30.13,1007.27,24.9,000
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,23.9,07-15-2019,22:00:00,990.80,0.0,17.10,17.10,92,7.00,29.62,1007.33,25.2,000
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,22.7,07-15-2019,22:00:00,984.24,0.0,0.00,0.00,65,10.00,27.55,1005.85,30.0,000
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,21.6,07-15-2019,22:00:00,963.43,7.4,0.00,0.00,72,10.00,25.73,1006.63,27.1,260
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,23.3,07-15-2019,22:00:00,985.42,5.6,0.00,0.00,67,10.00,28.56,1005.75,30.1,200
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,24.9,07-15-2019,22:00:00,986.24,25.9,9.20,9.40,100,6.00,31.47,1007.21,24.9,170
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,25.7,07-15-2019,22:00:00,1006.39,3.7,0.00,14.80,90,10.00,32.93,1006.83,27.5,330
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,23.8,07-15-2019,22:00:00,1004.94,0.0,0.00,0.00,85,8.00,29.54,1006.35,26.6,000
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,22.7,07-15-2019,22:00:00,1001.13,0.0,0.00,0.00,72,8.00,27.61,1006.04,28.3,000
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,22.2,07-15-2019,22:00:00,1003.69,3.7,0.00,0.00,70,12.00,26.71,1006.97,28.1,290
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,23.1,07-15-2019,22:00:00,1006.06,1.9,0.00,0.00,77,10.00,28.26,1007.16,27.5,260
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,25.5,07-15-2019,22:00:00,1006.57,3.7,0.20,3.80,90,8.00,32.61,1006.87,27.2,300
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,25.5,07-15-2019,22:00:00,1007.17,0.0,0.00,49.30,96,10.00,32.59,1007.67,26.2,000
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,24.5,07-15-2019,22:00:00,1005.27,9.3,0.01,0.01,86,10.00,30.75,1006.67,27.1,230
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,23.7,07-15-2019,22:00:00,999.75,3.7,0.00,0.00,88,10.00,29.31,1007.79,25.9,230
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,25.9,07-15-2019,22:00:00,1005.97,0.0,0.00,0.00,81,10.00,33.50,1006.25,29.6,000
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,25.3,07-15-2019,22:00:00,1003.31,0.0,0.00,0.00,79,10.00,32.30,1006.42,29.3,000
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,23.7,07-15-2019,22:00:00,999.77,0.0,0.00,0.00,71,10.00,29.33,1006.65,29.5,000
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,24.5,07-15-2019,22:00:00,1000.72,0.0,0.00,0.00,75,7.00,30.72,1006.27,29.5,000
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,22.8,07-15-2019,22:00:00,1006.17,7.4,0.00,2.90,78,10.00,27.70,1007.43,26.9,270
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,22.7,07-15-2019,22:00:00,1006.15,5.6,0.00,0.00,71,11.00,27.63,1006.58,28.6,330
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,22.5,07-15-2019,22:00:00,994.95,0.0,0.00,0.00,79,10.00,27.25,1007.23,26.5,000
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,23.2,07-15-2019,22:00:00,1006.31,0.0,0.00,21.00,74,10.00,28.41,1007.02,28.3,000
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,24.2,07-15-2019,22:00:00,1004.30,11.1,0.00,0.00,73,10.00,30.16,1006.71,29.5,180
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,25.0,07-15-2019,22:00:00,1006.15,14.8,0.00,0.00,75,10.00,31.72,1006.66,30.0,260
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,24.3,07-15-2019,22:00:00,1001.57,3.7,0.00,0.00,76,11.00,30.37,1006.69,28.9,260
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,25.2,07-15-2019,22:00:00,1006.39,0.0,0.00,18.90,80,8.00,31.98,1006.80,29.0,000
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,25.1,07-15-2019,22:00:00,1004.30,0.0,0.00,8.30,90,8.00,31.94,1007.07,27.0,000
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,22.3,07-15-2019,22:00:00,1006.66,0.0,0.00,0.00,73,10.00,26.95,1007.45,27.5,000
48501,TRAD,ตราด,ตราด,11.76667,102.88333,25.1,07-15-2019,22:00:00,1006.36,5.6,0.00,89.70,85,7.00,31.95,1006.82,28.0,160
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,24.1,07-15-2019,22:00:00,1007.84,5.6,0.00,0.01,84,8.00,30.02,1008.52,27.0,270
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,24.7,07-15-2019,22:00:00,1006.95,0.0,0.00,6.60,84,8.00,31.16,1008.48,27.6,000
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,25.6,07-15-2019,22:00:00,1008.28,0.0,0.50,10.10,93,10.00,32.86,1009.20,26.9,000
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,25.8,07-15-2019,22:00:00,1007.79,0.0,1.60,1.60,90,10.00,33.21,1008.48,27.5,000
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,24.5,07-15-2019,22:00:00,1007.65,0.0,0.00,0.00,88,10.00,30.81,1008.45,26.7,000
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,24.7,07-15-2019,22:00:00,1007.82,0.0,0.00,0.00,88,10.00,31.19,1008.45,26.9,000
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,25.4,07-15-2019,22:00:00,1008.30,0.0,0.00,0.00,93,10.00,32.46,1008.71,26.7,000
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,24.8,07-15-2019,22:00:00,1006.69,0.0,0.00,0.00,93,5.00,31.38,1010.93,26.0,000
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,24.3,07-15-2019,22:00:00,1007.39,0.0,0.00,5.60,96,10.00,30.32,1009.02,25.0,000
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,24.7,07-15-2019,22:00:00,1005.42,0.0,0.00,10.50,95,7.00,31.17,1008.92,25.6,000
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,24.0,07-15-2019,22:00:00,1006.83,0.0,0.00,0.00,79,10.00,29.82,1008.18,27.9,000
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,24.4,07-15-2019,22:00:00,1007.36,0.0,0.00,1.70,76,10.00,30.57,1008.24,29.0,000
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,23.9,07-15-2019,22:00:00,1005.09,0.0,0.00,0.00,85,10.00,29.72,1008.66,26.7,000
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,25.3,07-15-2019,22:00:00,1008.34,0.0,0.00,0.60,79,10.00,32.30,1008.77,29.3,000
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,24.9,07-15-2019,22:00:00,1007.13,13.0,0.00,1.50,74,10.00,31.44,1008.12,30.0,250
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,25.2,07-15-2019,22:00:00,1007.99,18.5,0.00,0.00,77,10.00,31.97,1008.80,29.7,280
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,24.7,07-15-2019,22:00:00,1007.06,0.0,0.00,0.00,85,10.00,31.05,1008.87,27.4,000
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,23.4,07-15-2019,22:00:00,1007.96,7.4,0.00,0.00,73,10.00,28.81,1008.71,28.8,220
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,23.7,07-15-2019,22:00:00,1005.16,0.0,0.00,0.00,81,10.00,29.23,1009.16,27.3,000
48570,SATUN,สตูล,สตูล,6.65000,100.08333,23.6,07-15-2019,22:00:00,1008.07,0.0,0.00,0.00,84,10.00,29.08,1008.76,26.5,000
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,23.8,07-15-2019,22:00:00,1008.01,0.0,0.00,0.00,83,10.00,29.56,1009.12,26.9,000
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,24.9,07-15-2019,22:00:00,1006.32,0.0,0.00,0.00,91,10.00,31.52,1009.25,26.5,000
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,24.5,07-15-2019,22:00:00,1008.21,0.0,0.00,0.00,82,9.00,30.72,1008.90,27.8,000
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,22.5,07-15-2019,22:00:00,1005.12,9.3,0.00,4.70,78,8.00,27.16,1009.26,26.6,260
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,21.3,07-15-2019,22:00:00,1009.02,9.3,0.00,0.00,62,10.00,25.29,1009.61,29.2,260
