WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,StationPressure,VaporPressure,DewPoint,AirTemperature,WindSpeed,MeanSeaLevelPressure,LandVisibility,RelativeHumidity,MaximumTemperature,Rainfall24Hr,WindDirection
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,07-20-2019,19:00:00,995.84,33.66,26.0,33.0,0.0,1001.48,10.00,67,37.0,0.00,000
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,07-20-2019,19:00:00,995.60,34.07,26.2,32.5,0.0,1001.65,12.00,70,37.8,0.00,000
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,07-20-2019,19:00:00,986.49,28.43,23.2,34.0,0.0,1002.48,10.00,53,38.6,0.00,000
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.00,07-20-2019,19:00:00,980.79,28.91,23.5,29.0,0.0,1002.86,10.00,72,33.8,0.00,000
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,07-20-2019,19:00:00,988.86,29.14,23.6,32.1,14.8,1002.95,10.00,61,36.2,0.00,260
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,07-20-2019,19:00:00,985.85,29.79,24.0,32.7,11.1,1001.84,8.00,60,37.0,0.00,240
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,07-20-2019,19:00:00,997.26,30.94,24.6,32.0,0.0,1002.38,10.00,65,36.0,0.00,000
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,07-20-2019,19:00:00,988.07,29.62,23.9,34.3,0.0,1000.88,12.00,55,38.0,0.00,000
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,07-20-2019,19:00:00,993.55,27.33,22.5,30.6,3.7,1002.72,10.00,62,36.7,0.00,220
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.01,07-20-2019,19:00:00,981.98,27.16,22.5,32.8,14.8,1003.17,8.00,55,37.5,0.01,170
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,07-20-2019,19:00:00,985.59,30.07,24.1,32.7,11.1,1002.69,10.00,61,38.5,0.00,200
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,07-20-2019,19:00:00,987.60,29.17,23.6,33.1,3.7,1003.06,11.00,58,37.0,0.00,160
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.01,07-20-2019,19:00:00,983.30,29.19,23.6,30.0,16.7,1001.90,7.00,69,39.2,0.01,180
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,6.40,07-20-2019,19:00:00,954.58,32.12,25.2,27.8,0.0,1005.37,8.00,86,33.5,6.40,000
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,07-20-2019,19:00:00,998.49,32.16,25.3,33.0,7.4,1002.35,10.00,64,36.0,0.00,180
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.00,07-20-2019,19:00:00,911.25,26.09,21.8,24.2,5.6,1005.37,7.00,86,27.4,0.00,210
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,07-20-2019,19:00:00,987.27,33.06,25.7,33.0,0.0,1002.88,10.00,66,38.5,0.00,000
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,07-20-2019,19:00:00,999.23,33.25,25.8,33.5,9.3,1003.16,10.00,64,36.8,0.00,180
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,07-20-2019,19:00:00,993.94,30.08,24.1,32.0,5.6,1004.41,9.00,63,37.0,0.00,160
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,07-20-2019,19:00:00,1001.95,31.68,25.0,31.8,7.4,1003.84,10.00,67,36.0,0.00,150
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,4.10,07-20-2019,19:00:00,982.83,27.16,22.5,26.6,0.0,1003.65,5.00,78,38.6,4.10,000
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,07-20-2019,19:00:00,985.33,30.99,24.6,33.0,0.0,1002.57,10.00,62,36.3,0.00,000
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,07-20-2019,19:00:00,986.88,32.89,25.6,33.2,0.0,1002.64,10.00,65,37.0,0.00,000
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,07-20-2019,19:00:00,990.82,30.36,24.3,32.7,5.6,1004.56,10.00,61,36.1,0.00,140
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,07-20-2019,19:00:00,991.02,30.08,24.1,32.0,0.0,1005.58,10.00,63,36.0,0.00,000
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,07-20-2019,19:00:00,992.32,29.89,24.0,30.5,13.0,1006.81,10.00,68,36.9,0.00,220
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,07-20-2019,19:00:00,1000.32,32.08,25.2,33.1,0.0,1003.27,10.00,63,37.0,0.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}"
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,07-20-2019,19:00:00,995.06,30.08,24.1,32.0,0.0,1002.85,10.00,63,36.5,0.00,000
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,07-20-2019,19:00:00,1004.84,28.65,23.3,31.0,14.8,1005.94,8.00,64,35.3,0.00,260
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,07-20-2019,19:00:00,988.54,25.02,21.1,30.8,0.0,1002.99,8.00,56,34.8,0.00,000
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.00,07-20-2019,19:00:00,871.35,24.92,21.0,21.2,7.4,1005.42,.05,99,24.9,76.80,190
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,07-20-2019,19:00:00,997.87,31.87,25.1,33.0,5.6,1003.62,10.00,63,37.5,0.00,200
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,07-20-2019,19:00:00,1004.75,36.86,27.6,30.6,9.3,1005.54,8.00,84,37.0,11.90,240
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,07-20-2019,19:00:00,1004.91,33.83,26.1,29.2,22.2,1005.35,10.00,83,32.2,0.00,210
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.00,07-20-2019,19:00:00,993.83,30.74,24.5,30.5,0.0,1004.98,10.00,70,35.2,0.00,000
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,07-20-2019,19:00:00,1003.83,28.92,23.5,28.0,5.6,1004.84,10.00,77,37.5,0.80,180
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,07-20-2019,19:00:00,1002.35,28.77,23.4,32.9,3.7,1004.13,9.00,58,36.0,0.00,190
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.01,07-20-2019,19:00:00,1003.92,30.43,24.3,26.5,0.0,1004.69,8.00,88,35.6,1.50,000
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,07-20-2019,19:00:00,1005.18,31.40,24.9,29.7,22.2,1005.88,10.00,75,34.0,0.10,200
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,07-20-2019,19:00:00,1004.98,30.75,24.5,28.1,3.7,1005.68,7.00,81,36.4,0.00,150
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,07-20-2019,19:00:00,983.61,32.38,25.4,29.2,3.7,1004.56,10.00,80,37.0,0.10,180
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.00,07-20-2019,19:00:00,988.27,27.59,22.7,29.3,7.4,1004.82,9.00,68,35.8,0.00,210
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.00,07-20-2019,19:00:00,988.91,25.19,21.2,29.0,14.8,1005.20,7.00,63,36.7,0.00,230
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,07-20-2019,19:00:00,982.73,29.65,23.9,30.8,0.0,1004.26,10.00,67,37.5,0.00,000
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,07-20-2019,19:00:00,961.91,25.71,21.6,29.0,13.0,1004.77,14.00,64,33.5,0.00,140
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,07-20-2019,19:00:00,984.29,29.60,23.9,28.5,5.6,1004.70,10.00,76,37.1,0.00,250
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,07-20-2019,19:00:00,986.73,30.01,24.1,29.0,22.2,1007.42,9.00,75,35.7,0.00,210
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,07-20-2019,19:00:00,1004.38,31.77,25.0,29.6,9.3,1004.81,10.00,77,33.3,0.00,230
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,07-20-2019,19:00:00,1003.87,30.53,24.4,26.7,0.0,1005.29,8.00,87,34.5,8.20,000
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1.00,07-20-2019,19:00:00,1001.32,31.38,24.8,26.0,0.0,1006.26,7.00,93,35.5,23.90,000
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,07-20-2019,19:00:00,1001.27,30.42,24.3,30.2,0.0,1004.52,12.00,71,36.5,1.10,000
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,07-20-2019,19:00:00,1003.86,30.16,24.2,29.5,3.7,1004.95,10.00,73,36.2,0.70,240
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,07-20-2019,19:00:00,1005.15,32.63,25.5,30.3,9.3,1005.45,10.00,76,34.9,0.00,200
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,0.00,07-20-2019,19:00:00,1004.67,31.51,24.9,30.6,5.6,1005.35,10.00,72,35.3,0.00,230
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,07-20-2019,19:00:00,1004.79,31.64,25.0,30.8,0.0,1005.27,10.00,71,35.5,0.00,000
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.00,07-20-2019,19:00:00,1004.28,32.63,25.5,29.6,20.4,1005.68,10.00,79,33.6,10.20,190
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,0.00,07-20-2019,19:00:00,1003.56,34.64,26.5,30.0,35.2,1005.22,10.00,82,31.0,0.00,180
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,2.30,07-20-2019,19:00:00,999.72,30.32,24.3,25.0,3.7,1007.78,10.00,96,35.5,13.90,220
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,07-20-2019,19:00:00,1005.58,33.09,25.7,30.8,0.0,1005.86,10.00,75,37.4,0.00,000
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,07-20-2019,19:00:00,1002.55,30.72,24.5,29.5,5.6,1005.65,10.00,75,32.7,0.00,270
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,07-20-2019,19:00:00,999.02,32.13,25.2,29.5,11.1,1005.90,12.00,78,32.0,0.00,240
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,07-20-2019,19:00:00,1000.22,30.95,24.6,28.2,0.0,1005.79,8.00,81,36.2,0.60,000
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,0.00,07-20-2019,19:00:00,997.63,32.30,25.3,29.3,24.1,1006.87,8.00,79,35.6,0.00,230
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.10,07-20-2019,19:00:00,1004.41,31.11,24.7,27.0,7.4,1005.67,10.00,87,35.3,0.30,140
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1.70,07-20-2019,19:00:00,1004.76,30.56,24.4,28.0,3.7,1005.19,11.00,81,36.2,6.10,180
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,07-20-2019,19:00:00,993.77,30.97,24.6,27.5,0.0,1005.99,10.00,84,35.6,0.00,000
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,07-20-2019,19:00:00,1005.11,33.12,25.8,29.0,3.7,1005.82,10.00,83,33.3,0.00,210
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,07-20-2019,19:00:00,1003.77,31.15,24.7,30.0,18.5,1006.18,10.00,73,34.7,0.00,180
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,07-20-2019,19:00:00,1005.73,32.13,25.2,29.5,18.5,1006.24,10.00,78,32.0,0.00,230
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,07-20-2019,19:00:00,1000.66,31.20,24.7,29.6,3.7,1005.76,15.00,75,34.4,0.00,330
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.00,07-20-2019,19:00:00,1006.00,32.22,25.3,29.4,0.0,1006.41,8.00,79,33.0,1.10,000
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.00,07-20-2019,19:00:00,1004.20,33.12,25.8,28.3,1.9,1006.96,8.00,86,32.3,18.30,200
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.90,07-20-2019,19:00:00,1005.50,30.56,24.4,27.0,5.6,1006.29,6.00,86,34.8,5.90,350
48501,TRAD,ตราด,ตราด,11.76667,102.88333,0.00,07-20-2019,19:00:00,1006.36,31.55,24.9,25.8,3.7,1006.82,6.00,95,30.0,74.70,090
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.00,07-20-2019,19:00:00,1006.23,28.67,23.3,27.0,3.7,1006.91,8.00,80,31.5,15.10,200
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.00,07-20-2019,19:00:00,1005.29,27.85,22.9,26.4,7.4,1006.82,8.00,81,32.6,2.20,270
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,3.60,07-20-2019,19:00:00,1007.57,27.87,22.9,24.8,7.4,1008.49,8.00,89,29.7,54.00,190
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,2.60,07-20-2019,19:00:00,1006.57,30.48,24.4,27.1,0.0,1007.26,10.00,85,31.5,2.60,000
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,4.40,07-20-2019,19:00:00,1007.12,29.91,24.0,25.5,5.6,1007.92,6.00,92,33.7,4.80,240
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,07-20-2019,19:00:00,1006.21,28.76,23.4,26.9,0.0,1006.84,10.00,81,34.5,0.00,000
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,07-20-2019,19:00:00,1006.66,29.17,23.6,26.4,0.0,1007.06,10.00,85,32.8,0.01,000
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,07-20-2019,19:00:00,1004.90,28.98,23.5,27.6,9.3,1009.11,6.00,79,33.5,0.01,250
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.01,07-20-2019,19:00:00,1006.65,29.16,23.6,24.8,0.0,1008.28,8.00,93,30.5,11.40,000
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.20,07-20-2019,19:00:00,1004.82,29.99,24.1,25.4,0.0,1008.32,7.00,92,34.0,35.70,000
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,07-20-2019,19:00:00,1005.42,29.50,23.8,26.0,5.6,1006.78,8.00,88,32.1,29.50,300
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,7.00,07-20-2019,19:00:00,1006.40,30.79,24.5,25.4,0.0,1007.29,9.00,95,29.7,68.60,000
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,12.70,07-20-2019,19:00:00,1004.17,28.77,23.4,23.7,0.0,1007.77,9.00,98,31.2,14.20,000
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.40,07-20-2019,19:00:00,1006.93,31.68,25.0,26.3,0.0,1007.36,9.00,93,30.6,9.20,000
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,14.80,07-20-2019,19:00:00,1006.34,32.94,25.7,26.8,0.0,1007.34,8.00,94,31.6,66.50,000
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.20,07-20-2019,19:00:00,1006.74,30.42,24.3,25.2,0.0,1007.56,10.00,95,30.3,16.20,000
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,07-20-2019,19:00:00,1005.71,30.36,24.3,25.6,0.0,1007.53,10.00,93,31.1,23.50,000
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.20,07-20-2019,19:00:00,1006.77,33.24,25.8,28.5,3.7,1007.52,10.00,85,32.2,3.70,060
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,07-20-2019,19:00:00,1003.13,29.16,23.6,28.7,13.0,1007.10,10.00,74,35.0,0.00,240
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,07-20-2019,19:00:00,1009.58,31.95,25.1,28.0,0.0,1010.26,10.00,85,32.5,6.80,000
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,5.20,07-20-2019,19:00:00,1005.73,32.94,25.7,26.8,0.0,1006.85,10.00,94,33.3,6.60,000
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,07-20-2019,19:00:00,1004.66,30.92,24.6,29.6,3.7,1007.56,10.00,75,34.1,0.00,300
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.80,07-20-2019,19:00:00,1006.97,32.61,25.5,27.2,18.5,1007.66,5.00,90,33.0,0.80,180
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.00,07-20-2019,19:00:00,1004.60,34.03,26.2,27.9,0.0,1008.72,4.00,91,32.4,0.00,000
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.00,07-20-2019,19:00:00,1006.55,31.53,24.9,29.2,16.7,1007.14,10.00,78,33.2,0.00,070
