WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,Rainfall24Hr,LandVisibility,Rainfall,MeanSeaLevelPressure,DewPoint,WindSpeed,WindDirection,AirTemperature,RelativeHumidity,VaporPressure
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,956.41,08-01-2019,22:00:00,28.00,5.00,2.70,1008.19,21.3,0.0,000,22.7,92,25.36
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1002.27,08-01-2019,22:00:00,7.10,5.00,0.80,1006.23,25.1,7.4,140,26.3,93,31.96
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,911.82,08-01-2019,22:00:00,54.20,.05,4.20,1007.38,19.9,22.2,200,20.1,99,23.28
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,988.18,08-01-2019,22:00:00,16.00,8.00,0.00,1004.12,23.4,11.1,250,27.1,81,28.86
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1003.09,08-01-2019,22:00:00,2.20,10.00,0.10,1007.12,24.2,0.0,000,27.2,84,30.12
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,997.97,08-01-2019,22:00:00,8.30,8.00,3.70,1008.75,23.5,0.0,000,24.5,94,28.89
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,985.66,08-01-2019,22:00:00,1.70,10.00,0.00,1006.63,22.3,9.3,250,25.3,84,26.95
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,986.45,08-01-2019,22:00:00,4.30,10.00,0.00,1004.04,22.6,14.8,210,27.3,75,27.37
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,987.80,08-01-2019,22:00:00,2.90,10.00,0.00,1003.88,22.8,0.0,000,27.5,76,27.73
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,991.24,08-01-2019,22:00:00,4.80,10.00,0.00,1005.29,23.2,7.4,220,26.0,85,28.44
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,990.82,08-01-2019,22:00:00,5.50,8.00,0.00,1005.73,23.8,0.0,000,25.0,93,29.52
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,991.08,08-01-2019,22:00:00,9.40,6.00,0.00,1005.75,23.6,0.0,000,26.5,84,29.08
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1004.39,08-01-2019,22:00:00,0.60,10.00,0.20,1007.41,21.8,0.0,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",27.3,72,26.07
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,999.36,08-01-2019,22:00:00,5.50,6.00,1.40,1007.36,23.8,7.4,090,25.4,91,29.46
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1007.13,08-01-2019,22:00:00,0.01,8.00,0.00,1008.24,22.0,7.4,230,26.5,77,26.47
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,989.70,08-01-2019,22:00:00,15.10,8.00,0.00,1004.31,23.8,3.7,120,27.7,79,29.44
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,874.20,08-01-2019,22:00:00,13.70,8.00,0.80,1010.25,17.7,11.1,280,18.0,98,20.20
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1002.13,08-01-2019,22:00:00,7.20,5.00,1.50,1008.05,24.3,0.0,000,25.0,96,30.32
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1008.22,08-01-2019,22:00:00,0.00,8.00,0.00,1009.02,21.0,11.1,240,28.5,64,24.83
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1007.45,08-01-2019,22:00:00,0.00,10.00,0.00,1007.90,23.4,14.8,230,29.1,72,28.83
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,999.18,08-01-2019,22:00:00,29.70,4.00,13.70,1010.63,22.8,0.0,000,24.0,93,27.76
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1007.29,08-01-2019,22:00:00,0.00,10.00,0.00,1008.30,21.8,3.7,200,27.6,71,26.09
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1006.35,08-01-2019,22:00:00,0.30,7.00,0.10,1008.18,23.0,3.7,170,26.8,80,28.04
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1007.42,08-01-2019,22:00:00,0.00,8.00,0.00,1008.19,20.7,3.7,260,27.5,66,24.38
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1007.37,08-01-2019,22:00:00,0.60,10.00,0.00,1008.07,21.0,14.8,260,28.5,64,24.83
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1007.45,08-01-2019,22:00:00,14.80,7.00,0.00,1008.16,22.4,5.6,310,26.4,79,27.07
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,985.90,08-01-2019,22:00:00,0.90,8.00,0.01,1007.07,22.4,11.1,270,26.7,77,27.08
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,989.07,08-01-2019,22:00:00,9.10,7.00,0.00,1005.79,22.8,9.3,220,26.5,80,27.77
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,989.64,08-01-2019,22:00:00,8.50,6.00,0.00,1006.08,23.3,5.6,230,26.5,83,28.55
