WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,StationPressure,RelativeHumidity,WindDirection,LandVisibility,VaporPressure,AirTemperature,MeanSeaLevelPressure,WindSpeed,Rainfall,Rainfall24Hr,DewPoint
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,07-21-2019,04:00:00,1000.01,78,210,12.00,30.15,28.5,1006.91,5.6,0.00,0.00,24.2
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,07-21-2019,04:00:00,1001.50,92,000,7.00,32.77,27.0,1007.09,0.0,0.00,0.60,25.6
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,07-21-2019,04:00:00,1005.85,94,000,10.00,32.04,26.2,1007.12,0.0,0.00,0.30,25.2
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,07-21-2019,04:00:00,1005.81,77,180,11.00,29.57,28.2,1006.24,9.3,0.00,6.10,23.9
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,07-21-2019,04:00:00,994.50,85,000,10.00,28.70,26.0,1006.80,0.0,0.00,0.00,23.4
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,07-21-2019,04:00:00,1006.18,85,000,10.00,30.29,27.0,1006.89,0.0,0.00,0.00,24.3
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,07-21-2019,04:00:00,1003.88,82,190,10.00,31.11,28.0,1006.31,11.1,0.00,0.00,24.7
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,07-21-2019,04:00:00,1006.79,83,240,10.00,33.12,29.0,1007.30,18.5,0.00,0.00,25.8
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,07-21-2019,04:00:00,1001.99,80,000,7.00,30.78,28.4,1007.12,0.0,0.00,0.00,24.5
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,07-21-2019,04:00:00,1007.36,94,170,6.00,32.63,26.5,1007.78,7.4,2.20,2.60,25.5
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,07-21-2019,04:00:00,1004.61,96,000,8.00,32.20,26.0,1007.39,0.0,2.70,18.80,25.3
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,07-21-2019,04:00:00,1006.61,94,000,10.00,29.97,25.1,1007.41,0.0,0.00,6.00,24.1
48501,TRAD,ตราด,ตราด,11.76667,102.88333,07-21-2019,04:00:00,1009.42,97,000,5.00,29.85,24.6,1009.89,0.0,27.40,46.80,24.0
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,07-21-2019,04:00:00,1006.93,92,000,6.00,29.18,25.1,1007.61,0.0,0.00,14.30,23.6
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,07-21-2019,04:00:00,1006.41,97,300,6.00,29.13,24.2,1007.95,1.9,0.00,1.00,23.6
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,07-21-2019,04:00:00,1007.96,93,210,7.00,28.45,24.4,1008.89,7.4,2.40,23.80,23.2
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,07-21-2019,04:00:00,1007.50,83,000,10.00,30.23,27.4,1008.19,0.0,0.00,2.60,24.2
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,07-21-2019,04:00:00,1007.53,98,250,5.00,29.66,24.2,1008.34,1.9,0.00,4.60,23.9
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,07-21-2019,04:00:00,1006.95,95,000,10.00,30.60,25.3,1007.59,0.0,0.00,0.00,24.4
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,07-21-2019,04:00:00,1007.44,96,000,10.00,29.05,24.3,1007.84,0.0,0.00,0.01,23.6
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,07-21-2019,04:00:00,1005.56,97,000,5.00,30.03,24.7,1009.81,0.0,0.00,0.00,24.1
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,07-21-2019,04:00:00,1006.43,98,000,5.00,29.12,23.9,1008.05,0.0,0.00,11.20,23.6
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,07-21-2019,04:00:00,1004.69,97,000,6.00,28.96,24.1,1008.21,0.0,0.00,35.70,23.5
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,07-21-2019,04:00:00,1006.14,97,000,7.00,29.13,24.2,1007.50,0.0,0.00,29.50,23.6
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,07-21-2019,04:00:00,1006.74,96,000,10.00,32.20,26.0,1007.63,0.0,0.60,44.20,25.3
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,07-21-2019,04:00:00,1004.72,98,000,10.00,28.60,23.6,1008.32,0.0,0.00,14.20,23.3
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,07-21-2019,04:00:00,1007.55,96,000,10.00,31.82,25.8,1007.99,0.0,0.00,8.00,25.1
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,07-21-2019,04:00:00,1007.00,94,000,7.00,31.08,25.7,1008.00,0.0,3.00,32.30,24.7
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,07-21-2019,04:00:00,1006.44,97,090,10.00,30.30,24.7,1007.26,7.4,0.00,16.20,24.3
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,07-21-2019,04:00:00,1006.11,97,000,7.00,29.13,24.2,1007.94,0.0,0.00,20.90,23.6
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,07-21-2019,04:00:00,1007.74,87,220,8.00,28.33,25.5,1008.50,5.6,0.00,3.70,23.1
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,07-21-2019,04:00:00,1004.00,96,250,7.00,29.77,24.7,1008.03,3.7,0.00,0.00,24.0
48570,SATUN,สตูล,สตูล,6.65000,100.08333,07-21-2019,04:00:00,1009.11,96,000,10.00,29.41,24.5,1009.80,0.0,0.00,6.80,23.8
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,07-21-2019,04:00:00,1006.59,97,000,10.00,30.22,24.8,1007.72,0.0,0.00,6.60,24.2
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,07-21-2019,04:00:00,1005.17,95,000,10.00,28.27,24.0,1008.12,0.0,0.00,0.00,23.1
