WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,AirTemperature,WindDirection,LandVisibility,Rainfall,MeanSeaLevelPressure,Rainfall24Hr,WindSpeed,VaporPressure,DewPoint,StationPressure
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,89,08-13-2019,04:00:00,26.5,230,10.00,0.00,1006.73,0.00,5.6,30.70,24.5,992.68
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,93,08-13-2019,04:00:00,25.8,000,10.00,0.00,1006.99,0.00,0.0,31.00,24.6,992.10
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,92,08-13-2019,04:00:00,26.4,220,6.00,0.00,1006.71,0.00,3.7,31.60,25.0,992.02
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,94,08-13-2019,04:00:00,26.8,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",10.00,0.00,1006.63,0.10,0.0,32.94,25.7,1003.61
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,90,08-13-2019,04:00:00,26.8,000,7.00,0.00,1006.62,0.00,0.0,31.55,24.9,998.67
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,85,08-13-2019,04:00:00,27.0,000,6.00,0.00,1006.92,0.00,0.0,30.29,24.3,1005.81
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,86,08-13-2019,04:00:00,26.7,000,8.00,0.00,1005.93,0.00,0.0,30.26,24.2,991.25
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,99,08-13-2019,04:00:00,19.3,260,.05,4.00,1008.83,28.20,7.4,22.15,19.1,873.51
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,97,08-13-2019,04:00:00,26.1,000,10.00,0.00,1006.92,5.80,0.0,32.68,25.5,1001.03
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,85,08-13-2019,04:00:00,28.0,000,8.00,0.00,1006.83,0.00,0.0,31.95,25.1,1006.03
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,76,08-13-2019,04:00:00,28.8,210,10.00,0.00,1006.67,0.00,7.4,29.90,24.0,1006.22
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,96,08-13-2019,04:00:00,25.5,000,3.00,1.20,1007.22,3.70,0.0,31.25,24.8,995.86
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,90,08-13-2019,04:00:00,26.6,000,10.00,0.00,1006.95,2.10,0.0,31.16,24.7,1005.94
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,92,08-13-2019,04:00:00,27.0,160,7.00,0.00,1006.98,0.00,3.7,32.77,25.6,1005.16
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,97,08-13-2019,04:00:00,25.1,000,4.00,0.00,1006.64,13.10,0.0,30.77,24.5,1005.87
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,84,08-13-2019,04:00:00,26.5,210,10.00,0.00,1006.85,0.00,7.4,29.08,23.6,1006.15
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,89,08-13-2019,04:00:00,27.1,000,7.00,0.00,1007.09,0.01,0.0,31.85,25.1,1006.38
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,84,08-13-2019,04:00:00,26.6,000,10.00,0.00,1006.93,9.40,0.0,29.27,23.7,985.76
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,89,08-13-2019,04:00:00,26.3,000,6.00,0.00,1006.68,0.00,0.0,30.59,24.4,989.93
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,88,08-13-2019,04:00:00,26.2,190,6.00,0.00,1006.96,0.00,5.6,29.86,24.0,990.49
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,84,08-13-2019,04:00:00,27.1,000,10.00,0.00,1006.66,0.00,0.0,29.93,24.1,984.82
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,85,08-13-2019,04:00:00,25.5,000,12.00,0.00,1007.20,0.10,0.0,27.81,22.8,963.74
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,84,08-13-2019,04:00:00,26.3,180,10.00,0.00,1006.90,0.00,3.7,28.72,23.4,986.30
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,98,08-13-2019,04:00:00,25.4,210,7.00,0.00,1007.98,0.40,11.1,31.87,25.1,987.04
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,80,08-13-2019,04:00:00,28.3,210,10.00,0.00,1006.97,0.40,5.6,30.59,24.4,1006.53
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,92,08-13-2019,04:00:00,26.2,000,6.00,0.00,1006.84,2.00,0.0,31.22,24.8,1005.42
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,94,08-13-2019,04:00:00,25.9,000,7.00,0.00,1006.99,0.01,0.0,31.46,24.9,1002.04
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,89,08-13-2019,04:00:00,26.0,000,10.00,0.00,1006.84,0.40,0.0,30.03,24.1,1003.53
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,96,08-13-2019,04:00:00,25.6,000,10.00,0.00,1006.79,0.50,0.0,31.44,24.9,1005.68
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,80,08-13-2019,04:00:00,28.0,210,10.00,0.00,1006.86,0.01,3.7,30.28,24.3,1006.56
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,82,08-13-2019,04:00:00,27.6,000,10.00,0.00,1006.97,0.00,0.0,30.34,24.3,1006.48
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,77,08-13-2019,04:00:00,27.9,200,10.00,0.00,1006.72,0.01,9.3,29.01,23.5,1005.31
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,97,08-13-2019,04:00:00,25.0,000,10.00,0.00,1009.32,0.00,0.0,30.58,24.4,1001.25
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,90,08-13-2019,04:00:00,27.5,000,10.00,0.00,1006.81,0.20,0.0,33.21,25.8,1006.53
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,77,08-13-2019,04:00:00,28.4,000,10.00,0.00,1006.80,13.00,0.0,29.68,23.9,1003.68
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,89,08-13-2019,04:00:00,27.4,000,10.00,0.00,1007.41,5.80,0.0,32.45,25.4,1000.47
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,91,08-13-2019,04:00:00,25.8,000,8.00,0.00,1006.71,0.00,0.0,30.19,24.2,1001.09
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,97,08-13-2019,04:00:00,25.3,000,10.00,0.00,1008.06,10.20,0.0,31.41,24.9,1006.79
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,84,08-13-2019,04:00:00,27.1,240,11.00,0.00,1006.69,1.80,5.6,30.20,24.2,1006.26
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,94,08-13-2019,04:00:00,24.7,000,10.00,0.00,1007.11,1.90,0.0,29.25,23.7,994.76
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,80,08-13-2019,04:00:00,27.2,000,10.00,0.00,1007.15,4.90,0.0,28.78,23.4,1006.44
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,92,08-13-2019,04:00:00,26.0,220,10.00,0.00,1007.21,0.00,3.7,30.84,24.6,1004.77
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,88,08-13-2019,04:00:00,28.5,240,10.00,0.00,1007.44,0.00,7.4,34.40,26.4,1006.93
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,88,08-13-2019,04:00:00,26.8,000,9.00,0.00,1007.16,0.30,0.0,31.00,24.6,1002.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,94,08-13-2019,04:00:00,27.2,200,4.00,0.20,1007.20,0.80,11.1,33.74,26.1,1006.79
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,93,08-13-2019,04:00:00,26.0,000,8.00,0.00,1007.62,0.20,0.0,31.38,24.8,1004.84
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,90,08-13-2019,04:00:00,25.5,000,10.00,0.00,1007.33,7.00,0.0,29.38,23.7,1006.54
48501,TRAD,ตราด,ตราด,11.76667,102.88333,98,08-13-2019,04:00:00,25.2,100,6.00,0.00,1007.74,53.90,5.6,31.49,24.9,1007.28
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,92,08-13-2019,04:00:00,26.0,000,7.00,0.00,1007.23,4.10,0.0,30.84,24.6,1006.54
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,96,08-13-2019,04:00:00,25.5,190,6.00,0.00,1007.42,1.60,1.9,31.25,24.8,1005.89
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,87,08-13-2019,04:00:00,26.9,000,10.00,0.00,1008.14,2.40,0.0,30.91,24.6,1007.22
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,95,08-13-2019,04:00:00,26.0,000,10.00,0.00,1008.07,0.00,0.0,31.93,25.1,1007.38
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,97,08-13-2019,04:00:00,24.0,000,8.00,0.00,1008.10,0.01,0.0,28.78,23.4,1007.29
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,93,08-13-2019,04:00:00,24.8,000,10.00,0.00,1007.88,0.00,0.0,29.16,23.6,1007.24
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,90,08-13-2019,04:00:00,25.3,000,10.00,0.00,1008.08,0.00,0.0,29.01,23.5,1007.68
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,93,08-13-2019,04:00:00,24.3,000,6.00,0.00,1009.65,0.00,0.0,28.28,23.1,1005.39
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,96,08-13-2019,04:00:00,25.0,000,7.00,0.00,1005.98,1.40,0.0,30.32,24.3,1004.37
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,95,08-13-2019,04:00:00,25.2,000,8.00,0.00,1007.82,0.01,0.0,30.42,24.3,1006.46
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,97,08-13-2019,04:00:00,24.6,000,10.00,5.40,1008.42,6.00,0.0,29.85,24.0,1007.53
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,96,08-13-2019,04:00:00,23.9,000,10.00,0.00,1008.37,0.00,0.0,28.35,23.2,1004.77
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,90,08-13-2019,04:00:00,26.6,000,10.00,0.00,1007.89,0.60,0.0,31.44,24.9,1007.45
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,93,08-13-2019,04:00:00,25.9,000,10.00,0.00,1007.09,0.00,0.0,30.92,24.6,1006.10
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,91,08-13-2019,04:00:00,25.3,100,10.00,0.00,1008.30,6.20,9.3,29.28,23.7,1007.48
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,95,08-13-2019,04:00:00,25.2,000,8.00,0.00,1008.29,0.00,0.0,30.42,24.3,1006.46
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,90,08-13-2019,04:00:00,26.3,000,10.00,0.00,1008.56,0.00,0.0,30.86,24.6,1007.81
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,97,08-13-2019,04:00:00,24.8,230,7.00,0.00,1008.78,3.00,9.3,30.48,24.4,1004.75
48570,SATUN,สตูล,สตูล,6.65000,100.08333,93,08-13-2019,04:00:00,25.3,000,10.00,0.00,1008.43,1.60,0.0,30.07,24.1,1007.74
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,97,08-13-2019,04:00:00,25.1,000,10.00,0.00,1008.92,4.20,0.0,31.04,24.7,1007.80
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,96,08-13-2019,04:00:00,24.8,000,10.00,0.00,1008.72,1.10,0.0,29.95,24.1,1005.78
