WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,StationPressure,MeanSeaLevelPressure,AirTemperature,DewPoint,RelativeHumidity,VaporPressure,LandVisibility,WindDirection,WindSpeed,Rainfall,Rainfall24Hr
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,07-06-2019,13:00:00,1007.64,1008.06,33.1,26.6,69,34.80,11.00,180,7.4,0.00,0.60
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,07-06-2019,13:00:00,995.70,1007.72,33.1,23.3,57,28.60,10.00,180,3.7,0.00,0.40
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,07-06-2019,13:00:00,1007.02,1007.72,33.8,25.2,61,32.10,10.00,070,11.1,0.00,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,07-06-2019,13:00:00,1006.28,1008.68,32.4,24.7,64,31.19,8.00,270,3.7,0.00,0.10
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,07-06-2019,13:00:00,1008.33,1008.84,30.7,24.7,71,31.15,10.00,270,9.3,0.00,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,07-06-2019,13:00:00,1003.04,1008.13,31.4,24.7,68,31.14,11.00,000,0.0,0.00,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,07-06-2019,13:00:00,1008.02,1008.42,31.9,25.6,69,32.77,9.00,220,7.4,0.00,12.80
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,07-06-2019,13:00:00,1005.96,1008.70,30.4,25.6,76,32.84,8.00,140,7.4,0.00,28.90
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,07-06-2019,13:00:00,1007.52,1008.29,33.0,22.0,53,26.45,12.00,270,14.8,0.00,0.60
48501,TRAD,ตราด,ตราด,11.76667,102.88333,07-06-2019,13:00:00,1008.66,1009.11,30.8,26.0,76,33.68,10.00,240,13.0,0.00,0.60
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,07-06-2019,13:00:00,1008.09,1008.76,33.2,22.8,54,27.67,10.00,280,5.6,0.00,0.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,07-06-2019,13:00:00,1006.63,1008.12,33.5,23.4,56,28.84,9.00,260,7.4,0.00,0.20
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,07-06-2019,13:00:00,1007.64,1008.54,32.5,23.1,58,28.25,10.00,220,7.4,0.00,0.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,07-06-2019,13:00:00,1008.53,1009.21,31.6,25.7,71,33.02,10.00,080,16.7,0.00,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,07-06-2019,13:00:00,1008.15,1008.94,29.6,25.5,79,32.63,10.00,280,5.6,0.00,0.01
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,07-06-2019,13:00:00,1007.80,1008.42,33.6,23.2,55,28.47,10.00,050,1.9,0.00,5.50
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,07-06-2019,13:00:00,1008.18,1008.57,35.8,22.8,47,27.81,10.00,000,0.0,0.00,0.00
