WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,Rainfall24Hr,RelativeHumidity,StationPressure,DewPoint,WindDirection,AirTemperature,Rainfall,LandVisibility,WindSpeed,MeanSeaLevelPressure
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,27.38,10-09-2019,01:00:00,0.00,84,993.29,22.6,250,25.4,0.00,5.00,1.9,1011.95
48331,NAN,น่าน,น่าน,18.77972,100.77778,27.25,10-09-2019,01:00:00,0.00,91,989.95,22.5,000,24.0,0.00,10.00,0.0,1013.09
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,24.98,10-09-2019,01:00:00,0.00,95,982.84,21.1,000,22.0,0.00,7.00,0.0,1013.34
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,28.18,10-09-2019,01:00:00,0.00,96,977.09,23.1,000,23.8,0.00,6.00,0.0,1013.08
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,26.75,10-09-2019,01:00:00,0.00,90,982.31,22.2,000,24.0,0.00,5.00,0.0,1012.41
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,27.70,10-09-2019,01:00:00,7.70,88,1004.81,22.8,000,25.0,7.70,7.00,0.0,1012.20
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,29.00,10-09-2019,01:00:00,10.40,92,992.78,23.5,290,25.0,1.00,8.00,5.6,1012.92
48353,LOEI,เลย,เลย,17.45000,101.73333,26.43,10-09-2019,01:00:00,0.00,83,983.95,22.0,100,25.0,0.00,7.00,3.7,1012.92
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,27.05,10-09-2019,01:00:00,0.00,81,992.72,22.4,010,25.8,0.00,12.00,3.7,1013.08
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,28.45,10-09-2019,01:00:00,0.00,93,990.79,23.2,000,24.4,0.00,10.00,0.0,1012.82
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,30.17,10-09-2019,01:00:00,0.01,93,992.51,24.2,000,25.5,0.00,10.00,0.0,1012.18
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,29.34,10-09-2019,01:00:00,10.60,93,995.81,23.7,000,24.9,0.00,12.00,0.0,1012.76
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,28.27,10-09-2019,01:00:00,7.50,95,995.53,23.1,000,24.0,0.00,10.00,0.0,1013.21
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,27.11,10-09-2019,01:00:00,0.00,75,984.99,22.4,070,27.3,0.00,10.00,9.3,1010.82
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,32.66,10-09-2019,01:00:00,0.00,93,1006.00,25.5,100,26.8,0.00,8.00,5.6,1011.82
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,31.79,10-09-2019,01:00:00,0.00,92,1005.62,25.1,000,26.5,0.00,6.00,0.0,1011.85
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,29.91,10-09-2019,01:00:00,0.10,92,996.32,24.0,000,25.5,0.00,8.00,0.0,1012.94
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,29.00,10-09-2019,01:00:00,0.00,92,988.30,23.5,000,25.0,0.00,10.00,0.0,1010.85
48376,TAK,ตาก,ตาก,16.87833,99.14333,29.91,10-09-2019,01:00:00,0.40,92,998.46,24.0,000,25.5,0.00,10.00,0.0,1013.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,27.66,10-09-2019,01:00:00,5.60,96,995.86,22.8,000,23.5,0.00,7.00,0.0,1012.52
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,29.54,10-09-2019,01:00:00,1.90,92,1007.54,23.8,000,25.3,0.00,10.00,0.0,1012.83
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,30.44,10-09-2019,01:00:00,0.70,93,998.00,24.3,000,25.5,0.00,10.00,0.0,1011.32
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,29.74,10-09-2019,01:00:00,0.01,90,1002.57,23.9,000,25.7,0.00,11.00,0.0,1011.98
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,29.54,10-09-2019,01:00:00,0.00,85,989.93,23.8,080,26.6,0.00,7.00,3.7,1011.74
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,30.97,10-09-2019,01:00:00,0.00,89,994.65,24.6,000,26.5,0.00,8.00,0.0,1012.27
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,29.00,10-09-2019,01:00:00,0.10,92,995.37,23.5,000,25.0,0.00,10.00,0.0,1011.38
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,29.50,10-09-2019,01:00:00,0.00,88,992.06,23.8,000,26.0,0.00,8.00,0.0,1011.08
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,24.27,10-09-2019,01:00:00,0.00,92,962.04,20.6,000,22.0,0.00,5.00,0.0,1014.25
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,30.28,10-09-2019,01:00:00,0.01,92,1007.97,24.2,320,25.7,0.00,5.00,7.4,1011.97
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,22.46,10-09-2019,01:00:00,1.00,96,917.44,19.4,130,20.0,0.00,6.00,5.6,1013.62
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,29.54,10-09-2019,01:00:00,0.00,92,995.62,23.8,000,25.3,0.00,8.00,0.0,1011.77
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,30.32,10-09-2019,01:00:00,30.00,96,1007.96,24.3,000,25.0,0.00,7.00,0.0,1012.04
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,28.27,10-09-2019,01:00:00,30.00,95,1001.80,23.1,000,24.0,0.00,5.00,0.0,1012.64
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,28.75,10-09-2019,01:00:00,0.01,89,1010.28,23.4,000,25.3,0.00,6.00,0.0,1012.23
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,30.23,10-09-2019,01:00:00,0.00,83,990.58,24.2,000,27.4,0.00,10.00,0.0,1011.50
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,27.81,10-09-2019,01:00:00,0.00,85,993.86,22.8,050,25.5,0.00,10.00,11.1,1011.69
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,28.70,10-09-2019,01:00:00,0.00,85,994.99,23.4,000,26.0,0.00,8.00,0.0,1011.27
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,32.02,10-09-2019,01:00:00,0.00,90,997.05,25.2,000,26.9,0.00,10.00,0.0,1011.15
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,30.84,10-09-2019,01:00:00,0.00,92,997.43,24.6,000,26.0,0.00,8.00,0.0,1012.38
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,34.36,10-09-2019,01:00:00,0.00,98,996.26,26.4,000,26.8,0.00,6.00,0.0,1011.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,29.59,10-09-2019,01:00:00,28.10,96,1009.06,23.9,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",24.6,0.00,10.00,0.0,1012.12
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,30.25,10-09-2019,01:00:00,6.20,93,1003.83,24.2,000,25.4,0.01,7.00,0.0,1011.86
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,30.17,10-09-2019,01:00:00,2.60,93,1010.48,24.2,000,25.5,0.00,6.00,0.0,1011.60
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,28.18,10-09-2019,01:00:00,0.00,84,996.59,23.1,000,26.0,0.00,8.00,0.0,1011.39
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,20.43,10-09-2019,01:00:00,10.60,89,877.42,17.8,150,19.8,0.00,8.00,1.9,1013.09
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,30.48,10-09-2019,01:00:00,4.20,97,1005.93,24.4,000,24.8,0.00,10.00,0.0,1011.88
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,30.83,10-09-2019,01:00:00,0.00,87,1011.03,24.5,330,27.0,0.00,8.00,5.6,1011.83
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,31.49,10-09-2019,01:00:00,6.40,93,1010.67,24.9,000,26.2,0.70,8.00,0.0,1011.12
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,30.32,10-09-2019,01:00:00,6.90,96,1001.19,24.3,000,25.0,0.00,4.00,0.0,1012.63
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,29.41,10-09-2019,01:00:00,0.00,87,1011.29,23.8,000,26.1,0.00,7.00,0.0,1012.32
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,30.23,10-09-2019,01:00:00,24.50,95,1010.37,24.2,000,25.1,0.00,7.00,0.0,1012.22
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,29.72,10-09-2019,01:00:00,0.60,92,1010.86,23.9,360,25.4,0.60,10.00,5.6,1011.57
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,31.14,10-09-2019,01:00:00,0.00,86,1010.70,24.7,000,27.3,0.00,7.00,0.0,1011.40
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,30.01,10-09-2019,01:00:00,0.00,91,990.24,24.1,000,25.7,0.00,8.00,0.0,1011.58
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,30.57,10-09-2019,01:00:00,0.00,91,994.61,24.4,000,26.0,0.00,7.00,0.0,1011.45
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,31.25,10-09-2019,01:00:00,0.00,96,995.34,24.8,000,25.5,0.00,6.00,0.0,1011.93
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,29.00,10-09-2019,01:00:00,0.01,92,989.23,23.5,000,25.0,0.00,10.00,0.0,1011.32
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,25.76,10-09-2019,01:00:00,0.01,83,968.38,21.6,250,24.6,0.00,6.00,3.7,1012.18
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,29.85,10-09-2019,01:00:00,0.80,97,990.85,24.0,000,24.6,0.00,8.00,0.0,1011.66
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,31.85,10-09-2019,01:00:00,0.00,100,991.75,25.1,260,25.1,0.00,8.00,3.7,1012.81
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,29.36,10-09-2019,01:00:00,0.00,79,1011.18,23.7,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",27.8,0.00,10.00,0.0,1011.62
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,30.32,10-09-2019,01:00:00,23.70,96,1010.34,24.3,000,25.0,0.00,6.00,0.0,1011.77
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,30.32,10-09-2019,01:00:00,0.00,96,1006.91,24.3,000,25.0,0.00,7.00,0.0,1011.90
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,27.80,10-09-2019,01:00:00,0.00,78,1009.20,22.8,000,27.1,0.00,7.00,0.0,1012.51
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,32.63,10-09-2019,01:00:00,0.00,94,1011.17,25.5,340,26.5,0.00,10.00,1.9,1012.28
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,31.05,10-09-2019,01:00:00,0.01,90,1011.06,24.7,000,26.4,0.01,10.00,0.0,1011.36
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,29.70,10-09-2019,01:00:00,0.00,86,1010.41,23.9,000,26.4,0.00,8.00,0.0,1010.90
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,30.07,10-09-2019,01:00:00,0.00,86,1010.20,24.1,000,26.6,0.00,.00,0.0,1011.62
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,29.41,10-09-2019,01:00:00,2.50,96,1005.71,23.8,000,24.5,0.30,10.00,0.0,1013.84
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,31.33,10-09-2019,01:00:00,23.30,97,1010.48,24.8,000,25.4,0.10,4.00,0.0,1010.77
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,29.33,10-09-2019,01:00:00,84.50,95,1007.74,23.7,000,24.6,1.00,10.00,0.0,1010.91
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,28.56,10-09-2019,01:00:00,10.90,91,1004.36,23.3,000,24.9,0.00,10.00,0.0,1011.38
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,29.74,10-09-2019,01:00:00,0.00,90,1006.04,23.9,000,25.7,0.00,10.00,0.0,1011.68
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,30.48,10-09-2019,01:00:00,19.20,97,1011.38,24.4,000,24.8,9.00,6.00,0.0,1012.66
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,30.84,10-09-2019,01:00:00,15.70,92,1011.12,24.6,300,26.0,0.00,11.00,3.7,1011.56
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,28.64,10-09-2019,01:00:00,0.00,92,999.46,23.3,000,24.8,0.00,8.00,0.0,1011.87
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,31.38,10-09-2019,01:00:00,0.00,88,1010.95,24.8,290,27.0,0.00,8.00,3.7,1011.66
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,29.46,10-09-2019,01:00:00,35.00,91,1009.40,23.8,360,25.4,0.00,8.00,5.6,1011.86
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,29.79,10-09-2019,01:00:00,0.01,94,1010.75,24.0,000,25.0,0.00,10.00,0.0,1011.27
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,28.37,10-09-2019,01:00:00,4.60,92,1006.00,23.2,030,24.5,0.00,8.00,5.6,1011.22
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,30.59,10-09-2019,01:00:00,0.80,89,1010.48,24.4,050,26.3,0.00,7.00,5.6,1010.89
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,30.05,10-09-2019,01:00:00,6.30,95,1008.55,24.1,000,25.0,0.00,8.00,0.0,1011.35
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,30.03,10-09-2019,01:00:00,0.20,89,1009.87,24.1,000,26.0,0.00,10.00,0.0,1010.66
48501,TRAD,ตราด,ตราด,11.76667,102.88333,29.25,10-09-2019,01:00:00,6.20,94,1010.71,23.7,090,24.7,0.00,6.00,7.4,1011.17
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,31.88,10-09-2019,01:00:00,11.20,93,1010.65,25.1,000,26.4,0.00,7.00,0.0,1011.34
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,31.76,10-09-2019,01:00:00,2.20,93,1009.50,25.0,000,26.2,0.00,8.00,0.0,1011.04
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,29.64,10-09-2019,01:00:00,0.01,91,1010.52,23.9,090,25.5,0.01,9.00,1.9,1011.44
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,32.63,10-09-2019,01:00:00,1.40,85,1010.59,25.5,000,28.2,0.00,10.00,0.0,1011.28
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,30.25,10-09-2019,01:00:00,0.00,93,1010.63,24.2,000,25.4,0.00,8.00,0.0,1011.43
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,30.79,10-09-2019,01:00:00,1.30,95,1010.27,24.5,000,25.4,0.00,10.00,0.0,1010.91
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,31.55,10-09-2019,01:00:00,0.40,95,1010.52,24.9,000,25.8,0.00,10.00,0.0,1010.92
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,29.77,10-09-2019,01:00:00,12.00,96,1008.69,24.0,000,24.7,0.00,6.00,0.0,1012.95
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,29.66,10-09-2019,01:00:00,0.80,98,1009.66,23.9,000,24.2,0.00,6.00,0.0,1011.29
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,29.93,10-09-2019,01:00:00,11.30,97,1007.70,24.1,000,24.5,0.00,5.00,0.0,1011.22
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,29.36,10-09-2019,01:00:00,0.00,92,1010.58,23.7,000,25.2,0.00,8.00,0.0,1011.95
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,29.41,10-09-2019,01:00:00,5.50,96,1010.59,23.8,000,24.5,0.00,10.00,0.0,1011.49
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,30.30,10-09-2019,01:00:00,2.20,97,1007.57,24.3,000,24.7,0.00,10.00,0.0,1011.17
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,30.84,10-09-2019,01:00:00,4.80,92,1009.62,24.6,000,26.0,4.80,10.00,0.0,1010.06
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,30.42,10-09-2019,01:00:00,13.00,95,1009.63,24.3,000,25.2,0.00,9.00,0.0,1010.64
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,30.38,10-09-2019,01:00:00,0.00,91,1009.44,24.3,000,25.9,0.00,10.00,0.0,1010.26
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,31.14,10-09-2019,01:00:00,0.00,97,1009.22,24.7,000,25.3,0.00,7.00,0.0,1011.05
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,28.36,10-09-2019,01:00:00,27.60,94,1011.79,23.2,140,24.2,27.60,4.00,5.6,1012.56
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,29.41,10-09-2019,01:00:00,1.60,96,1007.50,23.8,070,24.5,1.60,10.00,3.7,1011.55
48570,SATUN,สตูล,สตูล,6.65000,100.08333,30.87,10-09-2019,01:00:00,40.00,96,1010.40,24.6,000,25.3,0.00,10.00,0.0,1011.09
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,28.53,10-09-2019,01:00:00,15.80,96,1010.26,23.3,000,24.0,15.80,10.00,0.0,1011.39
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,30.22,10-09-2019,01:00:00,10.50,97,1008.81,24.2,000,24.8,7.50,10.00,0.0,1011.76
