WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,LandVisibility,WindDirection,WindSpeed,RelativeHumidity,StationPressure,MeanSeaLevelPressure,VaporPressure,DewPoint,Rainfall24Hr,Rainfall
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,29.5,07-14-2019,22:00:00,10.00,000,0.0,76,991.02,1004.07,31.28,24.8,0.00,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,28.6,07-14-2019,22:00:00,10.00,350,7.4,63,996.22,1005.48,24.75,20.9,0.00,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,31.0,07-14-2019,22:00:00,10.00,240,7.4,63,983.04,1004.38,28.09,23.0,0.00,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,32.0,07-14-2019,22:00:00,10.00,240,5.6,59,986.87,1004.04,28.10,23.0,0.00,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,29.5,07-14-2019,22:00:00,10.00,000,0.0,71,988.26,1003.91,29.33,23.7,0.00,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,30.9,07-14-2019,22:00:00,10.00,000,0.0,63,984.82,1003.39,28.17,23.1,0.00,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,24.2,07-14-2019,22:00:00,6.00,000,0.0,86,955.66,1007.13,25.84,21.6,5.60,0.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,29.0,07-14-2019,22:00:00,8.00,320,7.4,73,1001.71,1005.64,29.19,23.6,0.70,0.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,20.5,07-14-2019,22:00:00,.20,230,29.6,97,912.10,1007.54,23.41,20.0,1.60,0.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,30.3,07-14-2019,22:00:00,8.00,000,0.0,72,988.63,1004.40,31.19,24.7,0.00,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,29.5,07-14-2019,22:00:00,10.00,000,0.0,70,1001.42,1005.41,28.78,23.4,0.01,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,27.7,07-14-2019,22:00:00,8.00,000,0.0,79,996.36,1007.01,29.44,23.8,0.00,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,28.6,07-14-2019,22:00:00,8.00,180,5.6,71,1004.45,1006.37,27.89,22.9,0.00,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,29.7,07-14-2019,22:00:00,10.00,250,7.4,63,984.69,1005.33,26.19,21.9,0.00,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,29.2,07-14-2019,22:00:00,10.00,000,0.0,73,986.81,1004.29,29.57,23.9,0.00,0.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,30.1,07-14-2019,22:00:00,10.00,000,0.0,74,988.32,1004.27,31.64,25.0,0.00,0.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,25.9,07-14-2019,22:00:00,10.00,000,0.0,89,991.77,1005.84,29.84,24.0,40.00,0.40
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,26.0,07-14-2019,22:00:00,8.00,000,0.0,90,991.51,1006.38,30.30,24.3,4.50,4.10
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,30.0,07-14-2019,22:00:00,6.00,000,0.0,77,990.56,1005.06,32.59,25.5,1.60,0.01
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,30.1,07-14-2019,22:00:00,10.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.0,58,1002.65,1005.63,24.81,21.0,0.00,0.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,28.8,07-14-2019,22:00:00,7.00,280,11.1,84,997.60,1005.49,33.28,25.8,0.00,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,29.0,07-14-2019,22:00:00,8.00,230,14.8,68,1005.74,1006.84,27.03,22.4,0.00,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,29.8,07-14-2019,22:00:00,10.00,000,0.0,73,991.05,1005.57,30.47,24.4,0.00,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,20.3,07-14-2019,22:00:00,3.00,290,7.4,98,872.77,1007.49,23.34,20.0,0.80,0.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,29.0,07-14-2019,22:00:00,10.00,000,0.0,83,1000.40,1006.24,33.12,25.8,0.00,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,30.5,07-14-2019,22:00:00,8.00,240,11.1,72,1006.39,1007.18,31.31,24.8,0.00,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,29.2,07-14-2019,22:00:00,10.00,210,9.3,83,1006.54,1006.99,33.83,26.1,0.00,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,25.5,07-14-2019,22:00:00,5.00,000,0.0,92,997.48,1008.85,29.91,24.0,6.30,0.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,29.1,07-14-2019,22:00:00,10.00,300,7.4,64,1006.81,1007.82,25.89,21.7,0.00,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,29.1,07-14-2019,22:00:00,7.00,000,0.0,73,1004.79,1006.60,29.38,23.7,0.00,0.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,29.0,07-14-2019,22:00:00,8.00,220,7.4,64,1006.68,1007.45,25.71,21.6,0.00,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,28.8,07-14-2019,22:00:00,10.00,250,11.1,79,1006.35,1007.05,31.29,24.8,0.40,0.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,30.1,07-14-2019,22:00:00,7.00,240,3.7,74,1005.91,1006.60,31.64,25.0,0.10,0.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,30.3,07-14-2019,22:00:00,10.00,240,7.4,68,985.03,1005.93,29.22,23.7,0.00,0.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,30.3,07-14-2019,22:00:00,7.00,000,0.0,66,988.95,1005.46,28.39,23.2,12.20,0.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,28.7,07-14-2019,22:00:00,6.00,180,5.6,76,989.80,1006.12,29.98,24.1,5.20,0.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,28.6,07-14-2019,22:00:00,10.00,000,0.0,69,984.69,1006.42,26.83,22.2,0.00,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,27.5,07-14-2019,22:00:00,12.00,230,13.0,71,963.56,1006.71,25.91,21.7,0.00,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,29.1,07-14-2019,22:00:00,10.00,220,11.1,70,985.79,1006.19,28.29,23.1,0.00,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,28.9,07-14-2019,22:00:00,8.00,240,9.3,69,986.44,1007.12,27.65,22.7,0.00,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,29.5,07-14-2019,22:00:00,10.00,320,9.3,61,1007.30,1007.74,25.30,21.3,0.00,0.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,28.5,07-14-2019,22:00:00,8.00,000,0.0,81,1005.19,1006.60,31.54,24.9,8.40,0.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,28.5,07-14-2019,22:00:00,8.00,000,0.0,81,1001.74,1006.65,31.54,24.9,0.00,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,29.0,07-14-2019,22:00:00,10.00,000,0.0,66,1004.49,1007.77,26.24,21.9,0.00,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,28.2,07-14-2019,22:00:00,10.00,270,3.7,70,1006.84,1007.94,26.90,22.3,0.00,0.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,29.9,07-14-2019,22:00:00,10.00,000,0.0,76,1007.15,1007.45,32.09,25.2,0.00,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,29.8,07-14-2019,22:00:00,10.00,000,0.0,71,1007.40,1007.89,29.63,23.9,0.00,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,29.9,07-14-2019,22:00:00,10.00,260,20.4,64,1006.06,1007.46,27.09,22.4,0.00,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,28.5,07-14-2019,22:00:00,10.00,000,0.0,77,1000.61,1008.59,29.87,24.0,0.00,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,30.5,07-14-2019,22:00:00,10.00,000,0.0,74,1006.80,1007.08,32.17,25.3,1.30,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,29.5,07-14-2019,22:00:00,10.00,200,5.6,75,1004.39,1007.50,30.72,24.5,0.00,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,29.0,07-14-2019,22:00:00,10.00,000,0.0,78,1000.77,1007.67,31.13,24.7,0.00,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,29.2,07-14-2019,22:00:00,7.00,280,5.6,74,1000.88,1006.44,30.13,24.2,0.00,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,27.5,07-14-2019,22:00:00,10.00,000,0.0,77,1007.14,1008.41,28.26,23.1,0.00,0.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,29.4,07-14-2019,22:00:00,11.00,300,18.5,66,1007.26,1007.69,26.97,22.3,0.00,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,26.8,07-14-2019,22:00:00,8.00,000,0.0,74,996.41,1008.69,26.23,21.9,0.00,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,29.7,07-14-2019,22:00:00,10.00,000,0.0,65,1007.37,1008.08,26.99,22.3,0.00,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,28.8,07-14-2019,22:00:00,10.00,000,0.0,83,1005.15,1007.57,32.71,25.5,0.00,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,30.0,07-14-2019,22:00:00,10.00,230,5.6,78,1006.88,1007.39,33.17,25.8,0.00,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,29.3,07-14-2019,22:00:00,10.00,000,0.0,73,1002.36,1007.48,29.77,24.0,0.00,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,28.9,07-14-2019,22:00:00,7.00,000,0.0,77,1007.15,1007.56,30.65,24.5,0.00,0.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,27.2,07-14-2019,22:00:00,8.00,000,0.0,87,1004.80,1007.57,31.22,24.8,0.00,0.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,29.0,07-14-2019,22:00:00,10.00,350,1.9,67,1006.69,1007.48,26.77,22.2,0.00,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,26.4,07-14-2019,22:00:00,7.00,070,5.6,88,1007.63,1008.09,30.24,24.2,1.60,0.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,28.0,07-14-2019,22:00:00,8.00,000,0.0,75,1008.63,1009.31,28.39,23.2,0.00,0.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,27.2,07-14-2019,22:00:00,6.00,000,0.0,81,1007.75,1009.27,29.31,23.7,0.00,0.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,26.8,07-14-2019,22:00:00,10.00,000,0.0,84,1009.19,1010.11,29.64,23.9,0.60,0.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,29.5,07-14-2019,22:00:00,10.00,000,0.0,69,1008.39,1009.07,28.50,23.2,0.00,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,25.6,07-14-2019,22:00:00,8.00,000,0.0,87,1009.10,1009.90,28.51,23.2,0.00,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,27.5,07-14-2019,22:00:00,10.00,000,0.0,88,1008.65,1009.28,32.36,25.4,0.10,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,27.1,07-14-2019,22:00:00,10.00,000,0.0,87,1009.06,1009.47,31.30,24.8,0.01,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,25.9,07-14-2019,22:00:00,5.00,000,0.0,97,1007.05,1011.29,32.29,25.3,0.00,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,25.6,07-14-2019,22:00:00,8.00,000,0.0,91,1008.42,1010.04,29.82,24.0,0.00,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,26.2,07-14-2019,22:00:00,8.00,000,0.0,88,1005.76,1009.26,29.86,24.0,1.70,0.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,28.2,07-14-2019,22:00:00,8.00,000,0.0,79,1007.78,1009.13,30.12,24.2,0.00,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,26.5,07-14-2019,22:00:00,10.00,000,0.0,90,1008.76,1009.64,31.24,24.8,1.40,0.20
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,27.9,07-14-2019,22:00:00,10.00,000,0.0,80,1006.19,1009.74,30.09,24.1,0.00,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,28.1,07-14-2019,22:00:00,10.00,290,3.7,82,1009.28,1009.71,31.03,24.7,5.00,0.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,30.0,07-14-2019,22:00:00,10.00,290,11.1,68,1007.90,1008.88,28.91,23.5,8.70,0.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,29.5,07-14-2019,22:00:00,10.00,290,27.8,78,1008.93,1009.74,32.13,25.2,0.00,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,27.5,07-14-2019,22:00:00,10.00,000,0.0,84,1007.97,1009.78,30.97,24.6,0.00,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,26.2,07-14-2019,22:00:00,11.00,240,9.3,85,1008.84,1009.60,28.80,23.4,22.40,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,25.0,07-14-2019,22:00:00,10.00,000,0.0,94,1005.88,1009.91,29.79,24.0,2.00,0.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,25.0,07-14-2019,22:00:00,10.00,000,0.0,95,1010.95,1011.64,30.05,24.1,0.40,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,26.0,07-14-2019,22:00:00,10.00,000,0.0,89,1008.49,1009.61,29.76,24.0,1.40,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,24.7,07-14-2019,22:00:00,10.00,000,0.0,95,1007.30,1010.25,29.51,23.8,2.00,0.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,25.2,07-14-2019,22:00:00,8.00,000,0.0,88,1008.53,1009.23,28.06,23.0,20.50,0.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,25.4,07-14-2019,22:00:00,8.00,240,9.3,92,1006.44,1010.60,29.72,23.9,4.80,4.80
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,26.0,07-14-2019,22:00:00,10.00,000,0.0,83,1009.39,1009.98,27.92,22.9,0.50,0.00
