WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,WindSpeed,LandVisibility,VaporPressure,RelativeHumidity,Rainfall24Hr,DewPoint,WindDirection,Rainfall,MeanSeaLevelPressure,StationPressure
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,28.8,07-08-2019,22:00:00,0.0,7.00,31.29,79,0.50,24.8,000,0.00,1009.73,1009.32
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,27.5,07-08-2019,22:00:00,0.0,8.00,33.78,92,0.20,26.1,000,0.00,1010.39,1007.61
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,27.5,07-08-2019,22:00:00,5.6,10.00,28.80,78,0.00,23.4,360,0.00,1010.75,1009.96
48501,TRAD,ตราด,ตราด,11.76667,102.88333,24.1,07-08-2019,22:00:00,9.3,6.00,27.93,93,2.60,22.9,060,1.10,1010.42,1009.95
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,26.4,07-08-2019,22:00:00,0.0,7.00,28.90,84,0.00,23.5,000,0.00,1011.02,1010.34
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,26.4,07-08-2019,22:00:00,0.0,9.00,30.51,89,0.20,24.4,000,0.00,1010.73,1009.20
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,27.0,07-08-2019,22:00:00,0.0,10.00,30.56,86,0.50,24.4,000,0.00,1011.88,1010.96
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,27.7,07-08-2019,22:00:00,0.0,8.00,30.26,81,0.00,24.2,000,0.00,1011.17,1010.48
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,25.0,07-08-2019,22:00:00,0.0,8.00,29.79,94,4.60,24.0,000,0.00,1011.48,1010.67
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,27.4,07-08-2019,22:00:00,0.0,10.00,30.23,83,0.00,24.2,000,0.00,1011.52,1010.88
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,27.2,07-08-2019,22:00:00,0.0,10.00,32.61,90,0.00,25.5,000,0.00,1011.45,1011.04
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,26.2,07-08-2019,22:00:00,0.0,6.00,30.13,89,0.00,24.2,000,0.00,1013.20,1008.96
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,25.3,07-08-2019,22:00:00,0.0,10.00,30.87,96,0.00,24.6,000,0.00,1010.75,1009.13
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,25.5,07-08-2019,22:00:00,0.0,8.00,30.44,93,0.00,24.3,000,0.00,1011.65,1008.15
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,26.0,07-08-2019,22:00:00,0.0,8.00,32.20,96,2.80,25.3,000,0.00,1011.56,1010.19
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,26.2,07-08-2019,22:00:00,0.0,10.00,30.67,90,1.30,24.5,000,0.00,1010.80,1009.91
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,25.5,07-08-2019,22:00:00,0.0,10.00,28.59,88,0.00,23.3,000,0.00,1011.47,1007.87
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,28.7,07-08-2019,22:00:00,0.0,10.00,30.82,78,0.00,24.5,000,0.00,1011.48,1011.05
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,27.9,07-08-2019,22:00:00,0.0,10.00,30.37,81,0.00,24.3,000,0.00,1010.87,1009.88
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,28.5,07-08-2019,22:00:00,11.1,10.00,29.60,76,0.00,23.9,270,0.00,1011.62,1010.81
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,27.3,07-08-2019,22:00:00,0.0,10.00,32.53,90,0.00,25.4,000,0.00,1011.77,1009.95
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,25.0,07-08-2019,22:00:00,5.6,11.00,26.43,83,8.80,22.0,090,0.00,1012.23,1011.46
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,26.6,07-08-2019,22:00:00,5.6,10.00,29.80,86,0.01,24.0,130,0.01,1012.26,1008.24
48570,SATUN,สตูล,สตูล,6.65000,100.08333,25.9,07-08-2019,22:00:00,0.0,10.00,30.92,93,23.80,24.6,000,0.00,1011.87,1011.18
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,25.8,07-08-2019,22:00:00,0.0,10.00,29.66,89,5.80,23.9,000,0.40,1011.53,1010.41
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,27.4,07-08-2019,22:00:00,0.0,10.00,27.82,76,6.40,22.8,000,0.00,1011.94,1009.01
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,24.4,07-08-2019,22:00:00,0.0,6.00,29.49,97,30.70,23.8,000,0.90,1011.63,1010.93
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,28.6,07-08-2019,22:00:00,9.3,7.00,37.29,95,49.40,27.8,150,4.20,1002.88,998.80
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,25.0,07-08-2019,22:00:00,9.3,8.00,26.43,83,0.00,22.0,300,0.00,1011.88,1011.29
