WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,WindSpeed,VaporPressure,WindDirection,AirTemperature,DewPoint,Rainfall,StationPressure,Rainfall24Hr,RelativeHumidity,LandVisibility
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,1004.08,07-17-2019,01:00:00,0.0,28.02,000,27.8,23.0,0.00,989.47,0.00,75,8.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1007.33,07-17-2019,01:00:00,7.4,24.46,220,20.9,20.7,2.20,872.89,2.80,99,.05
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1004.39,07-17-2019,01:00:00,5.6,31.05,180,29.1,24.7,0.00,998.57,0.00,77,10.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1005.35,07-17-2019,01:00:00,5.6,35.05,230,29.5,26.7,0.00,1004.56,0.00,85,8.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1005.26,07-17-2019,01:00:00,11.1,30.87,230,30.0,24.6,0.00,1004.82,0.00,73,10.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1006.48,07-17-2019,01:00:00,0.0,27.87,000,24.8,22.9,0.00,995.10,0.00,89,4.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1005.32,07-17-2019,01:00:00,3.7,28.04,180,28.1,23.0,0.00,1004.32,0.00,74,10.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1004.63,07-17-2019,01:00:00,0.0,28.86,000,28.4,23.5,0.00,1002.82,0.00,75,7.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1004.77,07-17-2019,01:00:00,0.0,26.21,000,28.4,21.9,0.00,1004.01,0.00,68,8.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1005.78,07-17-2019,01:00:00,14.8,28.78,250,28.5,23.4,0.00,1005.08,0.00,74,10.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1005.17,07-17-2019,01:00:00,3.7,32.67,210,29.9,25.5,0.00,1004.48,0.00,77,7.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1004.26,07-17-2019,01:00:00,11.1,30.49,230,29.1,24.4,0.00,983.31,0.00,76,10.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,1004.31,07-17-2019,01:00:00,0.0,27.61,000,28.3,22.7,0.00,987.71,0.00,72,8.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1004.47,07-17-2019,01:00:00,3.7,29.57,180,28.2,23.9,0.00,988.15,0.00,77,6.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,1004.19,07-17-2019,01:00:00,0.0,29.57,000,29.2,23.9,0.00,982.56,0.00,73,10.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1005.14,07-17-2019,01:00:00,7.4,26.32,190,27.0,21.9,0.00,961.99,0.00,74,10.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,1004.22,07-17-2019,01:00:00,0.0,29.03,000,28.2,23.5,0.00,983.80,0.00,76,8.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1005.66,07-17-2019,01:00:00,7.4,32.56,230,27.6,25.5,0.00,984.91,0.00,88,8.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1005.60,07-17-2019,01:00:00,9.3,27.83,250,29.0,22.9,0.00,1005.17,0.00,70,10.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1005.15,07-17-2019,01:00:00,0.0,32.12,000,27.8,25.2,0.00,1003.74,0.00,86,6.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1005.07,07-17-2019,01:00:00,0.0,32.39,000,28.5,25.4,0.00,1000.17,0.00,83,8.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1005.63,07-17-2019,01:00:00,0.0,27.73,000,27.5,22.8,0.00,1002.35,0.00,76,10.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1005.18,07-17-2019,01:00:00,3.7,27.70,240,26.9,22.8,0.00,1004.08,0.00,78,10.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1005.52,07-17-2019,01:00:00,0.0,28.78,000,29.5,23.4,0.00,1005.22,0.00,70,10.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1005.41,07-17-2019,01:00:00,0.0,29.57,000,29.2,23.9,0.00,1004.93,0.00,73,10.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1005.58,07-17-2019,01:00:00,11.1,28.59,210,29.4,23.3,0.00,1004.19,0.00,70,10.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1006.73,07-17-2019,01:00:00,11.1,30.97,230,27.5,24.6,0.00,998.74,0.00,84,10.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1005.32,07-17-2019,01:00:00,0.0,31.93,000,30.1,25.1,0.00,1005.04,0.00,75,10.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1005.28,07-17-2019,01:00:00,7.4,29.47,330,30.0,23.8,0.00,1002.19,0.00,69,10.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1005.74,07-17-2019,01:00:00,11.1,29.99,230,29.7,24.1,0.00,998.87,0.00,72,10.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1006.70,07-17-2019,01:00:00,0.0,31.54,000,28.5,24.9,0.00,1001.13,0.00,81,9.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1006.23,07-17-2019,01:00:00,3.7,28.39,230,26.7,23.2,0.00,1004.96,0.00,81,10.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1005.77,07-17-2019,01:00:00,18.5,27.36,270,28.6,22.6,0.00,1005.34,0.00,70,11.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1006.32,07-17-2019,01:00:00,0.0,28.21,000,26.6,23.1,0.00,994.06,0.00,81,10.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1006.21,07-17-2019,01:00:00,5.6,28.78,240,28.5,23.4,0.00,1005.51,0.00,74,10.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1005.39,07-17-2019,01:00:00,11.1,31.53,180,29.2,24.9,0.00,1002.98,0.00,78,10.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1005.95,07-17-2019,01:00:00,18.5,31.72,290,30.0,25.0,0.00,1005.43,0.00,75,10.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1005.80,07-17-2019,01:00:00,1.9,30.23,270,28.4,24.2,0.00,1000.68,0.00,78,10.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1005.98,07-17-2019,01:00:00,5.6,33.00,170,29.5,25.7,0.01,1005.57,0.01,80,6.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1006.20,07-17-2019,01:00:00,3.7,30.56,230,28.0,24.4,0.00,1003.44,0.00,81,8.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1006.84,07-17-2019,01:00:00,5.6,28.14,270,27.0,23.0,0.00,1006.05,0.00,79,10.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1006.46,07-17-2019,01:00:00,3.7,32.88,260,28.6,25.6,0.00,1006.00,1.00,84,7.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1007.48,07-17-2019,01:00:00,0.0,30.16,000,26.5,24.2,0.00,1006.80,0.01,87,9.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1007.69,07-17-2019,01:00:00,0.0,30.43,000,26.5,24.3,0.00,1006.16,0.20,88,8.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1008.19,07-17-2019,01:00:00,7.4,30.43,190,26.5,24.3,0.00,1007.27,39.90,88,10.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1008.13,07-17-2019,01:00:00,0.0,28.88,000,27.4,23.5,0.00,1007.44,0.00,79,10.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1008.31,07-17-2019,01:00:00,5.6,29.57,190,24.3,23.9,0.00,1007.51,13.20,97,7.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1006.88,07-17-2019,01:00:00,0.0,29.00,000,25.0,23.5,0.00,1006.24,13.70,92,10.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1007.44,07-17-2019,01:00:00,0.0,31.06,000,25.4,24.7,0.00,1007.04,10.10,96,10.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1009.86,07-17-2019,01:00:00,0.0,27.70,000,25.0,22.8,0.00,1005.61,15.40,88,6.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1008.78,07-17-2019,01:00:00,0.0,28.95,000,23.8,23.5,0.00,1007.15,4.60,98,10.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1009.12,07-17-2019,01:00:00,0.0,29.13,000,24.2,23.6,0.00,1005.60,16.90,97,6.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1007.99,07-17-2019,01:00:00,0.0,27.20,000,25.3,22.5,0.00,1006.63,0.40,84,8.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1008.76,07-17-2019,01:00:00,0.0,30.73,000,24.5,24.5,3.00,1007.86,68.60,100,10.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1008.53,07-17-2019,01:00:00,0.0,28.96,000,24.1,23.5,0.00,1004.93,35.00,97,10.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1008.37,07-17-2019,01:00:00,3.7,28.98,290,24.7,23.5,3.40,1007.93,80.00,93,9.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1008.85,07-17-2019,01:00:00,0.0,31.17,000,25.6,24.7,1.00,1007.85,40.40,95,7.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1007.43,07-17-2019,01:00:00,13.0,32.59,280,26.2,25.5,0.40,1006.61,100.00,96,10.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1008.49,07-17-2019,01:00:00,0.0,28.43,000,23.8,23.2,0.20,1006.66,29.90,97,10.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1008.10,07-17-2019,01:00:00,5.6,27.11,230,25.1,22.4,0.00,1007.34,0.20,85,10.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1007.93,07-17-2019,01:00:00,9.3,27.17,190,24.1,22.5,0.00,1003.90,23.80,91,10.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1009.22,07-17-2019,01:00:00,0.0,28.53,000,24.0,23.3,0.50,1008.53,43.30,96,10.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1008.03,07-17-2019,01:00:00,0.0,28.31,000,25.2,23.1,0.00,1006.90,0.60,88,10.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1008.41,07-17-2019,01:00:00,0.0,29.15,000,24.5,23.6,0.00,1005.47,0.01,95,10.00
