WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,MeanSeaLevelPressure,Rainfall24Hr,DewPoint,VaporPressure,AirTemperature,Rainfall,LandVisibility,WindDirection,StationPressure,WindSpeed,RelativeHumidity
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,08-11-2019,16:00:00,1002.82,0.01,25.0,31.77,29.6,0.00,10.00,200,1002.12,31.5,77
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,08-11-2019,16:00:00,1001.80,0.20,24.9,31.52,34.5,0.00,7.00,240,1001.12,7.4,58
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,08-11-2019,16:00:00,1001.02,0.00,22.7,27.53,34.4,0.00,10.00,220,980.49,13.0,51
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,08-11-2019,16:00:00,1001.54,0.00,24.9,31.52,32.0,0.00,14.00,210,985.19,5.6,66
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,08-11-2019,16:00:00,1001.76,0.00,25.1,31.87,33.0,0.00,10.00,210,985.74,5.6,63
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,08-11-2019,16:00:00,1001.62,0.00,24.1,29.96,31.8,0.00,10.00,250,980.22,3.7,64
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,08-11-2019,16:00:00,1002.06,3.70,24.4,30.50,27.4,1.20,10.00,060,959.09,7.4,84
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,08-11-2019,16:00:00,1001.25,1.00,22.8,27.68,31.5,0.00,10.00,220,981.11,16.7,60
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,08-11-2019,16:00:00,1003.15,0.60,25.4,32.48,31.9,0.00,10.00,180,982.74,16.7,69
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,08-11-2019,16:00:00,1002.96,1.00,24.3,30.42,28.5,0.10,10.00,200,1002.53,25.9,78
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,08-11-2019,16:00:00,1002.23,8.90,26.9,35.46,29.0,8.90,10.00,000,1000.83,0.0,89
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,08-11-2019,16:00:00,1004.07,0.80,26.6,34.73,28.1,0.80,8.00,120,999.17,3.7,91
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,08-11-2019,16:00:00,1001.10,0.20,25.6,32.77,31.9,0.20,11.00,340,997.88,5.6,69
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,08-11-2019,16:00:00,1001.58,0.00,25.3,32.16,33.0,0.00,10.00,000,1000.50,0.0,64
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,08-11-2019,16:00:00,1002.52,0.10,25.7,33.05,30.5,0.00,10.00,210,1002.23,18.5,76
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,08-11-2019,16:00:00,1002.23,0.00,25.6,32.75,30.5,0.00,10.00,220,1001.55,16.7,75
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,08-11-2019,16:00:00,1002.55,0.00,25.6,32.75,30.5,0.00,10.00,140,1002.07,5.6,75
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,08-11-2019,16:00:00,1002.26,0.01,25.1,31.85,31.6,0.00,10.00,190,1000.88,25.9,69
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,08-11-2019,16:00:00,1002.97,0.00,25.4,32.38,29.2,0.00,10.00,210,1001.31,37.0,80
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,08-11-2019,16:00:00,1004.00,0.20,25.4,32.46,29.1,0.20,10.00,180,996.08,11.1,81
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,08-11-2019,16:00:00,1002.35,0.00,25.4,32.34,31.0,0.00,10.00,000,1002.07,0.0,72
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,08-11-2019,16:00:00,1002.84,0.00,24.7,31.15,30.0,0.00,10.00,250,999.75,7.4,73
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,08-11-2019,16:00:00,1003.64,0.20,24.8,31.31,30.5,0.00,10.00,240,996.80,9.3,72
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,08-11-2019,16:00:00,1003.13,3.60,26.5,34.58,29.0,2.70,7.00,180,997.59,3.7,86
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,08-11-2019,16:00:00,1003.08,0.00,25.0,31.72,30.0,0.00,10.00,230,993.90,25.9,75
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,08-11-2019,16:00:00,1003.06,1.30,25.8,33.17,30.7,0.40,14.00,150,1001.81,14.8,75
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,08-11-2019,16:00:00,1003.12,17.10,26.2,33.99,27.6,16.70,11.00,170,1002.69,9.3,92
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,08-11-2019,16:00:00,1003.77,7.30,24.9,31.52,26.5,5.70,7.00,180,991.53,7.4,91
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,08-11-2019,16:00:00,1003.56,11.60,24.4,30.54,25.7,9.80,9.00,220,1002.84,11.1,93
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,08-11-2019,16:00:00,1004.05,0.01,24.4,30.49,31.5,0.00,10.00,180,1001.65,18.5,66
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,08-11-2019,16:00:00,1003.90,0.01,25.3,32.30,30.0,0.00,10.00,250,1003.39,14.8,76
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,08-11-2019,16:00:00,1003.80,0.00,24.3,30.31,30.0,0.00,10.00,190,998.72,5.6,71
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,08-11-2019,16:00:00,1004.11,1.40,26.1,33.74,28.6,0.00,8.00,210,1003.70,7.4,86
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,08-11-2019,16:00:00,1004.38,9.30,26.2,34.03,27.2,0.00,8.00,200,1001.62,7.4,94
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,08-11-2019,16:00:00,1004.36,13.50,23.6,29.11,25.5,6.20,8.00,000,1003.57,0.0,89
48501,TRAD,ตราด,ตราด,11.76667,102.88333,08-11-2019,16:00:00,1005.22,65.40,25.5,32.71,26.4,7.00,7.00,000,1004.76,0.0,95
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,08-11-2019,16:00:00,1005.09,32.60,24.6,30.95,28.2,5.20,7.00,000,1004.41,0.0,81
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,08-11-2019,16:00:00,1006.40,23.40,24.2,30.15,28.5,0.20,9.00,000,1004.88,0.0,78
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,08-11-2019,16:00:00,1006.14,69.90,23.9,29.62,25.2,14.70,7.00,190,1005.22,9.3,92
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,08-11-2019,16:00:00,1005.35,7.40,25.5,32.54,29.7,0.00,10.00,000,1004.67,0.0,78
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,08-11-2019,16:00:00,1005.73,7.40,25.8,33.12,28.3,0.01,10.00,260,1004.94,5.6,86
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,08-11-2019,16:00:00,1004.88,0.00,24.7,31.06,30.8,0.00,10.00,360,1004.26,9.3,70
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,08-11-2019,16:00:00,1005.28,7.30,25.4,32.53,27.3,7.30,10.00,230,1004.88,7.4,90
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,08-11-2019,16:00:00,1007.26,0.01,23.9,29.74,29.0,0.00,5.00,210,1003.08,14.8,74
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,08-11-2019,16:00:00,1006.02,17.30,24.2,30.23,25.1,8.20,10.00,000,1004.40,0.0,95
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,08-11-2019,16:00:00,1006.78,17.50,24.8,31.24,26.5,4.10,8.00,000,1003.30,0.0,90
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,08-11-2019,16:00:00,1006.04,8.90,23.6,29.06,32.2,0.00,10.00,230,1004.71,14.8,60
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,08-11-2019,16:00:00,1006.18,18.10,26.3,34.19,27.0,1.20,8.00,240,1005.30,14.8,96
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,08-11-2019,16:00:00,1006.15,20.00,24.5,30.78,26.4,4.80,10.00,290,1002.59,7.4,89
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,08-11-2019,16:00:00,1005.41,2.20,25.2,32.13,29.5,0.00,10.00,270,1004.98,9.3,78
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,08-11-2019,16:00:00,1006.40,17.80,25.1,31.77,27.2,12.60,7.00,230,1005.41,9.3,88
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,08-11-2019,16:00:00,1005.94,1.80,25.5,32.59,30.0,0.00,10.00,260,1005.13,22.2,77
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,08-11-2019,16:00:00,1005.61,20.40,23.6,29.15,31.4,0.00,14.00,270,1003.83,14.8,63
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,08-11-2019,16:00:00,1005.22,12.50,21.9,26.26,33.9,0.00,12.00,230,1004.48,7.4,50
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,08-11-2019,16:00:00,1005.34,13.60,23.0,28.02,32.1,0.00,10.00,240,1001.42,13.0,59
48570,SATUN,สตูล,สตูล,6.65000,100.08333,08-11-2019,16:00:00,1005.46,38.30,23.0,28.00,32.8,0.00,10.00,270,1004.80,11.1,56
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,08-11-2019,16:00:00,1005.04,11.40,23.8,29.42,32.8,0.00,10.00,240,1003.95,11.1,59
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,08-11-2019,16:00:00,1005.61,30.60,23.4,28.85,32.8,0.00,12.00,300,1002.75,11.1,58
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,08-11-2019,16:00:00,1005.22,12.20,25.9,33.50,33.2,0.00,10.00,060,1004.55,11.1,66
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,08-11-2019,16:00:00,1005.17,3.40,23.4,28.72,34.0,0.00,9.00,250,1001.15,9.3,54
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,08-11-2019,16:00:00,1005.84,0.20,25.0,31.65,32.2,0.00,12.00,050,1005.26,16.7,66
