WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,AirTemperature,Rainfall24Hr,MeanSeaLevelPressure,WindSpeed,StationPressure,Rainfall,VaporPressure,DewPoint,RelativeHumidity,LandVisibility
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,240,08-07-2019,16:00:00,32.7,3.30,1000.54,5.6,984.95,3.30,33.91,26.1,69,10.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,300,08-07-2019,16:00:00,32.3,4.10,1003.81,3.7,999.85,0.00,30.69,24.5,63,12.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,000,08-07-2019,16:00:00,32.1,0.30,1004.38,0.0,993.91,0.20,29.99,24.1,63,10.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,090,08-07-2019,16:00:00,31.0,0.01,1004.44,5.6,1002.54,0.01,33.81,26.1,75,10.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,250,08-07-2019,16:00:00,33.3,0.00,1002.73,22.2,982.39,0.00,26.20,21.9,51,10.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,300,08-07-2019,16:00:00,34.2,1.20,1000.33,20.4,983.20,0.00,27.70,22.8,51,10.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,290,08-07-2019,16:00:00,35.6,3.80,999.91,14.8,984.30,0.00,27.11,22.4,47,10.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,320,08-07-2019,16:00:00,32.8,1.00,1001.19,9.3,987.50,0.01,29.99,24.1,60,10.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,220,08-07-2019,16:00:00,33.7,0.00,1000.97,3.7,986.55,0.00,32.78,25.6,63,10.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,280,08-07-2019,16:00:00,33.1,2.60,1002.20,14.8,987.89,0.00,31.20,24.7,62,10.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",08-07-2019,16:00:00,32.8,0.10,1003.67,0.0,1000.72,0.00,31.74,25.0,64,10.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,220,08-07-2019,16:00:00,33.0,0.00,1002.72,7.4,994.95,0.00,27.84,22.9,55,10.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,230,08-07-2019,16:00:00,30.9,0.20,1004.05,9.3,1002.96,0.00,31.56,24.9,71,8.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,100,08-07-2019,16:00:00,33.9,0.00,1004.57,3.7,990.25,0.00,27.94,22.9,53,9.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,290,08-07-2019,16:00:00,20.4,2.80,1005.24,14.8,870.87,0.20,23.49,20.1,98,.05
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,240,08-07-2019,16:00:00,33.0,0.00,1003.39,7.4,997.65,0.00,30.69,24.5,61,10.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,270,08-07-2019,16:00:00,32.7,0.40,1004.32,11.1,1003.54,0.00,29.50,23.8,60,9.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,230,08-07-2019,16:00:00,30.0,24.10,1004.48,11.1,1004.04,0.00,31.72,25.0,75,10.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,000,08-07-2019,16:00:00,27.0,23.70,1006.49,0.0,995.19,0.60,31.38,24.8,88,5.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,250,08-07-2019,16:00:00,31.2,14.70,1004.63,9.3,1003.64,0.00,28.20,23.1,62,12.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,180,08-07-2019,16:00:00,31.2,0.90,1004.23,3.7,1002.44,0.00,31.31,24.8,69,7.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,000,08-07-2019,16:00:00,30.5,2.70,1004.58,0.0,1003.83,0.00,28.78,23.4,66,8.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,230,08-07-2019,16:00:00,30.5,26.20,1004.69,14.8,1003.99,0.01,31.03,24.7,71,10.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,270,08-07-2019,16:00:00,31.4,0.10,1004.02,7.4,1003.33,0.00,30.57,24.4,67,7.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,290,08-07-2019,16:00:00,33.6,0.00,1002.55,13.0,981.94,0.00,27.34,22.6,53,12.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,270,08-07-2019,16:00:00,34.3,0.20,1001.45,7.4,985.22,0.00,27.05,22.4,50,10.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,280,08-07-2019,16:00:00,33.8,0.90,1002.28,5.6,986.29,0.00,28.59,23.3,54,14.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,310,08-07-2019,16:00:00,33.8,0.00,1002.73,22.2,981.45,0.00,24.43,20.7,46,10.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,230,08-07-2019,16:00:00,27.7,0.20,1004.13,14.8,961.11,0.20,27.83,22.9,75,12.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,250,08-07-2019,16:00:00,34.5,0.00,1001.49,14.8,981.54,0.00,24.67,20.9,45,10.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,280,08-07-2019,16:00:00,33.9,0.00,1002.88,13.0,982.61,0.00,30.24,24.2,57,10.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,300,08-07-2019,16:00:00,31.0,0.60,1004.77,14.8,1004.34,0.00,27.00,22.4,60,10.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,000,08-07-2019,16:00:00,30.5,3.20,1004.06,0.0,1002.67,0.00,32.75,25.6,75,10.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,300,08-07-2019,16:00:00,30.5,0.30,1004.18,3.7,999.32,0.00,31.60,25.0,72,8.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,270,08-07-2019,16:00:00,31.1,1.60,1004.73,5.6,1001.49,0.00,30.82,24.5,68,12.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,270,08-07-2019,16:00:00,31.0,4.90,1004.80,3.7,1003.71,0.00,30.90,24.6,69,10.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,000,08-07-2019,16:00:00,30.4,19.00,1004.60,0.0,1004.30,0.01,32.55,25.5,75,9.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,220,08-07-2019,16:00:00,31.6,13.90,1005.59,5.6,1004.92,0.00,32.14,25.2,69,10.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,150,08-07-2019,16:00:00,30.8,15.90,1004.84,3.7,1004.36,0.00,32.51,25.4,73,10.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,270,08-07-2019,16:00:00,31.8,5.60,1004.66,25.9,1003.28,0.01,28.82,23.4,61,10.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,210,08-07-2019,16:00:00,28.8,6.00,1004.52,14.8,1002.86,0.00,28.54,23.3,72,10.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,000,08-07-2019,16:00:00,29.0,14.50,1006.12,0.0,998.18,0.01,30.29,24.3,76,10.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,000,08-07-2019,16:00:00,32.8,19.90,1004.78,0.0,1004.50,0.00,29.42,23.8,59,10.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,200,08-07-2019,16:00:00,29.2,5.00,1004.50,5.6,1001.40,0.00,29.57,23.9,73,10.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,000,08-07-2019,16:00:00,29.0,5.00,1004.97,0.0,998.09,0.00,29.74,23.9,74,10.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,280,08-07-2019,16:00:00,31.8,0.00,1003.62,24.1,998.13,0.00,30.24,24.2,64,8.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,260,08-07-2019,16:00:00,29.7,10.90,1005.90,11.1,996.68,0.00,30.55,24.4,73,12.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,270,08-07-2019,16:00:00,30.5,0.10,1006.04,7.4,1004.79,0.00,29.06,23.6,67,14.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,320,08-07-2019,16:00:00,31.1,1.20,1004.49,25.9,1004.06,0.00,27.46,22.6,61,11.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,000,08-07-2019,16:00:00,28.9,16.80,1005.20,0.0,993.04,0.00,29.82,24.0,75,9.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,260,08-07-2019,16:00:00,30.7,12.40,1004.86,5.6,1004.16,0.00,32.01,25.2,72,10.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,260,08-07-2019,16:00:00,31.0,10.30,1005.10,7.4,1002.71,0.00,27.27,22.5,61,10.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,300,08-07-2019,16:00:00,29.2,6.50,1005.00,9.3,1004.49,0.00,31.53,24.9,78,10.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,270,08-07-2019,16:00:00,30.1,6.30,1004.96,9.3,999.86,0.00,26.66,22.1,62,14.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,000,08-07-2019,16:00:00,29.1,13.60,1005.20,0.0,1004.79,0.00,31.05,24.7,77,8.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,240,08-07-2019,16:00:00,29.0,26.30,1005.43,3.7,1002.69,0.00,31.69,25.0,79,8.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,270,08-07-2019,16:00:00,29.7,23.70,1004.88,9.3,1004.10,0.00,33.41,25.9,80,10.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,330,08-07-2019,16:00:00,28.0,67.00,1005.05,5.6,1004.60,0.00,32.52,25.4,86,7.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,270,08-07-2019,16:00:00,30.5,21.50,1005.62,7.4,1004.95,0.00,28.50,23.2,65,7.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,290,08-07-2019,16:00:00,30.2,1.60,1005.21,1.9,1003.70,0.00,31.27,24.8,73,8.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,250,08-07-2019,16:00:00,29.6,1.30,1006.26,9.3,1005.35,0.00,31.20,24.7,75,10.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,300,08-07-2019,16:00:00,31.5,0.00,1005.72,7.4,1005.04,0.00,31.35,24.8,68,10.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,280,08-07-2019,16:00:00,31.5,0.00,1006.21,7.4,1005.42,0.00,30.20,24.2,65,10.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,280,08-07-2019,16:00:00,32.5,0.00,1005.15,5.6,1004.53,0.00,28.81,23.4,59,10.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,000,08-07-2019,16:00:00,33.1,0.00,1005.28,0.0,1004.89,0.00,30.61,24.4,61,10.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,240,08-07-2019,16:00:00,32.2,0.00,1007.64,9.3,1003.50,0.00,27.11,22.4,56,6.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,270,08-07-2019,16:00:00,31.9,0.00,1006.03,11.1,1004.45,0.00,25.99,21.7,55,10.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,220,08-07-2019,16:00:00,32.7,0.00,1006.00,7.4,1002.59,0.00,29.21,23.7,59,8.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,270,08-07-2019,16:00:00,33.0,0.00,1005.24,18.5,1003.91,0.00,25.08,21.1,50,10.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,270,08-07-2019,16:00:00,31.0,0.00,1006.50,5.6,1005.63,0.00,30.90,24.6,69,10.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,240,08-07-2019,16:00:00,31.6,0.00,1006.31,5.6,1002.81,0.00,26.51,22.0,57,10.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,280,08-07-2019,16:00:00,32.3,0.00,1006.64,9.3,1006.21,0.00,31.27,24.8,65,10.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,000,08-07-2019,16:00:00,30.8,0.00,1006.04,0.0,1005.07,0.00,30.21,24.2,68,10.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,270,08-07-2019,16:00:00,30.6,0.00,1006.60,16.7,1005.80,0.00,32.09,25.2,73,10.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,250,08-07-2019,16:00:00,32.7,0.00,1006.04,11.1,1004.26,0.00,28.65,23.3,58,12.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,260,08-07-2019,16:00:00,33.1,0.00,1005.48,18.5,1004.74,0.00,23.66,20.2,47,10.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,270,08-07-2019,16:00:00,32.6,0.00,1005.89,18.5,1001.97,0.00,22.24,19.2,45,10.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,240,08-07-2019,16:00:00,31.5,0.00,1006.15,9.3,1005.48,0.00,25.78,21.6,56,10.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,240,08-07-2019,16:00:00,32.8,0.00,1006.40,14.8,1005.31,0.00,22.86,19.6,46,12.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,300,08-07-2019,16:00:00,33.5,0.00,1006.11,18.5,1003.26,0.00,24.67,20.9,48,10.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,230,08-07-2019,16:00:00,33.0,0.00,1004.61,9.3,1003.94,0.00,30.69,24.5,61,10.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,310,08-07-2019,16:00:00,33.0,0.00,1005.74,5.6,1001.70,0.00,27.84,22.9,55,7.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,000,08-07-2019,16:00:00,32.5,0.00,1006.44,0.0,1005.86,0.00,28.25,23.1,58,9.00
