WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,MaximumTemperature,Rainfall24Hr,RelativeHumidity,Rainfall,DewPoint,WindDirection,VaporPressure,WindSpeed,MeanSeaLevelPressure,StationPressure,AirTemperature
48376,TAK,ตาก,ตาก,16.87833,99.14333,8.00,07-09-2019,19:00:00,33.8,0.00,65,0.00,22.7,280,27.55,13.0,1007.20,992.95,30.0
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,10.00,07-09-2019,19:00:00,34.8,0.20,71,0.00,22.9,000,28.00,0.0,1006.64,990.37,28.8
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,10.00,07-09-2019,19:00:00,34.0,0.00,71,0.00,25.4,000,32.47,0.0,1005.39,1000.24,31.2
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,12.00,07-09-2019,19:00:00,34.9,1.50,65,0.00,23.8,000,29.52,0.0,1003.93,990.96,31.3
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,11.00,07-09-2019,19:00:00,34.4,0.00,64,0.00,24.3,270,30.44,1.9,1005.73,996.57,31.9
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,10.00,07-09-2019,19:00:00,35.2,5.00,63,0.00,23.2,240,28.37,3.7,1004.76,983.41,31.0
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,12.00,07-09-2019,19:00:00,36.5,0.00,60,0.00,22.8,230,27.68,14.8,1005.74,988.52,31.5
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,10.00,07-09-2019,19:00:00,34.4,0.00,69,0.00,23.6,170,29.19,3.7,1005.53,989.88,30.0
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,10.00,07-09-2019,19:00:00,35.3,0.00,60,0.00,22.8,000,27.68,0.0,1003.75,985.20,31.5
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,8.00,07-09-2019,19:00:00,30.5,5.20,76,0.00,21.5,000,25.61,0.0,1009.12,957.85,26.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,10.00,07-09-2019,19:00:00,34.0,0.01,78,0.00,26.9,000,35.45,0.0,1005.17,1001.28,31.2
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,.50,07-09-2019,19:00:00,25.6,3.40,95,0.10,21.2,230,25.21,7.4,1007.57,912.58,22.0
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,8.00,07-09-2019,19:00:00,35.8,3.50,78,0.00,24.4,000,30.62,0.0,1004.86,988.99,28.6
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,12.00,07-09-2019,19:00:00,35.5,0.01,83,0.01,25.5,210,32.71,5.6,1006.00,1001.99,28.8
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,8.00,07-09-2019,19:00:00,34.3,0.00,61,0.00,21.9,000,26.31,0.0,1006.57,996.01,30.2
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,10.00,07-09-2019,19:00:00,35.0,0.00,63,0.00,22.5,180,27.22,9.3,1006.36,1004.45,30.4
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,10.00,07-09-2019,19:00:00,34.4,0.00,61,0.00,22.3,250,26.89,11.1,1005.14,984.58,30.8
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,10.00,07-09-2019,19:00:00,35.7,0.00,67,0.00,24.1,340,30.05,3.7,1004.59,987.21,31.0
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,10.00,07-09-2019,19:00:00,36.2,0.00,67,0.00,24.7,320,31.06,7.4,1004.29,988.41,31.5
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,10.00,07-09-2019,19:00:00,34.8,2.80,61,0.00,23.5,240,29.02,3.7,1005.50,991.71,31.9
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,10.00,07-09-2019,19:00:00,35.0,6.60,73,0.00,25.1,000,31.88,0.0,1006.00,991.36,30.5
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,6.00,07-09-2019,19:00:00,34.7,2.30,90,2.30,25.8,000,33.21,0.0,1006.79,992.15,27.5
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,10.00,07-09-2019,19:00:00,36.4,0.00,61,0.00,22.9,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",27.93,0.0,1005.54,1002.57,31.2
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,10.00,07-09-2019,19:00:00,33.7,3.40,78,0.00,25.8,000,33.29,0.0,1005.50,997.64,30.2
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,8.00,07-09-2019,19:00:00,34.3,0.00,63,0.00,23.4,240,28.76,7.4,1006.34,1005.24,31.2
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,8.00,07-09-2019,19:00:00,34.8,0.80,77,0.00,23.1,000,28.26,0.0,1006.22,991.57,27.5
48417,NAKORNNAYOK,นครนายก,นครนายก,{'@attributes': {'Unit': 'decimal degree'}},{'@attributes': {'Unit': 'decimal degree'}},8.00,07-09-2019,19:00:00,23.8,1.20,97,0.00,20.5,200,24.15,3.7,1007.04,872.67,21.0
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,10.00,07-09-2019,19:00:00,35.9,0.00,61,0.00,23.3,210,28.63,3.7,1005.95,1000.16,31.7
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,.50,07-09-2019,19:00:00,36.3,4.60,92,4.60,27.1,180,35.87,18.5,1007.20,1006.40,28.5
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,10.00,07-09-2019,19:00:00,32.2,0.00,75,0.00,25.0,210,31.72,14.8,1006.54,1006.10,30.0
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,5.00,07-09-2019,19:00:00,29.5,14.00,88,0.00,25.4,000,32.36,0.0,1008.18,996.88,27.5
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,12.00,07-09-2019,19:00:00,35.9,0.00,59,0.00,22.5,270,27.32,3.7,1006.95,1005.95,31.6
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,8.00,07-09-2019,19:00:00,34.1,1.80,66,0.00,23.9,250,29.56,9.3,1006.29,1004.49,30.9
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,6.00,07-09-2019,19:00:00,34.8,0.00,57,0.00,21.5,230,25.65,7.4,1006.99,1006.24,31.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,10.00,07-09-2019,19:00:00,32.7,5.20,73,0.00,24.3,190,30.35,18.5,1007.16,1006.46,29.6
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,7.00,07-09-2019,19:00:00,35.4,5.60,78,0.00,25.9,000,33.38,0.0,1006.35,1005.66,30.1
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,10.00,07-09-2019,19:00:00,35.5,0.00,60,0.00,23.3,230,28.66,3.7,1005.77,984.98,32.0
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,8.00,07-09-2019,19:00:00,35.4,6.50,89,6.50,24.2,000,30.13,0.0,1006.48,989.73,26.2
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,8.00,07-09-2019,19:00:00,36.3,10.60,90,10.60,24.3,180,30.30,5.6,1006.62,990.14,26.0
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,10.00,07-09-2019,19:00:00,35.3,0.00,68,0.00,24.2,000,30.21,0.0,1006.10,984.54,30.8
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,11.00,07-09-2019,19:00:00,31.1,0.00,70,0.00,22.3,220,26.99,5.6,1006.34,963.33,28.4
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,10.00,07-09-2019,19:00:00,35.5,0.00,65,0.00,23.2,000,28.50,0.0,1005.79,985.49,30.5
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,9.00,07-09-2019,19:00:00,35.0,0.01,80,0.00,24.8,190,31.38,20.4,1007.20,986.50,28.7
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,10.00,07-09-2019,19:00:00,33.3,0.00,76,0.00,25.7,240,33.05,11.1,1007.45,1007.03,30.5
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,8.00,07-09-2019,19:00:00,34.0,1.30,82,0.00,25.3,000,32.22,0.0,1006.72,1005.31,28.7
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,6.00,07-09-2019,19:00:00,34.0,42.10,93,26.90,25.2,000,32.07,0.0,1007.49,1002.55,26.5
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,12.00,07-09-2019,19:00:00,35.0,0.00,61,0.00,22.2,220,26.68,7.4,1007.29,1004.03,30.4
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,10.00,07-09-2019,19:00:00,35.2,0.00,62,0.00,22.3,000,26.87,0.0,1007.34,1006.25,30.5
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,10.00,07-09-2019,19:00:00,33.6,0.00,72,0.00,24.8,220,31.31,7.4,1007.75,1007.45,30.5
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,10.00,07-09-2019,19:00:00,33.4,5.40,80,0.00,26.1,220,33.75,9.3,1007.49,1006.81,30.0
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,10.00,07-09-2019,19:00:00,33.4,6.20,73,0.00,24.9,120,31.48,3.7,1007.36,1006.88,30.3
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,10.00,07-09-2019,19:00:00,33.9,0.00,68,0.00,23.9,280,29.61,18.5,1007.22,1005.83,30.5
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,10.00,07-09-2019,19:00:00,31.4,0.00,75,0.00,25.1,190,31.93,29.6,1007.43,1005.77,30.1
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,10.00,07-09-2019,19:00:00,33.7,0.00,79,0.00,25.3,180,32.30,3.7,1008.25,1000.30,29.3
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,10.00,07-09-2019,19:00:00,34.3,0.00,66,0.00,24.4,000,30.49,0.0,1006.55,1006.27,31.5
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,10.00,07-09-2019,19:00:00,32.0,0.00,78,0.00,24.7,000,31.13,0.0,1007.32,1004.21,29.0
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,10.00,07-09-2019,19:00:00,32.1,0.00,75,0.00,24.6,240,31.00,5.6,1007.53,1000.64,29.5
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,7.00,07-09-2019,19:00:00,35.0,0.00,80,0.00,24.3,000,30.40,0.0,1007.18,1001.60,28.2
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,10.00,07-09-2019,19:00:00,32.3,0.00,75,0.00,24.5,240,30.72,9.3,1007.78,998.54,29.5
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,10.00,07-09-2019,19:00:00,35.0,0.00,67,0.00,22.3,230,26.95,3.7,1008.14,1006.88,29.1
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,11.00,07-09-2019,19:00:00,36.1,0.00,73,0.00,25.0,140,31.68,5.6,1007.47,1007.04,30.4
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,10.00,07-09-2019,19:00:00,35.3,0.00,70,0.00,22.4,000,27.08,0.0,1008.04,995.82,28.3
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,10.00,07-09-2019,19:00:00,33.0,0.30,64,0.30,21.7,240,25.89,7.4,1007.98,1007.27,29.1
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,10.00,07-09-2019,19:00:00,34.5,0.00,76,0.00,25.2,180,32.09,11.1,1008.67,1006.26,29.9
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,10.00,07-09-2019,19:00:00,32.0,0.00,79,0.00,25.6,230,32.91,14.8,1008.06,1007.55,29.6
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,13.00,07-09-2019,19:00:00,33.6,0.00,75,0.00,24.5,230,30.80,1.9,1007.89,1002.78,29.4
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,8.00,07-09-2019,19:00:00,32.7,0.70,80,0.00,25.7,160,33.00,3.7,1007.81,1007.40,29.5
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,8.00,07-09-2019,19:00:00,32.0,0.50,85,0.00,26.0,000,33.57,0.0,1008.56,1005.80,28.8
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,10.00,07-09-2019,19:00:00,35.5,0.00,66,0.00,23.4,000,28.78,0.0,1008.26,1007.48,30.5
48501,TRAD,ตราด,ตราด,11.76667,102.88333,8.00,07-09-2019,19:00:00,33.0,1.10,80,0.00,24.3,000,30.28,0.0,1008.93,1008.47,28.0
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,12.00,07-09-2019,19:00:00,34.2,0.80,64,0.00,23.0,280,28.06,3.7,1008.66,1007.98,30.7
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,10.00,07-09-2019,19:00:00,35.0,0.00,69,0.00,23.8,000,29.47,0.0,1008.41,1006.89,30.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,10.00,07-09-2019,19:00:00,33.0,0.00,71,0.00,24.3,000,30.31,0.0,1009.38,1008.47,30.0
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,10.00,07-09-2019,19:00:00,35.9,0.00,76,0.00,25.4,000,32.50,0.0,1008.86,1008.18,30.1
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,8.00,07-09-2019,19:00:00,36.5,0.00,76,0.00,24.4,000,30.57,0.0,1008.87,1008.08,29.0
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,10.00,07-09-2019,19:00:00,36.7,0.00,72,0.00,25.1,320,31.93,5.6,1008.44,1007.82,30.8
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,10.00,07-09-2019,19:00:00,37.5,0.01,74,0.01,24.3,000,30.32,0.0,1008.65,1008.25,29.3
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,5.00,07-09-2019,19:00:00,36.0,0.00,66,0.00,24.2,100,30.16,1.9,1010.60,1006.43,31.2
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,12.00,07-09-2019,19:00:00,34.6,0.00,70,0.00,23.3,000,28.67,0.0,1008.65,1007.05,29.3
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,10.00,07-09-2019,19:00:00,35.5,0.00,78,0.00,25.5,000,32.54,0.0,1009.36,1005.91,29.7
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,10.00,07-09-2019,19:00:00,34.5,1.20,84,0.00,26.6,000,34.75,0.0,1008.85,1007.50,29.5
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,12.00,07-09-2019,19:00:00,32.3,0.00,78,0.00,24.7,000,31.13,0.0,1009.20,1008.31,29.0
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,10.00,07-09-2019,19:00:00,33.2,0.00,77,0.00,24.8,220,31.25,5.6,1009.03,1005.49,29.2
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,10.00,07-09-2019,19:00:00,34.0,0.00,71,0.00,24.8,000,31.23,0.0,1009.08,1008.65,30.6
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,10.00,07-09-2019,19:00:00,33.1,0.00,70,0.00,24.4,000,30.54,0.0,1008.86,1007.88,30.4
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,10.00,07-09-2019,19:00:00,34.3,0.00,74,0.00,24.0,110,29.85,5.6,1009.19,1008.38,29.2
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,10.00,07-09-2019,19:00:00,34.2,0.00,75,0.00,24.1,190,30.01,7.4,1009.50,1007.70,29.0
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,10.00,07-09-2019,19:00:00,35.5,1.30,74,0.00,25.4,000,32.46,0.0,1009.22,1008.47,30.5
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,10.00,07-09-2019,19:00:00,34.4,0.01,69,0.00,23.3,230,28.61,7.4,1009.53,1005.56,29.7
48570,SATUN,สตูล,สตูล,6.65000,100.08333,10.00,07-09-2019,19:00:00,31.7,10.30,78,0.00,25.0,000,31.73,0.0,1009.87,1009.19,29.3
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,10.00,07-09-2019,19:00:00,34.5,0.40,67,0.00,24.3,230,30.45,5.6,1009.70,1008.59,31.2
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,10.00,07-09-2019,19:00:00,34.2,0.00,77,0.00,25.4,210,32.46,7.4,1009.37,1006.47,29.8
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,7.00,07-09-2019,19:00:00,35.1,0.90,79,0.00,26.8,000,35.31,0.0,1008.55,1007.87,31.0
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,10.00,07-09-2019,19:00:00,34.7,6.20,70,0.00,23.6,070,29.05,5.6,1009.52,1005.43,29.5
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,10.00,07-09-2019,19:00:00,34.0,0.00,57,0.00,19.3,000,22.32,0.0,1009.77,1009.18,28.5
