WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,StationPressure,WindDirection,VaporPressure,RelativeHumidity,Rainfall,AirTemperature,DewPoint,Rainfall24Hr,LandVisibility,MeanSeaLevelPressure
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,9.3,08-23-2019,01:00:00,988.36,200,33.40,100,0.00,25.9,25.9,0.20,8.00,1009.30
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,5.6,08-23-2019,01:00:00,1008.05,220,30.56,81,0.00,28.0,24.4,23.90,10.00,1008.48
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.0,08-23-2019,01:00:00,1007.01,000,30.71,94,0.40,25.5,24.5,0.50,6.00,1008.44
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.0,08-23-2019,01:00:00,1003.83,000,32.29,97,0.10,25.9,25.3,17.80,7.00,1008.79
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.0,08-23-2019,01:00:00,1005.11,000,29.04,81,0.00,27.2,23.6,0.01,10.00,1008.41
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.0,08-23-2019,01:00:00,1007.23,000,33.43,98,0.00,26.2,25.9,1.30,10.00,1008.34
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.0,08-23-2019,01:00:00,1008.11,000,34.44,94,0.30,27.4,26.4,3.70,10.00,1008.41
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.0,08-23-2019,01:00:00,1007.71,000,34.48,97,0.50,27.0,26.4,18.90,10.00,1008.20
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.0,08-23-2019,01:00:00,1007.30,000,32.82,94,0.01,26.6,25.6,6.40,10.00,1008.71
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.0,08-23-2019,01:00:00,1002.20,000,31.52,91,0.00,26.5,24.9,0.00,10.00,1010.25
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,5.6,08-23-2019,01:00:00,1008.13,250,31.28,76,0.00,29.5,24.8,0.00,10.00,1008.41
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.0,08-23-2019,01:00:00,1005.30,000,29.90,76,0.00,28.8,24.0,0.00,10.00,1008.42
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,5.6,08-23-2019,01:00:00,1001.95,210,30.15,78,0.00,28.5,24.2,0.00,10.00,1008.87
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.0,08-23-2019,01:00:00,1003.74,000,30.84,92,0.00,26.0,24.6,4.10,8.00,1009.37
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.0,08-23-2019,01:00:00,1007.88,000,32.76,98,0.00,26.0,25.6,15.90,6.00,1009.15
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.0,08-23-2019,01:00:00,1008.29,000,30.34,78,0.00,28.6,24.3,0.00,11.00,1008.72
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.0,08-23-2019,01:00:00,996.57,000,29.21,89,0.00,25.7,23.7,0.00,10.00,1008.90
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.0,08-23-2019,01:00:00,1008.29,000,29.71,80,0.00,27.7,23.9,0.00,10.00,1009.01
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,11.1,08-23-2019,01:00:00,1006.55,220,30.07,77,0.00,28.6,24.1,0.00,10.00,1008.97
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,14.8,08-23-2019,01:00:00,1008.52,250,31.33,78,0.00,29.1,24.8,0.00,10.00,1009.04
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,3.7,08-23-2019,01:00:00,1003.78,200,30.01,79,0.00,28.0,24.1,0.00,9.00,1008.92
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.0,08-23-2019,01:00:00,1008.73,000,33.50,91,0.00,27.5,25.9,0.80,7.00,1009.14
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.0,08-23-2019,01:00:00,1006.73,000,31.93,95,0.00,26.0,25.1,0.00,8.00,1009.52
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.0,08-23-2019,01:00:00,1008.85,000,28.55,83,0.00,26.5,23.3,0.00,10.00,1009.64
48501,TRAD,ตราด,ตราด,11.76667,102.88333,3.7,08-23-2019,01:00:00,1009.65,060,30.22,97,0.00,24.8,24.2,20.30,6.00,1010.12
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.0,08-23-2019,01:00:00,1009.31,000,29.38,90,0.00,25.5,23.7,35.10,8.00,1009.99
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.0,08-23-2019,01:00:00,1007.52,000,29.66,89,0.00,25.8,23.9,2.60,7.00,1009.05
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,5.6,08-23-2019,01:00:00,1010.21,290,30.34,94,0.30,25.3,24.3,1.50,7.00,1011.13
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.0,08-23-2019,01:00:00,1009.54,000,30.34,82,0.00,27.6,24.3,0.00,10.00,1010.23
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.0,08-23-2019,01:00:00,1010.34,000,30.15,94,0.00,25.2,24.2,0.00,8.00,1011.15
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.0,08-23-2019,01:00:00,1009.48,000,32.61,90,0.00,27.2,25.5,0.20,10.00,1010.11
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.0,08-23-2019,01:00:00,1010.09,000,31.52,91,0.00,26.5,24.9,0.00,10.00,1010.49
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.0,08-23-2019,01:00:00,1008.66,000,31.55,95,0.00,25.8,24.9,0.00,5.00,1012.91
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.0,08-23-2019,01:00:00,1009.72,000,31.12,98,0.00,25.0,24.7,1.60,10.00,1011.34
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.0,08-23-2019,01:00:00,1006.33,000,30.87,96,0.00,25.3,24.6,4.20,7.00,1009.83
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.0,08-23-2019,01:00:00,1009.23,000,30.78,84,0.00,27.4,24.5,0.00,8.00,1010.59
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.0,08-23-2019,01:00:00,1010.77,000,29.04,97,10.00,24.0,23.6,35.50,10.00,1011.67
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.0,08-23-2019,01:00:00,1007.75,000,27.76,93,0.60,24.0,22.8,8.00,10.00,1011.35
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.0,08-23-2019,01:00:00,1010.45,000,30.07,93,19.40,25.3,24.1,20.20,10.00,1010.89
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.0,08-23-2019,01:00:00,1008.69,000,29.97,94,2.60,25.1,24.1,10.80,9.00,1009.69
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,5.6,08-23-2019,01:00:00,1009.86,090,30.38,91,0.00,25.9,24.3,3.40,10.00,1010.68
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.0,08-23-2019,01:00:00,1009.34,000,31.08,94,0.00,25.7,24.7,3.90,10.00,1011.17
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.0,08-23-2019,01:00:00,1009.91,000,28.41,80,0.00,27.0,23.2,3.30,10.00,1010.67
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,3.7,08-23-2019,01:00:00,1007.04,990,29.16,93,0.00,24.8,23.6,0.60,10.00,1011.08
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.0,08-23-2019,01:00:00,1010.48,000,29.18,92,0.00,25.1,23.6,19.20,10.00,1011.17
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.0,08-23-2019,01:00:00,1009.71,000,29.48,83,0.00,27.0,23.8,3.00,10.00,1010.83
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.0,08-23-2019,01:00:00,1008.06,000,29.70,93,0.00,25.1,23.9,1.30,10.00,1011.01
