WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,AirTemperature,VaporPressure,DewPoint,RelativeHumidity,WindSpeed,MeanSeaLevelPressure,Rainfall24Hr,Rainfall,LandVisibility,WindDirection,MaximumTemperature
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1000.02,08-12-2019,19:00:00,27.8,33.53,26.0,90,0.0,1008.01,0.00,0.00,10.00,000,33.3
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1005.38,08-12-2019,19:00:00,29.0,33.41,25.9,83,5.6,1005.66,0.20,0.00,10.00,120,34.3
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1002.72,08-12-2019,19:00:00,28.0,31.39,24.8,83,5.6,1005.84,13.00,0.00,10.00,250,31.0
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,999.20,08-12-2019,19:00:00,27.0,31.94,25.1,90,11.1,1006.13,6.00,0.00,10.00,210,31.0
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1000.15,08-12-2019,19:00:00,28.7,30.82,24.5,78,0.0,1005.71,0.00,0.00,8.00,000,33.9
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,996.52,08-12-2019,19:00:00,28.1,30.75,24.5,81,20.4,1005.79,7.40,0.00,10.00,230,31.0
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1005.50,08-12-2019,19:00:00,27.1,34.11,26.2,95,0.0,1006.77,10.20,0.00,10.00,000,32.6
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1005.45,08-12-2019,19:00:00,28.6,31.74,25.0,81,3.7,1005.88,2.10,0.10,11.00,210,32.4
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,994.02,08-12-2019,19:00:00,27.4,30.50,24.4,84,0.0,1006.25,2.80,0.00,10.00,000,30.4
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1005.24,08-12-2019,19:00:00,28.6,29.52,23.8,75,11.1,1005.95,5.20,0.00,10.00,250,31.0
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1004.52,08-12-2019,19:00:00,28.0,29.19,23.6,77,3.7,1006.94,0.00,0.00,10.00,240,33.0
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1005.60,08-12-2019,19:00:00,28.5,34.40,26.4,88,11.1,1006.11,0.00,0.00,10.00,220,31.6
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1001.06,08-12-2019,19:00:00,28.2,30.95,24.6,81,0.0,1006.19,0.30,0.30,10.00,000,32.8
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1005.88,08-12-2019,19:00:00,28.5,32.96,25.7,85,5.6,1006.29,4.00,0.00,7.00,200,31.3
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1003.98,08-12-2019,19:00:00,27.0,31.38,24.8,88,0.0,1006.75,2.40,0.00,8.00,000,30.8
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1005.86,08-12-2019,19:00:00,28.6,30.34,24.3,78,0.0,1006.64,7.00,0.00,10.00,000,31.7
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1006.38,08-12-2019,19:00:00,26.5,32.91,25.6,95,3.7,1006.84,72.50,0.00,8.00,140,27.5
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1006.14,08-12-2019,19:00:00,29.9,29.55,23.8,70,0.0,1006.82,9.00,0.00,8.00,000,33.5
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1005.09,08-12-2019,19:00:00,29.4,31.93,25.1,78,1.9,1006.61,9.00,0.00,9.00,280,33.4
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1006.83,08-12-2019,19:00:00,29.0,30.01,24.1,75,5.6,1007.74,30.20,0.00,10.00,210,31.8
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1006.59,08-12-2019,19:00:00,29.4,32.79,25.6,80,0.0,1007.28,0.00,0.00,10.00,000,31.2
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1006.60,08-12-2019,19:00:00,30.0,28.91,23.5,68,5.6,1007.39,0.01,0.01,10.00,240,35.2
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1006.38,08-12-2019,19:00:00,30.7,32.01,25.2,72,0.0,1007.01,0.00,0.00,10.00,000,36.2
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1006.83,08-12-2019,19:00:00,30.6,29.81,24.0,68,0.0,1007.23,0.00,0.00,10.00,000,36.2
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1004.49,08-12-2019,19:00:00,31.1,26.65,22.1,59,5.6,1008.65,0.00,0.00,6.00,250,34.5
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1005.16,08-12-2019,19:00:00,28.5,27.44,22.6,71,0.0,1006.76,11.70,0.00,10.00,000,33.8
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1004.85,08-12-2019,19:00:00,28.5,31.54,24.9,81,0.0,1008.31,0.20,0.00,10.00,000,34.5
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1005.79,08-12-2019,19:00:00,31.0,28.09,23.0,63,5.6,1007.13,0.01,0.00,10.00,300,34.8
