WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,MeanSeaLevelPressure,AirTemperature,Rainfall24Hr,WindDirection,VaporPressure,Rainfall,RelativeHumidity,DewPoint,WindSpeed,StationPressure
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,10.00,09-12-2019,10:00:00,1012.41,29.4,0.01,260,30.80,0.00,75,24.5,5.6,998.42
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,9.00,09-12-2019,10:00:00,1012.82,29.5,0.00,000,32.13,0.00,78,25.2,0.0,998.03
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,10.00,09-12-2019,10:00:00,1012.93,29.0,0.50,300,31.69,0.00,79,25.0,11.1,998.27
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,10.00,09-12-2019,10:00:00,1013.00,29.2,0.30,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",28.75,0.00,71,23.4,0.0,1009.98
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,10.00,09-12-2019,10:00:00,1013.60,27.7,0.70,000,29.71,0.00,80,23.9,0.0,1005.62
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,8.00,09-12-2019,10:00:00,1014.00,27.5,23.00,000,31.25,0.00,85,24.8,0.0,1012.89
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,9.00,09-12-2019,10:00:00,1012.29,28.2,0.00,090,31.79,0.00,83,25.1,3.7,997.58
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,6.00,09-12-2019,10:00:00,1012.87,22.8,7.20,350,17.98,0.00,65,15.8,3.7,878.48
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,9.00,09-12-2019,10:00:00,1013.90,28.0,19.90,000,31.67,0.00,84,25.0,0.0,1008.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,9.00,09-12-2019,10:00:00,1013.42,32.0,0.00,010,28.66,0.00,60,23.3,11.1,1012.63
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,10.00,09-12-2019,10:00:00,1013.40,30.5,0.00,210,27.14,0.00,62,22.4,3.7,1012.96
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,8.00,09-12-2019,10:00:00,1014.78,26.8,3.00,000,28.84,0.00,82,23.4,0.0,1003.38
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,12.00,09-12-2019,10:00:00,1013.63,30.0,1.40,210,30.87,0.00,73,24.6,5.6,1012.63
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,8.00,09-12-2019,10:00:00,1013.85,28.7,8.50,000,29.71,0.00,75,23.9,0.0,1012.02
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,9.00,09-12-2019,10:00:00,1013.63,29.6,0.10,000,26.80,0.00,65,22.2,0.0,1012.86
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,10.00,09-12-2019,10:00:00,1013.45,29.8,0.60,330,26.37,0.00,63,22.0,9.3,1012.75
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,10.00,09-12-2019,10:00:00,1013.44,28.2,20.50,200,32.07,0.00,84,25.2,3.7,1012.74
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,10.00,09-12-2019,10:00:00,1013.70,27.3,9.00,000,27.11,0.00,75,22.4,0.0,992.43
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,10.00,09-12-2019,10:00:00,1013.34,28.5,8.40,250,27.97,0.00,72,22.9,9.3,996.60
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,14.00,09-12-2019,10:00:00,1013.75,28.2,27.10,230,29.03,0.00,76,23.5,16.7,997.28
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,10.00,09-12-2019,10:00:00,1013.45,27.2,0.00,000,26.93,0.00,75,22.3,0.0,991.47
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,15.00,09-12-2019,10:00:00,1013.83,25.9,20.20,270,25.70,0.00,77,21.5,5.6,970.15
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,10.00,09-12-2019,10:00:00,1013.76,28.0,6.00,320,27.06,0.00,72,22.4,5.6,993.13
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,9.00,09-12-2019,10:00:00,1015.32,28.5,1.20,200,31.54,0.00,81,24.9,7.4,994.44
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,10.00,09-12-2019,10:00:00,1013.69,29.9,0.50,340,27.09,0.00,64,22.4,5.6,1013.26
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,10.00,09-12-2019,10:00:00,1013.23,26.5,40.10,000,31.52,0.00,91,24.9,0.0,1011.80
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,8.00,09-12-2019,10:00:00,1013.22,26.8,3.00,000,30.45,0.00,86,24.3,0.0,1008.25
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,12.00,09-12-2019,10:00:00,1013.87,30.6,0.00,220,26.25,0.00,60,21.9,5.6,1010.60
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,10.00,09-12-2019,10:00:00,1014.24,28.5,16.40,000,30.98,0.00,80,24.6,0.0,1013.13
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,10.00,09-12-2019,10:00:00,1013.53,30.5,7.60,280,26.60,0.00,61,22.1,11.1,1013.23
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,10.00,09-12-2019,10:00:00,1013.35,30.1,32.90,280,29.11,0.00,68,23.6,7.4,1012.67
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,10.00,09-12-2019,10:00:00,1013.15,30.3,1.80,270,32.05,0.00,74,25.2,3.7,1012.66
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,10.00,09-12-2019,10:00:00,1013.62,30.3,1.20,300,27.30,0.00,63,22.5,9.3,1012.22
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,10.00,09-12-2019,10:00:00,1013.39,29.5,0.00,310,32.13,0.00,78,25.2,11.1,1011.71
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,10.00,09-12-2019,10:00:00,1015.42,28.0,0.20,000,29.19,0.00,77,23.6,0.0,1007.37
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,10.00,09-12-2019,10:00:00,1013.07,30.2,0.00,270,28.75,0.00,67,23.4,9.3,1012.79
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,10.00,09-12-2019,10:00:00,1013.57,30.1,0.00,000,30.22,0.00,71,24.2,0.0,1010.45
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,10.00,09-12-2019,10:00:00,1013.42,30.2,0.00,000,29.03,0.00,68,23.5,0.0,1006.51
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,10.00,09-12-2019,10:00:00,1013.99,27.0,15.50,000,31.38,0.00,88,24.8,0.0,1008.36
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,9.00,09-12-2019,10:00:00,1014.62,29.5,0.00,000,28.50,0.00,69,23.2,0.0,1005.31
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,15.00,09-12-2019,10:00:00,1013.78,30.4,0.01,350,26.41,0.00,61,22.0,3.7,1012.52
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,11.00,09-12-2019,10:00:00,1013.58,30.9,0.00,270,26.81,0.00,60,22.2,5.6,1013.15
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,9.00,09-12-2019,10:00:00,1014.07,30.5,0.00,000,26.33,0.00,60,21.9,0.0,1001.87
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,10.00,09-12-2019,10:00:00,1013.66,31.0,0.00,100,28.09,0.00,63,23.0,5.6,1012.95
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,10.00,09-12-2019,10:00:00,1013.59,32.0,0.00,010,25.91,0.00,54,21.7,11.1,1011.18
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,10.00,09-12-2019,10:00:00,1013.78,29.5,0.20,250,32.13,0.00,78,25.2,9.3,1013.26
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,12.00,09-12-2019,10:00:00,1013.26,30.7,0.00,200,29.17,0.00,66,23.6,1.9,1008.14
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,8.00,09-12-2019,10:00:00,1013.29,31.4,16.90,000,33.48,0.00,73,25.9,0.0,1012.88
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,8.00,09-12-2019,10:00:00,1013.38,29.5,7.20,300,35.05,0.20,85,26.7,3.7,1010.61
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,10.00,09-12-2019,10:00:00,1008.13,30.5,0.00,120,29.89,0.00,68,24.0,3.7,1007.35
48501,TRAD,ตราด,ตราด,11.76667,102.88333,10.00,09-12-2019,10:00:00,1013.39,30.3,0.00,250,31.76,0.00,74,25.0,3.7,1012.93
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,6.00,09-12-2019,10:00:00,1013.85,29.7,2.80,000,29.16,0.00,70,23.6,0.0,1013.17
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,9.00,09-12-2019,10:00:00,1013.97,29.6,6.80,030,30.63,0.00,74,24.4,3.7,1012.44
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,10.00,09-12-2019,10:00:00,1014.55,31.1,0.00,000,28.01,0.00,62,23.0,0.0,1013.64
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,10.00,09-12-2019,10:00:00,1014.21,29.7,0.00,120,32.83,0.00,79,25.6,7.4,1013.52
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,10.00,09-12-2019,10:00:00,1014.68,34.6,9.00,170,29.09,0.00,53,23.6,3.7,1013.90
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,10.00,09-12-2019,10:00:00,1013.72,31.1,2.20,000,32.26,0.00,71,25.3,0.0,1013.09
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,10.00,09-12-2019,10:00:00,1014.14,31.0,0.01,000,32.63,0.00,73,25.5,0.0,1013.74
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,7.00,09-12-2019,10:00:00,1016.09,29.5,3.10,000,33.58,0.00,81,26.0,0.0,1011.88
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,12.00,09-12-2019,10:00:00,1014.18,29.5,4.20,000,29.60,0.00,72,23.9,0.0,1012.57
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,10.00,09-12-2019,10:00:00,1013.60,30.5,0.00,220,31.88,0.00,73,25.1,5.6,1010.15
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,8.00,09-12-2019,10:00:00,1014.44,30.0,2.50,120,32.88,0.00,78,25.6,5.6,1013.08
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,10.00,09-12-2019,10:00:00,1013.93,30.0,0.00,000,30.31,0.00,71,24.3,0.0,1013.05
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,10.00,09-12-2019,10:00:00,1014.36,30.5,0.00,050,30.18,0.00,69,24.2,11.1,1010.82
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,10.00,09-12-2019,10:00:00,1014.28,31.0,0.00,000,30.90,0.00,69,24.6,0.0,1013.85
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,10.00,09-12-2019,10:00:00,1013.77,31.3,1.20,100,30.65,0.00,67,24.5,9.3,1012.79
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,10.00,09-12-2019,10:00:00,1014.12,30.5,0.00,100,35.42,0.00,81,26.9,11.1,1013.31
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,8.00,09-12-2019,10:00:00,1014.39,30.5,0.00,160,31.60,0.00,72,25.0,7.4,1012.59
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,8.00,09-12-2019,10:00:00,1014.42,29.7,0.00,260,30.83,0.00,74,24.6,3.7,1013.67
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,8.00,09-12-2019,10:00:00,1014.57,28.6,0.00,070,31.18,0.00,80,24.7,5.6,1010.57
48570,SATUN,สตูล,สตูล,6.65000,100.08333,8.00,09-12-2019,10:00:00,1014.31,30.2,0.00,000,30.99,0.00,72,24.6,0.0,1013.63
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,10.00,09-12-2019,10:00:00,1014.37,28.7,2.40,000,28.89,0.00,73,23.5,0.0,1013.26
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,10.00,09-12-2019,10:00:00,1014.30,29.7,0.00,070,32.83,0.00,79,25.6,3.7,1011.39
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,8.00,09-12-2019,10:00:00,1013.83,30.0,0.00,040,33.17,0.00,78,25.8,5.6,1013.14
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,6.00,09-12-2019,10:00:00,1014.97,28.8,4.30,220,29.90,0.00,76,24.0,5.6,1010.84
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,12.00,09-12-2019,10:00:00,1014.38,29.5,71.10,000,27.96,0.00,68,22.9,0.0,1013.79
