WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,WindSpeed,WindDirection,Rainfall24Hr,VaporPressure,Rainfall,AirTemperature,StationPressure,DewPoint,LandVisibility,RelativeHumidity
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1004.34,08-03-2019,04:00:00,14.8,270,0.40,27.47,0.40,25.6,998.55,22.6,8.00,84
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1003.20,08-03-2019,04:00:00,0.0,000,0.00,30.26,0.00,26.7,997.03,24.2,10.00,86
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1004.23,08-03-2019,04:00:00,9.3,180,0.00,28.18,0.00,26.0,987.79,23.1,8.00,84
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1006.61,08-03-2019,04:00:00,3.7,210,52.50,24.44,9.00,21.5,983.89,20.7,8.00,95
48376,TAK,ตาก,ตาก,16.87833,99.14333,1005.95,08-03-2019,04:00:00,18.5,260,0.00,21.78,0.00,25.9,991.53,18.9,8.00,65
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1003.59,08-03-2019,04:00:00,18.5,120,0.00,25.65,0.00,27.5,987.30,21.5,7.00,70
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1005.49,08-03-2019,04:00:00,7.4,190,2.50,27.86,0.20,26.7,1000.27,22.9,6.00,80
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1003.03,08-03-2019,04:00:00,0.0,000,0.00,29.23,0.00,26.0,989.84,23.7,10.00,87
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1004.81,08-03-2019,04:00:00,5.6,230,0.40,24.04,0.40,25.2,995.46,20.5,8.00,75
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1002.53,08-03-2019,04:00:00,16.7,240,0.00,26.67,0.00,27.2,980.96,22.2,10.00,74
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1003.18,08-03-2019,04:00:00,7.4,200,0.00,27.52,0.00,26.8,985.73,22.7,8.00,78
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1000.96,08-03-2019,04:00:00,5.6,220,0.00,25.65,0.00,27.5,985.25,21.5,10.00,70
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1001.76,08-03-2019,04:00:00,9.3,210,0.00,26.82,0.00,26.7,982.96,22.2,8.00,77
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1010.26,08-03-2019,04:00:00,0.0,000,17.60,22.54,12.20,21.0,958.08,19.4,5.00,91
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1005.32,08-03-2019,04:00:00,0.0,000,0.60,28.70,0.60,26.0,1001.36,23.4,5.00,85
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,{'@attributes': {'Unit': 'hPa'}},08-03-2019,04:00:00,0.0,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.00,{'@attributes': {'Unit': 'mb'}},0.00,{'@attributes': {'Unit': 'celcius'}},{'@attributes': {'unit': 'hPa'}},{'@attributes': {'Unit': 'celcius'}},{'@attributes': {'Unit': 'km'}},{'@attributes': {'Unit': '%'}}
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1002.47,08-03-2019,04:00:00,13.0,260,0.80,27.33,0.00,26.4,986.53,22.6,6.00,79
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1005.06,08-03-2019,04:00:00,1.9,220,0.30,30.81,0.30,27.7,1001.05,24.5,9.00,83
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1006.42,08-03-2019,04:00:00,0.0,000,0.20,27.81,0.20,25.5,995.70,22.8,7.00,85
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1005.76,08-03-2019,04:00:00,0.0,000,0.00,30.18,0.00,26.8,1003.83,24.2,8.00,86
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,1003.84,08-03-2019,04:00:00,0.0,000,1.80,27.18,1.80,24.4,982.87,22.5,7.00,89
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,1002.35,08-03-2019,04:00:00,18.5,240,0.40,23.22,0.00,27.4,984.80,19.9,10.00,64
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1002.23,08-03-2019,04:00:00,9.3,240,0.40,26.17,0.00,27.5,986.18,21.8,10.00,71
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1003.48,08-03-2019,04:00:00,9.3,240,4.80,26.72,0.60,26.2,989.46,22.2,10.00,79
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1003.84,08-03-2019,04:00:00,3.7,120,2.20,27.64,0.10,25.7,989.00,22.7,8.00,84
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1003.91,08-03-2019,04:00:00,9.3,250,0.01,27.69,0.00,26.6,989.27,22.8,8.00,80
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1005.11,08-03-2019,04:00:00,0.0,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.01,25.93,0.01,28.1,1002.11,21.7,8.00,68
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1004.82,08-03-2019,04:00:00,0.0,000,0.50,26.65,0.00,26.6,996.88,22.1,7.00,77
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1006.32,08-03-2019,04:00:00,9.3,220,0.30,26.77,0.00,27.4,1005.21,22.2,8.00,73
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,1004.32,08-03-2019,04:00:00,0.0,000,0.00,30.97,0.00,26.5,989.65,24.6,8.00,89
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1007.51,08-03-2019,04:00:00,16.7,280,0.60,21.06,0.00,18.5,872.04,18.3,.10,99
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1005.13,08-03-2019,04:00:00,7.4,190,0.00,26.75,0.00,27.1,999.27,22.2,10.00,75
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1006.64,08-03-2019,04:00:00,11.1,230,0.20,27.22,0.00,27.8,1005.84,22.5,8.00,73
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1008.77,08-03-2019,04:00:00,0.0,000,16.30,27.25,5.60,24.0,997.33,22.5,4.00,91
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1006.46,08-03-2019,04:00:00,0.0,000,0.50,31.46,0.10,26.9,1005.45,24.9,8.00,89
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1005.66,08-03-2019,04:00:00,11.1,180,0.00,27.34,0.00,26.7,1003.84,22.6,7.00,78
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1006.25,08-03-2019,04:00:00,11.1,230,0.01,25.16,0.00,28.1,1005.48,21.2,3.00,66
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1006.88,08-03-2019,04:00:00,16.7,250,0.01,28.98,0.00,27.6,1006.18,23.5,10.00,79
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1006.07,08-03-2019,04:00:00,5.6,260,0.00,30.86,0.00,27.3,1005.36,24.6,7.00,85
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1004.60,08-03-2019,04:00:00,7.4,270,0.01,26.58,0.01,27.0,983.50,22.1,9.00,75
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,1004.14,08-03-2019,04:00:00,7.4,230,0.00,26.72,0.00,26.2,987.43,22.2,7.00,79
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1004.40,08-03-2019,04:00:00,3.7,240,0.00,25.20,0.00,26.5,987.99,21.2,6.00,73
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,1004.52,08-03-2019,04:00:00,0.0,000,0.01,33.62,0.01,27.7,982.77,26.0,10.00,91
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1005.69,08-03-2019,04:00:00,22.2,250,0.01,21.87,0.00,25.5,962.30,18.9,10.00,67
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,1004.35,08-03-2019,04:00:00,11.1,230,0.00,24.05,0.00,27.3,983.87,20.5,10.00,66
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1005.20,08-03-2019,04:00:00,16.7,240,0.10,25.81,0.00,27.0,984.42,21.6,7.00,72
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1007.36,08-03-2019,04:00:00,9.3,280,1.80,29.35,0.01,26.5,1006.92,23.7,10.00,85
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1005.57,08-03-2019,04:00:00,0.0,000,0.10,30.46,0.00,25.8,1004.15,24.3,6.00,92
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1005.84,08-03-2019,04:00:00,3.7,210,0.00,30.67,0.00,26.2,1000.90,24.5,7.00,90
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1006.78,08-03-2019,04:00:00,9.3,270,0.30,27.77,0.01,26.5,1003.48,22.8,10.00,80
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1007.13,08-03-2019,04:00:00,3.7,210,0.01,28.19,0.00,26.3,1006.02,23.1,10.00,82
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1006.86,08-03-2019,04:00:00,3.7,220,0.01,30.31,0.00,28.3,1006.56,24.3,8.00,79
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1007.21,08-03-2019,04:00:00,3.7,270,0.20,26.54,0.00,28.0,1006.72,22.1,10.00,70
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1006.74,08-03-2019,04:00:00,20.4,240,0.80,27.16,0.00,28.2,1005.33,22.4,10.00,71
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1008.20,08-03-2019,04:00:00,0.0,000,0.01,30.09,0.00,25.6,1000.15,24.1,10.00,92
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1006.63,08-03-2019,04:00:00,7.4,280,0.00,30.95,0.00,28.2,1006.34,24.6,10.00,81
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1006.43,08-03-2019,04:00:00,9.3,300,0.01,28.54,0.00,28.8,1003.31,23.3,10.00,72
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1006.91,08-03-2019,04:00:00,13.0,250,0.00,29.74,0.00,28.0,999.99,23.9,10.00,79
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1005.71,08-03-2019,04:00:00,3.7,210,0.30,26.47,0.00,26.5,1000.11,22.0,7.00,77
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1008.08,08-03-2019,04:00:00,3.7,230,1.40,29.21,0.01,25.7,1006.81,23.7,6.00,89
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1007.97,08-03-2019,04:00:00,9.3,300,2.60,28.59,0.50,25.5,1007.54,23.3,8.00,88
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1007.88,08-03-2019,04:00:00,0.0,000,12.70,28.43,1.40,23.8,995.48,23.2,10.00,97
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1007.55,08-03-2019,04:00:00,3.7,260,3.20,29.52,1.20,25.0,1006.83,23.8,7.00,93
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1007.59,08-03-2019,04:00:00,11.1,270,4.50,27.52,0.00,28.4,1005.16,22.7,10.00,71
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1007.33,08-03-2019,04:00:00,25.9,270,1.20,30.73,0.00,28.8,1006.82,24.5,10.00,78
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1007.03,08-03-2019,04:00:00,1.9,270,0.00,27.03,0.00,27.4,1001.88,22.4,8.00,74
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1006.98,08-03-2019,04:00:00,0.0,000,8.90,32.58,4.70,26.9,1006.57,25.5,6.00,92
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1007.00,08-03-2019,04:00:00,0.0,000,46.50,29.50,8.20,26.0,1004.22,23.8,8.00,88
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1008.22,08-03-2019,04:00:00,0.0,000,7.80,27.88,2.60,25.1,1007.43,22.9,8.00,88
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1007.28,08-03-2019,04:00:00,11.1,280,37.00,33.01,2.40,27.4,1006.83,25.7,5.00,90
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1009.24,08-03-2019,04:00:00,0.0,000,23.50,27.57,12.70,23.0,1008.55,22.7,7.00,98
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1007.50,08-03-2019,04:00:00,3.7,250,33.20,31.00,4.00,25.8,1005.97,24.6,7.00,93
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1008.74,08-03-2019,04:00:00,0.0,000,87.20,31.38,0.00,27.0,1007.83,24.8,10.00,88
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1009.05,08-03-2019,04:00:00,0.0,000,1.40,31.38,0.00,27.0,1008.36,24.8,10.00,88
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1009.38,08-03-2019,04:00:00,0.0,000,3.60,29.74,0.00,24.1,1008.57,23.9,5.00,99
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1009.01,08-03-2019,04:00:00,0.0,000,8.10,30.03,0.00,24.7,1008.37,24.1,10.00,97
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1009.43,08-03-2019,04:00:00,0.0,000,0.00,30.69,0.00,25.2,1009.03,24.5,10.00,96
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1011.34,08-03-2019,04:00:00,0.0,000,23.00,27.66,0.00,23.5,1007.07,22.8,5.00,96
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1009.78,08-03-2019,04:00:00,0.0,000,3.40,28.08,0.00,23.3,1008.14,23.0,5.00,98
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1009.89,08-03-2019,04:00:00,0.0,000,11.00,27.83,0.00,23.3,1006.37,22.8,6.00,97
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1009.86,08-03-2019,04:00:00,0.0,000,0.00,28.64,0.00,24.8,1008.49,23.3,8.00,92
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1009.50,08-03-2019,04:00:00,5.6,270,0.50,32.61,0.00,27.2,1008.61,25.5,10.00,90
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1009.47,08-03-2019,04:00:00,0.0,000,3.90,29.15,0.00,24.5,1005.87,23.6,10.00,95
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1009.30,08-03-2019,04:00:00,0.0,000,0.00,30.48,0.00,27.1,1008.86,24.4,10.00,85
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1009.17,08-03-2019,04:00:00,22.2,270,3.50,30.80,0.00,29.4,1008.18,24.5,10.00,75
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1009.54,08-03-2019,04:00:00,20.4,270,0.00,31.89,0.00,29.1,1008.73,25.1,10.00,79
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1009.85,08-03-2019,04:00:00,0.0,000,0.00,31.44,0.00,25.6,1008.02,24.9,5.00,96
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1009.64,08-03-2019,04:00:00,5.6,230,0.00,29.52,0.00,26.3,1008.89,23.8,9.00,86
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1010.00,08-03-2019,04:00:00,0.0,000,0.20,29.05,0.00,24.3,1005.96,23.6,7.00,96
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1009.20,08-03-2019,04:00:00,0.0,000,0.00,30.32,0.00,25.0,1008.51,24.3,10.00,96
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1009.60,08-03-2019,04:00:00,0.0,000,0.80,29.54,0.00,25.3,1008.48,23.8,10.00,92
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1010.08,08-03-2019,04:00:00,0.0,000,0.00,28.70,0.00,24.1,1007.13,23.4,10.00,96
