WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,DewPoint,AirTemperature,WindSpeed,VaporPressure,Rainfall24Hr,MeanSeaLevelPressure,WindDirection,Rainfall,RelativeHumidity,LandVisibility
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,987.77,09-30-2019,16:00:00,23.2,34.0,5.6,28.43,0.00,1007.20,210,0.00,53,7.00
48353,LOEI,เลย,เลย,17.45000,101.73333,978.75,09-30-2019,16:00:00,20.0,34.4,5.6,23.39,0.00,1006.67,200,0.00,43,8.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,987.84,09-30-2019,16:00:00,21.7,33.6,1.9,25.95,0.00,1007.58,050,0.00,50,8.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,986.96,09-30-2019,16:00:00,21.1,33.0,0.0,25.08,0.00,1008.27,000,0.00,50,7.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,988.20,09-30-2019,16:00:00,20.0,33.5,7.4,23.33,0.00,1007.27,320,0.00,45,9.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,991.35,09-30-2019,16:00:00,19.6,33.5,0.0,22.81,0.00,1007.75,000,0.00,44,8.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,991.02,09-30-2019,16:00:00,19.2,33.2,0.0,22.27,0.00,1008.08,000,0.00,44,7.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,981.58,09-30-2019,16:00:00,22.2,34.3,3.7,26.77,0.00,1006.73,200,0.00,49,9.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1001.31,09-30-2019,16:00:00,25.7,34.6,7.4,32.95,0.00,1006.95,170,0.00,60,8.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1001.12,09-30-2019,16:00:00,26.1,33.8,5.6,33.91,0.00,1007.18,160,0.00,64,8.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,991.17,09-30-2019,16:00:00,22.1,34.5,5.6,26.60,0.00,1007.21,200,0.00,49,10.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,984.60,09-30-2019,16:00:00,24.9,31.8,0.0,31.39,0.30,1006.56,000,0.30,67,10.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,993.51,09-30-2019,16:00:00,24.5,35.0,0.0,30.81,0.00,1007.53,000,0.00,55,6.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,990.78,09-30-2019,16:00:00,24.1,28.7,0.0,29.98,0.60,1007.07,000,0.60,76,7.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1002.09,09-30-2019,16:00:00,22.2,34.3,5.6,26.77,0.00,1007.19,240,0.00,49,8.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,993.10,09-30-2019,16:00:00,23.9,32.5,0.0,29.66,0.00,1006.05,000,0.00,61,12.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,998.41,09-30-2019,16:00:00,23.5,34.0,1.9,29.00,0.00,1007.53,340,0.00,55,5.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,985.95,09-30-2019,16:00:00,22.5,33.8,3.7,27.18,0.00,1007.16,090,0.00,52,8.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,990.98,09-30-2019,16:00:00,20.3,34.5,0.0,23.85,0.00,1008.07,000,0.00,44,10.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,991.71,09-30-2019,16:00:00,22.0,33.0,7.4,26.45,0.00,1007.24,050,0.00,53,12.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,988.04,09-30-2019,16:00:00,25.1,34.1,0.0,31.85,0.00,1006.48,000,0.00,60,8.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,956.47,09-30-2019,16:00:00,21.9,32.2,0.0,26.28,0.00,1006.61,000,0.00,55,11.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1003.44,09-30-2019,16:00:00,24.1,34.5,3.7,30.04,0.00,1007.31,270,0.00,55,4.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,914.63,09-30-2019,16:00:00,20.3,27.6,5.6,23.80,1.20,1007.99,180,0.50,64,6.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,991.68,09-30-2019,16:00:00,24.1,33.2,0.0,29.95,0.00,1007.35,000,0.00,59,8.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1003.53,09-30-2019,16:00:00,24.9,34.8,0.0,31.57,0.00,1007.47,000,0.00,57,6.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,997.70,09-30-2019,16:00:00,23.1,34.3,5.6,28.18,0.00,1008.13,240,0.00,52,10.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1005.74,09-30-2019,16:00:00,22.2,34.4,0.0,26.68,0.00,1007.63,000,0.00,49,10.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,987.02,09-30-2019,16:00:00,22.0,33.6,0.0,26.51,0.00,1007.44,000,0.00,51,7.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,989.98,09-30-2019,16:00:00,22.6,33.1,0.0,27.47,0.00,1007.30,000,0.00,54,10.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,991.36,09-30-2019,16:00:00,22.0,33.3,0.0,26.48,0.00,1007.19,000,0.00,52,10.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,994.12,09-30-2019,16:00:00,20.1,32.7,7.4,23.46,0.00,1007.90,350,0.00,47,10.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,993.65,09-30-2019,16:00:00,20.9,32.5,0.0,24.69,0.00,1008.23,000,0.00,50,9.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,994.62,09-30-2019,16:00:00,22.0,33.0,9.3,26.45,0.00,1009.03,030,0.00,53,10.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1004.41,09-30-2019,16:00:00,24.1,35.3,0.0,29.97,0.01,1007.35,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.00,52,6.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,998.99,09-30-2019,16:00:00,20.9,35.2,0.0,24.64,0.00,1006.73,000,0.00,43,10.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1006.22,09-30-2019,16:00:00,26.0,35.0,0.0,33.54,0.00,1007.30,000,0.00,60,8.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,994.05,09-30-2019,16:00:00,24.2,32.2,0.0,30.20,0.00,1008.50,000,0.00,63,8.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,874.24,09-30-2019,16:00:00,18.6,26.0,5.6,21.46,0.00,1006.48,010,0.00,64,8.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1001.28,09-30-2019,16:00:00,23.6,35.7,7.4,29.05,0.00,1006.99,190,0.00,50,8.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1006.60,09-30-2019,16:00:00,25.2,35.0,7.4,32.01,0.00,1007.39,050,0.00,57,6.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1007.30,09-30-2019,16:00:00,24.8,31.5,11.1,31.35,0.00,1007.74,210,0.00,68,8.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,996.99,09-30-2019,16:00:00,23.7,34.7,5.6,29.29,19.30,1008.02,350,0.00,53,7.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1006.38,09-30-2019,16:00:00,22.7,35.1,1.9,27.52,0.00,1007.37,210,0.00,49,8.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1005.55,09-30-2019,16:00:00,24.1,35.2,3.7,30.05,0.00,1007.32,350,0.00,53,7.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1007.56,09-30-2019,16:00:00,22.4,31.3,0.0,27.02,0.00,1008.32,000,0.00,59,8.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1007.01,09-30-2019,16:00:00,24.0,33.0,16.7,29.83,0.00,1007.70,200,0.00,59,3.50
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1005.68,09-30-2019,16:00:00,24.7,36.0,5.6,31.19,0.00,1006.36,240,0.00,52,7.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,986.68,09-30-2019,16:00:00,21.6,34.2,0.0,25.74,0.00,1007.35,000,0.00,48,7.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,991.74,09-30-2019,16:00:00,22.0,32.3,0.0,26.47,0.00,1008.18,000,0.00,55,11.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,993.25,09-30-2019,16:00:00,22.0,33.0,5.6,26.45,0.00,1009.39,050,0.00,53,9.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,986.14,09-30-2019,16:00:00,23.2,34.0,0.0,28.43,0.00,1007.51,000,0.00,53,8.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,964.52,09-30-2019,16:00:00,21.4,31.3,9.3,25.41,0.00,1007.17,260,0.00,56,8.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,987.81,09-30-2019,16:00:00,22.8,32.0,3.7,27.82,0.00,1008.05,320,0.00,59,8.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,989.38,09-30-2019,16:00:00,22.8,31.5,7.4,27.68,0.00,1009.95,040,0.00,60,8.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1006.97,09-30-2019,16:00:00,24.2,33.0,0.0,30.11,0.00,1007.40,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.00,60,9.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1005.99,09-30-2019,16:00:00,24.2,34.7,0.0,30.17,0.00,1007.38,000,0.00,55,11.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1002.52,09-30-2019,16:00:00,23.6,33.9,0.0,29.08,0.00,1007.34,000,0.00,55,8.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1003.59,09-30-2019,16:00:00,22.2,35.6,7.4,26.83,0.00,1006.79,230,0.00,46,7.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1006.26,09-30-2019,16:00:00,24.2,35.3,0.0,30.27,0.00,1007.34,000,0.00,53,10.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1007.38,09-30-2019,16:00:00,24.8,32.2,5.6,31.35,0.70,1007.68,150,0.70,65,10.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1006.77,09-30-2019,16:00:00,24.6,32.0,5.6,30.94,0.00,1007.44,170,0.00,65,10.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1006.66,09-30-2019,16:00:00,24.7,32.5,1.9,31.11,0.10,1007.14,150,0.10,64,7.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1006.00,09-30-2019,16:00:00,24.2,33.6,9.3,30.20,0.00,1007.38,150,0.00,58,6.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1006.34,09-30-2019,16:00:00,26.6,31.3,16.7,34.76,0.00,1007.99,210,0.00,76,3.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1001.08,09-30-2019,16:00:00,22.5,35.0,0.0,27.32,0.00,1008.89,000,0.00,49,12.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1007.09,09-30-2019,16:00:00,24.7,33.2,0.0,31.11,0.00,1007.37,000,0.00,61,6.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1004.68,09-30-2019,16:00:00,25.7,32.0,0.0,32.99,0.00,1007.76,000,0.00,69,12.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1001.35,09-30-2019,16:00:00,24.4,31.5,11.1,30.49,0.00,1008.20,210,0.00,66,7.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,998.76,09-30-2019,16:00:00,24.2,33.7,0.0,30.12,0.00,1004.22,000,0.00,58,7.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,999.72,09-30-2019,16:00:00,26.9,34.6,0.0,35.42,0.00,1008.82,000,0.00,64,2.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1007.06,09-30-2019,16:00:00,22.9,35.0,7.4,27.89,0.00,1008.30,060,0.00,50,7.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1007.22,09-30-2019,16:00:00,26.9,34.2,11.1,35.44,0.00,1007.64,150,0.00,66,8.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,995.92,09-30-2019,16:00:00,23.9,32.5,9.3,29.66,0.00,1007.97,120,0.00,61,7.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1007.67,09-30-2019,16:00:00,26.6,31.6,7.4,34.82,0.00,1008.37,110,0.00,75,6.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1006.39,09-30-2019,16:00:00,24.8,32.2,14.8,31.35,0.00,1008.79,200,0.00,65,5.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1008.30,09-30-2019,16:00:00,25.7,31.0,11.1,32.93,0.00,1008.81,240,0.00,73,7.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1003.21,09-30-2019,16:00:00,25.2,31.3,1.9,32.10,0.00,1008.30,260,0.00,70,8.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1007.89,09-30-2019,16:00:00,25.6,32.1,5.6,32.91,1.20,1008.29,210,0.00,69,9.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1005.75,09-30-2019,16:00:00,25.8,31.0,0.0,33.22,0.00,1008.49,000,0.00,74,8.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1007.26,09-30-2019,16:00:00,26.7,33.3,9.3,34.94,0.00,1008.04,180,0.00,68,6.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1008.15,09-30-2019,16:00:00,25.6,30.0,5.6,32.88,0.00,1008.61,090,0.00,78,6.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1007.56,09-30-2019,16:00:00,22.3,33.1,5.6,26.92,0.00,1008.23,080,0.00,53,10.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1006.43,09-30-2019,16:00:00,22.2,33.6,7.4,26.78,0.00,1007.93,090,0.00,51,9.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1007.82,09-30-2019,16:00:00,26.1,31.0,3.7,33.81,3.00,1008.73,180,3.00,75,10.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1008.40,09-30-2019,16:00:00,26.4,30.7,13.0,34.36,0.00,1009.08,080,0.00,78,10.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1008.06,09-30-2019,16:00:00,24.6,31.0,3.7,30.90,0.00,1008.85,100,0.00,69,10.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1007.97,09-30-2019,16:00:00,25.4,31.0,11.1,32.34,0.00,1008.60,060,0.00,72,10.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1008.30,09-30-2019,16:00:00,25.9,32.3,7.4,33.34,0.00,1008.70,140,0.00,69,10.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1006.64,09-30-2019,16:00:00,26.2,32.5,0.0,34.07,1.20,1010.79,000,1.20,70,6.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1007.77,09-30-2019,16:00:00,23.8,27.7,0.0,29.44,0.20,1009.38,000,0.20,79,8.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1005.61,09-30-2019,16:00:00,23.6,28.0,0.0,29.19,0.00,1009.08,000,0.00,77,10.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1007.72,09-30-2019,16:00:00,24.4,31.5,5.6,30.49,1.40,1009.05,140,0.00,66,8.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1008.04,09-30-2019,16:00:00,25.0,30.0,9.3,31.72,11.50,1008.92,260,0.00,75,10.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1005.83,09-30-2019,16:00:00,23.3,26.5,11.1,28.55,0.40,1009.41,170,0.00,83,10.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1008.41,09-30-2019,16:00:00,22.8,30.5,0.0,27.68,21.80,1008.84,000,0.00,63,10.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1007.63,09-30-2019,16:00:00,24.7,30.1,5.6,31.07,23.60,1008.61,210,0.00,73,9.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1008.58,09-30-2019,16:00:00,24.4,28.7,11.1,30.54,0.01,1009.39,180,0.01,78,10.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1008.15,09-30-2019,16:00:00,23.6,24.0,9.3,29.04,92.90,1009.99,150,92.80,97,10.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1008.71,09-30-2019,16:00:00,24.4,31.0,9.3,30.61,0.00,1009.45,310,0.00,68,12.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1006.34,09-30-2019,16:00:00,23.4,24.4,7.4,28.71,33.80,1010.38,300,33.80,94,8.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1009.45,09-30-2019,16:00:00,24.7,27.4,9.3,31.05,36.70,1010.13,060,22.20,85,10.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1008.86,09-30-2019,16:00:00,24.8,28.9,9.3,31.21,0.00,1009.98,250,0.00,78,10.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1007.47,09-30-2019,16:00:00,24.5,26.2,3.7,30.67,5.50,1010.40,190,5.50,90,8.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1007.28,09-30-2019,16:00:00,23.8,32.8,9.3,29.42,0.00,1007.96,060,0.00,59,12.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1004.41,09-30-2019,16:00:00,23.9,32.5,9.3,29.66,0.20,1008.46,100,0.00,61,10.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1007.85,09-30-2019,16:00:00,23.6,30.5,9.3,29.06,0.80,1008.43,080,0.00,67,10.00
