WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,Rainfall,StationPressure,WindSpeed,RelativeHumidity,WindDirection,LandVisibility,VaporPressure,DewPoint,AirTemperature,MeanSeaLevelPressure
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,07-10-2019,01:00:00,0.00,988.03,3.7,80,270,10.00,28.67,23.3,27.0,1006.49
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.40,07-10-2019,01:00:00,0.40,983.28,0.0,86,000,10.00,30.56,24.4,27.0,1006.03
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1.40,07-10-2019,01:00:00,0.00,976.38,0.0,85,000,8.00,29.17,23.6,26.4,1006.23
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,07-10-2019,01:00:00,0.00,971.03,0.0,88,000,7.00,29.50,23.8,26.0,1006.53
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,07-10-2019,01:00:00,0.00,976.15,0.0,78,000,12.00,26.37,22.0,26.0,1005.86
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,07-10-2019,01:00:00,0.00,999.52,0.0,71,000,8.00,26.80,22.2,28.0,1006.79
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,07-10-2019,01:00:00,0.00,985.60,3.7,80,250,11.00,30.40,24.3,28.2,1005.37
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,07-10-2019,01:00:00,0.00,977.59,5.6,73,200,12.00,27.13,22.4,27.6,1006.12
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,07-10-2019,01:00:00,0.00,985.69,5.6,74,230,10.00,27.85,22.9,28.0,1005.75
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.30,07-10-2019,01:00:00,0.00,984.59,0.0,79,000,10.00,28.14,23.0,27.0,1006.28
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,3.30,07-10-2019,01:00:00,0.00,986.36,0.0,87,000,11.00,30.83,24.5,27.0,1005.81
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,7.30,07-10-2019,01:00:00,0.00,989.36,0.0,89,000,10.00,33.45,25.9,27.9,1006.03
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,3.60,07-10-2019,01:00:00,0.00,989.01,0.0,88,000,10.00,32.76,25.6,27.7,1006.36
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,07-10-2019,01:00:00,0.00,979.23,0.0,89,000,10.00,30.59,24.4,26.3,1005.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,07-10-2019,01:00:00,0.00,1001.03,7.4,76,240,10.00,27.82,22.8,27.4,1006.81
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,07-10-2019,01:00:00,0.00,1000.91,11.1,77,250,10.00,29.19,23.6,28.0,1007.08
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,07-10-2019,01:00:00,0.00,991.64,0.0,77,000,8.00,29.19,23.6,28.0,1008.03
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,7.70,07-10-2019,01:00:00,0.00,985.33,0.0,84,000,10.00,25.51,21.4,24.3,1007.86
48376,TAK,ตาก,ตาก,16.87833,99.14333,1.20,07-10-2019,01:00:00,0.00,993.72,5.6,75,280,10.00,27.19,22.5,27.2,1008.11
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.20,07-10-2019,01:00:00,0.00,990.47,0.0,73,000,8.00,26.86,22.3,27.6,1006.81
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,07-10-2019,01:00:00,0.00,1002.36,0.0,89,000,10.00,30.59,24.4,26.3,1007.61
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1.40,07-10-2019,01:00:00,1.40,993.41,0.0,91,000,7.00,29.82,24.0,25.6,1006.66
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,07-10-2019,01:00:00,0.00,997.74,3.7,76,340,11.00,26.92,22.3,26.9,1007.06
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,5.00,07-10-2019,01:00:00,0.00,984.77,3.7,78,210,10.00,27.98,22.9,27.2,1006.42
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,07-10-2019,01:00:00,0.00,989.20,11.1,81,220,12.00,31.34,24.8,28.4,1006.61
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,07-10-2019,01:00:00,0.00,989.94,5.6,84,200,10.00,30.02,24.1,27.0,1005.75
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,07-10-2019,01:00:00,0.00,986.66,0.0,76,000,8.00,29.03,23.5,28.2,1005.44
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,3.90,07-10-2019,01:00:00,0.00,958.60,0.0,91,000,6.00,25.28,21.3,22.8,1010.48
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,7.70,07-10-2019,01:00:00,2.00,1004.19,7.4,96,080,4.00,30.87,24.6,25.3,1008.18
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,7.90,07-10-2019,01:00:00,0.00,913.37,14.8,96,220,2.50,23.18,19.9,20.5,1008.95
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,07-10-2019,01:00:00,0.00,990.33,0.0,90,000,6.00,32.02,25.2,26.9,1006.31
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.01,07-10-2019,01:00:00,0.00,1003.62,0.0,86,000,10.00,31.52,24.9,27.5,1007.65
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.30,07-10-2019,01:00:00,0.00,997.78,0.0,85,000,6.00,28.70,23.4,26.0,1008.50
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,07-10-2019,01:00:00,0.00,1006.04,3.7,77,180,7.00,27.62,22.7,27.0,1007.97
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,07-10-2019,01:00:00,0.00,985.81,5.6,81,300,10.00,29.69,23.9,27.4,1006.63
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,07-10-2019,01:00:00,0.00,988.69,7.4,78,200,10.00,28.61,23.3,27.4,1006.32
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,07-10-2019,01:00:00,0.00,990.24,9.3,79,210,10.00,30.01,24.1,28.0,1006.33
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,07-10-2019,01:00:00,0.00,993.21,0.0,79,000,10.00,29.17,23.6,27.7,1007.21
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,07-10-2019,01:00:00,0.00,993.45,0.0,88,000,10.00,29.86,24.0,26.2,1008.34
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,6.40,07-10-2019,01:00:00,0.10,993.28,0.0,89,000,6.00,30.03,24.1,26.0,1008.01
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,07-10-2019,01:00:00,0.00,1004.22,0.0,85,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",10.00,31.25,24.8,27.5,1007.23
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,3.40,07-10-2019,01:00:00,0.00,999.50,0.0,79,000,7.00,29.36,23.7,27.8,1007.43
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,07-10-2019,01:00:00,0.00,1007.30,5.6,86,160,8.00,29.52,23.8,26.3,1008.41
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,1.30,07-10-2019,01:00:00,0.00,992.74,0.0,90,000,8.00,30.67,24.5,26.2,1007.47
48417,NAKORNNAYOK,นครนายก,นครนายก,{'@attributes': {'Unit': 'decimal degree'}},{'@attributes': {'Unit': 'decimal degree'}},0.20,07-10-2019,01:00:00,0.00,873.73,3.7,98,250,.10,21.79,18.9,19.2,1009.12
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,07-10-2019,01:00:00,0.00,1002.17,5.6,70,180,10.00,26.54,22.1,28.0,1008.03
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,11.10,07-10-2019,01:00:00,0.00,1007.96,9.3,100,230,8.00,34.60,26.5,26.5,1008.76
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,17.00,07-10-2019,01:00:00,0.01,1008.26,0.0,93,000,9.00,32.35,25.4,26.5,1008.71
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,14.00,07-10-2019,01:00:00,0.00,998.31,0.0,94,000,4.00,29.79,24.0,25.0,1009.72
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,07-10-2019,01:00:00,0.00,1007.27,3.7,74,180,10.00,28.12,23.0,28.0,1008.28
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1.80,07-10-2019,01:00:00,0.00,1006.50,7.4,86,140,7.00,30.18,24.2,26.8,1008.32
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,07-10-2019,01:00:00,0.00,1007.51,0.0,78,000,4.00,27.88,22.9,27.0,1008.28
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,18.80,07-10-2019,01:00:00,0.60,1008.38,5.6,91,210,10.00,29.64,23.9,25.5,1009.09
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,07-10-2019,01:00:00,0.00,1007.92,0.0,88,000,7.00,30.43,24.3,26.5,1008.62
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,07-10-2019,01:00:00,0.00,986.60,5.6,81,230,10.00,30.37,24.3,27.9,1007.70
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,6.70,07-10-2019,01:00:00,0.00,991.13,0.0,88,000,7.00,29.68,23.9,26.1,1007.91
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,10.60,07-10-2019,01:00:00,0.00,991.94,0.0,90,000,7.00,29.74,23.9,25.7,1008.46
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,07-10-2019,01:00:00,0.00,986.21,0.0,79,000,10.00,28.51,23.2,27.2,1008.07
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,07-10-2019,01:00:00,0.00,964.97,9.3,73,220,10.00,24.95,21.1,26.2,1008.37
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,07-10-2019,01:00:00,0.00,987.31,0.0,80,000,10.00,27.77,22.8,26.5,1007.92
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1.60,07-10-2019,01:00:00,0.00,988.32,13.0,95,200,7.00,31.93,25.1,26.0,1009.25
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.10,07-10-2019,01:00:00,0.00,1008.45,5.6,76,260,10.00,29.03,23.5,28.2,1008.88
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,3.50,07-10-2019,01:00:00,1.20,1007.39,0.0,96,000,6.00,30.32,24.3,25.0,1008.82
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,42.50,07-10-2019,01:00:00,0.40,1004.40,0.0,99,000,6.00,30.46,24.3,24.5,1009.38
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,07-10-2019,01:00:00,0.00,1005.23,3.7,77,250,10.00,28.26,23.1,27.5,1008.53
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,07-10-2019,01:00:00,0.00,1007.82,0.0,86,000,10.00,29.89,24.0,26.5,1008.93
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,20.10,07-10-2019,01:00:00,0.30,1008.50,0.0,94,000,8.00,31.08,24.7,25.7,1008.81
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,16.40,07-10-2019,01:00:00,0.00,1008.41,0.0,94,000,10.00,30.52,24.4,25.4,1008.90
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,8.80,07-10-2019,01:00:00,0.00,1007.60,5.6,91,220,10.00,31.33,24.8,26.4,1009.01
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,07-10-2019,01:00:00,0.00,1003.06,0.0,92,000,10.00,29.91,24.0,25.5,1011.14
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,2.00,07-10-2019,01:00:00,2.00,1008.47,0.0,90,000,10.00,31.94,25.1,27.0,1008.75
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,07-10-2019,01:00:00,0.00,1005.74,0.0,92,000,10.00,30.84,24.6,26.0,1008.89
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,07-10-2019,01:00:00,0.00,1001.99,0.0,74,000,10.00,29.65,23.9,29.1,1008.90
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,07-10-2019,01:00:00,0.00,1003.48,0.0,86,000,7.00,29.89,24.0,26.5,1009.10
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,07-10-2019,01:00:00,0.00,1008.41,0.0,88,000,10.00,29.50,23.8,26.0,1009.68
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,07-10-2019,01:00:00,0.00,1008.75,7.4,70,210,11.00,26.54,22.1,28.0,1009.18
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,07-10-2019,01:00:00,0.00,997.11,0.0,90,000,10.00,27.09,22.4,24.2,1009.51
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.30,07-10-2019,01:00:00,0.00,1008.34,0.0,83,000,10.00,28.92,23.5,26.7,1009.05
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,07-10-2019,01:00:00,0.00,1005.28,5.6,80,180,10.00,32.38,25.4,29.2,1007.69
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,07-10-2019,01:00:00,0.00,1008.77,5.6,87,250,10.00,35.86,27.1,29.6,1009.29
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,07-10-2019,01:00:00,0.00,1003.85,0.0,89,000,8.00,30.59,24.4,26.3,1009.03
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,2.30,07-10-2019,01:00:00,1.60,1009.05,0.0,90,000,4.00,29.19,23.6,25.4,1009.46
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,10.80,07-10-2019,01:00:00,10.30,1006.79,7.4,97,030,8.00,30.96,24.6,25.2,1009.59
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,07-10-2019,01:00:00,0.00,1009.05,0.0,75,000,10.00,27.47,22.6,27.5,1009.84
48501,TRAD,ตราด,ตราด,11.76667,102.88333,0.00,07-10-2019,01:00:00,0.00,1009.45,3.7,92,090,7.00,31.03,24.7,26.1,1009.91
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.80,07-10-2019,01:00:00,0.00,1009.46,0.0,89,000,10.00,30.13,24.2,26.2,1010.15
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.00,07-10-2019,01:00:00,0.00,1007.35,0.0,93,000,8.00,32.07,25.2,26.5,1008.88
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.00,07-10-2019,01:00:00,0.00,1008.89,0.0,90,000,10.00,30.30,24.3,26.0,1009.81
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,07-10-2019,01:00:00,0.00,1009.31,7.4,81,270,10.00,29.98,24.1,27.7,1010.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,07-10-2019,01:00:00,0.00,1009.71,0.0,94,000,8.00,29.79,24.0,25.0,1010.51
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,07-10-2019,01:00:00,0.00,1007.78,0.0,77,000,10.00,30.26,24.2,28.7,1008.41
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.01,07-10-2019,01:00:00,0.00,1009.54,0.0,90,000,10.00,29.93,24.1,25.8,1009.95
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,07-10-2019,01:00:00,0.00,1007.76,0.0,93,000,5.00,30.44,24.3,25.5,1012.01
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,07-10-2019,01:00:00,0.00,1008.84,0.0,96,000,10.00,29.59,23.9,24.6,1010.47
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,07-10-2019,01:00:00,0.00,1006.81,0.0,94,000,7.00,31.08,24.7,25.7,1010.31
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1.20,07-10-2019,01:00:00,0.00,1008.96,0.0,98,000,10.00,31.12,24.7,25.0,1010.33
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,07-10-2019,01:00:00,0.00,1009.20,0.0,90,000,10.00,30.67,24.5,26.2,1010.09
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1.50,07-10-2019,01:00:00,1.50,1006.57,0.0,95,000,10.00,30.23,24.2,25.1,1010.16
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,07-10-2019,01:00:00,0.00,1009.12,0.0,82,000,10.00,30.84,24.6,28.0,1009.56
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,07-10-2019,01:00:00,0.00,1008.54,0.0,93,000,10.00,30.25,24.2,25.4,1009.54
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,07-10-2019,01:00:00,0.00,1009.39,9.3,87,270,10.00,29.23,23.7,26.0,1010.21
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,07-10-2019,01:00:00,0.00,1008.42,0.0,93,000,10.00,30.07,24.1,25.3,1010.25
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1.30,07-10-2019,01:00:00,0.00,1009.27,0.0,79,000,10.00,29.06,23.6,27.5,1010.02
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,07-10-2019,01:00:00,0.00,1006.17,0.0,93,000,10.00,30.25,24.2,25.4,1010.20
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,07-10-2019,01:00:00,0.00,1009.77,0.0,92,000,10.00,29.00,23.5,25.0,1010.46
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,07-10-2019,01:00:00,0.00,1009.39,0.0,87,000,10.00,29.41,23.8,26.1,1010.51
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,07-10-2019,01:00:00,0.00,1007.48,0.0,90,000,10.00,30.86,24.6,26.3,1010.42
