WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MinimumTemperature,Date,Time,Rainfall24Hr,VaporPressure,AirTemperature,MeanSeaLevelPressure,Rainfall,RelativeHumidity,WindDirection,LandVisibility,StationPressure,DewPoint,WindSpeed
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,18.9,10-06-2019,07:00:00,0.00,23.39,20.8,1012.71,0.00,95,000,.90,916.87,20.0,0.0
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,21.2,10-06-2019,07:00:00,19.40,27.16,23.5,1012.83,0.00,94,000,8.00,996.56,22.4,0.0
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,24.2,10-06-2019,07:00:00,1.20,30.56,24.7,1011.64,0.00,98,000,3.00,1007.56,24.4,0.0
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,22.7,10-06-2019,07:00:00,41.20,28.52,23.7,1013.17,0.00,97,000,8.00,1002.31,23.3,0.0
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,24.0,10-06-2019,07:00:00,1.60,29.15,24.5,1012.34,0.00,95,000,8.00,1010.38,23.6,0.0
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,22.9,10-06-2019,07:00:00,0.30,24.63,23.3,1012.58,0.00,86,000,10.00,991.35,20.8,0.0
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,21.0,10-06-2019,07:00:00,8.00,25.60,23.0,1012.50,0.00,91,000,10.00,994.50,21.5,0.0
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,21.5,10-06-2019,07:00:00,6.60,27.07,23.0,1012.09,0.00,96,000,10.00,995.63,22.4,0.0
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,24.2,10-06-2019,07:00:00,0.00,28.13,24.8,1012.42,0.00,90,000,9.00,998.21,23.0,0.0
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,24.2,10-06-2019,07:00:00,0.00,30.32,25.0,1012.68,0.00,96,000,8.00,997.67,24.3,0.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,23.6,10-06-2019,07:00:00,0.00,28.83,25.2,1012.09,0.00,90,000,7.00,997.25,23.4,0.0
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,24.5,10-06-2019,07:00:00,1.00,30.96,25.2,1011.73,0.00,97,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",4.00,1008.68,24.6,0.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,24.6,10-06-2019,07:00:00,11.00,29.00,25.0,1012.05,0.00,92,000,8.00,1004.01,23.5,0.0
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,23.6,10-06-2019,07:00:00,3.30,29.41,24.5,1012.00,0.00,96,000,8.00,1010.88,23.8,0.0
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,24.2,10-06-2019,07:00:00,0.00,30.71,25.5,1012.49,0.00,94,000,8.00,997.65,24.5,0.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,16.9,10-06-2019,07:00:00,27.20,20.93,18.4,1013.44,0.00,99,010,8.00,877.12,18.2,3.7
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,23.5,10-06-2019,07:00:00,1.80,30.32,25.0,1012.48,0.00,96,050,3.00,1006.53,24.3,7.4
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,24.5,10-06-2019,07:00:00,10.00,30.32,25.0,1011.71,0.00,96,000,7.00,1010.90,24.3,0.0
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,24.8,10-06-2019,07:00:00,38.90,27.96,25.0,1011.53,0.00,88,120,10.00,1011.07,22.9,7.4
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,23.2,10-06-2019,07:00:00,4.30,28.18,23.8,1012.14,0.00,96,000,4.00,1000.66,23.1,0.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,25.0,10-06-2019,07:00:00,7.10,30.17,25.5,1011.30,0.00,93,000,4.00,1010.28,24.2,0.0
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,23.5,10-06-2019,07:00:00,28.80,29.48,24.1,1012.24,0.00,98,000,7.00,1010.39,23.8,0.0
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,24.5,10-06-2019,07:00:00,0.00,28.92,25.1,1011.93,0.00,91,000,7.00,1011.15,23.5,0.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,24.8,10-06-2019,07:00:00,11.80,28.95,25.7,1012.02,0.00,88,090,9.00,1011.31,23.5,9.3
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,24.0,10-06-2019,07:00:00,4.50,28.56,24.9,1011.77,4.30,91,060,7.00,1011.05,23.3,3.7
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,22.4,10-06-2019,07:00:00,28.00,28.52,23.7,1012.76,0.00,97,000,7.00,991.26,23.3,0.0
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,23.8,10-06-2019,07:00:00,1.40,31.36,25.7,1012.37,0.00,95,000,6.00,995.49,24.8,0.0
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,23.5,10-06-2019,07:00:00,1.20,30.96,25.2,1012.53,0.00,97,040,9.00,995.91,24.6,5.6
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,22.9,10-06-2019,07:00:00,0.00,27.66,23.5,1012.55,0.00,96,000,4.00,990.32,22.8,0.0
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,20.6,10-06-2019,07:00:00,2.00,25.52,22.5,1012.53,0.00,94,040,8.00,968.41,21.4,11.1
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,23.4,10-06-2019,07:00:00,0.00,28.01,24.0,1012.66,0.00,94,000,6.00,991.78,23.0,0.0
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,23.4,10-06-2019,07:00:00,3.50,29.64,23.9,1013.94,0.00,100,030,7.00,992.76,23.9,7.4
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,24.7,10-06-2019,07:00:00,0.00,29.11,25.5,1011.65,0.00,89,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",10.00,1011.21,23.6,0.0
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,24.2,10-06-2019,07:00:00,0.10,29.41,24.5,1011.55,0.00,96,000,8.00,1010.12,23.8,0.0
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,23.5,10-06-2019,07:00:00,11.40,29.74,24.1,1011.87,0.00,99,000,7.00,1006.87,23.9,0.0
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,22.7,10-06-2019,07:00:00,0.00,28.13,24.8,1011.94,0.00,90,000,12.00,1008.61,23.0,0.0
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,24.0,10-06-2019,07:00:00,0.00,29.93,24.5,1012.01,0.00,97,000,10.00,1010.89,24.1,0.0
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,25.3,10-06-2019,07:00:00,55.80,30.84,26.0,1012.12,0.00,92,000,8.00,1011.82,24.6,0.0
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,25.5,10-06-2019,07:00:00,20.40,30.84,26.0,1012.18,0.00,92,000,10.00,1011.48,24.6,0.0
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,25.2,10-06-2019,07:00:00,12.50,30.65,25.9,1011.30,0.00,92,000,10.00,1010.81,24.4,0.0
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,25.4,10-06-2019,07:00:00,3.00,31.55,25.8,1011.97,0.00,95,160,5.00,1010.55,24.9,7.4
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,24.6,10-06-2019,07:00:00,3.70,31.22,25.2,1012.61,3.70,97,090,1.00,1010.91,24.8,31.5
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,22.8,10-06-2019,07:00:00,25.00,27.07,23.0,1013.22,17.30,96,000,10.00,1005.05,22.4,0.0
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,23.8,10-06-2019,07:00:00,13.20,29.93,24.5,1011.79,3.50,97,000,2.00,1011.50,24.1,0.0
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,24.5,10-06-2019,07:00:00,10.80,28.59,25.5,1011.74,0.00,88,210,10.00,1008.58,23.3,7.4
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,22.9,10-06-2019,07:00:00,30.10,27.83,23.3,1011.63,0.00,97,060,10.00,1004.57,22.8,5.6
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,23.5,10-06-2019,07:00:00,5.00,29.05,24.3,1012.32,4.60,96,300,8.00,1006.64,23.6,3.7
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,25.0,10-06-2019,07:00:00,8.20,30.87,25.3,1011.89,0.00,96,000,8.00,1002.48,24.6,0.0
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,24.1,10-06-2019,07:00:00,0.01,30.03,24.7,1012.21,0.00,97,000,6.00,1010.93,24.1,0.0
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,23.5,10-06-2019,07:00:00,6.70,30.15,25.2,1011.46,0.00,94,000,11.00,1011.03,24.2,0.0
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,23.2,10-06-2019,07:00:00,1.50,28.53,24.0,1011.80,0.50,96,000,10.00,999.36,23.3,0.0
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,23.4,10-06-2019,07:00:00,11.80,30.32,25.0,1011.36,0.10,96,000,9.00,1010.64,24.3,0.0
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,23.0,10-06-2019,07:00:00,145.90,27.75,23.7,1011.45,7.90,95,000,9.00,1008.98,22.8,0.0
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,23.9,10-06-2019,07:00:00,5.70,28.53,24.0,1011.66,3.70,96,040,8.00,1011.13,23.3,3.7
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,22.8,10-06-2019,07:00:00,84.00,27.83,23.6,1011.44,6.50,96,070,10.00,1006.21,22.9,3.7
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,23.9,10-06-2019,07:00:00,4.10,29.49,24.4,1012.06,0.00,97,000,7.00,1011.64,23.8,0.0
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,24.0,10-06-2019,07:00:00,3.00,29.13,24.2,1012.09,0.00,97,000,8.00,1009.29,23.6,0.0
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,24.3,10-06-2019,07:00:00,0.00,28.66,25.1,1011.63,0.00,90,330,10.00,1010.84,23.3,5.6
48501,TRAD,ตราด,ตราด,11.76667,102.88333,24.6,10-06-2019,07:00:00,0.20,28.93,25.4,1011.71,0.00,89,320,7.00,1011.24,23.5,5.6
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,23.6,10-06-2019,07:00:00,0.00,27.76,24.0,1011.24,0.00,93,000,7.00,1010.55,22.8,0.0
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,23.6,10-06-2019,07:00:00,0.00,27.58,23.6,1010.99,0.00,95,000,6.00,1009.44,22.7,0.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,23.5,10-06-2019,07:00:00,1.20,26.83,23.6,1011.93,0.00,92,000,10.00,1011.00,22.2,0.0
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,25.7,10-06-2019,07:00:00,0.00,30.26,27.7,1010.88,0.00,81,000,10.00,1010.20,24.2,0.0
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,23.5,10-06-2019,07:00:00,1.80,28.69,23.8,1011.23,0.00,97,000,7.00,1010.42,23.4,0.0
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,23.0,10-06-2019,07:00:00,10.90,28.42,23.5,1010.69,0.00,98,000,8.00,1010.05,23.2,0.0
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,23.5,10-06-2019,07:00:00,0.70,28.70,24.1,1011.15,0.00,96,000,8.00,1010.74,23.4,0.0
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,22.8,10-06-2019,07:00:00,56.60,27.99,23.1,1012.98,0.00,99,000,5.00,1008.69,22.9,0.0
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,22.8,10-06-2019,07:00:00,13.00,29.56,24.0,1011.07,0.00,99,000,.80,1009.43,23.8,0.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,23.5,10-06-2019,07:00:00,0.90,28.52,23.7,1011.10,0.00,97,000,8.00,1007.58,23.3,0.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,23.6,10-06-2019,07:00:00,0.90,28.69,23.8,1010.81,0.00,97,310,8.00,1009.43,23.4,3.7
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,23.5,10-06-2019,07:00:00,1.70,29.04,24.0,1010.36,0.10,97,000,10.00,1009.47,23.6,0.0
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,23.4,10-06-2019,07:00:00,1.70,29.66,24.2,1011.04,0.00,98,000,4.00,1007.43,23.9,0.0
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,25.5,10-06-2019,07:00:00,0.00,29.50,26.0,1010.94,0.00,88,000,10.00,1010.50,23.8,0.0
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,22.1,10-06-2019,07:00:00,1.10,29.69,24.8,1010.59,0.00,95,000,10.00,1009.59,23.9,0.0
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,24.0,10-06-2019,07:00:00,31.80,30.17,25.5,1010.97,0.00,93,090,10.00,1010.14,24.2,5.6
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,23.7,10-06-2019,07:00:00,8.70,29.82,24.0,1011.39,0.00,100,000,.40,1009.56,24.0,0.0
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,24.6,10-06-2019,07:00:00,0.00,28.23,25.3,1011.22,0.00,88,250,10.00,1010.46,23.1,3.7
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,22.3,10-06-2019,07:00:00,1.20,28.24,23.1,1011.72,0.00,100,000,2.00,1007.66,23.1,0.0
48570,SATUN,สตูล,สตูล,6.65000,100.08333,23.3,10-06-2019,07:00:00,27.80,28.71,24.4,1011.21,0.00,94,000,7.00,1010.52,23.4,0.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,22.8,10-06-2019,07:00:00,16.00,28.69,23.8,1011.06,0.00,97,000,10.00,1009.93,23.4,0.0
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,21.8,10-06-2019,07:00:00,0.00,28.77,23.7,1011.47,0.00,98,000,.40,1008.50,23.4,0.0
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,23.2,10-06-2019,07:00:00,3.60,28.53,24.0,1011.12,0.00,96,000,7.00,1010.42,23.3,0.0
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,23.0,10-06-2019,07:00:00,0.00,27.66,23.5,1011.90,0.00,96,000,.90,1007.71,22.8,0.0
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,.0,10-06-2019,07:00:00,0.00,26.75,24.0,1011.20,0.00,90,000,10.00,1010.60,22.2,0.0
