WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,Rainfall24Hr,AirTemperature,LandVisibility,WindSpeed,Rainfall,MeanSeaLevelPressure,DewPoint,StationPressure,WindDirection,RelativeHumidity
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,31.22,09-14-2019,01:00:00,0.00,26.2,10.00,0.0,0.00,1009.28,24.8,981.69,000,92
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,31.17,09-14-2019,01:00:00,0.80,25.6,10.00,0.0,0.00,1007.92,24.7,974.27,000,95
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,31.17,09-14-2019,01:00:00,0.80,25.6,10.00,0.0,0.00,1007.28,24.7,988.72,000,95
48331,NAN,น่าน,น่าน,18.77972,100.77778,31.88,09-14-2019,01:00:00,0.00,26.4,10.00,0.0,0.00,1007.72,25.1,984.88,000,93
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,30.67,09-14-2019,01:00:00,0.00,26.2,8.00,0.0,0.00,1007.58,24.5,977.67,000,90
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,29.52,09-14-2019,01:00:00,0.20,25.0,6.00,0.0,0.00,1008.23,23.8,972.55,000,93
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,29.12,09-14-2019,01:00:00,4.30,23.9,10.00,0.0,0.00,1007.09,23.6,977.14,000,98
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,31.96,09-14-2019,01:00:00,16.70,26.3,9.00,0.0,0.00,1006.70,25.1,999.38,000,93
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,33.82,09-14-2019,01:00:00,10.50,27.8,10.00,3.7,0.40,1007.31,26.1,987.47,140,91
48353,LOEI,เลย,เลย,17.45000,101.73333,28.72,09-14-2019,01:00:00,3.60,24.7,12.00,0.0,0.00,1007.36,23.4,978.52,000,92
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,31.94,09-14-2019,01:00:00,3.40,27.0,12.00,0.0,0.00,1007.86,25.1,987.69,000,90
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,29.91,09-14-2019,01:00:00,0.00,25.5,12.00,0.0,0.00,1008.15,24.0,986.31,000,92
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,32.49,09-14-2019,01:00:00,0.00,27.0,12.00,0.0,0.00,1007.72,25.4,988.23,000,91
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,29.35,09-14-2019,01:00:00,0.00,26.5,10.00,0.0,0.00,1008.30,23.7,991.51,000,85
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,29.97,09-14-2019,01:00:00,0.00,25.1,10.00,0.0,0.00,1008.55,24.1,991.01,000,94
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,30.07,09-14-2019,01:00:00,0.60,25.3,10.00,0.0,0.00,1006.64,24.1,980.75,000,93
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,31.79,09-14-2019,01:00:00,1.40,26.5,10.00,0.0,0.00,1007.55,25.1,1001.35,000,92
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,29.52,09-14-2019,01:00:00,1.50,25.0,10.00,0.0,0.00,1008.12,23.8,991.55,000,93
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,27.72,09-14-2019,01:00:00,0.00,25.3,10.00,0.0,0.00,1007.58,22.8,985.13,000,86
48376,TAK,ตาก,ตาก,16.87833,99.14333,26.78,09-14-2019,01:00:00,0.00,27.7,10.00,13.0,0.00,1008.17,22.2,993.80,260,72
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,27.55,09-14-2019,01:00:00,0.50,27.4,8.00,0.0,0.00,1007.45,22.7,991.08,000,76
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,31.75,09-14-2019,01:00:00,0.00,27.9,10.00,0.0,0.00,1007.13,25.0,1001.92,000,85
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,31.24,09-14-2019,01:00:00,0.00,26.5,10.00,0.0,0.00,1005.97,24.8,992.77,000,90
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,28.69,09-14-2019,01:00:00,0.00,27.3,12.00,3.7,0.00,1007.05,23.4,997.74,320,79
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,31.98,09-14-2019,01:00:00,8.40,25.6,10.00,0.0,0.00,1007.54,25.2,985.75,000,97
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,29.08,09-14-2019,01:00:00,3.70,26.5,12.00,0.0,0.00,1005.67,23.6,988.17,000,84
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,30.84,09-14-2019,01:00:00,0.00,26.0,10.00,0.0,0.00,1006.42,24.6,990.55,000,92
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,29.87,09-14-2019,01:00:00,1.20,24.9,7.00,0.0,0.00,1006.56,24.0,987.56,000,95
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,26.66,09-14-2019,01:00:00,0.80,23.2,6.00,0.0,0.80,1010.41,22.1,958.60,000,94
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,31.38,09-14-2019,01:00:00,0.00,28.7,6.00,7.4,0.00,1006.67,24.8,1002.74,310,80
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,23.92,09-14-2019,01:00:00,1.00,21.0,.80,13.0,0.00,1009.54,20.4,914.06,250,96
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,33.83,09-14-2019,01:00:00,20.10,26.4,8.00,0.0,0.00,1007.48,26.1,991.46,000,98
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,30.94,09-14-2019,01:00:00,0.20,27.2,9.00,0.0,0.00,1006.94,24.6,1002.91,000,86
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,30.72,09-14-2019,01:00:00,0.00,26.8,6.00,0.0,0.00,1007.33,24.5,996.65,000,87
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,32.48,09-14-2019,01:00:00,5.50,26.0,7.00,0.0,0.00,1007.19,25.4,1005.26,000,97
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,30.05,09-14-2019,01:00:00,20.60,25.0,10.00,0.0,0.01,1006.96,24.1,985.96,000,95
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,32.12,09-14-2019,01:00:00,8.90,26.1,10.00,3.7,0.00,1007.01,25.2,989.29,340,95
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,32.07,09-14-2019,01:00:00,10.50,26.5,10.00,5.6,0.00,1006.95,25.2,990.77,330,93
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,32.32,09-14-2019,01:00:00,54.60,26.2,10.00,0.0,0.00,1007.15,25.3,993.08,000,95
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,31.25,09-14-2019,01:00:00,21.20,25.5,7.00,0.0,0.00,1008.28,24.8,993.36,000,96
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,36.11,09-14-2019,01:00:00,17.20,27.5,6.00,0.0,0.00,1007.93,27.2,993.27,000,98
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,31.49,09-14-2019,01:00:00,0.01,27.2,10.00,0.0,0.00,1006.92,24.9,1003.91,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",87
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,33.09,09-14-2019,01:00:00,0.20,27.3,7.00,0.0,0.20,1006.91,25.7,998.97,000,91
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,31.97,09-14-2019,01:00:00,0.00,27.3,8.00,0.0,0.00,1007.02,25.2,1005.91,000,88
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,30.84,09-14-2019,01:00:00,42.50,26.0,8.00,0.0,0.00,1007.64,24.6,992.90,000,92
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,23.42,09-14-2019,01:00:00,0.00,20.2,.05,7.4,0.00,1008.24,20.0,873.38,290,99
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,31.44,09-14-2019,01:00:00,12.20,25.6,10.00,5.6,12.10,1007.43,24.9,1001.52,200,96
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,29.74,09-14-2019,01:00:00,1.50,28.0,8.00,0.0,0.00,1007.06,23.9,1006.26,000,79
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,30.50,09-14-2019,01:00:00,5.00,27.4,10.00,7.4,1.00,1007.05,24.4,1006.60,230,84
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,29.41,09-14-2019,01:00:00,7.30,24.5,4.00,0.0,0.00,1009.70,23.8,998.28,000,96
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,30.56,09-14-2019,01:00:00,0.01,28.0,10.00,0.0,0.00,1007.10,24.4,1006.09,000,81
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,32.16,09-14-2019,01:00:00,0.50,27.4,7.00,0.0,0.50,1007.26,25.3,1005.44,000,88
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,27.36,09-14-2019,01:00:00,9.00,27.0,4.00,0.0,0.00,1007.13,22.6,1006.36,000,77
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,28.55,09-14-2019,01:00:00,14.80,26.5,10.00,13.0,0.01,1007.40,23.3,1006.69,250,83
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,32.77,09-14-2019,01:00:00,0.70,27.0,7.00,0.0,0.70,1007.19,25.6,1006.49,000,92
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,30.65,09-14-2019,01:00:00,2.10,25.9,10.00,1.9,0.20,1007.31,24.4,986.08,120,92
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,29.64,09-14-2019,01:00:00,1.90,25.5,7.00,0.0,0.00,1007.44,23.9,990.64,000,91
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,30.67,09-14-2019,01:00:00,2.60,26.2,6.00,0.0,0.00,1007.93,24.5,991.44,000,90
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,31.17,09-14-2019,01:00:00,0.90,25.6,10.00,0.0,0.00,1007.28,24.7,985.32,000,95
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,29.26,09-14-2019,01:00:00,0.00,25.0,10.00,3.7,0.00,1007.74,23.7,964.19,290,92
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,30.65,09-14-2019,01:00:00,13.60,24.6,10.00,0.0,0.00,1007.45,24.4,986.72,000,99
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,29.82,09-14-2019,01:00:00,1.40,24.0,8.00,0.0,0.00,1008.89,24.0,987.83,000,100
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,26.78,09-14-2019,01:00:00,0.00,27.7,10.00,14.8,0.00,1007.83,22.2,1007.40,320,72
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,31.00,09-14-2019,01:00:00,1.60,25.8,6.00,3.7,1.60,1007.26,24.6,1005.84,250,93
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,32.01,09-14-2019,01:00:00,4.60,25.9,7.00,0.0,2.80,1007.24,25.2,1002.29,000,96
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,26.80,09-14-2019,01:00:00,0.00,28.0,12.00,9.3,0.00,1008.07,22.2,1004.78,260,71
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,28.67,09-14-2019,01:00:00,0.00,27.0,10.00,7.4,0.00,1007.50,23.3,1006.39,270,80
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,29.31,09-14-2019,01:00:00,1.50,27.2,10.00,14.8,0.01,1007.22,23.7,1006.92,300,81
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,31.38,09-14-2019,01:00:00,19.30,27.0,10.00,0.0,0.00,1011.64,24.8,1011.15,000,88
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,28.57,09-14-2019,01:00:00,0.01,28.1,10.00,9.3,0.00,1007.15,23.3,1005.74,240,75
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,30.51,09-14-2019,01:00:00,0.00,26.4,10.00,0.0,0.00,1010.31,24.4,1002.27,000,89
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,30.01,09-14-2019,01:00:00,0.60,28.0,10.00,9.3,0.60,1007.25,24.1,1006.97,280,79
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,27.44,09-14-2019,01:00:00,0.00,28.5,10.00,5.6,0.00,1007.38,22.6,1004.27,250,71
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,29.05,09-14-2019,01:00:00,0.00,28.5,10.00,5.6,0.00,1007.54,23.6,1000.63,230,75
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,33.06,09-14-2019,01:00:00,3.70,27.0,6.00,0.0,3.70,1007.48,25.7,1001.88,000,93
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,26.75,09-14-2019,01:00:00,0.00,27.1,10.00,14.8,0.00,1009.02,22.2,1007.75,300,75
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,27.11,09-14-2019,01:00:00,2.10,27.3,11.00,0.0,0.00,1007.54,22.4,1007.11,000,75
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,26.82,09-14-2019,01:00:00,0.00,26.7,10.00,0.0,0.00,1008.44,22.2,996.15,000,77
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,26.70,09-14-2019,01:00:00,0.00,27.8,10.00,7.4,0.00,1007.80,22.2,1007.08,270,71
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,28.91,09-14-2019,01:00:00,0.00,29.0,10.00,7.4,0.00,1008.09,23.5,1005.67,260,72
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,30.85,09-14-2019,01:00:00,0.00,29.0,10.00,11.1,0.00,1007.51,24.6,1006.99,290,77
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,28.41,09-14-2019,01:00:00,0.00,28.3,10.00,3.7,0.00,1007.42,23.2,1002.28,260,74
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,33.99,09-14-2019,01:00:00,1.30,27.6,5.00,0.0,1.30,1007.61,26.2,1007.19,000,92
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,32.76,09-14-2019,01:00:00,8.00,26.0,8.00,0.0,8.00,1007.65,25.6,1004.87,000,98
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,26.24,09-14-2019,01:00:00,0.00,27.1,10.00,0.0,0.00,1009.20,21.9,1008.41,000,73
48501,TRAD,ตราด,ตราด,11.76667,102.88333,29.41,09-14-2019,01:00:00,85.20,24.5,3.00,3.7,62.40,1008.05,23.8,1007.58,100,96
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,28.18,09-14-2019,01:00:00,0.00,26.0,8.00,5.6,0.00,1009.91,23.1,1009.23,260,84
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,28.34,09-14-2019,01:00:00,0.00,25.8,8.00,0.0,0.00,1010.25,23.2,1008.71,000,85
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,29.16,09-14-2019,01:00:00,5.00,24.8,10.00,0.0,0.00,1011.22,23.6,1010.29,000,93
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,27.77,09-14-2019,01:00:00,0.90,26.5,10.00,0.0,0.00,1010.00,22.8,1009.31,000,80
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,27.91,09-14-2019,01:00:00,0.20,23.2,8.00,0.0,0.00,1011.35,22.9,1010.54,000,98
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,27.27,09-14-2019,01:00:00,8.00,24.6,10.00,0.0,0.00,1009.70,22.5,1009.06,000,88
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,28.79,09-14-2019,01:00:00,16.10,24.3,8.00,0.0,0.00,1008.77,23.4,1008.36,000,95
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,27.60,09-14-2019,01:00:00,0.60,24.2,5.00,0.0,0.00,1012.71,22.7,1008.44,000,91
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,28.25,09-14-2019,01:00:00,11.80,23.4,6.00,0.0,0.00,1010.64,23.1,1009.01,000,98
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,28.43,09-14-2019,01:00:00,1.50,23.8,6.00,0.0,0.00,1011.17,23.2,1007.64,000,97
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,27.25,09-14-2019,01:00:00,0.00,24.0,8.00,7.4,0.00,1010.76,22.5,1009.39,270,91
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,30.03,09-14-2019,01:00:00,1.80,24.7,10.00,0.0,0.00,1011.07,24.1,1010.18,000,97
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,27.66,09-14-2019,01:00:00,10.20,23.5,10.00,0.0,0.00,1010.95,22.8,1007.33,000,96
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,32.05,09-14-2019,01:00:00,0.00,27.2,10.00,0.0,0.00,1010.63,25.2,1010.19,000,89
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,29.05,09-14-2019,01:00:00,0.01,28.5,10.00,3.7,0.00,1010.56,23.6,1009.57,340,75
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,31.08,09-14-2019,01:00:00,6.00,27.7,10.00,11.1,3.00,1011.17,24.7,1010.36,320,84
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,28.14,09-14-2019,01:00:00,0.30,25.1,10.00,0.0,0.00,1011.02,23.0,1009.19,000,88
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,29.56,09-14-2019,01:00:00,0.00,26.9,10.00,5.6,0.00,1010.15,23.8,1009.39,220,83
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,29.64,09-14-2019,01:00:00,0.00,25.5,10.00,5.6,0.00,1010.38,23.9,1006.35,060,91
48570,SATUN,สตูล,สตูล,6.65000,100.08333,30.91,09-14-2019,01:00:00,1.40,26.9,8.00,0.0,0.00,1011.00,24.6,1010.31,000,87
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,30.59,09-14-2019,01:00:00,0.00,26.3,10.00,0.0,0.00,1010.15,24.4,1009.02,000,89
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,31.38,09-14-2019,01:00:00,0.00,26.0,10.00,0.0,0.00,1010.46,24.8,1007.53,000,93
