WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,LandVisibility,RelativeHumidity,StationPressure,Rainfall,WindSpeed,DewPoint,Rainfall24Hr,MeanSeaLevelPressure,WindDirection,AirTemperature
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,26.78,10-16-2019,13:00:00,12.00,58,982.80,0.00,0.0,22.2,29.30,1012.33,000,31.6
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,27.14,10-16-2019,13:00:00,8.00,62,977.09,0.00,0.0,22.4,11.20,1012.28,000,30.5
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,26.73,10-16-2019,13:00:00,15.00,60,982.35,0.00,7.4,22.2,4.90,1011.75,140,31.0
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,26.04,10-16-2019,13:00:00,10.00,50,1004.37,0.00,0.0,21.8,3.70,1011.55,000,33.5
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,28.56,10-16-2019,13:00:00,15.00,57,992.69,0.00,11.1,23.3,0.00,1012.31,080,32.8
48353,LOEI,เลย,เลย,17.45000,101.73333,26.15,10-16-2019,13:00:00,14.00,56,983.68,0.00,7.4,21.8,0.01,1012.00,180,31.7
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,26.72,10-16-2019,13:00:00,15.00,56,992.82,0.00,7.4,22.2,0.00,1012.76,080,32.0
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,27.17,10-16-2019,13:00:00,15.00,65,991.40,0.00,9.3,22.5,11.50,1013.04,050,29.8
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,30.56,10-16-2019,13:00:00,9.00,81,993.34,2.00,3.7,24.4,4.00,1012.86,120,28.0
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,25.14,10-16-2019,13:00:00,12.00,55,996.25,0.00,9.3,21.2,0.00,1012.85,050,31.3
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,21.94,10-16-2019,13:00:00,12.00,42,997.01,0.00,3.7,19.0,1.00,1014.15,050,33.6
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,23.81,10-16-2019,13:00:00,15.00,53,985.72,0.00,14.8,20.3,0.00,1011.25,060,31.0
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,31.21,10-16-2019,13:00:00,10.00,59,1006.52,0.00,7.4,24.8,0.00,1012.21,290,33.8
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,29.87,10-16-2019,13:00:00,12.00,56,1005.66,0.00,0.0,24.0,0.00,1011.74,000,34.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,26.86,10-16-2019,13:00:00,12.00,58,996.40,0.00,0.0,22.3,0.00,1012.69,000,31.5
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,25.37,10-16-2019,13:00:00,10.00,53,987.77,0.00,18.5,21.3,0.00,1009.78,070,32.0
48376,TAK,ตาก,ตาก,16.87833,99.14333,28.41,10-16-2019,13:00:00,7.00,59,998.34,0.00,7.4,23.2,0.00,1012.56,040,32.3
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,28.09,10-16-2019,13:00:00,8.00,63,996.03,0.00,0.0,23.0,0.00,1012.28,000,31.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,25.32,10-16-2019,13:00:00,10.00,48,1006.51,0.00,5.6,21.3,0.00,1011.64,020,33.7
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,26.18,10-16-2019,13:00:00,12.00,49,997.81,0.00,5.6,21.8,0.00,1010.76,030,34.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,28.66,10-16-2019,13:00:00,13.00,60,1002.78,0.00,1.9,23.3,7.50,1012.00,320,32.0
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,29.12,10-16-2019,13:00:00,10.00,64,990.55,0.00,7.4,23.6,12.20,1012.05,070,31.1
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,30.69,10-16-2019,13:00:00,8.00,63,994.53,0.01,9.3,24.5,1.10,1011.81,060,32.3
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,28.66,10-16-2019,13:00:00,12.00,60,995.65,0.00,9.3,23.3,0.00,1011.29,070,32.0
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,27.76,10-16-2019,13:00:00,10.00,60,992.25,0.00,13.0,22.8,4.50,1010.93,040,31.4
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,24.08,10-16-2019,13:00:00,11.00,61,960.39,0.00,0.0,20.5,0.00,1011.32,000,28.8
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,27.43,10-16-2019,13:00:00,11.00,53,1007.19,0.00,13.0,22.6,0.00,1011.08,050,33.5
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,22.95,10-16-2019,13:00:00,6.00,77,917.30,0.00,9.3,19.7,21.90,1012.15,040,23.9
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,28.99,10-16-2019,13:00:00,10.00,62,995.80,0.00,9.3,23.5,1.60,1011.62,070,31.6
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,29.42,10-16-2019,13:00:00,10.00,59,1007.81,0.00,1.9,23.8,0.00,1011.79,080,32.8
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,23.89,10-16-2019,13:00:00,10.00,49,1001.54,0.00,7.4,20.4,0.00,1012.08,090,32.5
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,27.44,10-16-2019,13:00:00,12.00,55,1009.92,0.00,1.9,22.6,0.00,1011.82,330,32.8
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,25.91,10-16-2019,13:00:00,10.00,54,990.89,0.00,14.8,21.7,1.90,1011.50,030,32.0
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,27.66,10-16-2019,13:00:00,11.00,58,993.84,0.00,18.5,22.7,0.00,1011.27,050,32.2
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,28.92,10-16-2019,13:00:00,10.00,56,995.03,0.00,9.3,23.5,0.00,1010.91,040,33.4
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,26.45,10-16-2019,13:00:00,10.00,53,996.94,0.00,13.0,22.0,0.10,1010.75,070,33.0
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,29.06,10-16-2019,13:00:00,12.00,60,996.32,0.00,0.0,23.6,22.00,1010.95,000,32.2
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,31.20,10-16-2019,13:00:00,10.00,62,996.58,0.00,16.7,24.7,0.00,1011.02,050,33.1
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,26.53,10-16-2019,13:00:00,10.00,53,1008.80,0.00,0.0,22.1,0.00,1011.77,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",32.9
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,26.12,10-16-2019,13:00:00,10.00,51,1003.40,0.00,7.4,21.8,0.00,1011.22,040,33.4
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,28.32,10-16-2019,13:00:00,9.00,56,1010.18,0.00,9.3,23.1,0.00,1011.27,070,33.1
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,31.06,10-16-2019,13:00:00,8.00,70,997.59,0.00,0.0,24.7,0.00,1012.17,000,30.8
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,22.31,10-16-2019,13:00:00,8.00,74,876.90,0.00,7.4,19.3,0.00,1010.43,060,24.1
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,29.51,10-16-2019,13:00:00,10.00,62,1005.54,0.00,5.6,23.8,0.00,1011.35,070,32.0
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,31.42,10-16-2019,13:00:00,10.00,59,1010.19,0.00,5.6,24.9,0.00,1010.98,060,33.9
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,29.06,10-16-2019,13:00:00,10.00,60,1009.72,0.00,24.1,23.6,0.00,1010.16,120,32.2
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,27.67,10-16-2019,13:00:00,10.00,54,999.82,0.00,5.6,22.8,0.00,1010.94,150,33.2
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,29.54,10-16-2019,13:00:00,8.00,61,1010.56,0.00,9.3,23.8,0.00,1011.55,080,32.3
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,25.95,10-16-2019,13:00:00,10.00,50,1009.26,0.00,3.7,21.7,0.00,1011.05,070,33.6
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,30.90,10-16-2019,13:00:00,11.00,64,1010.55,0.00,0.0,24.6,0.00,1011.31,000,32.4
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,29.11,10-16-2019,13:00:00,10.00,62,1010.20,0.00,13.0,23.6,0.01,1010.90,070,31.8
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,27.26,10-16-2019,13:00:00,10.00,52,1010.21,0.00,9.3,22.5,0.01,1010.90,110,33.7
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,26.67,10-16-2019,13:00:00,10.00,58,990.81,0.00,13.0,22.1,0.00,1011.76,100,31.4
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,27.43,10-16-2019,13:00:00,12.00,58,994.82,0.00,5.6,22.6,0.00,1011.34,040,31.8
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,28.91,10-16-2019,13:00:00,10.00,62,995.43,0.00,7.4,23.5,0.01,1011.69,010,31.7
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,29.80,10-16-2019,13:00:00,10.00,65,989.82,0.00,0.0,24.0,0.00,1011.46,000,31.3
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,25.39,10-16-2019,13:00:00,10.00,62,968.19,0.00,14.8,21.3,0.00,1011.28,050,29.4
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,28.59,10-16-2019,13:00:00,11.00,66,990.71,0.00,7.4,23.3,1.30,1011.12,310,30.4
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,31.43,10-16-2019,13:00:00,10.00,68,992.72,0.00,14.8,24.9,1.40,1013.37,070,31.4
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,31.77,10-16-2019,13:00:00,10.00,68,1010.15,0.10,0.0,25.0,0.10,1010.58,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",31.7
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,30.73,10-16-2019,13:00:00,11.00,68,1009.40,0.00,0.0,24.5,6.70,1010.81,000,31.2
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,31.64,10-16-2019,13:00:00,10.00,68,1005.81,0.00,0.0,25.0,0.00,1010.68,000,31.5
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,29.75,10-16-2019,13:00:00,12.00,61,1007.80,0.00,3.7,24.0,0.00,1011.05,040,32.4
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,30.86,10-16-2019,13:00:00,11.00,62,1010.03,0.00,3.7,24.6,0.00,1011.12,090,32.8
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,31.11,10-16-2019,13:00:00,10.00,64,1010.28,0.00,9.3,24.7,3.30,1010.57,050,32.5
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,29.79,10-16-2019,13:00:00,10.00,56,1009.51,0.00,11.1,24.0,0.50,1010.18,080,34.1
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,30.04,10-16-2019,13:00:00,10.00,57,1009.63,0.00,5.6,24.1,1.60,1010.11,120,33.8
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,29.58,10-16-2019,13:00:00,10.00,60,1009.41,0.00,18.5,23.9,2.20,1010.80,200,32.6
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,30.73,10-16-2019,13:00:00,10.00,68,1009.20,0.00,22.2,24.5,0.00,1010.86,060,31.2
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,30.08,10-16-2019,13:00:00,10.00,63,1004.53,0.00,3.7,24.1,0.50,1012.44,240,32.0
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,31.50,10-16-2019,13:00:00,12.00,60,1009.75,0.00,9.3,24.9,0.00,1010.02,020,33.8
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,33.91,10-16-2019,13:00:00,12.00,69,1006.83,0.00,0.0,26.1,0.00,1009.92,000,32.7
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,29.07,10-16-2019,13:00:00,10.00,63,1003.27,0.00,9.3,23.6,0.00,1010.13,050,31.5
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,30.45,10-16-2019,13:00:00,10.00,60,1005.58,0.00,7.4,24.3,8.50,1011.08,090,33.3
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,32.12,10-16-2019,13:00:00,10.00,65,1002.23,0.00,13.0,25.2,0.00,1011.41,110,32.7
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,31.51,10-16-2019,13:00:00,12.00,72,1010.67,0.01,0.0,24.9,0.20,1011.93,000,30.6
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,32.95,10-16-2019,13:00:00,11.00,64,1010.24,0.00,22.2,25.7,0.01,1010.66,060,33.5
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,28.65,10-16-2019,13:00:00,4.00,64,998.34,0.10,14.8,23.3,1.80,1010.48,040,31.0
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,33.89,10-16-2019,13:00:00,8.00,76,1010.01,0.00,7.4,26.1,9.20,1010.72,030,30.9
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,32.97,10-16-2019,13:00:00,10.00,61,1007.61,0.00,7.4,25.7,14.20,1010.00,160,34.2
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,33.06,10-16-2019,13:00:00,10.00,66,1009.32,0.00,7.4,25.7,6.40,1009.83,090,33.0
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,28.73,10-16-2019,13:00:00,16.00,58,1004.75,0.00,5.6,23.4,0.01,1009.83,140,32.6
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,31.16,10-16-2019,13:00:00,10.00,60,1009.17,0.00,5.6,24.7,0.80,1009.58,030,33.5
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,30.28,10-16-2019,13:00:00,10.00,59,1006.91,0.00,11.1,24.2,0.00,1009.62,180,33.5
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,29.64,10-16-2019,13:00:00,10.00,91,1010.12,13.80,3.7,23.9,26.40,1010.91,340,25.5
48501,TRAD,ตราด,ตราด,11.76667,102.88333,34.71,10-16-2019,13:00:00,10.00,68,1008.75,0.00,7.4,26.5,6.30,1009.20,280,33.2
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,32.92,10-16-2019,13:00:00,9.00,66,1008.99,0.00,9.3,25.7,0.20,1009.66,080,32.8
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,34.49,10-16-2019,13:00:00,9.00,73,1008.13,0.80,7.4,26.4,0.80,1009.64,050,32.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,27.95,10-16-2019,13:00:00,10.00,55,1008.42,0.00,5.6,22.9,0.30,1009.32,150,33.2
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,34.39,10-16-2019,13:00:00,10.00,80,1009.32,0.00,18.5,26.4,0.00,1010.00,080,30.3
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,31.25,10-16-2019,13:00:00,10.00,77,1009.36,0.00,3.7,24.8,0.00,1010.16,070,29.2
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,33.37,10-16-2019,13:00:00,10.00,88,1009.29,8.50,3.7,25.9,14.30,1009.93,340,28.0
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,30.39,10-16-2019,13:00:00,3.00,84,1009.48,0.50,7.4,24.3,6.30,1009.88,090,27.2
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,31.82,10-16-2019,13:00:00,5.00,90,1007.28,8.20,0.0,25.1,8.20,1011.51,000,26.8
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,26.56,10-16-2019,13:00:00,10.00,58,1007.42,0.00,0.0,22.1,0.40,1009.01,000,31.2
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,32.86,10-16-2019,13:00:00,8.00,70,1005.68,0.00,5.6,25.6,2.80,1009.10,010,31.8
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,33.41,10-16-2019,13:00:00,10.00,80,1007.96,11.20,0.0,25.9,13.70,1009.30,000,29.7
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,31.15,10-16-2019,13:00:00,15.00,71,1008.27,0.00,9.3,24.7,16.20,1009.14,300,30.7
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,30.44,10-16-2019,13:00:00,10.00,74,1005.11,0.60,7.4,24.3,2.20,1008.64,060,29.5
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,31.11,10-16-2019,13:00:00,10.00,64,1008.86,0.00,9.3,24.7,0.40,1009.29,120,32.5
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,29.87,10-16-2019,13:00:00,10.00,61,1007.78,0.00,0.0,24.0,2.90,1008.76,000,32.6
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,34.07,10-16-2019,13:00:00,12.00,70,1008.35,0.00,11.1,26.2,20.80,1009.16,210,32.5
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,30.63,10-16-2019,13:00:00,10.00,74,1007.13,0.00,5.6,24.4,1.30,1008.93,050,29.6
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,26.78,10-16-2019,13:00:00,12.00,66,1008.40,0.00,9.3,22.2,0.70,1009.15,040,29.3
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,32.75,10-16-2019,13:00:00,10.00,75,1004.99,2.80,11.1,25.6,2.80,1008.94,330,30.5
48570,SATUN,สตูล,สตูล,6.65000,100.08333,32.28,10-16-2019,13:00:00,10.00,66,1007.91,0.00,7.4,25.3,4.40,1008.58,300,32.5
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,29.48,10-16-2019,13:00:00,12.00,66,1007.99,0.00,11.1,23.8,0.80,1009.09,060,31.0
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,34.29,10-16-2019,13:00:00,10.00,82,1006.20,0.00,9.3,26.3,5.00,1009.10,030,29.7
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,34.05,10-16-2019,13:00:00,12.00,72,1007.42,0.00,9.3,26.2,1.90,1008.10,350,31.8
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,28.88,10-16-2019,13:00:00,10.00,57,1004.81,0.00,0.0,23.5,1.00,1008.86,000,33.1
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,29.18,10-16-2019,13:00:00,12.00,60,1008.15,0.00,13.0,23.6,0.00,1008.73,080,32.4
