WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,WindDirection,VaporPressure,Rainfall,RelativeHumidity,WindSpeed,AirTemperature,DewPoint,StationPressure,Rainfall24Hr,MeanSeaLevelPressure
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,10.00,08-01-2019,01:00:00,000,28.03,0.30,91,0.0,24.6,23.0,1002.12,16.80,1007.32
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,6.00,08-01-2019,01:00:00,000,28.64,1.20,92,0.0,24.8,23.3,1008.24,21.60,1008.66
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,8.00,08-01-2019,01:00:00,000,27.92,4.20,95,0.0,23.8,22.9,1006.02,31.20,1008.83
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,6.00,08-01-2019,01:00:00,250,27.36,2.00,87,3.7,24.8,22.6,1007.43,7.50,1008.22
48501,TRAD,ตราด,ตราด,11.76667,102.88333,6.00,08-01-2019,01:00:00,330,26.94,8.30,85,9.3,25.0,22.3,1008.10,23.20,1008.57
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,8.00,08-01-2019,01:00:00,270,28.10,0.01,83,11.1,26.1,23.0,1008.30,0.20,1008.99
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,7.00,08-01-2019,01:00:00,000,29.36,0.00,79,0.0,27.8,23.7,1007.35,0.00,1008.87
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,10.00,08-01-2019,01:00:00,200,30.15,0.00,78,5.6,28.5,24.2,1008.87,0.00,1009.78
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,10.00,08-01-2019,01:00:00,000,30.87,0.00,80,0.0,28.3,24.6,1008.43,0.00,1009.12
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,9.00,08-01-2019,01:00:00,000,29.00,0.00,92,0.0,25.0,23.5,1008.43,0.00,1009.24
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,10.00,08-01-2019,01:00:00,000,30.62,0.00,88,0.0,26.6,24.4,1008.50,0.00,1009.14
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,10.00,08-01-2019,01:00:00,250,28.67,0.00,80,7.4,27.0,23.3,1009.02,0.00,1009.43
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,6.00,08-01-2019,01:00:00,000,28.47,0.00,82,0.0,26.6,23.2,1006.88,0.00,1011.11
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,10.00,08-01-2019,01:00:00,000,28.78,0.00,97,0.0,24.0,23.4,1007.82,0.00,1009.45
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,8.00,08-01-2019,01:00:00,000,30.02,0.00,84,0.0,27.0,24.1,1008.14,0.00,1009.50
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,10.00,08-01-2019,01:00:00,240,28.78,0.00,74,11.1,28.5,23.4,1009.12,4.60,1010.01
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,10.00,08-01-2019,01:00:00,000,29.16,0.00,93,0.0,24.8,23.6,1005.89,0.00,1009.48
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,10.00,08-01-2019,01:00:00,290,29.68,0.00,77,5.6,28.4,23.9,1009.17,0.00,1009.61
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,10.00,08-01-2019,01:00:00,290,29.41,0.00,72,3.7,29.4,23.8,1008.48,0.00,1009.47
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,10.00,08-01-2019,01:00:00,270,31.53,0.00,78,24.1,29.2,24.9,1009.03,0.00,1009.85
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,10.00,08-01-2019,01:00:00,000,30.57,0.00,91,0.0,26.0,24.4,1008.24,0.00,1010.06
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,10.00,08-01-2019,01:00:00,200,27.72,0.00,77,5.6,27.2,22.8,1009.00,0.00,1009.75
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,10.00,08-01-2019,01:00:00,000,28.55,0.00,83,0.0,26.5,23.3,1006.33,0.00,1010.34
48570,SATUN,สตูล,สตูล,6.65000,100.08333,10.00,08-01-2019,01:00:00,000,29.56,0.00,90,0.0,25.6,23.8,1009.40,0.00,1010.09
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,10.00,08-01-2019,01:00:00,000,29.50,0.00,88,0.0,26.0,23.8,1009.02,0.00,1010.14
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,10.00,08-01-2019,01:00:00,000,29.72,0.00,92,0.0,25.4,23.9,1007.30,0.00,1010.24
