WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,Rainfall24Hr,WindDirection,StationPressure,AirTemperature,Rainfall,RelativeHumidity,LandVisibility,MinimumTemperature,WindSpeed,MeanSeaLevelPressure,DewPoint
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,32.71,08-14-2019,07:00:00,19.60,000,989.73,26.4,0.00,95,12.00,24.2,0.0,1007.17,25.5
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,32.56,08-14-2019,07:00:00,1.00,000,980.65,25.9,0.00,97,9.00,25.7,0.0,1006.49,25.5
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,33.04,08-14-2019,07:00:00,3.40,000,1001.92,26.0,0.00,98,10.00,23.4,0.0,1007.73,25.7
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,32.23,08-14-2019,07:00:00,2.70,000,1001.34,25.3,0.00,100,8.00,25.0,0.0,1007.57,25.3
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,29.00,08-14-2019,07:00:00,0.00,000,991.80,25.0,0.00,92,10.00,24.3,0.0,1008.36,23.5
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,30.32,08-14-2019,07:00:00,9.40,000,984.40,25.0,0.90,96,8.00,24.0,0.0,1006.86,24.3
48376,TAK,ตาก,ตาก,16.87833,99.14333,28.12,08-14-2019,07:00:00,8.20,280,993.64,28.0,0.00,74,8.00,27.0,9.3,1007.99,23.0
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,32.63,08-14-2019,07:00:00,1.00,000,991.71,26.5,0.00,94,8.00,26.4,0.0,1008.14,25.5
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,32.20,08-14-2019,07:00:00,1.80,000,1002.87,26.0,0.00,96,10.00,24.2,0.0,1008.12,25.3
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,31.25,08-14-2019,07:00:00,0.60,000,993.36,25.5,0.00,96,8.00,24.7,0.0,1006.62,24.8
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,32.45,08-14-2019,07:00:00,33.20,000,998.50,25.7,0.00,98,11.00,24.8,0.0,1007.87,25.4
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,30.19,08-14-2019,07:00:00,1.50,230,985.07,25.8,0.00,91,7.00,25.5,7.4,1006.84,24.2
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,30.43,08-14-2019,07:00:00,0.20,230,989.39,26.5,0.00,88,8.00,25.7,14.8,1006.92,24.3
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,31.00,08-14-2019,07:00:00,4.20,240,990.45,25.8,0.00,93,10.00,25.2,5.6,1006.33,24.6
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,30.40,08-14-2019,07:00:00,1.30,200,987.03,26.2,0.00,89,8.00,25.6,7.4,1005.94,24.3
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,27.66,08-14-2019,07:00:00,15.00,000,959.29,23.5,0.60,96,6.00,22.8,0.0,1011.09,22.8
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,32.20,08-14-2019,07:00:00,0.80,100,1003.66,26.0,0.00,96,3.00,25.1,7.4,1007.64,25.3
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,24.91,08-14-2019,07:00:00,2.80,250,913.15,21.5,0.10,97,1.00,20.9,14.8,1008.37,21.0
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,32.09,08-14-2019,07:00:00,3.30,210,990.65,25.8,0.00,97,8.00,25.1,5.6,1006.69,25.2
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,32.43,08-14-2019,07:00:00,0.30,000,1004.08,26.4,0.00,94,8.00,25.8,0.0,1008.13,25.4
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,29.21,08-14-2019,07:00:00,3.00,000,998.19,25.7,0.10,89,6.00,25.4,0.0,1008.93,23.7
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,30.92,08-14-2019,07:00:00,1.10,000,1006.40,25.9,0.01,93,8.00,25.0,0.0,1008.34,24.6
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,29.99,08-14-2019,07:00:00,0.70,000,986.56,25.4,0.00,92,10.00,24.0,0.0,1007.54,24.1
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,30.84,08-14-2019,07:00:00,2.40,240,989.23,26.0,0.00,92,10.00,24.6,7.4,1006.95,24.6
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,31.93,08-14-2019,07:00:00,2.80,230,990.34,26.0,0.00,95,10.00,25.3,7.4,1006.54,25.1
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,30.84,08-14-2019,07:00:00,0.70,190,993.63,26.0,0.00,92,10.00,25.3,9.3,1007.72,24.6
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,31.25,08-14-2019,07:00:00,0.60,000,993.32,25.5,0.00,96,7.00,24.5,0.0,1008.24,24.8
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,32.45,08-14-2019,07:00:00,3.00,000,993.13,25.7,0.01,98,8.00,24.3,0.0,1007.88,25.4
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,32.15,08-14-2019,07:00:00,0.80,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1004.36,26.4,0.00,93,10.00,25.0,0.0,1007.38,25.3
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,31.55,08-14-2019,07:00:00,6.40,000,1000.01,25.8,0.00,95,10.00,25.0,0.0,1008.00,24.9
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,31.99,08-14-2019,07:00:00,3.90,180,1007.70,26.6,0.00,92,7.00,25.6,3.7,1008.81,25.2
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,31.25,08-14-2019,07:00:00,1.50,000,993.33,25.5,0.00,96,8.00,24.7,0.0,1008.10,24.8
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,22.71,08-14-2019,07:00:00,8.40,270,874.65,19.7,0.00,99,.05,18.7,11.1,1009.94,19.5
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,32.76,08-14-2019,07:00:00,0.40,200,1002.48,26.0,0.00,98,8.00,24.5,3.7,1008.39,25.6
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,32.69,08-14-2019,07:00:00,2.40,230,1007.83,27.1,0.00,91,8.00,26.6,7.4,1008.64,25.5
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,32.96,08-14-2019,07:00:00,0.00,210,1008.08,28.5,0.00,85,10.00,28.5,11.1,1008.52,25.7
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,30.48,08-14-2019,07:00:00,12.00,000,998.05,24.8,0.00,97,3.00,24.6,0.0,1009.46,24.4
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,30.72,08-14-2019,07:00:00,0.40,190,1007.44,26.8,0.00,87,10.00,26.1,3.7,1008.46,24.5
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,31.96,08-14-2019,07:00:00,7.40,000,1006.51,26.3,0.00,93,7.00,26.0,0.0,1008.34,25.1
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,29.76,08-14-2019,07:00:00,0.60,000,1007.63,26.0,0.00,89,8.00,25.5,0.0,1008.40,24.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,30.75,08-14-2019,07:00:00,0.01,240,1008.33,27.1,0.00,86,10.00,26.8,5.6,1009.04,24.5
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,33.74,08-14-2019,07:00:00,5.10,000,1007.82,27.2,0.00,94,7.00,26.5,0.0,1008.53,26.1
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,30.81,08-14-2019,07:00:00,3.90,000,986.67,25.7,0.00,93,10.00,24.9,0.0,1007.93,24.5
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,31.33,08-14-2019,07:00:00,34.50,000,991.17,25.4,0.00,97,6.00,24.1,0.0,1007.99,24.8
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,31.25,08-14-2019,07:00:00,41.20,180,991.69,25.5,0.20,96,5.00,23.5,3.7,1008.22,24.8
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,31.25,08-14-2019,07:00:00,16.50,000,986.33,25.5,0.00,96,10.00,25.0,0.0,1008.32,24.8
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,27.20,08-14-2019,07:00:00,5.00,220,965.07,25.3,0.00,84,14.00,24.1,5.6,1008.61,22.5
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,32.20,08-14-2019,07:00:00,18.40,000,986.95,26.0,0.00,96,10.00,24.0,0.0,1007.58,25.3
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,33.20,08-14-2019,07:00:00,0.20,220,988.32,25.8,0.00,100,7.00,24.7,9.3,1009.26,25.8
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,30.59,08-14-2019,07:00:00,5.60,240,1008.48,27.3,0.00,84,10.00,26.6,5.6,1008.92,24.4
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,32.87,08-14-2019,07:00:00,9.30,000,1006.90,26.2,0.10,97,8.00,26.0,0.0,1008.32,25.6
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,33.55,08-14-2019,07:00:00,1.80,000,1003.78,26.4,0.60,98,7.00,26.0,0.0,1008.73,26.0
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,30.76,08-14-2019,07:00:00,1.30,000,1005.47,26.1,0.10,91,12.00,24.7,0.0,1008.78,24.5
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,31.96,08-14-2019,07:00:00,0.20,000,1007.62,26.3,0.00,93,10.00,25.8,0.0,1008.73,25.1
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,30.97,08-14-2019,07:00:00,0.10,000,1008.62,27.5,0.00,84,10.00,26.7,0.0,1008.92,24.6
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,31.64,08-14-2019,07:00:00,0.00,000,1008.06,27.7,0.00,85,10.00,27.0,0.0,1008.75,25.0
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,31.52,08-14-2019,07:00:00,0.00,000,1008.37,27.5,0.00,86,10.00,27.2,0.0,1008.86,24.9
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,31.52,08-14-2019,07:00:00,3.80,240,1007.50,27.5,0.01,86,10.00,26.4,13.0,1008.91,24.9
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,31.69,08-14-2019,07:00:00,0.00,230,1007.33,29.0,0.00,79,10.00,27.8,20.4,1009.00,25.0
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,32.48,08-14-2019,07:00:00,1.30,000,1002.02,26.0,0.00,97,10.00,24.8,0.0,1010.08,25.4
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,32.88,08-14-2019,07:00:00,0.00,000,1008.43,28.6,0.00,84,10.00,27.7,0.0,1008.71,25.6
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,32.55,08-14-2019,07:00:00,0.00,000,1005.46,29.0,0.00,81,10.00,28.1,0.0,1008.57,25.5
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,30.75,08-14-2019,07:00:00,0.00,240,1002.08,28.1,0.00,81,10.00,27.5,13.0,1009.01,24.5
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,33.10,08-14-2019,07:00:00,1.00,000,1003.32,26.6,0.30,95,7.00,26.0,0.0,1008.94,25.7
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,31.54,08-14-2019,07:00:00,0.00,250,999.42,28.5,0.00,81,10.00,27.8,11.1,1008.70,24.9
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,32.20,08-14-2019,07:00:00,0.01,000,1008.24,26.0,0.01,96,8.00,25.7,0.0,1009.51,25.3
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,29.89,08-14-2019,07:00:00,9.10,280,1008.55,26.5,0.00,86,11.00,26.0,3.7,1008.98,24.0
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,28.28,08-14-2019,07:00:00,0.70,000,996.87,24.3,0.00,93,8.00,23.6,0.0,1009.27,23.1
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,28.29,08-14-2019,07:00:00,0.00,000,1008.17,26.5,0.00,82,10.00,25.9,0.0,1008.88,23.1
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,28.95,08-14-2019,07:00:00,0.00,230,1007.16,28.3,0.00,75,10.00,27.7,14.8,1009.59,23.5
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,31.94,08-14-2019,07:00:00,0.00,260,1008.45,28.7,0.00,81,10.00,28.0,14.8,1008.97,25.1
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,29.85,08-14-2019,07:00:00,0.01,230,1003.89,27.2,0.00,83,11.00,27.2,1.9,1009.05,24.0
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,32.77,08-14-2019,07:00:00,3.50,000,1008.77,27.0,0.00,92,7.00,26.4,0.0,1009.19,25.6
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,32.04,08-14-2019,07:00:00,3.60,000,1006.25,26.2,0.00,94,8.00,25.5,0.0,1009.03,25.2
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,29.41,08-14-2019,07:00:00,0.00,000,1008.90,26.1,0.00,87,10.00,23.2,0.0,1009.70,23.8
48501,TRAD,ตราด,ตราด,11.76667,102.88333,31.25,08-14-2019,07:00:00,13.50,070,1008.73,25.5,2.70,96,7.00,24.5,5.6,1009.19,24.8
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,30.40,08-14-2019,07:00:00,4.50,300,1009.20,24.9,0.00,97,7.00,24.5,3.7,1009.89,24.3
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,30.22,08-14-2019,07:00:00,12.60,000,1008.49,24.8,0.00,97,8.00,24.5,0.0,1010.03,24.2
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,30.05,08-14-2019,07:00:00,30.30,190,1010.08,25.0,5.50,95,9.00,24.8,7.4,1011.00,24.1
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,30.26,08-14-2019,07:00:00,0.00,000,1009.58,26.7,0.00,86,10.00,26.0,0.0,1010.27,24.2
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,30.10,08-14-2019,07:00:00,15.60,000,1009.89,24.3,0.00,99,8.00,23.8,0.0,1010.70,24.1
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,31.08,08-14-2019,07:00:00,0.00,000,1009.44,25.7,0.00,94,10.00,25.2,0.0,1010.08,24.7
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,31.25,08-14-2019,07:00:00,0.00,000,1009.90,25.5,0.00,96,10.00,25.0,0.0,1010.31,24.8
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,29.13,08-14-2019,07:00:00,0.01,000,1007.75,24.2,0.00,97,5.00,23.6,0.0,1012.01,23.6
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,31.12,08-14-2019,07:00:00,0.00,000,1009.01,25.0,0.00,98,4.00,23.2,0.0,1010.63,24.7
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,29.79,08-14-2019,07:00:00,0.20,000,1007.41,25.0,0.00,94,8.00,24.5,0.0,1010.92,24.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,30.85,08-14-2019,07:00:00,1.80,000,1008.84,25.0,0.00,97,8.00,25.0,0.0,1010.21,24.6
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,32.36,08-14-2019,07:00:00,6.60,240,1009.14,27.5,6.50,88,10.00,26.4,7.4,1010.03,25.4
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,30.42,08-14-2019,07:00:00,0.20,000,1006.95,25.2,0.20,95,10.00,24.1,0.0,1010.54,24.3
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,29.71,08-14-2019,07:00:00,0.00,280,1010.04,28.7,0.00,75,10.00,28.0,7.4,1010.47,23.9
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,30.54,08-14-2019,07:00:00,2.20,200,1009.34,28.7,0.00,78,10.00,23.8,9.3,1010.33,24.4
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,30.18,08-14-2019,07:00:00,0.40,270,1009.58,26.8,0.40,86,10.00,25.0,18.5,1010.39,24.2
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,31.38,08-14-2019,07:00:00,0.00,000,1008.69,26.0,0.00,93,6.00,25.4,0.0,1010.51,24.8
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,31.25,08-14-2019,07:00:00,0.01,240,1009.70,27.5,0.00,85,10.00,26.9,3.7,1010.46,24.8
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,30.52,08-14-2019,07:00:00,0.01,000,1006.55,25.4,0.00,94,8.00,23.7,0.0,1010.58,24.4
48570,SATUN,สตูล,สตูล,6.65000,100.08333,31.00,08-14-2019,07:00:00,0.00,000,1009.72,25.8,0.00,93,10.00,25.0,0.0,1010.41,24.6
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,33.19,08-14-2019,07:00:00,0.00,000,1010.06,26.5,0.00,96,10.00,25.1,0.0,1011.18,25.8
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,31.49,08-14-2019,07:00:00,0.00,000,1007.72,25.2,0.00,98,8.00,23.3,0.0,1010.66,24.9
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,31.04,08-14-2019,07:00:00,0.00,000,1009.18,25.1,0.00,97,8.00,24.7,0.0,1009.87,24.7
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,29.31,08-14-2019,07:00:00,60.90,000,1006.65,24.3,0.00,97,4.00,23.8,0.0,1010.82,23.7
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,28.11,08-14-2019,07:00:00,4.40,240,1009.99,24.5,0.00,91,9.00,.0,5.6,1010.59,23.0
